tão tão
justiça justiça
e e
todas todo
essas esse
coisas coisa
vos vós
serão ser
acrescentadas acrescentar
a ela
falando falar
que que
o o
reino reino
de de
Deus deus
tem ter
a o
prioridade prioridade
mas mas
não não
está estar
eliminando eliminar
as o
outras outro
coisas coisa
o o
que que
a o
bíblia bíblia
tá estar
mostrando mostrar
é ser
uma um
escala escala
de de
valor valor
o o
que que
é ser
mais mais
importante importante
o o
reino reino
de de
Deus deus
mas mas
não não
está estar
eliminando eliminar
a o
vida vida
sociológica sociológico
biológica biológico
e e
psicológica psicológico
das de_o
pessoas pessoa
que que
começa começar
no em_o
Versículo versículo
25 25
desse de_esse
Capítulo capítulo
então então
prioridade prioridade
Então então
nós nós
não não
podemos poder
eliminar eliminar
a o
cidadania cidadania
terrena terreno
Porque porque
tem ter
uma um
prioridade prioridade
da de_o
Cidadania cidadania
Celestial celestial
de de
jeito jeito
nenhum nenhum
e e
uma um
outra outro
coisa coisa
que que
nós nós
como como
povo povo
de de
Deus deus
temos ter
que que
entender entender
o o
reino reino
de de
Deus deus
é ser
para para
ser ser
implantado implantar
na em_o
terra terra
não não
no em_o
céu céu
Mateus mateus
6 6
10 10
diz dizer
venha vir
o o
teu teu
reino reino
seja ser
feita fazer
a o
tua tua
vontade vontade
assim assim
na em_o
terra terra
como como
no em_o
céu céu
não não
é ser
assim assim
no em_o
céu céu
como como
na em_o
terra terra
Olha olhar
que que
fator fator
olha olhar
olha olhar
a o
prioridade prioridade
que que
tá estar
sendo ser
feita fazer
o o
reino reino
de de
Deus deus
é ser
para para
ser ser
instalado instalar
no em_o
planeta planeta
Terra terra
você você
tem ter
que que
entender entender
isso isso
meu meu
querido querido
Quando quando
Jesus jesus
fala falar
em em
Mateus mateus
5:16 @card@
assim assim
resplandeça resplandeça
a a
vossa vosso
Luz luz
Diante diante
dos de_o
homens homem
para para
que que
Vejam ver
as o
vossas vossas
boas bom
obras obra
e e
glorifique glorificar
a a
vosso vosso
pai pai
que que
está estar
nos em_o
céus céu
a a
minha meu
luz luz
a a
minha meu
vida vida
tem ter
que que
ser ser
vista ver
pelos por_o
homens homem
aí aí
a o
coisa coisa
vai ir
aprofundar aprofundar
quando quando
Paulo paulo
diz dizer
em em
Filipenses filipenses
2 2
15 15
para para
que que
sejais ser
irrepreensíveis irrepreensível
filhos filho
de de
Deus deus
incupazes incupazes
no em_o
meio meio
de de
uma um
geração geração
corrompida corrompido
e e
perversa perverso
na em_o
qual qual
resplandeceis resplandeceis
como como
Astros astro
então então
eu eu
quero querer
implantar implantar
o o
reino reino
de de
Deus deus
Diante diante
E e
no em_o
meio meio
diante diante
dos de_o
homens homem
é é
as o
pessoas pessoa
que que
me eu
veem ver
no em_o
meio meio
é ser
onde onde
eu eu
convivo conviver
no em_o
meu meu
trabalho trabalho
na em_o
escola escola
na em_o
família família
no em_o
bairro bairro
em em
vida vida
social social
é ser
lá lá
que que
eu eu
tenho ter
que que
implantar implantar
o o
reino reino
de de
Deus deus
você você
tem ter
que que
entender entender
isso isso
agora agora
escute escutar
isso isso
muito muito
importante importante
como como
Deus deus
trata tratar
o o
ser ser
humano humano
isso isso
aqui aqui
é ser
muito muito
importante importante
para para
você você
entender entender
como como
é ser
que que
Deus deus
trata tratar
o o
ser ser
humano humano
bem bem
se se
Deus deus
tratasse tratar
o o
ser ser
humano humano
apenas apenas
Como como
Um um
ser ser
espiritual espiritual
eu eu
não não
tava tava
falando falar
aqui aqui
do de_o
Cristão cristão
e e
a o
política política
eu eu
não não
estaria estar
falando falar
de de
relacionamentos relacionamento
pessoais pessoal
também também
não não
falaria falar
de de
casamento casamento
também também
não não
falaria falar
de de
sexualidade sexualidade
que que
tá estar
na em_o
Bíblia bíblia
também também
não não
falaria falar
de de
diversas diversos
temáticas temática
que que
envolve envolver
o o
ser ser
humano humano
a o
Bíblia bíblia
é ser
o o
maior grande
manual manual
de de
comportamento comportamento
humano humano
do de_o
mundo mundo
e e
Deus deus
trata tratar
o o
ser ser
humano humano
no em_o
Antigo antigo
e e
no em_o
Novo novo
Testamento testamento
Como como
Um um
ser ser
espiritual espiritual
biológico biológico
psicológico psicológico
e e
sociológico sociológico
são ser
os o
quatro quatro
mundos mundo
que que
pertencem pertencer
o o
ser ser
humano humano
se se
você você
tentar tentar
eliminar eliminar
um um
deles de_eles
você você
vai ir
ter ter
problema problema
e e
o o
que que
a o
bíblia bíblia
me eu
mostra mostrar
que que
o o
mundo mundo
espiritual espiritual
determina determinar
sobre sobre
os o
outros outro
mundos mundo
Mas mas
eles eles
existem existir
e e
olha olhar
como como
é ser
que que
Deus deus
trata tratar
o o
ser ser
humano humano
no em_o
mundo mundo
biológico biológico
psicológico psicológico
sociológico sociológico
espiritual espiritual
no em_o
antigo antigo
no em_o
Novo novo
Testamento testamento
ler ler
o o
livro livro
de de
Êxodo êxodo
no em_o
antigo antigo
testamento testamento
não não
vou ir
nem nem
citar citar
Versículo versículo
nem nem
texto texto
Quando quando
Deus deus
coloca colocar
o o
povo povo
no em_o
deserto deserto
Deus deus
faz fazer
com com
que que
água água
brote brotar
da de_o
Rocha rocha
e e
manda mandar
o o
Maná maná
mundo mundo
biológico biológico
O o
povo povo
tá estar
dividido dividir
em em
Príncipes príncipe
e e
povos povo
e e
tribos tribo
mundos mundo
sociológicos sociológico
Deus deus
manda mandar
fazer fazer
três três
festas festa
no em_o
deserto deserto
festa festar
alegria alegria
emoção emoção
mundo mundo
psicológico psicológico
a o
nuvem nuvem
de de
dia dia
e e
a o
Coluna coluna
de de
Fogo fogo
de de
noite noite
símbolo símbolo
da de_o
presença presença
de de
Deus deus
mundo mundo
espiritual espiritual
ah ah
lá lá
Deus deus
não não
tratou tratar
o o
povo povo
durante durante
40 40
anos ano
no em_o
deserto deserto
apenas apenas
como como
sendo ser
espiritual espiritual
tinha ter
água água
teve ter
comida comer
teve ter
tribo tribo
teve ter
alegria alegria
Teve ter
festa festa
no em_o
Novo novo
Testamento testamento
eu eu
citei citar
aqui aqui
e e
penso pensar
para para
você você
o o
que que
tá estar
em em
Mateus mateus
6 6
a a
partir partir
do de_o
Versículo versículo
25 25
não não
há haver
10 10
ansiosos ansioso
ansiedade ansiedade
mundo mundo
psicológico psicológico
pelo por_o
que que
a o
vez vez
de de
comer comer
nem nem
pelo por_o
que que
a o
vez vez
de de
beber beber
mundo mundo
biológico biológico
nem nem
quanto quanto
a a
vossa vosso
o o
vosso vosso
corpo corpo
pelo por_o
que que
a o
vez vez
de de
vestir vestir
mundo mundo
sociológico sociológico
e e
lá lá
no em_o
final final
Buscai buscai
primeiro primeiro
o o
reino reino
de de
Deus deus
e e
a o
sua seu
justiça justiça
e e
todas todo
essas esse
coisas coisa
não não
serão ser
acrescentadas acrescentar
mundo mundo
espiritual espiritual
tanto tanto
no em_o
antigo antigo
como como
um um
novo novo
testamento testamento
Deus deus
trata tratar
o o
ser ser
humano humano
como como
ser ser
espiritual espiritual
biológico biológico
psicológico psicológico
e e
sociológico sociológico
não não
vem vir
aqui aqui
dar dar
uma um
de de
anjo anjo
não não
vem vir
aqui aqui
dar dar
uma um
de de
que que
não não
eu eu
não não
quero querer
saber saber
de de
nada nada
da de_o
vida vida
é ser
então então
vou ir
fazer fazer
uma um
coisa coisa
aqui aqui
se se
o o
teu teu
patrão patrão
não não
depositar depositar
o o
fundo fundo
de de
garantia garantia
não não
pagar pagar
tuas tuas
horas hora
extras extra
Não não
entre entrar
na em_o
justiça justiça
contra contra
ele ele
porque porque
isso isso
é ser
reivindicação reivindicação
de de
cidadania cidadania
então então
não não
faça fazer
Não não
isso isso
aí aí
porcaria porcaria
se se
você você
tiver ter
sendo ser
ameaçado ameaçar
por por
alguém alguém
não não
vá ir
na em_o
polícia polícia
porque porque
isso isso
é ser
cidadania cidadania
não não
busque buscar
seus seu
direitos direito
porque porque
isso isso
é ser
cidadania cidadania
Então então
vamos ir
deixar deixar
de de
hipocrisia hipocrisia
não não
nós nós
não não
temos ter
nada nada
a a
ver ver
não não
quero querer
saber saber
nada nada
disso de_isso
isso isso
aí aí
política político
eu eu
não não
quero querer
saber saber
não não
Isso isso
faz fazer
parte parte
do de_o
mundo mundo
sociológico sociológico
eu eu
vou ir
te tu
mostrar mostrar
como como
é ser
que que
Deus deus
tratou tratar
o o
povo povo
dele de_ele
no em_o
antigo antigo
testamento testamento
quando quando
levou levar
o o
povo povo
para para
ficar ficar
70 70
anos ano
cativo cativar
na em_o
Babilônia babilônio
Deus deus
dá dar
oito oito
instruções instrução
para para
o o
povo povo
que que
ia ir
passar passar
um um
cativeiro cativeiro
numa em_um
terra terra
estranha estranho
imagina imaginar
na em_o
sua seu
própria próprio
Terra terra
Deus deus
dá dar
oito oito
instruções instrução
6 6
instruções instrução
sociais social
uma um
instrução instrução
social social
espiritual espiritual
e e
uma um
espiritual espiritual
vamos ir
acompanhar acompanhar
vamos ir
lá lá
para para
Jeremias jeremias
29 29
eu eu
vou ir
te tu
mostrar mostrar
aqui aqui
na em_o
Bíblia bíblia
o o
povo povo
Jeremias jeremias
Capítulo capítulo
29 29
do de_o
Versículo versículo
5 5
ao a_o
7 7
Olha olhar
o o
que que
que que
Deus deus
está estar
dizendo dizer
para para
o o
povo povo
fazendo fazer
a o
Babilônia babilônio
não não
tá estar
mandando mandar
só só
orar orar
só só
falar falar
com com
ele ele
olha olhar
aqui aqui
ó ó
vamos ir
lá lá
número número
um um
edificai edificai
casas casa
Quem quem
te tu
falou falar
que que
minha meu
casa casa
minha meu
vida vida
dos de_o
caras cara
agora agora
tem ter
mais mais
de de
dois dois
mil mil
anos ano
meu meu
brother brother
edificar edificar
em em
casa casa
por por
quê quê
casa casa
é ser
uma um
sólida sólido
base base
psicológica psicológico
e e
sociológica sociológico
de de
segurança segurança
uma um
família família
que que
tem ter
uma um
casa casa
a o
mulher mulher
se se
sente sentar
segura seguro
os o
filhos filho
se se
sentem sentar
seguro seguro
aqui aqui
ó ó
que que
Deus deus
mandou mandar
fazer fazer
isso isso
aqui aqui
não não
é ser
espiritual espiritual
não não
ó ó
edificar edificar
em em
casas casa
habitai habitai
Tome tomar
posse posse
não não
é ser
o o
MST mst
não não
é ser
você você
que que
tem ter
que que
tomar tomar
posse posse
da de_o
casa casa
ó ó
terceiro terceiro
plantar plantar
em em
jardins jardim
sejam ser
produtivos produtivo
comer comer
o o
seu seu
fruto fruto
usufrua usufruir
daquilo de_aquilo
que que
você você
produz produzir
5 5
tomai tomar
mulheres mulher
e e
gerar gerar
filhos filho
e e
filhas filha
tomar tomar
mulheres mulher
para para
vossos vosso
filhos filho
e e
daí de_aí
vossas vossas
filhas filha
a a
maridos marido
para para
que que
tenham ter
filhos filho
e e
filhas filha
multiplicai multiplicai
-vos vós
ali ali
não não
vos vós
diminuais diminuais
cresçam crescer
ó ó
sexto sexto
tô tô
te tu
mostrando mostrar
Meu meu
irmãozão irmãozão
versículo versículo
7 7
procurar procurar
e e
a o
paz paz
da de_o
cidade cidade
para para
onde onde
vos vós
fiz fazer
transportar transportar
influencie influenciar
positivamente positivamente
no em_o
lugar lugar
que que
você você
está estar
que que
você você
mora morar
na em_o
cidade cidade
que que
você você
está estar
agora agora
ó ó
Isso isso
aqui aqui
tudo tudo
seis seis
instruções instrução
sociais social
agora agora
uma um
social social
espiritual espiritual
orai orar
por por
ela ela
ao a_o
Senhor senhor
porque porque
na em_o
sua seu
paz paz
vós vós
tereis ter
paz paz
uma um
instrução instrução
social social
e e
espiritual espiritual
Olha olhar
o o
que que
que que
ele ele
tá estar
dizendo dizer
aqui aqui
escute escutar
pais pai
pessoal pessoal
que que
eu eu
acabei acabar
de de
falar falar
repete repetir
pessoal pessoal
essa esse
aqui aqui
interna interno
Jesus jesus
dá dar
como como
ninguém ninguém
dá dar
deixe deixar
-vos vós
a a
minha meu
paz paz
a a
minha meu
paz paz
vos vós
dou dar
e e
não não
volador volador
como como
o o
mundo mundo
dá dar
essa esse
paz paz
interior interior
que que
faz fazer
você você
ter ter
equilíbrio equilíbrio
no em_o
meio meio
da de_o
tempestade tempestade
da de_o
luta luta
agora agora
paz paz
pessoal pessoal
agora agora
vou ir
mudar mudar
e e
você você
vai ir
repetir repetir
paz paz
social social
mais mais
uma um
vez vez
então então
nós nós
temos ter
a o
paz paz
pessoal pessoal
e e
a o
paz paz
social social
pais pai
pessoal pessoal
perfeita perfeito
completa completo
é ser
quando quando
Jesus jesus
habita habitar
na em_o
sua seu
vida vida
ele ele
traz trazer
a a
você você
algo algo
que que
ninguém ninguém
consegue conseguir
isso isso
aí aí
é ser
a o
parte parte
pessoal pessoal
Agora agora
eu eu
mudei mudar
paz paz
social social
sabe saber
como como
é ser
que que
é ser
produzida produzir
pela por_o
oração oração
do de_o
povo povo
de de
Deus deus
significa significar
que que
se se
numa em_um
cidade cidade
numa em_um
nação nação
não não
a o
paz paz
social social
o o
povo povo
de de
Deus deus
está estar
falhando falhar
na em_o
oração oração
eu eu
tô tô
com com
a o
Bíblia bíblia
meu meu
irmão irmão
oreis oreis
pela por_o
paz paz
da de_o
cidade cidade
porque porque
na em_o
sua seu
paz paz
vós vós
tereis ter
que que
que que
ele ele
tá estar
dizendo dizer
que que
que que
Deus deus
está estar
dizendo dizer
social social
é ser
essa esse
bem bem
eu eu
pergunto perguntar
a a
você você
se se
tiver ter
roubo roubo
a a
mão mão
armada armar
tem ter
pai pai
se se
tiver ter
rouba roubar
carro carro
tem ter
pai pai
se se
narcotráfico narcotráfico
tiver ter
operando operar
tem ter
paz paz
se se
tiver ter
guerra guerra
do de_o
narcotráfico narcotráfico
tem ter
paz paz
se se
tem ter
assaltante assaltante
falar falar
e e
para para
cá cá
tem ter
pai pai
Então então
olha olhar
o o
que que
Deus deus
está estar
dizendo dizer
Orem orar
pela por_o
paz paz
da de_o
cidade cidade
porque porque
se se
a o
cidade cidade
tiver ter
paz paz
você você
vai ir
ter ter
paz paz
essa esse
paz paz
social social
isso isso
é ser
de de
você você
andar andar
tranquilo tranquilo
na em_o
rua rua
não não
tem ter
medo medo
de de
andar andar
11 11
horas hora
da de_o
noite noite
não não
tem ter
medo medo
de de
pegar pegar
um um
ônibus ônibus
não não
ficar ficar
com com
medo medo
de de
acertar acertar
as o
áreas área
onde onde
o o
crime crime
organizado organizar
domina dominar
tô tô
te tu
mostrando mostrar
a o
Bíblia bíblia
e e
uma um
instrução instrução
espiritual espiritual
exclusivamente exclusivamente
espiritual espiritual
que que
tá estar
no em_o
Versículo versículo
13 13
buscar-me-eis buscar-me-eis
e e
me eu
achareis achar
quando quando
me eu
buscardes buscardes
de de
todo todo
o o
vosso vosso
coração coração
uma um
instrução instrução
exclusiva exclusivo
espiritual espiritual
de de
oito oito
instruções instrução
gente gente
como como
é ser
que que
você você
vai ir
ser ser
uma um
alienado alienado
social social
em em
uma um
alienado alienar
da de_o
sua seu
cidadania cidadania
terrena terreno
quando quando
o o
próprio próprio
Deus deus
preocupado preocupar
com com
o o
bem-estar bem-estar
do de_o
seu seu
povo povo
da de_o
instruções instrução
sociais social
tô tô
te tu
mostrando mostrar
meu meu
irmão irmão
não não
tô tô
inventando inventar
conta conta
da de_o
Carochinha carocha
Eu eu
Tô tô
mostrando mostrar
para para
você você
Bíblia bíblia
agora agora
escute escutar
essa esse
O o
equívoco equívoco
de de
cristãos cristão
sobre sobre
a o
questão questão
Ai ai
irmão irmão
eu eu
ouvi ouvir
isso isso
quando quando
vocês você
sabem saber
né né
eu eu
tenho ter
mesmo mesmo
que que
não não
pareça parecer
eu eu
tenho ter
64 64
anos ano
eu eu
sei saber
que que
é ser
difícil difícil
acreditar acreditar
mas mas
eu eu
tenho ter
64 64
anos ano
quando quando
eu eu
nasci nascer
meu meu
pai pai
já já
era ser
crente crente
há há
17 17
anos ano
eu eu
sou ser
de de
uma um
família família
tradicional tradicional
com com
mais mais
de de
300 300
evangélicos evangélico
eu eu
sou ser
a o
segunda segundo
geração geração
de de
Pastores pastor
com com
meus meu
primos primo
e e
já já
tem ter
a o
terceira terceiro
que que
é ser
meu meu
filho filho
e e
os o
filhos filho
dos de_o
meus meu
primos primo
então então
eu eu
tô tô
na em_o
igreja igreja
evangélica evangélico
Quando quando
eu eu
me eu
entendi entender
por por
gente gente
eu eu
tava tava
dentro dentro
da de_o
igreja igreja
quantas quantar
vezes vez
eu eu
vi ver
pastores pastor
não não
é ser
o o
povo povo
não não
dizer dizer
a o
política política
do de_o
diabo diabo
quando quando
o o
povo povo
de de
Deus deus
entrega entregar
uma um
coisa coisa
ao a_o
diabo diabo
não não
tem ter
mais mais
não não
tem ter
irmão irmão
entregamos entregar
ao a_o
capeta capeta
Eu eu
acho achar
que que
o o
capeta capeta
diz dizer
para para
Jeová jeová
assim assim
ó ó
não não
precisamos precisar
brigar brigar
não não
porque porque
o o
pessoal pessoal
lá lá
na em_o
terra terra
já já
me eu
entregou entregar
onde onde
é ser
que que
está estar
na em_o
Bíblia bíblia
que que
a o
política política
do de_o
diabo diabo
Qual qual
é ser
o o
versículo versículo
que que
tá estar
na em_o
Bíblia bíblia
você você
não não
pode poder
afirmar afirmar
uma um
coisa coisa
que que
a o
bíblia bíblia
Não não
afirma afirmar
a o
Bíblia bíblia
só só
afirma afirmar
uma um
coisa coisa
que que
é ser
do de_o
diabo diabo
e e
ele ele
é ser
o o
autor autor
João joão
8:44 @card@
Satanás satanás
é ser
o o
pai pai
o o
criador criador
o o
patrono patrono
da de_o
mentira mentira
é ser
a o
única único
coisa coisa
que que
a o
bíblia bíblia
atribui atribuir
a a
ele ele
Como como
criação criação
e e
como como
patrono patronar
Que que
negócio negócio
é ser
de de
que que
a o
política política
do de_o
diabo diabo
agora agora
tem ter
uma um
outra outro
afirmação afirmação
esse esse
mundo mundo
não não
tem ter
nada nada
para para
nós nós
que que
mundo mundo
é ser
esse esse
tem ter
que que
definir definir
a o
palavra palavra
mundo mundo
o o
que que
que que
é ser
esse esse
mundo mundo
não não
tem ter
nada nada
só só
falta faltar
botar botar
uma um
música música
tem ter
uma um
gargalhada gargalhar
de de
fundo fundo
esse esse
mundo mundo
não não
tem ter
nada nada
para para
nós nós
Almas alma
interplanetárias interplanetário
que que
mundo mundo
é ser
esse esse
que que
não não
tem ter
nada nada
para para
nós nós
o o
mundo mundo
que que
não não
tem ter
nada nada
para para
nós nós
é ser
aquele aquele
de de
primeira primeira
João joão
5:19 @card@
o o
mundo mundo
jaz jazer
no em_o
maligno maligno
isso isso
é ser
o o
sistema sistema
que que
Satanás satanás
controla controlar
prostituição prostituição
Adultério adultério
roubo roubo
safadeza safadeza
devassidão devassidão
moral moral
hã hã
pedofilia pedofilia
todo todo
tipo tipo
de de
lixo lixo
moral moral
esse esse
mundo mundo
não não
tem ter
nada nada
para para
nós nós
agora agora
mundo mundo
planeta planeta
terra terra
Salmo salmo
24 24
do de_o
senhor senhor
é ser
a o
terra terra
a a
sua seu
plenitude plenitude
o o
mundo mundo
e e
aqueles aquele
que que
nele em_ele
habitam habitar
o o
Salmo salmo
115 115
Versículo versículo
16 16
diz dizer
que que
os o
céus céu
são ser
os o
céus céu
do de_o
senhor senhor
a o
terra terra
ele ele
deu dar
aos a_o
filhos filho
dos de_o
homens homem
que que
conversa conversa
afiada afiado
é ser
essa esse
quando quando
Jesus jesus
declara declarar
em em
João joão
10:10 @card@
eu eu
vim vir
para para
que que
tenham ter
vida vida
e e
vida vida
em em
abundância abundância
vida vida
abundante abundante
começa começar
no em_o
planeta planeta
Terra terra
Que que
conversa conversa
é ser
essa esse
que que
o o
mundo mundo
não não
tem ter
nada nada
para para
nós nós
que que
mundo mundo
é ser
esse esse
que que
contexto contexto
bíblico bíblico
é ser
esse esse
equivocado equivocar
o o
mundo mundo
tem ter
sim sim
para para
você você
viver viver
bem bem
aqui aqui
lembra lembrar
da de_o
instrução instrução
de de
Jeremias jeremias
29 29
como como
é ser
que que
não não
tem ter
tem ter
quem quem
não não
quer querer
morar morar
numa em_um
casa casa
boa bom
tem ter
alguém alguém
aqui aqui
que que
não não
quer querer
não não
pastor pastor
qualquer qualquer
barraco barraco
de de
madeira madeira
serve servir
eu eu
nunca nunca
vi ver
ninguém ninguém
Orar orar
Senhor senhor
me eu
dá dar
um um
barraco barraco
de de
madeira madeira
com com
telhas telha
furadas furar
para para
eu eu
sentir sentir
o o
pingo pingo
das de_o
Águas águas
me eu
dá dar
um um
barraco barraco
para para
que que
eu eu
