abra abrir
mesmo mesmo
e e
com com
o o
mundo mundo
que que
as elas
envolve envolver
é ser
por por
isso isso
que que
rico rico
dá dar
tiro tiro
na em_o
cabeça cabeça
e e
por por
isso isso
que que
o o
cara cara
pode poder
ser ser
bilionário bilionário
e e
toma tomar
remédio remédio
tarja tarja
preta preto
sabe saber
para para
poder poder
dormir dormir
e e
qualquer qualquer
barulho barulho
acorda acordar
e e
você você
meu meu
filho filho
se se
o o
ladrão ladrão
entrar entrar
carrega carregar
com com
cama cama
e e
tudo tudo
até até
porque porque
a o
questão questão
é ser
o o
ter ter
é ser
o o
ser ser
agora agora
olha olhar
que que
coisa coisa
interessante interessante
vocês você
tudo tudo
pode poder
acabar acabar
tendo ter
olha olhar
que que
diz dizer
provérbios provérbio
11 11
25 25
a o
alma alma
generosa generoso
ser ser
prosperará prosperar
ter ter
você você
que que
até até
seja ser
você você
até até
seja ser
seja ser
primeiro primeiro
meu meu
filho filho
inverte inverter
essa esse
posição posição
porque porque
essa esse
posição posição
que que
você você
tem ter
em em
relação relação
a a
você você
ea ea
vida vida
você você
está estar
equivocado equivocar
porque porque
o o
t t
pode poder
gerar gerar
na em_o
pessoa pessoa
algo algo
tão tão
estúpido estúpido
que que
a o
bíblia bíblia
diz dizer
que que
a o
ganância ganância
do de_o
te tu
faz fazer
pessoas pessoa
se se
transpassarem transpassar
a a
si si
mesmo mesmo
pela por_o
ganância ganância
do de_o
desse dessar
mata mata
pela por_o
ganância ganância
do de_o
t t
se se
destroem destruir
relacionamentos relacionamento
família família
amizade amizade
pela por_o
ganância ganância
do de_o
t t
não não
é ser
pelos por_o
e e
é ser
pelo por_o
ter ter
então então
aqui aqui
vai ir
o o
meu meu
primeiro primeiro
conselho conselho
pra pra
você você
já já
que que
eu eu
falei falar
que que
o o
shea shea
é ser
tão tão
importante importante
então então
o o
segundo segundo
eu eu
tô tô
é ser
élin élin
cantando cantar
o o
segundo segundo
é ser
esse esse
aqui aqui
cuide cuidar
de de
você você
cuide cuidar
de de
você você
tem ter
gente gente
cuida cuidar
tanto tanto
da de_o
vida vida
nos em_o
olhos olho
descascada descascar
ele ele
eu eu
vou ir
te tu
dar dar
quatro quatro
motivos motivo
por por
que que
você você
deve dever
cuidar cuidar
de de
você você
tem ter
vários vários
moto moto
quatro quatro
eu eu
vou ir
dar dar
pra pra
você você
quatro quatro
motivos motivo
porque porque
você você
tem ter
que que
cuidar cuidar
de de
você você
o o
primeiro primeiro
é ser
que que
lá lá
e e
mateus mateus
22 22
39 39
quando quando
perguntaram perguntar
a a
jesus jesus
que que
eram ser
os o
maiores grande
mandamento mandamento
de de
jesus jesus
e e
olha olhar
amar amar
a a
deus deus
sobre sobre
todas todo
as o
coisas coisa
e e
o o
semelhante semelhante
a a
esse esse
é ser
amar amar
o o
próximo próximo
como como
a a
ti tu
mesmo mesmo
se se
você você
não não
se se
amar amar
você você
não não
ama amar
ninguém ninguém
porque porque
tem ter
pessoas pessoa
afirmam afirmar
que que
brinca brincar
com com
todo todo
mundo mundo
que que
se se
aborrece aborrecer
com com
todo todo
mundo mundo
que que
ninguém ninguém
presta prestar
não não
se se
relaciona relacionar
com com
ninguém ninguém
o o
relacionamento relacionamento
fraga fraga
porque porque
o o
problema problema
é ser
ele ele
é ser
como como
ele ele
se se
vê ver
é ser
como como
ele ele
está estar
com com
ele ele
você você
tem ter
que que
se se
amar amar
eu eu
me eu
amo amar
não não
fazem fazer
isso isso
há haver
séculos século
é ser
não não
só só
não não
será ser
exagero exagero
a a
mas mas
se se
você você
não não
se se
considera considerar
se se
você você
vai ir
considerar considerar
ninguém ninguém
é ser
amar amar
o o
próximo próximo
como como
a a
ti tu
mesmo mesmo
eu eu
não não
posso poder
amar amar
ninguém ninguém
além além
do de_o
que que
eu eu
me eu
amo amo
é ser
o o
que que
o o
texto texto
dizendo dizer
uma um
outra outro
dica dica
eu eu
discordar discordar
quatro quatro
dicas dica
porque porque
você você
tem ter
que que
cuidar cuidar
de de
você você
e e
essa esse
segunda segunda
é ser
muito muito
importante importante
é ser
que que
você você
é ser
templo templo
gente gente
isso isso
aqui aqui
é ser
muito muito
profundo profundo
isso isso
aqui aqui
é ser
muito muito
grande grande
você você
é ser
templo templo
do de_o
espírito espírito
santo santo
você você
habitação habitação
de de
deus deus
deus deus
habita habitar
nessa em_esse
carcaça carcaça
e e
então então
você você
tem ter
que que
cuidar cuidar
muito muito
bem bem
dela de_ela
porque porque
ela ela
é ser
casa casa
de de
deus deus
que que
coisa coisa
incrível incrível
o o
apóstolo apóstolo
paulo paulo
fala falar
em em
primeira primeiro
coríntios coríntio
3 3
16 16
17 17
olha olhar
não não
sabeis saber
que que
o o
vosso vosso
corpo corpo
é ser
o o
templo templo
de de
deus deus
o o
deus deus
que que
é ser
santo santo
habita habitar
em em
você você
aquele aquele
que que
destruiu destruir
o o
templo templo
de de
deus deus
deus deus
destruirá destruir
a o
coisa coisa
grave grave
o o
teu teu
corpo corpo
é ser
o o
templo templo
do de_o
espírito espírito
santo santo
e e
habitação habitação
de de
dantas danta
tem ter
cuidando cuidar
bem bem
disso de_isso
meu meu
irmão irmão
porque porque
o o
diabo diabo
é ser
doido doido
pra pra
pegar pegar
esse esse
lugar lugar
que que
pertence pertencer
a a
deus deus
o o
chifrudo chifrudo
meu meu
filho filho
anda andar
rodando rodar
pra para_o
cima cima
e e
pra pra
baixo baixo
pra para_o
manga manga
como como
o o
leão leão
busca buscar
quem quem
possa poder
tragar tragar
porque porque
ele ele
quer querer
habitar habitar
no em_o
teu teu
corpo corpo
talvez talvez
você você
nunca nunca
ouviu ouvir
isso isso
mas mas
o o
total total
veio vir
pela por_o
primeira primeiro
vez vez
deus deus
fez fazer
o o
homem homem
ele ele
que que
habita habitar
em em
você você
o o
espírito espírito
santo santo
que que
é ser
uma um
das de_o
personalidades personalidade
da de_o
trindade trindade
que que
habita habitar
em em
você você
você você
é ser
templo templo
do de_o
espírito espírito
santo santo
a o
terceira terceiro
dica dica
porque porque
você você
tem ter
que que
cuidar cuidar
de de
você você
o o
apóstolo apóstolo
paulo paulo
dizem dizer
segunda segundo
corinthians corinthians
32 32
que que
nós nós
somos ser
uma um
carta carta
aberta abrir
lita litar
pelo por_o
mundo mundo
a o
maneira maneira
que que
eu eu
sou ser
é ser
um um
testemunho testemunho
vivo vivo
de de
quem quem
o o
show show
a a
minha meu
vida vida
o o
meu meu
corpo corpo
eu eu
tô tô
dando dar
testemunho testemunho
às a_o
pessoas pessoa
de de
que que
o o
show show
só só
anda andar
sujo sujo
é ser
pouco pouco
não não
vai ir
tomar tomar
banho banho
não não
pode poder
escovar escovar
os o
dentes dente
e e
quer querer
pregar pregar
o o
evangelho evangelho
ninguém ninguém
aguenta aguentar
te tu
ouvir ouvir
isso isso
levantar levantar
o o
braço braço
cai cair
3 3
mas mas
não não
é ser
pelo por_o
poder poder
de de
deus deus
é ser
pelusso pelusso
vácuo vácuo
dizer dizer
então então
fedorento fedorento
sabe saber
eu eu
estou estar
falando falar
aqui aqui
se se
eu eu
estou estar
falando falar
aqui aqui
tem ter
cuspe cuspe
eu eu
tô tô
falando falar
então então
eu eu
carrego carregar
porque porque
quando quando
acaba acabar
o o
culto culto
intenções intenção
falar falar
comigo com_eu
intenções intenção
falar falar
comigo com_eu
ninguém ninguém
é ser
obrigado obrigar
a a
aguentar agüentar
meu meu
bairro bairro
eu eu
tô tô
falando falar
aqui aqui
na em_o
minha meu
boca boca
tem ter
saliva saliva
ó ó
eu eu
tenho ter
cravo cravo
quando quando
acaba acabar
de de
entregar entregar
em em
qualquer qualquer
lugar lugar
eu eu
boto botar
23 23
cravos cravo
na em_o
minha meu
boca boca
os o
irmãos irmão
é ser
obrigado obrigar
agora agora
agüenta agüenta
vem vir
falar falar
comigo com_eu
passou passar
da de_o
distância distância
por por
favor favor
é ser
uma um
distância distância
assim assim
não não
só só
não não
me eu
leve levar
a a
mal mal
é ser
só só
uma um
distância distância
pra para_o
gente gente
poder poder
conversar conversar
melhor melhor
sabe saber
tem ter
gente gente
que que
não não
está estar
nem nem
aí aí
após após
a o
kyodo kyodo
a a
com com
os o
cravinhos cravo
porque porque
eu eu
acabo acabar
de de
falar falar
eu eu
tô tô
falando falar
sem sem
saliva saliva
na em_o
minha meu
boca boca
tô tô
falando falar
40 40
minutos minuto
50 50
minutos minuto
e e
totó totó
tem ter
que que
cuidar cuidar
da de_o
apaf apaf
uma um
roupinha roupa
passada passado
minha meu
mulher mulher
sabe saber
com com
todo todo
respeito respeito
às a_o
senhoras senhor
com com
todo todo
o o
respeito respeito
a a
todas todo
as o
senhoras senhor
aqui aqui
aqui aqui
tem ter
poucas pouco
mulheres mulher
que que
passam passar
um um
terno terno
como como
eu eu
pode poder
perguntar perguntar
na em_o
minha meu
mão mão
eu eu
quando quando
viajo viajar
sem sem
ela ela
eu eu
tenho ter
um um
tem ter
um um
ferro ferro
na em_o
minha meu
mala mala
não não
pode poder
andar andar
amarrotado amarrotar
chega chegar
todo todo
todo todo
o o
meu meu
show show
de de
onde onde
esse esse
homem homem
ele ele
vem vir
da de_o
guerra guerra
o o
pastor pastor
chegou chegar
o o
cara cara
tá estar
toda todo
já já
viciada viciado
que que
eu eu
fico ficar
com com
vergonha vergonha
o o
pai pai
lhe ele
todo todo
o o
cara cara
tem ter
10 10
dobras dobra
e e
não não
é ser
moda moda
é ser
de de
dobra dobra
o o
terno terno
calça calçar
toda todo
amarrotada amarrotar
camisa camisa
toda todo
amarrotada amarrotar
não não
que que
que que
é ser
isso isso
a a
minha meu
vida vida
está estar
mostrando mostrar
aos a_o
outros outro
o o
testemunho testemunho
de de
cuidar cuidar
de de
mim eu
eu eu
não não
estou estar
a a
falar falar
quarto quarto
é ser
por por
isso isso
que que
eu eu
já já
fiz fazer
dez dez
lipoaspiração lipoaspiração
vou ir
te tu
internar internar
vai ir
psiquiatra psiquiatra
já já
o o
outro outro
problema problema
aí aí
é ser
excesso excesso
de de
vaidade vaidade
não não
20 20
gramas grama
aumentou aumentar
aqui aqui
eu eu
não não
suporto suportar
20 20
grama grama
não não
posso poder
vídeo vídeo
tem ter
que que
voltar voltar
no em_o
médico médico
com com
a o
vergonha vergonha
nessa em_esse
cara cara
já já
operou operar
10 10
a o
cara cara
que que
parece parecer
que que
tá estar
rindo rir
o o
tempo tempo
todo todo
mas mas
até até
que que
botar botar
um um
torniquete torniquete
foi ser
assim assim
a o
volks volks
é ser
mais mais
um um
problema problema
o o
que que
essa esse
mulher mulher
tá estar
rindo rir
do de_o
quê quê
não não
não não
já já
fez fazer
200 200
plástica plástico
é ser
eu eu
já já
uma um
voz voz
a ela
deve dever
cuidar cuidar
se se
porque porque
a o
sua seu
vida vida
um um
testemunho testemunho
opel opel
é ser
um um
detalhe detalhe
que que
tem ter
eu eu
sou ser
pobre pobre
mas mas
o o
limpinho limpo
pobreza pobreza
não não
é ser
seguir seguir
não não
é ser
sinônimo sinônimo
de de
sujeira sujeira
ok ok
então então
você você
deve dever
cuidar cuidar
porque porque
você você
é ser
um um
ser ser
social social
em em
último último
lugar lugar
porque porque
você você
deve dever
cuidar cuidar
de de
você você
porque porque
como como
o o
cheiro cheiro
humano humano
normal normal
você você
tem ter
necessidade necessidade
disso de_isso
aqui aqui
ó ó
aprovação aprovação
à a_o
aceitação aceitação
e e
afeição afeição
são ser
necessidades necessidade
psicológicas psicológico
emotivas emotivo
emocional emocional
do de_o
ser ser
humano humano
então então
o o
cheiro cheiro
humano humano
ele ele
tem ter
essa esse
é ser
a o
natureza natureza
humana humano
você você
tem ter
de de
ser ser
aceito aceitar
de de
se se
aprovado aprovar
de de
a o
fé fé
como como
você você
vai ir
receber receber
essas esse
coisas coisa
se se
você você
não não
cuida cuidar
de de
você você
como como
eu eu
tô tô
dando dar
aqui aqui
meu meu
filho filho
o o
beabá beabá
zinho zinho
porque porque
tem ter
mais mais
tem ter
muito muito
mais muito
motivos motivo
por por
que que
você você
deve dever
cuidar cuidar
de de
você você
mas mas
eu eu
te tu
dei dar
aqui aqui
um um
como como
diz dizer
o o
pessoal pessoal
basiquinho basiquinho
pra pra
você você
saber saber
ok ok
só só
posso poder
amar amar
os o
outros outro
na em_o
dimensão dimensão
que que
eu eu
me eu
amo amar
o o
meu meu
corpo corpo
é ser
templo templo
do de_o
espírito espírito
santo santo
a a
minha meu
vida vida
como como
um um
todo todo
é ser
um um
testemunho testemunho
para para
outras outro
pessoas pessoa
e e
eu eu
sou ser
um um
ser ser
humano humano
normal normal
que que
tem ter
necessidade necessidade
de de
aceitação aceitação
aprovação aprovação
e e
afeição afeição
como como
é ser
que que
uma um
pessoa pessoa
vai ir
ter ter
a o
feição feição
a a
você você
se se
você você
anda andar
sujos sujo
e e
andar andar
pouco pouco
se se
você você
anda andar
maltrapilho maltrapilho
não não
tem ter
como como
o o
terceiro terceiro
concelho concelho
que que
eu eu
quero querer
te tu
dar dar
um um
número número
3 3
escuta escutar
essa esse
aqui aqui
meu meu
filho filho
aprenda aprender
a a
aceitar aceitar
o o
outro outro
o o
maior grande
exemplo exemplo
disso de_isso
é ser
deus deus
para para
conosco conosco
a o
bíblia bíblia
diz dizer
em em
mateus mateu
desculpe desculpar
romanos romano
58 58
que que
deus deus
prova provar
o o
seu seu
amor amor
para para
conosco conosco
pelo por_o
fato fato
de de
cristo cristo
jesus jesus
ter ter
morrido morrer
por por
nós nós
sendo ser
nós nós
ainda ainda
pecadores pecador
quer quer
dizer dizer
deus deus
me eu
aceitou aceitar
na em_o
hora hora
que que
eu eu
passei passar
a a
ser ser
santinho santo
não não
deus deus
me eu
aceitou aceitar
el el
como como
pecador pecador
então então
aprenda aprender
a a
aceitar aceitar
o o
outro outro
só só
porque porque
porque porque
você você
tem ter
valor valor
com com
seus seu
defeitos defeito
e e
suas seu
virtudes virtude
você você
tem ter
valor valor
todo todo
ser ser
humano humano
tem ter
valor valor
com com
seus seu
defeitos defeito
e e
com com
suas seu
virtudes virtude
você você
tem ter
que que
entender entender
isso isso
já já
botou botar
o o
outro outro
lá lá
a a
não não
votar votar
mesmo mesmo
que que
acabei acabar
de de
falar falar
um um
pouco pouco
diferente diferente
outra outro
coisa coisa
a o
aceitação aceitação
significa significar
que que
você você
tem ter
valor valor
como como
é ser
com com
suas seu
virtudes virtude
e e
defeitos defeito
certa certo
aceitação aceitação
escute escutar
isto isto
aqui aqui
é ser
muito muito
interessante interessante
significa significar
que que
você você
pode poder
experimentar experimentar
suas seu
idéias idéia
sem sem
ser ser
ridicularizado ridicularizar
aceitação aceitação
é ser
que que
o o
grupo grupo
que que
você você
tá estar
mesmo mesmo
que que
seja ser
estranho estranho
que que
a o
pessoa pessoa
está estar
falando falar
que que
você você
não não
concorde concorde
com com
mágoa mágoa
que que
é ser
o o
próximo próximo
que que
eu eu
vou ir
falar falar
mas mas
a o
pessoa pessoa
se se
sente sentar
de de
que que
ela ela
pode poder
falar falar
mesmo mesmo
que que
esteja estar
falando falar
asneira asneiro
é ser
bobagem bobagem
não não
é ser
por por
causa causa
disso de_isso
que que
ela ela
não não
vai ir
ser ser
aceita aceito
em em
outra outro
coisa coisa
aceitar aceitar
o o
outro outro
não não
significa significar
concordar concordar
com com
que que
ele ele
é ser
e e
com com
que que
ele ele
pensa pensar
aceitar aceitar
o o
outro outro
indica indicar
que que
eu eu
reconheço reconhecer
que que
você você
meu meu
semelhante semelhante
tem ter
gente gente
que que
pensa pensar
que que
aceitar aceitar
o o
outro outro
é ser
não não
eu eu
aceito aceitar
você você
desculpa desculpar
que que
o o
movimento movimento
gay gay
que que
quer querer
colocar colocar
na em_o
sociedade sociedade
aceitar aceitar
o o
cara cara
eu eu
aceito aceitar
como como
pessoal pessoal
bota botar
sua seu
prática prática
alguém alguém
pode poder
me eu
aceitar aceitar
como como
pessoa pessoa
mas mas
discordar discordar
da de_o
minha meu
prática prática
religiosa religioso
é ser
o o
que que
eu eu
falei falar
um um
dia dia
desses de_esse
no em_o
twitter twitter
que que
estado estado
democrático democrático
é ser
esse esse
que que
você você
tem ter
que que
aceitar aceitar
o o
que que
o o
outro outro
pensa pensar
o o
que que
o o
outro outro
é ser
e e
se se
calar calar
eu eu
posso poder
aceitar aceitar
uma um
pessoa pessoa
mas mas
não não
aceitar aceitar
a o
ideologia ideologia
política político
eu eu
posso poder
aceitar aceitar
você você
com com
pessoa pessoa
mas mas
não não
aceitar aceitar
sua seu
religiosidade religiosidade
eu eu
posso poder
aceitar aceitar
você você
como como
pessoa pessoa
mas mas
discordar discordar
da de_o
sua seu
prática prática
sexual sexual
que que
conversa conversa
é ser
essa esse
a a
aceitar aceitar
a o
pessoa pessoa
não não
significa significar
concordar concordar
com com
que que
ela ela
é ser
e e
com com
que que
ela ela
pensa pensar
a a
reconhecer reconhecer
que que
é ser
um um
ser ser
humano humano
que que
tem ter
valor valor
escute escutar
isso isso
que que
eu eu
vou ir
te tu
falar falar
que que
é ser
importante importante
recuse recusar
todas todo
as o
tentações tentação
para para
ser ser
uma um
pessoa pessoa
própria próprio
potente potente
e e
destruidora destruidor
de de
outro outro
recuse recusar
recuse recusar
toda todo
tentação tentação
de de
você você
ser ser
uma um
pessoa pessoa
prepotente prepotente
e e
destruidora destruidor
de de
ouro ouro
que que
tem ter
gente gente
que que
tem ter
o o
prazer prazer
é ser
ladrão ladrão
de de
alegria alegria
tem ter
prazer prazer
de de
menosprezar menosprezar
de de
um um
milhar milhar
de de
pisar pisar
de de
massacrar massacrar
e e
coisa coisa
mais mais
trechos trecho
quando quando
você você
vem vir
estudando estudar
a o
família família
que que
é ser
o o
último último
reduto reduto
de de
segurança segurança
emocional emocional
psíquica psíquico
de de
um um
ser ser
humano humano
lá lá
dentro dentro
da de_o
família família
o o
cara cara
é ser
pesado pesar
é ser
humilhado humilhar
há haver
até até
a o
coisa coisa
que que
um um
pai pai
pode poder
fazer fazer
é ser
mostrar mostrar
preferência preferência
por por
um um
vírus vírus
e e
desprezo desprezo
por por
outro outro
se se
a o
coisa coisa
mais mais
horrível horrível
por por
favor favor
entenda entender
uma um
coisa coisa
é ser
você você
privilegiar privilegiar
a o
lealdade lealdade
à a_o
fidelidade fidelidade
exemplo exemplo
você você
tem ter
um um
filho filho
que que
se se
arrebenta arrebentar
para para
estudar estudar
toda todo
num em_um
exemplo exemplo
passa passar
num em_um
curso curso
de de
medicina medicina
a a
e e
aí aí
você você
tem ter
todo todo
o o
seu seu
esforço esforço
porque porque
é ser
longe longe
a o
faculdade faculdade
você você
compra comprar
um um
carrinho carro
pra pra
ele ele
agora agora
tem ter
outro outro
filho filho
que que
a a
vagabundo vagabundo
não não
gosta gostar
de de
trabalhar trabalhar
não não
gostar gostar
pai pai
o o
som som
de de
um um
carro carro
pode poder
ajudar ajudar
pra pra
mim eu
não não
não não
isso isso
não não
é ser
bom bom
aí aí
nós nós
não não
estamos estar
falando falar
que que
você você
está estar
fazendo fazer
tratamento tratamento
diferenciado diferenciar
de de
beneficial beneficial
e e
prejudicar prejudicar
outro outro
não não
você você
está estar
premiando premiar
o o
trabalho trabalho
a a
maneira maneira
eo eo
jeito jeito
da de_o
pessoa pessoa
ser ser
agora agora
se se
com com
esse esse
que que
tá estar
fazendo fazer
medicina medicina
e e
que que
você você
com com
esforço esforço
comprou comprar
um um
carrinho carro
porque porque
ele ele
tem ter
e e
duas dois
horas hora
e e
um um
ok ok
não não
quero querer
você você
não não
deu dar
nada nada
mas mas
esse esse
aqui aqui
você você
abraça abraçar
e e
me eu
beija beijar
e e
outro outro
sai sair
fora fora
na em_o
mão mão
um um
abraço abraço
não não
têm ter
vez vez
não não
aqui aqui
você você
errou errar
aqui aqui
mas mas
errou errar
o o
seu seu
tratamento tratamento
afetivo afetivo
o o
outro outro
é ser
estímulo estímulo
comportamental comportamental
e e
obedece obedecer
até até
deus deus
trabalha trabalhar
assim assim
você você
obedece obedecer
você você
é ser
leão leão
então então
eu eu
vou ir
te tu
dar dar
benção benção
você você
não não
é ser
como como
aqui aqui
a o
correção correção
é ser
o o
que que
você você
tem ter
que que
fazer fazer
com com
a o
sua seu
família família
agora agora
que que
eu eu
tô tô
vendo ver
na em_o
igreja igreja
fala falar
forte forte
é ser
gente gente
privilegiar privilegiar
filho filho
vagabundo vagabundo
safado safar
porque porque
um um
sambarilove sambarilove
canta cantar
nas em_o
orelhas orelha
da de_o
mamãe mamãe
já já
aprendeu aprender
mas mas
e e
de de
manipular manipular
senhora senhora
ou ou
canta cantar
filhinha filho
nas em_o
orelhas orelha
do de_o
papai papai
aprendeu aprender
a a
manipular manipular
o o
cara cara
não não
merece merecer
nada nada
e e
você você
trata tratar
o o
leão leão
igual igual
