salmo salmo
diabo diabo
aos a_o
45 45
do de_o
segundo segundo
tempo tempo
da de_o
prorrogação prorrogação
de de
tão tão
poderoso poderoso
que que
é ser
o o
capeta capeta
coitadinho coitado
de de
deus deus
quase quase
que que
perdeu perder
vou ir
te tu
mostrar mostrar
como como
deus deus
está estar
no em_o
controle controle
e e
controla controlar
o o
mundo mundo
espiritual espiritual
inclusive inclusive
com com
autoridade autoridade
para para
interferir interferir
no em_o
mundo mundo
sacanagem sacanagem
caso caso
de de
jó jó
você você
já já
sabe saber
da de_o
história história
deus deus
vai ir
dar dar
um um
testemunho testemunho
para para
satanás satanás
acerca acerca
do de_o
jovem jovem
estrela estrela
meu meu
servo servo
jó jó
sincero sincero
retamente retamente
adeus adeus
de de
vista vista
do de_o
mal mal
aí aí
o o
capeta capeta
disse dizer
também também
joga jogar
o o
mais mais
rico rico
do de_o
oriente oriente
médio médio
e e
ser ser
caixa caixa
ele ele
dê dar
bem bem
assim assim
também também
diz dizer
a a
dizer dizer
uma um
palavra palavra
para para
satanás satanás
jovem jovem
12 12
tudo tudo
que que
ele ele
tem ter
está estar
na em_o
tua tua
mão mão
porém porém
não não
estenda estender
a a
tuas tuas
mãos mão
sobre sobre
ele ele
satanás satanás
milimetricamente milimetricamente
atua atuar
onde onde
deus deus
permite permitir
tomar tomar
tudo tudo
de de
jó jó
a o
taca taca
fogo fogo
ovelha ovelha
roupa roupar
cabelo cabelo
rouba roubar
gado gado
não não
da de_o
venda venda
de de
mata mata
filho filho
mas mas
não não
toca tocar
em em
jó jó
joão joão
mantém manter
a o
fidelidade fidelidade
satanás satanás
voltas volta
e e
assim assim
eu eu
não não
falei falar
em em
síntese síntese
também também
tudo tudo
que que
o o
homem homem
tem ter
pele pele
por por
pele pele
vai ir
dar dar
pela por_o
sua seu
vida vida
e e
deus deus
vai ir
dar dar
uma um
hora hora
o o
limite limite
ele ele
está estar
na em_o
tua tua
as o
mãos mão
porém porém
pouco pouco
ali ali
a o
vida vida
satanás satanás
atua atuar
limite limite
que que
deus deus
estabelece estabelecer
tem ter
muita muito
gente gente
enganada enganar
meu meu
irmão irmão
satanás satanás
atua atuar
no em_o
limite limite
da de_o
legalidade legalidade
que que
deus deus
permite permitir
agir agir
porque porque
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
satanás satanás
milimetricamente milimetricamente
faz fazer
o o
que que
deus deus
deixa deixar
ele ele
fazer fazer
toque toque
jó jó
mas mas
não não
tira tirar
a o
sua seu
vida vida
você você
quer querer
ver ver
um um
outro outro
fato fato
tal tal
mostrar mostrar
que que
deus deus
está estar
no em_o
controle controle
eu eu
acho achar
esse esse
texto texto
é ser
um um
terceiro terceiro
funcionário funcionário
desse de_esse
negócio negócio
parece parecer
que que
deus deus
quer querer
do de_o
diabo diabo
de de
1 1
a a
0 0
aos a_o
45 45
do de_o
segundo segundo
tempo tempo
apocalipse apocalipse
capítulo capítulo
20 20
diz dizer
assim assim
e e
ver ver
em em
anjo anjo
quantos quanto
anjos anjo
quantos quanto
e e
vi ver
um um
anjo anjo
descer descer
do de_o
céu céu
um um
grande grande
cadeado cadeado
ea ea
chave chave
do de_o
abismo abismo
e e
prender prender
a a
satanás satanás
por por
mil mil
anos ano
e e
anjo anjo
em em
anjo anjo
em em
anjo anjo
não não
foram ser
10 10
não não
foram ser
mil mil
não não
foram ser
miríades miríade
não não
foram ser
principados principado
não não
foram ser
por por
ter ter
cidades cidade
não não
foram ser
bilhões bilhão
de de
anjo anjo
anjo anjo
deus deus
envia enviar
aprender aprender
a a
satanás satanás
no em_o
período período
do de_o
milênio milênio
só só
pra pra
você você
ter ter
uma um
idéia idéia
da de_o
distância distância
da de_o
grandeza grandeza
do de_o
poder poder
de de
deus deus
pra pra
poder poder
satanás satanás
anjo anjo
apenas apenas
um um
anjo anjo
prende prender
satanás satanás
com com
um um
fulano fulano
e e
de de
gente gente
gente gente
povo povo
de de
deus deus
deus deus
tem ter
tanto tanto
poder poder
no em_o
mundo mundo
espiritual espiritual
que que
deu dar
poder poder
pra pra
nós nós
olha olhar
que que
coisa coisar
deus deus
tem ter
tanto tanto
poder poder
senhora senhora
eu eu
vou ir
dar dar
o o
meu meu
poder poder
pra pra
vocês você
vencê vencê
-lo ele
por por
isso isso
que que
lucas lucas
10 10
19 19
deles de_eles
fez fazer
que que
vos vós
dom dom
poder poder
para para
pisar pisar
serpentes serpente
e e
escorpiões escorpião
e e
toca tocar
força força
do de_o
mal mal
e e
nada nada
vos vós
fará fazer
dano dano
ao a_o
gol gol
alguém alguém
tem ter
dúvida dúvida
que que
deus deus
tem ter
controle controle
sobre sobre
o o
mundo mundo
de de
satanás satanás
agora agora
presta presto
atenção atenção
pra pra
deus deus
está estar
no em_o
controle controle
ele ele
tem ter
que que
estar estar
no em_o
controle controle
do de_o
mundo mundo
espiritual espiritual
seja ser
do de_o
diabo diabo
do de_o
seu seu
próprio próprio
reino reino
há haver
uma um
passagem passagem
na em_o
bíblia bíblia
também também
muito muito
interessante interessante
que que
é ser
o o
primeiro primeiro
crónicas crónica
capítulo capítulo
21 21
a a
partir partir
de de
51 51
15 15
quando quando
deus deus
manda mandar
um um
anjo anjo
para para
destruir destruir
jerusalém jerusalém
e e
deus deus
olha olhar
quis querer
assim assim
para para
dissolver dissolver
5 5
16 16
que que
davi davi
ver ver
o o
anjo anjo
entre entre
o o
céu céu
ea ea
terra terra
com com
a o
espada espada
desembainhada desembainhar
nem nem
metricamente metricamente
obedece obedecer
da de_o
escola escola
nelson nelson
mandela mandela
e e
pará pará
ele ele
parou parar
depois depois
você você
vai ir
ver ver
nos em_o
versículos versículo
27 27
deus deus
assim assim
cesse cessar
o o
anjo anjo
bota botar
a o
espada espada
na em_o
bainha bainha
e e
cai cair
fora fora
ele ele
obedece obedecer
milimetricamente milimetricamente
o o
que que
demanda demandar
o o
salmo salmo
103 103
versículo versículo
20 20
diz dizer
o o
salmo salmo
103 103
versículo versículo
2010 @card@
dizem dizer
anjos anjo
seus seu
magníficos magnífico
em em
poder poder
que que
cumprir cumprir
as o
ordens ordem
da de_o
tua tua
palavra palavra
hebreus hebreu
capítulo capítulo
1 1
versículos versículo
at at
this this
e e
quando quando
o o
senhor senhor
fala falar
acerca acerca
dos de_o
seus seu
anjos anjo
diz dizer
que que
de de
seus seu
anjos anjo
faz fazer
ventos vento
e e
de de
seus seu
ministros ministro
labaredas labareda
de de
focas foca
é é
deus deus
usa usar
os o
anjos anjo
como como
ele ele
quer querer
no em_o
versículo versículo
anterior anterior
diz dizer
e e
quando quando
outra outro
vez vez
introduz introduzir
unigente unigente
deus deus
na em_o
terra terra
diz dizer
e e
todos todo
os o
anjos anjo
de de
deus deus
o o
adoro adorar
porque porque
deus deus
está estar
nu nu
o o
controle controle
do de_o
mundo mundo
espiritual espiritual
você você
não não
tem ter
que que
ter ter
medo medo
de de
macumba macumba
nem nem
botar botar
teu teu
nome nome
na em_o
boca boca
do de_o
saco saco
porque porque
a o
bíblia bíblia
diz dizer
que que
aquele aquele
que que
é ser
de de
deus deus
ou ou
o o
maligno maligno
não não
lhe ele
toca tocar
porque porque
se se
eu eu
não não
tivesse ter
o o
controle controle
do de_o
mundo mundo
espiritual espiritual
satanás satanás
tocava tocar
no em_o
seu seu
povo povo
à a_o
pastore pastorar
um um
crente crente
demônia demônia
de de
rio rio
grande grande
e e
molhado molhar
rapaz rapaz
tu tu
viu ver
alguém alguém
caído caído
endemoniado endemoniado
ouviu ouvir
alguém alguém
tem ter
pecado pecado
oculta ocultar
endemoniado endemoniado
que que
que que
diabo diabo
peguem pegar
grande grande
rapá rapá
que que
macumba macumbar
peguem pegar
grande grande
rapaz rapaz
que que
conversa conversa
fiada fiar
é ser
essa esse
o o
deus deus
todo todo
poderoso poderoso
que que
está estar
no em_o
é ser
o o
teu teu
deus deus
[ [
Aplausos aplauso
] _
segundo segundo
lugar lugar
se se
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
de de
deus deus
tem ter
que que
estar estar
no em_o
controle controle
do de_o
universo universo
meu meu
irmão irmão
é ser
a o
coisa coisa
mais mais
fenomenal fenomenal
é ser
que que
existem existir
as o
leis lei
físicas físico
as o
leis lei
que que
governam governar
universo universo
se se
fosse ser
obra obra
do de_o
acaso acaso
universo universo
seria ser
desordenado desordenar
se se
universo universo
fosse ser
obra obra
do de_o
acaso acaso
ele ele
seria ser
desordenado desordenar
e e
não não
escutar escutar
essa esse
aqui aqui
o o
movimento movimento
da de_o
terra terra
em em
seu seu
próprio próprio
eixo eixo
chamado chamar
rotação rotação
leva levar
24 24
horas hora
a o
terra terra
dá dar
uma um
volta volta
sobre sobre
seu seu
próprio próprio
eixo eixo
se se
a o
votação votação
fosse ser
atrasada atrasar
em em
um um
décimo décimo
de de
tempo tempo
os o
dias dia
seriam ser
dez dez
vezes vezes
mais mais
longos longo
e e
as o
noites noite
dez dez
vezes vez
mais mais
longas longo
o o
que que
não não
fosse ser
destruído destruir
pelo por_o
calor calor
durante durante
o o
dia dia
seria ser
destruído destruir
pelo por_o
filho filho
durante durante
a o
noite noite
você você
acha achar
que que
se se
a o
obra obra
do de_o
acaso acaso
a o
lua lua
está estar
distante distante
da de_o
terra terra
384 @card@
mil mil
quilômetros quilômetro
se se
a o
lua lua
tivesse ter
a a
80 80
quilômetros quilômetro
do de_o
planeta planeta
terra terra
as o
marés maré
e e
inofensivas inofensivo
e e
não não
daria dar
o o
planeta planeta
terra terra
duas dois
vezes vezes
ao a_o
dia dia
você você
acha achar
que que
a o
obra obra
do de_o
acaso acaso
discutir discutir
essa esse
a o
terra terra
está estar
a o
uma um
distância distância
do de_o
sol sol
esata esata
para para
que que
haja haver
vida vida
animal animal
e e
vegetal vegetal
se se
a o
terra terra
estivesse estar
na em_o
distância distância
de de
vênus vênus
e e
mercúrio mercúrio
tudo tudo
seria ser
torrado torrar
pelo por_o
calor calor
e e
se se
a o
terra terra
tivesse ter
relação relação
ao a_o
sol sol
à a_o
distância distância
de de
marte marte
e e
plutão plutão
tudo tudo
seria ser
congelado congelar
você você
acha achar
que que
é ser
coincidência coincidência
a o
distância distância
da de_o
terra terra
do de_o
sol sol
deus deus
está estar
no em_o
controle controle
outra outro
coisa coisa
que que
você você
nem nem
sabe saber
a o
atmosfera atmosfera
que que
envolve envolver
o o
planeta planeta
terra terra
ela ela
tem ter
uma um
espessura espessura
suficiente suficiente
para para
suportar suportar
o o
bombardeio bombardeio
de de
milhões milhão
de de
meteoritos meteorito
que que
tentam tentar
entrar entrar
cruzado cruzar
mas mas
fera fera
para para
atingir atingir
o o
planeta planeta
terra terra
e e
é ser
barrado barrar
meteoritos meteorito
que que
vem vir
a o
uma um
velocidade velocidade
de de
45 45
quilômetros quilômetro
por por
segundo segundo
pra pra
você você
ver ver
a o
velocidade velocidade
se se
a o
camada camada
que que
envolve envolver
a o
terra terra
fosse ser
mais mais
rarefeita rarefazer
toda todo
a o
vida vida
seria ser
destruída destruir
na em_o
terra terra
pelo por_o
bombardeio bombardeio
de de
meteoritos meteorito
você você
acha achar
que que
isso isso
é ser
obra obra
do de_o
acaso acaso
isaias isair
4512 @card@
diz dizer
assim assim
eu eu
fiz fazer
a o
terra terra
e e
puxe puxar
nela em_ela
o o
homem homem
eu eu
criei criar
todas todo
as o
coisas coisa
ea ea
todos todo
os o
seus seu
exércitos exército
dei dar
as o
minhas meu
ordens ordem
de de
deus deus
está estar
no em_o
controle controle
do de_o
universo universo
por por
isso isso
que que
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
bem bem
pra pra
deus deus
está estar
no em_o
tem ter
que que
controlar controlar
o o
fogo fogo
do de_o
espírito espírito
tem ter
que que
controlar controlar
universo universo
e e
terceiro terceiro
em em
controlar controlar
a o
história história
se se
deram dar
chegar chegar
no em_o
controle controle
da de_o
história história
nunca nunca
comprei comprar
nada nada
bom bom
para para
josé josé
é ser
interessante interessante
como como
deus deus
está estar
no em_o
controle controle
da de_o
história história
a o
família família
de de
jacó jacó
se se
não não
é ser
protegida proteger
no em_o
egito egito
seria ser
facilmente facilmente
destruída destruir
por por
povos povo
12 12
filhos filho
com com
algumas algum
centenas centena
de de
criados criar
família família
rica rico
olha olhar
como como
é ser
que que
deus deus
pai pai
olha olhar
como como
é ser
que que
deus deus
permite permitir
tudo tudo
aquilo aquilo
acontecer acontecer
com com
josé josé
farah farah
na em_o
hora hora
certa certo
ele ele
está estar
como como
governador governador
do de_o
egipto egipto
para para
trazer trazer
sua seu
família família
ficar ficar
protegido proteger
do de_o
egito egito
até até
tomar tomar
corpo corpo
de de
nação nação
para para
depois depois
tirar tirar
do de_o
egito egito
e e
caminhar caminhar
para para
kanaan kanaan
olha olhar
como como
é ser
que que
deus deus
está estar
no em_o
controle controle
da de_o
história história
gente gente
olha olhar
o o
que que
diz dizer
que que
ela ela
traz trazer
44 44
e e
vindo vir
a o
plenitude plenitude
dos de_o
tempos tempo
deus deus
enviou enviar
o o
seu seu
filho filho
nascido nascer
de de
mulher mulher
nascida nascer
sob sob
o o
lixo lixo
é ser
no em_o
tempo tempo
certo certo
da de_o
história história
jesus jesus
chega chegar
no em_o
planeta planeta
terra terra
querida querer
olha olhar
pra pra
israel israel
e e
olhe olhar
pra para_o
depravação depravação
moral moral
é ser
o o
relógio relógio
de de
deus deus
nos em_o
fins fim
dos de_o
tempos tempo
israel israel
ea ea
depravação depravação
moral moral
mateus mateus
24 24
36 36
como como
nos em_o
dias dia
de de
noé noé
assim assim
será ser
a o
vinda vinda
do de_o
filho filho
do de_o
homem homem
isso isso
é ser
tempo tempo
de de
depravação depravação
de de
alto alto
grau grau
ora ora
o o
que que
nós nós
estamos estar
vendo ver
o o
que que
eu eu
falava falar
há há
cinco cinco
anos ano
atrás atrás
houve haver
um um
pastor pastor
pelo por_o
menos menos
meus meu
amigos amigo
assim assim
silas silas
quando quando
há haver
uns um
cinco cinco
seis seis
anos ano
atrás atrás
você você
começou começar
a a
falar falar
que que
querem querer
introduzir introduzir
a o
pedofilia pedofilia
que que
querem querer
mudar mudar
a o
ordem ordem
à a_o
cultura cultura
dizer dizer
como como
ela ela
falha falhar
a o
paisagem paisagem
campo campo
que que
pedofilia pedofilia
olha olhar
aí aí
gente gente
o o
que que
quis querer
no em_o
museu museu
que que
o o
museu museu
é ser
uma um
teoria teoria
dos de_o
anos ano
80 80
a o
teoria teoria
kir kir
elaborada elaborar
por por
seis seis
ministros ministro
e e
homossexuais homossexual
pra pra
dentro dentro
tornar tornar
é ser
ter ter
um um
normativo normativo
idade idade
olha olhar
esse esse
quer querer
ensinar ensinar
sexo sexo
a a
criança criança
criança criança
trangêneros trangêneros
se se
a o
coisa coisa
mais mais
louca louco
e e
doente doente
de de
uma um
sociedade sociedade
perder perder
tina tina
olha olhar
a a
israel israel
a o
volta volta
dos de_o
judeus judeu
para para
a o
sua seu
terra terra
é ser
o o
relógio relógio
deus deus
olha olhar
como como
é ser
que que
deus deus
está estar
o o
palco palco
está estar
sendo ser
formado formar
pra pra
qualquer qualquer
hora hora
trombetta trombetta
vai ir
soar soar
ea ea
igreja igreja
vai ir
ser ser
arrematada arrematar
deus deus
está estar
nos em_o
androids androids
da de_o
história história
não não
se se
assuste assustar
[ [
Música música
] _
se se
deus deus
está estar
no em_o
controle controle
tem ter
que que
estar estar
no em_o
controle controle
do de_o
mundo mundo
espiritual espiritual
ele ele
tem ter
que que
estar estar
no em_o
controle controle
do de_o
universo universo
ele ele
tem ter
que que
estar estar
no em_o
controle controle
da de_o
história história
e e
ele ele
tem ter
que que
está estar
no em_o
controle controle
da de_o
nossa nosso
vida vida
escutar escutar
essa esse
antes antes
de de
você você
nascer nascer
eu eu
já já
sabia saber
tudo tudo
a a
meu meu
respeito respeito
e e
até até
eu eu
estava estar
anotado anotar
no em_o
seu seu
livro livro
de de
salmos salmo
139 @card@
versículo versículo
16 16
a o
segunda segundo
parte parte
do de_o
texto texto
assim assim
e e
todas todo
estas este
coisas coisa
iam ir
sendo ser
anotados anotar
do de_o
seu seu
livro livro
antes antes
de de
existirem existir
tudo tudo
que que
é ser
você você
a o
medida medida
tudo tudo
estava estar
anotado anotar
livro livro
de de
deus deus
no em_o
momento momento
do de_o
ato ato
da de_o
fecundação fecundação
de de
estava estar
no em_o
controle controle
são ser
cerca cerca
de de
9 9
5 5
13 13
em em
36 36
times time
como como
no em_o
ventre ventre
da de_o
minha meu
mãe mãe
como como
nas em_o
profundezas profundeza
da de_o
terra terra
olha olhar
como como
é ser
que que
deus deus
estava estar
no em_o
controle controle
da de_o
vida vida
embrionária embrionário
os o
teus teu
olhos olho
viram ver
meu meu
corpo corpo
ainda ainda
informe informar
o o
embrião embrião
salmo salmo
139 @card@
5 5
16 16
olha olhar
como como
é ser
que que
deus deus
está estar
no em_o
controle controle
de de
toda todo
a o
vida vida
fetal fetal
quando quando
você você
estava estar
no em_o
útero útero
materno materno
salmos salmo
139 @card@
versículo versículo
15 15
os o
meus meu
sócios sócio
não não
te tu
foram ser
encobertos encobrir
como como
do de_o
oculto oculto
foi ser
informado informar
olha olhar
como como
deus deus
está estar
no em_o
controle controle
deus deus
está estar
no em_o
controle controle
de de
pequenos pequeno
detalhes detalhe
que que
nem nem
você você
sabe saber
mateus mateu
das de_o
30 30
diz dizer
que que
deus deus
tem ter
todos todo
os o
fios fio
de de
cabelo cabelo
da de_o
tua tua
cabeça cabeça
contados contar
deus deus
está estar
no em_o
controle controle
da de_o
vida vida
da de_o
existência existência
do de_o
movimento movimento
e e
da de_o
subsistência subsistência
atos ato
17 17
25 25
e e
28 28
diz dizer
porquê porquê
dele de_ele
provém provir
a o
vida vida
e e
as o
demais demais
coisas coisa
por por
ele ele
vivemos vivar
nos nós
movemos mover
e e
existimos existir
olha olhar
que que
coisa coisa
magnífica magnífico
é ser
o o
ser ser
humano humano
e e
o o
salmista salmista
do de_o
salmo salmo
139 @card@
sexy sexy
14 14
em em
razão razão
de de
modo modo
terrível terrível
e e
maravilhosa maravilhoso
foi ser
formado formar
maravilhosas maravilhoso
são ser
as o
tuas tuas
obras obra
ea ea
minha meu
alma alma
mal mal
sabe saber
muito muito
bem bem
a a
ele ele
a o
glória glória
a a
ele ele
a o
honra honra
eo eo
louvor louvor
pelo por_o
poderio poderio
na em_o
verdade verdade
meu meu
irmão irmão
deus deus
está estar
no em_o
controle controle
do de_o
mundo mundo
espiritual espiritual
deus deus
está estar
no em_o
controle controle
do de_o
universo universo
deus deus
está estar
no em_o
controle controle
da de_o
história história
deus deus
está estar
no em_o
controle controle
da de_o
vida vida
e e
deus deus
está estar
no em_o
controle controle
de de
tudo tudo
com com
vocês você
capítulo capítulo
1 1
versículos versículo
1617 @card@
porque porque
nele em_ele
foram ser
criadas criar
todas todo
as o
coisas coisa
visíveis visível
e e
invisíveis invisível
sejam ser
tronos trono
potestades potestade
principados principado
denominações denominação
ele ele
é ser
antes antes
de de
todas todo
as o
coisas coisa
e e
todas todo
as o
coisas coisa
subsistem subsistir
por por
ele ele
hebreus hebreu
13 13
diz dizer
sustentando sustentar
todas todo
as o
coisas coisa
pela por_o
palavra palavra
do de_o
seu seu
poder poder
de de
deus deus
está estar
no em_o
controle controle
ele ele
permite permitir
que que
eu eu
e e
você você
e e
possamos possar
escrever escrever
a o
história história
mas mas
ele ele
pode poder
interferir interferir
em em
qualquer qualquer
processo processo
ele ele
pode poder
travar travar
qualquer qualquer
demônio demônio
ele ele
pode poder
abrir abrir
qualquer qualquer
porta porta
ele ele
pode poder
te tu
dar dar
vitória vitória
que que
ninguém ninguém
consegue conseguir
ele ele
está estar
no em_o
controle controle
coisas coisa
que que
considera considerar
essas esse
coisas coisa
que que
eu eu
vou ir
falar falar
e e
vou ir
encerrar encerrar
a o
minha meu
palavra palavra
com com
muito muito
falar falar
que que
resolve resolver
se se
deus deus
está estar
no em_o
controle controle
de de
todas todo
as o
coisas coisa
falar falar
que que
tudo tudo
nas em_o
mãos mão
dele de_ele
meu meu
filho filho
a a
primeira primeiro
pedro pedro
57 57
diz dizer
lançando lançar
