povo povo
vai ir
abrir abrir
uma um
investigação investigação
contra contra
Elo elo
mosco mosco
ele ele
deve dever
ficar ficar
sem sem
dormir dormir
tá estar
preocupado preocupado
Alexandre alexandre
Moraes moraes
agora agora
você você
vai ir
enfrentar enfrentar
um um
cara cara
poderoso poderoso
um um
espirro espirro
desse de_esse
cara cara
em em
qualquer qualquer
lugar lugar
do de_o
mundo mundo
é ser
o o
por por
todo todo
o o
planeta planeta
o o
mundo mundo
passa passar
a a
saber saber
o o
que que
está estar
acontecendo acontecer
com com
a o
democracia democracia
do de_o
Brasil brasil
isso isso
pode poder
trazer trazer
graves grave
danos dano
à a_o
nossa nosso
nação nação
é ser
uma um
vergonha vergonha
o o
que que
Alexandre alexandre
di di
Moris moris
tem ter
feito fazer
contra contra
a o
nossa nosso
democracia democracia
eu eu
termino terminar
esse esse
vídeo vídeo
dizendo dizer
Obrigado obrigar
Elon elon
mosk mosk
por por
denunciar denunciar
ao a_o
mundo mundo
o o
que que
está estar
acontecendo acontecer
contra contra
a o
democracia democracia
da de_o
nação nação
brasileira brasileiro
e e
o o
Sr sr
ditador ditador
da de_o
toga toga
Alexandre alexandre
de de
Moraes moraes
eu eu
digo dizer
vai ir
chegar chegar
a o
sua seu
hora hora
ou ou
pela por_o
justiça justiça
divina divino
ou ou
pela por_o
pressão pressão
do de_o
povo povo
brasileiro brasileiro
que que
é ser
o o
supremo supremo
poder poder
da de_o
Nação nação
segundo segundo
a o
nossa nosso
Constituição constituição
e e
eu eu
convoco convocar
o o
povo povo
dia dia
21 21
de de
Abril abril
10 10
horas hora
da de_o
manhã manhã
na em_o
praia praia
de de
Copacabana copacabana
nós nós
vamos ir
dar dar
uma um
resposta resposta
a a
tudo tudo
isso isso
Deus deus
abençoe abençoar
o o
Brasil brasil
Deus deus
abençoe abençoar
você você
e e
sua seu
família família
e e
nos nós
livre livre
desses de_esse
homens homem
maus mau
que que
querem querer
calar calar
a o
voz voz
do de_o
povo povo
brasileiro brasileiro
Deus deus
abençoe abençoar
a o
[ [
Aplausos aplauso
] _
[ [
Música música
] _
todos todo
