caramba caramba
apoiei apoiar
o o
filho filho
do de_o
pastor pastor
everaldo everaldo
e e
uma um
delas de_elas
é ser
a o
última último
o o
software software
e e
todos todo
eles eles
concorrem concorrer
aqui aqui
no em_o
estado estado
via via
deputado deputado
federal federal
se se
eu eu
fosse ser
amigo amigo
de de
longas longo
datas data
de de
eduardo eduardo
que que
eu eu
tinha ter
quando quando
ele ele
agora agora
vou ir
dizer dizer
que que
eu eu
acolhi acolher
eduardo eduardo
cunha cunhar
eu eu
apoiei apoiar
eduardo eduardo
cunha cunha
em em
2015 @card@
para para
a o
presidência presidência
da de_o
câmara câmara
porque porque
eu eu
sabia saber
que que
ele ele
é ser
ser ser
uma um
muralha muralha
contra contra
esse esse
governo governo
corrupto corrupto
que que
você você
nunca nunca
disse dizer
uma um
palavra palavra
contra contra
molon molon
e e
que que
você você
defende defender
o o
tempo tempo
todo todo
e e
não não
havia haver
nenhuma nenhum
relação relação
contra contra
eduardo eduardo
com com
essa esse
coisa coisa
começar começar
as o
relações relação
com com
ele ele
contra contra
eduardo eduardo
cunha cunha
foi ser
maio maio
em em
maio maio
que que
teve ter
o o
primeiro primeiro
relator relator
quando quando
eu eu
apoiei apoiar
eduardo eduardo
cunha cunha
não não
havia haver
uma um
relação relação
contra contra
ele ele
até até
meu meu
irmão irmão
que que
é ser
deputado deputado
e e
você você
com com
essa esse
que que
é ser
meu meu
amigo amigo
de de
longuíssima longo
as o
datas data
se se
não não
tiver ter
envolvido envolver
em em
alguma algum
falcatrua falcatrua
que que
seja ser
aprovado aprovar
ele ele
perde perder
o o
apoio apoio
eu eu
não não
sou ser
igual igual
a a
você você
não não
que que
nunca nunca
fez fazer
um um
discurso discurso
contra contra
o o
governo governo
ela ela
é ser
considerar considerar
se se
você você
meter meter
-se se
o o
pau pau
em em
cunha cunha
e e
pedir pedir
também também
a o
cabeça cabeça
de de
dilma dilma
eu eu
dizia dizer
que que
você você
tinha ter
ética ética
que que
você você
tinha ter
caráter caráter
e e
equilíbrio equilíbrio
mas mas
não não
você você
nunca nunca
no em_o
mon mon
água água
deixou deixar
outra outro
coisa coisa
marlon marlon
lindberg lindberg
farias fazer
é ser
meu meu
amigo amigo
de de
muitos muito
anos ano
rapaz rapaz
o o
que que
eu eu
desse dessar
o o
paulo paulo
lindberg lindberg
nas em_o
redes rede
sociais social
por por
ele ele
apoiar apoiar
dilma dilma
você você
não não
tem ter
idéia idéia
é ser
bater bater
uma um
coisa coisa
pelo por_o
menos pouco
lindberg lindberg
a ela
onu onu
se se
quando quando
o o
pt pt
até até
o o
final final
espanha espanha
papel papel
de de
homem homem
e e
não não
foi ser
dissimulado dissimular
de de
fugir fugir
com com
o o
partido partido
para para
enganar enganar
o o
povo povo
como como
você você
que que
foi ser
pra para_o
rede rede
que que
é ser
puxadinho puxado
do de_o
pt pt
agora agora
nonô nonô
você você
que que
dá dar
uma um
de de
bacana bacana
sabe saber
de de
honestidade honestidade
e e
sinceridade sinceridade
quero querer
fazer fazer
um um
desafio desafio
vai ir
pro pro
teu teu
programa programa
eleitoral eleitoral
e e
defende defender
a o
sua seu
ideologia ideologia
diga dizer
que que
você você
é ser
a a
favor favor
do de_o
aborto aborto
e e
casamento casamento
gay gay
que que
você você
é ser
a a
favor favor
da de_o
ideologia ideologia
de de
gênero gênero
que que
foi ser
rejeitada rejeitar
no em_o
congresso congresso
nacional nacional
e e
que que
é ser
impedida impedir
pelo por_o
artigo artigo
229 @card@
da de_o
constituição constituição
brasileira brasileiro
e e
também também
pelo por_o
artigo artigo
12 12
da de_o
convenção convenção
dos de_o
direitos direito
humanos humano
não não
é ser
aqui aqui
das de_o
américas américo
que que
o o
brasil brasil
é ser
signatário signatário
vai ir
lá lá
indica indicar
que que
você você
é ser
a a
favor favor
desses de_esse
lixos lixo
morais moral
que que
acabei acabar
de de
falar falar
e e
aproveita aproveitar
diga dizer
no em_o
seu seu
programa programa
eleitoral eleitoral
que que
você você
sempre sempre
apoiou apoiar
de de
maneira maneira
intransigente intransigente
dilma dilma
molon molon
tu tu
não não
tem ter
moral moral
para para
falar falar
de de
ninguém ninguém
e e
você você
não não
merece merecer
o o
voto voto
do de_o
povo povo
do de_o
rio rio
de de
janeiro janeiro
tu tu
perdeu perder
uma um
oportunidade oportunidade
para para
ficar ficar
calado calar
que que
vergonha vergonha
a o
casa casa
caiu cair
molon molon
não não
é ser
nada nada
disso de_isso
aparenta aparentar
ser ser
tão tão
petista petista
disfarçada disfarçar
porque porque
foi ser
coisa coisa
de de
covarde covarde
o o
pt pt
se se
afundou afundar
e e
você você
caiu cair
fora fora
mas mas
na em_o
tua tua
alma alma
como como
a o
de de
marina marino
pra pra
onde onde
você você
foi ser
marina marino
é ser
verde verde
por por
fora fora
e e
vermelho vermelho
por por
dentro dentro
você você
não não
é ser
vermelho vermelho
por por
fora fora
daquele de_aquele
poder poder
deus deus
tem ter
misericórdia misericórdia
que que
você você
mon mon
deus deus
abençoe abençoar
o o
brasil brasil
