olá olá
prazer prazer
sabe saber
que que
o o
aborto aborto
é ser
fruto fruto
sabe saber
de de
quê quê
da de_o
irresponsabilidade irresponsabilidade
humana humano
essa esse
que que
é ser
a o
verdade verdade
da de_o
sociedade sociedade
hedonista hedonista
que que
o o
que que
vale valer
ao a_o
prazer prazer
fica ficar
aqui aqui
o o
meu meu
protesto protesto
envie enviar
emails emails
lado lado
os o
ministros ministro
do de_o
stf stf
nós nós
não não
podemos poder
aceitar aceitar
uma um
coisa coisa
dessa de_esse
111 111
poder poder
usurpando usurpar
o o
poder poder
que que
não não
lhe ele
pertence pertencer
fica ficar
aqui aqui
a o
minha meu
indignação indignação
o o
direito direito
à a_o
vida vida
é ser
um um
direito direito
fundamental fundamental
do de_o
ser ser
humano humano
na em_o
linguagem linguagem
popular popular
é ser
a o
mãe mãe
de de
todos todo
os o
outros outro
direitos direito
se se
você você
acaba acabar
com com
a o
vida vida
que que
outro outro
direito direito
tem ter
valor valor
que que
aqui aqui
meu meu
protesto protesto
mais mais
uma um
vez vez
deus deus
tenha ter
misericórdia misericórdia
do de_o
brasil brasil
