amém amém
importante importante
que que
você você
tem ter
que que
aprender aprender
que que
a o
gente gente
pensa pensar
que que
será ser
é é
a o
miséria miséria
do de_o
ser ser
humano humano
não não
a o
tribulação tribulação
é ser
uma um
coisa coisa
tão tão
interessante interessante
que que
faz fazer
com com
que que
você você
diallo diallo
vire virar
professor professor
para para
ajudar ajudar
outros outro
que que
estão estar
em em
tributação tributação
faz fazer
com com
que que
de de
aluno aluno
você você
vire virar
professor professor
para para
outros outro
que que
estão estar
em em
tributação tributação
a a
que que
paulo paulo
diz dizer
em em
segunda segundo
corinthians corinthians
no em_o
capítulo capítulo
versículo versículo
3 3
e e
4 4
bendito bendito
seja ser
deus deus
e e
pai pai
de de
nosso nosso
senhor senhor
jesus jesus
cristo cristo
o o
deus deus
de de
toda todo
a o
consolação consolação
que que
nos nós
consola consola
em em
toda todo
a o
nossa nosso
tripulação tripulação
para para
que que
possamos possar
consolar consolar
os o
que que
estão estar
em em
alguma algum
tribulação tribulação
com com
a o
mesma mesmo
consolação consolação
que que
deus deus
mesmo mesmo
somos ser
consolados consolar
olha olhar
o o
que que
deus deus
permite permitir
você você
e e
eu eu
enfrentamos enfrentar
adversidades adversidade
lutas luta
e e
tribulações tribulação
passamos passar
por por
elas ele
aprendemos aprender
pra pra
depois depois
você você
ajudar ajudar
outros outro
que que
estão estar
em em
circulação circulação
ea ea
diversidade diversidade
a o
tribulação tribulação
faz fazer
você você
passar passar
de de
aluno aluno
professor professor
quantas quantar
pessoas pessoa
enfrentaram enfrentar
fracasso fracasso
financeiro financeiro
quebraram quebrar
e e
hoje hoje
são ser
consultores consultor
que que
tiver ter
a o
experiência experiência
do de_o
que que
é ser
quebrado quebrar
que que
a a
falir falir
tirar tirar
lições lição
quantas quanta
pessoas pessoa
sofreram sofrer
perdas perda
terríveis terrível
nada nada
e e
aí aí
quando quando
ela ela
vê ver
uma um
pessoa pessoa
sofreu sofrer
uma um
perna perna
ela ela
sabe saber
como como
ela ela
pode poder
lidar lidar
com com
aquele aquele
emocional emocional
então então
vira ver
professor professor
há haver
uma um
outra outro
coisa coisa
que que
a o
tribulação tribulação
ela ela
faz fazer
a o
tribulação tribulação
ela ela
faz fazer
uma um
coisa coisa
incrível incrível
ela ela
nos nós
leva levar
a a
patamares patamar
extraordinários extraordinário
para para
que que
a o
gente gente
possa poder
viver viver
acima acima
da de_o
média média
para para
o o
que que
paulo paulo
diz dizer
em em
romanos romano
53 53
porque porque
sinto sentir
prazer prazer
na em_o
tribulação tribulação
já já
na em_o
diversidade diversidade
na em_o
luta luta
por por
que que
a o
tribulação tribulação
produz produzir
a o
paciência paciência
a a
paciência paciência
a o
experiência experiência
a a
experiência experiência
a a
esperança esperança
essas esse
três três
coisinhas coisa
aqui aqui
paciência paciência
é ser
a o
capacidade capacidade
que que
você você
adquire adquirir
de de
suportar suportar
embate embate
sem sem
perder perder
o o
equilíbrio equilíbrio
emocional emocional
a o
capacidade capacidade
de de
resistência resistência
já já
a o
diversidade diversidade
sem sem
perder perder
controle controle
quem quem
produzir produzir
isso isso
é ser
a o
tripulação tripulação
vai ir
levar levar
o o
cérebro cérebro
outro outro
nível nível
vai ir
preparar preparar
o o
teu teu
emocional emocional
para para
suportar suportar
embates embate
maiores grande
a o
tribulação tribulação
produz produzir
a o
paciência paciência
a a
paciência paciência
a o
experiência experiência
isto isto
é ser
você você
vai ir
aprender aprender
a a
controlar controlar
seu seu
emocional emocional
você você
vai ir
aprender aprender
a a
controlar controlar
sua seu
ira ira
você você
vai ir
aprender aprender
a a
controlar controlar
em em
bush bush
que que
você você
vai ir
ter ter
que que
aprender aprender
a a
esperar esperar
que que
não não
é ser
uma um
coisa coisa
fácil fácil
é ser
um um
exercício exercício
mas mas
você você
vai ir
passar passar
por por
isso isso
então então
vai ir
adquirir adquirir
uma um
experiência experiência
e e
vai ir
te tu
levar levar
para para
uma um
outra outro
coisa coisa
esperança esperançar
esperança esperança
é ser
a o
confiante confiante
perseverança perseverança
no em_o
futuro futuro
porque porque
eu eu
já já
passei passar
por por
esse esse
processo processo
de de
adversidade adversidade
aprendi aprender
a a
lidar lidar
com com
ela ela
ela ela
não não
abalou abalar
o o
meu meu
emocional emocional
tive ter
a o
experiência experiência
diz dizer
capaz capaz
de de
vencer vencer
então então
eu eu
agora agora
estou estar
num em_um
outro outro
nível nível
de de
que que
se se
eu eu
passar passar
por por
outras outro
tripulações tripulação
eu eu
também também
vou ir
sair sair
dela de_ela
olha olhar
como como
é ser
que que
é ser
interessante interessante
a o
tribulação tribulação
olha olhar
como como
é ser
que que
deus deus
trabalha trabalhar
com com
aquilo aquilo
que que
é ser
adverso adverso
até até
para para
nos nós
abençoar abençoar
e e
também também
é ser
um um
outro outro
dado dado
muito muito
importante importante
é ser
que que
a o
tribulação tribulação
tem ter
dia dia
e e
hora hora
para para
acabar acabar
o o
samu samu
34 34
versículo versículo
19 19
diz dizer
muitas muito
não não
é ser
pouco pouco
não não
é ser
no em_o
plural plural
muitas muito
são ser
as o
aflições aflição
do de_o
justo justo
isso isso
é ser
as o
tribulações tribulação
as o
adversidades adversidade
mas mas
o o
senhor senhor
o o
livra livrar
de de
todas todo
agora agora
olha olhar
que que
coisa coisa
interessante interessante
tribulação tribulação
sim sim
angústia angústia
não não
angu angu
chá chá
é ser
uma um
aflição aflição
intensa intenso
angústia angústia
é ser
a o
agonia agonia
da de_o
alma alma
o o
ser ser
humano humano
não não
foi ser
feito fazer
e e
não não
está estar
preparado preparar
psicologicamente psicologicamente
e e
emocionalmente emocionalmente
fisicamente fisicamente
para para
levar levar
uma um
vida vida
angustiada angustiar
não não
estou estar
preparado preparar
para para
isso isso
uma um
pessoa pessoa
que que
vive viver
longos longo
períodos período
de de
angústia angústia
podem poder
ser ser
levadas levar
à a_o
depressão depressão
podem poder
ser ser
levadas levar
a a
problemas problema
de de
coração coração
baixa baixar
a o
imunidade imunidade
do de_o
organismo organismo
você você
passa passar
a a
ter ter
doenças doença
que que
você você
tinha ter
capacidade capacidade
de de
resistir resistir
e e
por por
causa causa
da de_o
angústia angústia
o o
teu teu
físico físico
fica ficar
fragilizado fragilizar
e e
até até
câncer câncer
a o
pessoa pessoa
submetida submeter
longos longo
períodos período
de de
angústia angústia
podem poder
ser ser
fortes forte
candidatos candidato
a a
doenças doença
sérias sério
ea ea
morte morte
agora agora
olha olhar
que que
coisa coisa
interessante interessante
quando quando
a o
bíblia bíblia
quando quando
deus deus
vai ir
tratar tratar
da de_o
tripulação tripulação
você você
vê ver
que que
é ser
tratado tratar
no em_o
plural plural
muitas muito
são ser
as o
tribulações tribulação
muito muito
muito muito
num em_um
erro erro
da de_o
tripulação tripulação
agora agora
quando quando
deus deus
vai ir
trabalhar trabalhar
com com
angústia angústia
na em_o
bíblia bíblia
só só
os o
50 50
versículo versículo
15 15
invoca invocar
minor minor
dia dia
da de_o
angústia angústia
nadais nadais
angústia angústia
é ser
da de_o
elt elt
livrarei livrarei
e e
do do
glorifica glorificar
canais canal
olha olhar
como como
é ser
que que
deus deus
trata tratar
a o
tripulação tripulação
no em_o
pacote pacote
uma um
tripulação tripulação
hoje hoje
outra outro
amanhã amanhã
ou ou
depois depois
de de
amanhã amanhã
outra outro
semana semana
que que
vem vir
vai ir
treinar treinar
são são
paulo paulo
a ela
comendo comer
e e
vem vir
outra outro
adversidade adversidade
olha olhar
ai ai
deus deus
um um
dia dia
acaba acabar
com com
todas todo
elas ele
quando quando
se se
trata tratar
de de
angústia angústia
deus deus
trabalha trabalhar
com com
cada cada
uma uma
olha olhar
o o
que que
diz dizer
o o
salmo salmo
46 46
deus deus
é ser
o o
nosso nosso
refúgio refúgio
e e
fortaleza fortalezar
socorro socorro
bem bem
presente presente
na em_o
angústia angústia
está estar
no em_o
singular singular
não não
se se
utiliza utilizar
plural plural
tá estar
naquela em_aquele
angústia angústia
naquilo em_aquilo
que que
provocou provocar
aflição aflição
intensa intenso
agonia agonia
intensa intenso
do de_o
que que
emocional emocional
para para
o o
samu samu
serviço serviço
adversário adversário
6 6
então então
clamaram clamar
na em_o
sua seu
angústia angústia
e e
ele ele
os o
livrou livrar
das de_o
suas seu
necessidades necessidade
cama camar
não não
gostar gostar
e e
da de_o
libra libra
da de_o
fonte fonte
e e
da de_o
causa causa
que que
produz produzir
angústia angústia
agora agora
o o
texto texto
mar mar
lindo lindo
que que
eu eu
vejo ver
é ser
dos de_o
salmos salmo
116 @card@
os o
dez dez
primeiros primeiro
versículos versículo
o o
salmo salmo
é ser
muito muito
bonito bonito
ele ele
começa começar
pelo por_o
final final
e e
depois depois
ele ele
vai ir
desenrolar desenrolar
o o
caso caso
eles eles
assim assim
como como
ao a_o
senhor senhor
porque porque
ouviu ouvir
a o
minha meu
voz voz
ea ea
minha meu
súplica súplica
por por
que que
inclinou inclinar
para para
mim eu
os o
seus seu
ouvidos ouvido
portanto portanto
invocá invocá
lo lo
enquanto enquanto
viver viver
aí aí
vai ir
começar começar
a a
contar contar
sua seu
história história
corre correr
10 10
de de
mortes morte
me eu
cercaram cercar
angustias angustiar
do de_o
inferno inferno
se se
apoderaram apoderar
de de
mim eu
encontrei encontrar
aperto aperto
e e
tristeza tristeza
então então
claro claro
nem nem
o o
nome nome
do de_o
seu seu
dizendo dizer
ó ó
senhor senhor
e e
livra livrar
minha meu
alma alma
vai ir
começar começar
o o
resultado resultado
pedroso pedroso
é ser
o o
senhor senhor
e e
justo justo
ele ele
guarda guardar
os o
simples simples
olha olhar
que que
coisa coisa
linda lindo
lhe ela
vão ir
à a_o
minha meu
alma alma
da de_o
morte morte
os o
meus meu
olhos olho
das de_o
lágrimas lágrima
e e
os o
meus meu
pés pé
da de_o
capa capa
andarei andar
perante perante
a o
face face
do de_o
senhor senhor
na em_o
terra terra
dos de_o
viventes vivente
clean clean
e e
por por
isso isso
falei falar
xiv xiv
muito muito
aflito afligir
vão ir
votar votar
o o
texto texto
cordéis cordel
de de
mortes morte
me eu
cercaram cercar
angústias angústia
do de_o
inferno inferno
com com
todo todo
respeito respeito
não não
dá dar
nem nem
para para
aquilatar aquilatar
quando quando
você você
pensa pensar
em em
inferno inferno
pensa pensar
no em_o
extrato extrato
o o
último último
de de
sofrimento sofrimento
ele ele
está estar
dizendo dizer
que que
a o
angústia angústia
que que
ele ele
está estar
sentindo sentir
na em_o
mapfre mapfre
são ser
qualquer qualquer
ele ele
está estar
no em_o
último último
estágio estágio
que que
o o
emocional emocional
deles de_eles
suporta suportar
de de
aflição aflição
angústias angústia
do de_o
inferno inferno
se se
apoderaram apoderar
de de
mim eu
lógico lógico
resultado resultado
angústia angústia
aperto aperto
e e
tristeza tristeza
ele ele
foi ser
falar falar
com com
deus deus
sobre sobre
a o
sua seu
angústia angústia
então então
clamei clamei
o o
nome nome
do de_o
senhor senhor
dizendo dizer
ao a_o
seu seu
livro livro
a a
minha meu
alma alma
de de
angústia angústia
é ser
a o
relação relação
com com
a o
nossa nosso
alma alma
piedoso piedoso
é ser
o o
senhor senhor
e e
justo justo
o o
nosso nosso
deus deus
tem ter
misericórdia misericórdia
ainda ainda
falta faltar
uma um
parte parte
dos de_o
ele ele
guardou guardar
chiques chique
estava estar
batido bater
mas mas
ele ele
me eu
lembrou lembrar
falta falta
minha meu
alma alma
pro pro
teu teu
repouso repouso
para para
quem quem
busca buscar
produzir produzir
um um
livro livro
a a
minha meu
alma alma
da de_o
morte morte
meus meu
olhos olho
das de_o
lágrimas lágrima
mais mais
um um
processo processo
de de
uma um
pessoa pessoa
buchada buchada
chora chorar
pode poder
levar levar
à a_o
depressão depressão
os o
meus meu
pés pé
da de_o
queda queda
desmoronar desmoronar
a o
vida vida
do de_o
cara cara
e e
no em_o
final final
ele ele
vai ir
empregar empregar
o o
verbo verbo
no em_o
passado passado
crie criar
e e
por por
isso isso
falei falar
que que
teve ter
não não
estou estar
mais mais
burro burro
é ser
steve steve
não não
estou estar
mais mais
querido querer
tripulação tripulação
ea ea
diversidade diversidade
eu eu
e e
você você
podemos poder
passar passar
a o
vida vida
com com
elas ele
não não
tem ter
estrutura estrutura
pra pra
passar passar
vida vida
angustiado angustiado
e e
aqui aqui
nesse em_esse
lugar lugar
nessa em_esse
noite noite
a a
um um
deus deus
que que
se se
você você
entregar entregar
sua seu
vida vida
ele ele
e e
reconhecendo reconhecer
o o
como como
deus deus
ele ele
vai ir
no em_o
último último
reduto reduto
da de_o
tua tua
alma alma
onde onde
a o
psicologia psicologia
à a_o
psicanálise psicanálise
à a_o
psiquiatria psiquiatria
não não
consegue conseguir
entrar entrar
ele ele
vai ir
lá lá
no em_o
último último
reduto reduto
da de_o
tua tua
agonia agonia
e e
da de_o
tua tua
aflição aflição
e e
arrancar arrancar
isso isso
e e
traz trazer
a o
paz paz
que que
você você
precisa precisar
[ [
Aplausos aplauso
] _
por por
isso isso
que que
eu eu
não não
estou estar
aqui aqui
pregando pregar
uma um
mensagem mensagem
de de
um um
evangelho evangelho
triunfar triunfar
a o
lista lista
que que
você você
não não
passa passar
por por
lutas luta
e e
adversidades adversidade
seria ser
um um
mentiroso mentiroso
a a
verdade verdade
é ser
que que
até até
jesus jesus
confirma confirmar
essa esse
questão questão
da de_o
natureza natureza
humana humano
em em
joão joão
16 16
33 33
no em_o
mundo mundo
tereis ter
aflições aflição
tribulações tribulação
ele ele
já já
está estar
dizendo dizer
que que
é ser
uma um
condição condição
humana humano
mas mas
a o
angústia angústia
não não
aí aí
vai ir
para para
o o
2º 2º
limite limite
clacso clacso
mas mas
não não
desanimados desanimar
perplexos perplexo
sim sim
desanimados desanimar
nunca nunca
pode poder
repetir repetir
quando quando
estava estar
preparando preparar
e e
lendo ler
para para
poder poder
trazer trazer
essa esse
palavra palavra
pra pra
vocês você
o o
espírito espírito
santo santo
falou falar
meu meu
coração coração
vai ir
chegar chegar
gente gente
essa esse
noite noite
na em_o
igreja igreja
que que
não não
está estar
entendendo entender
o o
porquê porquê
dessas de_esse
questões questão
da de_o
sua seu
vida vida
já já
foi ser
você você
já já
foi ser
lá lá
na em_o
história história
já já
foi ser
para para
trás trás
e e
para para
frente frente
é ser
porque porque
está estar
acontecendo acontecer
isso isso
porque porque
eu eu
tô tô
sofrendo sofrer
isso isso
porque porque
você você
não não
tem ter
resposta resposta
como como
eu eu
queria querer
dizer dizer
que que
você você
nunca nunca
solitário solitário
lixo lixo
queria querer
dizer dizer
que que
muitas muito
vezes vez
na em_o
minha meu
vida vida
eu eu
fico ficar
sem sem
entender entender
o o
porquê porquê
das de_o
coisas coisa
muitas muitas
vezes vezes
na em_o
minha meu
vida vida
eu eu
digo dizer
como como
é ser
que que
eu eu
vou ir
resolver resolver
esse esse
pequeno pequeno
não não
tem ter
a o
saída saída
você você
fica ficar
perplexo perplexo
atônito atônito
caramba caramba
como como
é ser
que que
eu eu
vou ir
resolver resolver
isso isso
como como
é ser
que que
eu eu
vou ir
sair sair
dessa de_esse
com com
essa esse
no em_o
chão chão
black black
desanimado desanimar
não não
eu eu
não não
vou ir
entregar entregar
os o
pontos ponto
eu eu
não não
vou ir
assinar assinar
minha meu
derrota derrota
eu eu
não não
vou ir
dizer dizer
que que
acabou acabar
porque porque
eu eu
tô tô
vivendo viver
uma um
situação situação
que que
eu eu
nem nem
entendo entender
e e
nem nem
saem sair
como como
eu eu
vou ir
sair sair
dela de_ela
deixa deixar
eu eu
falar falar
a o
história história
de de
um um
personagem personagem
fenômena fenômena
ao a_o
da de_o
bíblia bíblia
chamado chamado
john john
é ser
um um
livro livro
da de_o
bíblia bíblia
um um
patriarca patriarca
da de_o
bíblia bíblia
a o
bíblia bíblia
diz dizer
sobre sobre
jó jó
havia haver
um um
homem homem
na em_o
terra terra
de de
hoje hoje
cujo cujo
nome nome
era ser
jovem jovem
e e
se se
houver haver
a o
sincero sincero
reto reto
temente temente
a a
deus deus
e e
desviava desviar
se se
do de_o
mal mal
era ser
um um
cara cara
que que
tinha ter
como como
união união
com com
deus deus
relacionamento relacionamento
com com
deus deus
era ser
o o
mais mais
rico rico
do de_o
oriente oriente
aqui aqui
joga jogar
a o
vida vida
pai pai
de de
10 10
filhos filho
tudo tudo
numa em_um
boa bom
e e
eu eu
digo dizer
que que
ele ele
era ser
o o
dono dono
da de_o
maior grande
companhia companhia
de de
transporte transporte
da de_o
época época
ele ele
tinha ter
3 3
mil mil
camelos camelo
naquela em_aquele
época época
camelo camelo
era ser
o o
avião avião
um um
ônibus ônibus
então então
ele ele
era ser
o o
dono dono
da de_o
moto moto
de de
transporte transporte
ele ele
possui possuir
três três
mil mil
camelos camelo
quem quem
ajuda ajudar
de de
boi boi
500 500
1 1
507 @card@
mil mil
ovelhas ovelha
a o
bíblia bíblia
diz dizer
que que
um um
dia dia
satanás satanás
chega chegar
diante diante
de de
deus deus
e e
deus deus
dá dar
um um
testemunho testemunho
acerca acerca
de de
jó jó
você você
tá estar
vendo ver
lá lá
meu meu
servo servo
jó jó
é ser
um um
cara cara
sincero sincero
um um
cara cara
honesto honesto
é ser
um um
cara cara
íntegro íntegro
que que
se se
desvia desviar
do de_o
mal mal
aí aí
o o
diabo diabo
diz dizer
também também
caramba caramba
do de_o
cerco cerco
e e
com com
tanta tanto
riqueza riqueza
com com
tanto tanto
bem bem
girar girar
o o
que que
ele ele
tem ter
pra pra
ver ver
se se
não não
vai ir
negar negar
de de
deus deus
aceitou aceitar
o o
desafio desafio
e e
de de
hoje hoje
prova prova
já já
pode poder
tocar tocar
em em
tudo tudo
que que
ele ele
tem ter
joga jogar
sabendo saber
de de
nada nada
já já
estava estar
levando levar
a o
vida vida
como como
qualquer qualquer
outro outro
ser ser
humano humano
e e
de de
repente repente
o o
desastre desastre
aparece aparecer
e e
começa começar
a a
chegar chegar
gente gente
até até
jô jô
eu eu
tô tô
resumindo resumir
o o
texto texto
do de_o
capítulo capítulo
ii ii
capítulo capítulo
2 2
do de_o
livro livro
de de
jó jó
depois depois
você você
em em
casa casa
alheia alheio
para para
ser ser
um um
facilitador facilitador
para para
a o
gente gente
resume resumir
aqui aqui
a o
palavra palavra
começa começar
a a
chegar chegar
noticiou noticiar
o o
jornal jornal
gosta gostar
é ser
o o
seguinte seguinte
caso caso
o o
fogo fogo
do de_o
céu céu
e e
consumiu consumir
sete sete
mil mil
ovelhas ovelha
olha olhar
os o
caldeus caldeu
deram dar
em em
três três
bandas banda
levar levar
os o
3 3
mil mil
camelos camelo
os o
sábios sábio
tomar tomar
as o
500 500
juntas juntas
de de
boi boi
e e
as o
tetas teta
metas meta
e e
deixaram deixar
o o
copo copo
final final
os o
teus teu
dez dez
filhos filho
estavam estar
fazendo fazer
uma um
festa festa
na em_o
casa casa
do de_o
teu teu
primogênito primogênito
bater bater
um um
vento vento
nos em_o
quatro quatro
cantos canto
da de_o
casa casa
a o
casa casa
caiu cair
e e
matou matar
todo todo
mundo mundo
eu eu
nunca nunca
vi ver
tanta tanto
notícia notícia
ruim ruim
na em_o
vida vida
de de
uma um
pessoa pessoa
num em_um
só só
momento momento
se se
imagina imaginar
toda todo
a o
história história
de de
uma um
pessoa pessoa
seja ser
estraçalhada estraçalhar
num em_um
só só
momento momento
agora agora
vamos ir
lá lá
se se
transporta transportar
para para
jó jó
você você
tem ter
a a
deus deus
você você
serve servir
a a
deus deus
você você
se se
afasta afastar
do de_o
pecado pecado
você você
tem ter
vida vida
limpa limpo
e e
íntegra íntegro
e e
de de
repente repente
desaba desabar
uma um
desgraça desgraça
sobre sobre
a o
tua tua
vida vida
como como
é ser
que que
já já
é ser
entender entender
isso isso
deu dar
não não
revelou revelar
nada nada
não não
falou falar
nada nada
com com
ele ele
porque porque
afinal afinal
de de
contas conta
quem quem
é ser
deus deus
é ser
ele ele
quem quem
disse dizer
que que
ele ele
é ser
obrigado obrigar
a a
dizer dizer
tudo tudo
o o
que que
vai ir
fazer fazer
na em_o
minha meu
vida vida
e e
na em_o
sua seu
vida vida
ou ou
todas todo
as o
coisas coisa
que que
lhe ele
permite permitir
acontecer acontecer
não não
que que
ele ele
provoque provocar
mas mas
ele ele
permita permitir
eu eu
acredito acreditar
estou estar
fazendo fazer
uma um
conjectura conjectura
por por
favor favor
agora agora
conjectura conjectura
até até
aqui aqui
eu eu
tô tô
falando falar
do de_o
texto texto
agora agora
vou ir
parar parar
o o
texto texto
eu eu
vou ir
fazer fazer
uma um
conjectura conjectura
teológica teológico
toda todo
a o
conjectura conjectura
pode poder
ser ser
feita fazer
desde desde
que que
você você
não não
cometa cometer
uma um
heresia heresia
isso isso
é ser
você você
não não
torça torcer
o o
texto texto
adaptado adaptar
à a_o
tua tua
mensagem mensagem
então então
vou ir
fazer fazer
uma um
conjectura conjectura
eu eu
acredito acreditar
que que
satanás satanás
e e
todo todo
o o
inferno inferno
tava tava
de de
olho olho
vivo vivo
dizendo dizer
agora agora
esse esse
cara cara
vai ir
negar negar
porque porque
ele ele
tá estar
tonito tonito
ele ele
está estar
sem sem
entender entender
nada nada
e e
vai ir
desanimar desanimar
nós nós
vamos ir
dar dar
uma um
gargalhada gargalhar
que que
sabe saber
o o
total total
atual atual
conjectura conjectura
do de_o
total total
escrever escrever
porque porque
o o
diabo diabo
ele ele
tem ter
anjos anjo
ele ele
tem ter
miríades miríade
bilhões bilhão
de de
anjos anjo
ele ele
tem ter
reino reino
classificado classificar
na em_o
bíblia bíblia
de de
potestades potestade
principados principado
princípio princípio
eu eu
acredito acreditar
até até
que que
o o
diabo diabo
da de_o
perda perda
da de_o
medalha medalha
buscar buscar
pt pt
quiser querer
a a
rapar rapar
você você
foi ser
incrível incrível
que que
vem vir
com com
aquele aquele
uma um
só só
vez vez
de de
uma um
torre torre
descem descer
até até
fera fera
em em
capa capa
que que
conseguiu conseguir
tomar tomar
aquele aquele
cabelo cabelo
todo todo
