hoje hoje
são ser
cinco cinco
artigos artigo
ou ou
quatro quatro
cinco cinco
que que
são ser
cláusula cláusula
pétrea pétreo
a o
Federação federação
a o
eleição eleição
não não
muda mudar
muda mudar
a o
constituição constituição
mas mas
não não
pode poder
mudar mudar
e e
fala falar
meu meu
filho filho
e e
não não
durante durante
leia ler
a o
reportagem reportagem
toda todo
Leia ler
Eu eu
já já
li ler
a o
reportagem reportagem
toda todo
Bom bom
vamos ir
lá lá
aqui aqui
senão senão
vai ir
vai ir
vai ir
vai ir
me eu
perturbar perturbar
aqui aqui
eu eu
li ler
toda todo
a o
reportagem reportagem
tô tô
botando botar
o o
detalhe detalhe
aqui aqui
vamos ir
lá lá
então então
é ser
o o
que que
é ser
o o
que que
é ser
constituição constituição
me eu
ampara amparar
para para
o o
culto culto
vamos ir
lá lá
vamos ir
começar começar
o o
artigo artigo
quatro quatro
põe pôr
aí aí
põe pôr
a o
Oi oi
tá estar
aqui aqui
é ser
o o
artigo artigo
quinto quinto
tá estar
que que
é ser
o o
caput caput
não não
é ser
do de_o
artigo artigo
o o
Inciso inciso
4 4
é ser
livre livre
a o
manifestação manifestação
do de_o
pensamento pensamento
sendo ser
vedado vedar
O o
Anonimato anonimato
então então
manifestaram manifestar
o o
que que
você você
pensa pensar
é ser
livre livre
agora agora
vai ir
começar começar
aqui aqui
a o
história história
de de
culto culto
de de
criança criança
inciso inciso
6 6
põe pôr
aí aí
Oi oi
tá estar
estipula estipular
estipulas estipular
estipula estipular
ser ser
Inviolável inviolável
tá estar
a o
liberdade liberdade
de de
consciência consciência
e e
de de
crença crença
é ser
ninguém ninguém
pode poder
ser ser
violado violar
por por
suas seu
convicções convicção
de de
consciência consciência
e e
de de
crença crença
aí aí
a o
coisa coisa
vai ir
ficar ficar
melhor melhor
ainda ainda
assegurando assegurar
o o
livre livre
exercício exercício
dos de_o
cultos culto
religiosos religioso
e e
garantida garantir
na em_o
forma forma
da de_o
lei lei
a o
proteção proteção
aos a_o
locais local
de de
culto culto
e e
suas seu
liturgias liturgia
significa significar
que que
o o
lugar lugar
do de_o
culto culto
é ser
Inviolável inviolável
e e
além além
de de
você você
ter ter
a o
garantia garantia
de de
que que
é ser
suas seu
convicções convicção
religiosas religioso
de de
crença crença
e e
de de
consciência consciência
é ser
assegurado assegurar
o o
exercício exercício
dos de_o
cultos culto
de de
maneira maneira
livre livre
garantido garantir
na em_o
forma forma
da de_o
lei lei
a o
proteção proteção
aos a_o
locais local
ninguém ninguém
pode poder
entrar entrar
num em_um
culto culto
para para
fazer fazer
bagunça bagunça
ninguém ninguém
pode poder
entrar entrar
eu eu
boto boto
na em_o
cadeia cadeia
sem sem
entrar entrar
aqui aqui
para para
representar representar
um um
culto culto
eu eu
chamo chamar
a o
polícia polícia
cimento cimento
na em_o
cadeia cadeia
isso isso
aqui aqui
é ser
constituição constituição
é ser
direito direito
a o
garantia garantia
não não
pode poder
nem nem
um um
culto culto
polícia polícia
não não
pode poder
entrar entrar
dentro dentro
de de
culto culto
para para
mandar mandar
parar parar
não não
pode poder
não não
tem ter
essa esse
autoridade autoridade
é ser
Inviolável inviolável
tá estar
aqui aqui
ó ó
e e
ágil ágil
e e
tu tu
já já
das de_o
formas forma
daquilo de_aquilo
que que
está estar
sendo ser
Pregado pregar
em em
si si
os o
oitavos oitavo
põe pôr
aí aí
e e
ninguém ninguém
será ser
privado privar
de de
direitos direito
por por
motivo motivo
de de
crença crença
religiosa religioso
ou ou
convicção convicção
filosófica filosófico
ou ou
política político
salvo salvo
se se
as o
invocar invocar
para para
eximir eximir
-se se
de de
obrigação obrigação
legal legal
a a
todos todo
imposta imposto
e e
recusar recusar
-se se
a a
cumprir cumprir
prestação prestação
alternativa alternativo
fixada fixar
em em
lei lei
aqui aqui
tá estar
a o
primeira primeiro
parte parte
ninguém ninguém
será ser
privado privar
de de
direitos direito
por por
motivo motivo
de de
crença crença
religiosa religioso
você você
não não
pode poder
ser ser
privado privado
porque porque
você você
Condena condenar
uma um
prática prática
na em_o
sua seu
crença crença
como como
pecado pecado
você você
não não
pode poder
ser ser
privado privar
disso de_isso
é ser
seu seu
direito direito
agora agora
escuta escutar
é ser
essa esse
meus meu
amigos amigo
e e
meus meu
amados amado
irmãos irmão
parece parecer
que que
é ser
uma um
piada piada
mas mas
não não
é ser
piada piada
e e
em em
2011 @card@
e e
eu eu
posso poder
estou estar
e e
defende defender
a o
igreja igreja
católica católico
e e
2011 @card@
a o
parada parada
gay gay
cometeu cometer
o o
crime crime
de de
vilipêndio vilipêndio
artigo artigo
208 @card@
do de_o
Código código
Penal penal
e e
sabe saber
o o
que que
aconteceu acontecer
eu eu
fui ser
na em_o
televisão televisão
e e
disse dizer
porque porque
a o
Igreja igreja
Católica católico
hoje hoje
amanhã amanhã
somos ser
nós nós
Olha olhar
o o
que que
estão estar
vendo ver
aí aí
não não
pastor pastor
é ser
Igreja igreja
Católica católica
fica ficar
na em_o
sua seu
Ninguém ninguém
Tem ter
Nada nada
Com com
Isso isso
é ser
problema problema
não não
eu eu
tô tô
eu eu
tô tô
eu eu
tenho ter
eu eu
sou ser
muito muito
antenado antenado
você você
então então
depositando depositar
da de_o
Igreja igreja
Católica católico
mãe mãe
da de_o
porta porta
da de_o
igreja igreja
evangélica evangélico
das de_o
filhas filha
de de
qualquer qualquer
uma um
eu eu
fui ser
para para
televisão televisão
e e
disse dizer
no em_o
meu meu
programa programa
Tá estar
gravado gravar
2011 @card@
eu eu
disse dizer
Por por
que que
a o
Igreja igreja
Católica católica
não não
aceita aceitar
a o
mamona mamão
nesses em_esse
caras cara
e e
sabe saber
o o
que que
aconteceu acontecer
um um
procurador procurador
amiguinho amigo
do de_o
movimento movimento
gay gay
de de
um um
outro outro
estado estado
pede pedir
ao a_o
procurador procurador
de de
direitos direito
humanos humano
do de_o
Estado estado
de de
São são
Paulo paulo
para para
me eu
incriminar incriminar
e e
de de
total total
que que
eu eu
falo falar
e e
vamos ir
Os o
Procuradores procurador
com com
12 12
aquele aquele
assassinato assassinato
na em_o
boate boate
nos em_o
Estados estados
Unidos unidos
do de_o
gay gay
todos todo
eles eles
no em_o
seu seu
site site
com com
as o
bandeiras bandeira
gays gay
quer quer
dizer dizer
não não
tem ter
intenção intenção
nenhuma nenhum
aí aí
o o
Ministério ministério
Público público
Federal federal
em em
São são
Paulo paulo
e e
me eu
acusa acusar
de de
homofobia homofobia
por por
el el
defender defender
a o
Igreja igreja
Católica católico
o o
xícaras xícara
que que
cometeram cometer
o o
crime crime
em em
2011 @card@
não não
tem ter
acusação acusação
nenhuma nenhum
e e
depois depois
eles eles
voltam voltar
em em
2015 @card@
repetem repetir
o o
depósito depósito
com com
a o
Igreja igreja
Católica católica
então então
faça fazer
uma um
pergunta pergunta
Será ser
que que
o o
ministério ministério
público público
está estar
a a
serviço serviço
da de_o
causa causa
gay gay
é ser
porque porque
eu eu
tô tô
sendo ser
processado processar
até até
hoje hoje
fui ser
até até
o o
Supremo supremo
aí aí
o o
Supremo supremo
devolveu devolver
para para
primeira primeiro
instância instância
para para
começar começar
tudo tudo
de de
novo novo
quer querer
dizer dizer
eu eu
defendo defender
a o
Igreja igreja
Católica católico
de de
um um
crime crime
os o
criminosos criminoso
estão estar
rindo rir
da de_o
minha meu
cara cara
e e
eu eu
tô tô
sendo ser
denunciado denunciar
pelo por_o
Ministério ministério
Público público
é ser
esse esse
o o
país país
que que
nós nós
estamos estar
vivendo viver
e e
eu eu
tô tô
mostrando mostrar
aqui aqui
para para
vocês você
que que
eu eu
vou ir
falar falar
eu eu
tô tô
indo ir
parado parar
pela por_o
constituição constituição
do de_o
país país
é ser
isso isso
eu eu
quero querer
mostrar mostrar
para para
vocês você
é ser
o o
que que
eu eu
vou ir
falar falar
que que
eu eu
tô tô
indo ir
parado parar
pela por_o
construção construção
bem bem
Se se
quiserem querer
rasgar rasgar
a o
construção construção
então então
me eu
bota botar
na em_o
cadeia cadeia
que que
eu eu
não não
tenho ter
medo medo
isso isso
agora agora
sabe saber
que que
eu eu
fico ficar
imaginando imaginar
irmãos irmão
queridos querer
Igreja igreja
de de
Jesus jesus
eu eu
fico ficar
com com
vergonha vergonha
e e
ao a_o
parar parar
para para
cansar cansar
eu eu
não não
vou ir
falar falar
ainda ainda
no em_o
tempo tempo
do de_o
império império
romano romano
Não não
não não
vou ir
nem nem
lá lá
atrás atrás
eu eu
fico ficar
com com
vergonha vergonha
de de
nesse em_esse
tempo tempo
hoje hoje
pastores pastor
em em
Nações nações
dos de_o
três três
extremismo extremismo
islâmico islâmico
serem ser
mortos matar
irem ir
para para
a o
cadeia cadeia
mas mas
não não
se se
acovardam acovardam
os o
pastores pastor
hoje hoje
nas em_o
Nações nações
comunistas comunista
serem ser
preços preço
irem ir
para para
a o
cadeia cadeia
e e
não não
se se
acovardam acovardam
e e
pastores pastor
na em_o
nossa nosso
nação nação
com com
medo medo
de de
processo processo
e e
eu eu
fico ficar
com com
vergonha vergonha
e e
eu eu
fico ficar
com com
vergonha vergonha
não não
tô tô
falando falar
de de
voz voz
Profética profético
e e
a o
outra outro
história história
não não
tô tô
falando falar
eu eu
tô tô
falando falar
de de
você você
será ser
questionado questionar
e e
você você
arregar arregar
com com
medo medo
de de
processo processo
e e
por por
defender defender
princípios princípio
da de_o
sua seu
fé fé
me eu
ponho ponhar
na em_o
cadeia cadeia
porque porque
eu eu
não não
vou ir
me eu
calar calar
e e
vamo vamo
lá lá
a o
a o
promotora promotor
disse dizer
que que
o o
pastor pastor
ao a_o
falar falar
de de
Homossexualismo homossexualismo
isso isso
de de
Mata mata
doença doença
Deixa deixar
de de
ser ser
ignorante ignorante
e e
qual qual
é ser
a o
diferença diferença
de de
Homossexualismo homossexualismo
para para
homossexualidade homossexualidade
eles eles
não não
suportam suportar
Homossexualismo homossexualismo
Por por
que que
Homossexualismo homossexualismo
de de
nota nota
comportamento comportamento
e e
homossexualidade homossexualidade
de de
nota nota
condição condição
e e
ninguém ninguém
nasce nascer
gay gay
ninguém ninguém
nasce nascer
transgênero transgênero
ninguém ninguém
nasce nascer
Eu eu
provo provar
na em_o
ciência ciência
e e
digo dizer
aqui aqui
e e
vou ir
repetir repetir
vou ir
mostrar mostrar
para para
você você
Ninguém ninguém
nasce nascer
é ser
um um
direito direito
ser ser
claro claro
nós nós
não não
estamos estar
aqui aqui
para para
impedir impedir
ninguém ninguém
de de
nenhuma nenhum
prática prática
sexual sexual
que que
queira querer
nem nem
Deus deus
impede impedir
que que
eu eu
vou ir
impedir impedir
e e
Deus deus
pede pedir
conta conta
das de_o
nossas nosso
atitudes atitude
impedir impedir
não não
então então
porque porque
nós nós
ele ele
tá estar
com com
peito peito
de de
alguém alguém
não não
Hoje hoje
eu eu
tô tô
aqui aqui
para para
apoiar apoiar
que que
alguém alguém
Cometa cometer
violência violência
contra contra
alguém alguém
que que
é ser
contra contra
meus meu
princípios princípio
absolutamente absolutamente
não não
se se
eu eu
ver ver
alguém alguém
na em_o
rua rua
batendo bater
ninguém ninguém
xingando xingar
pode poder
ter ter
certeza certeza
que que
eu eu
vou ir
me eu
arrola arrolar
como como
testemunha testemunha
a a
favor favor
do de_o
cara cara
do de_o
gay gay
não não
pega pegar
mais mais
não não
chora chorar
e e
se se
tiver ter
como como
eu eu
ando andar
com com
policiais policial
de de
minha meu
volta volta
eu eu
mando mandar
algemar algemar
o o
cara cara
e e
vou ir
botar botar
tô tô
leva levar
para para
a o
delegacia delegacia
se se
eu eu
presenciar presenciar
é ser
um um
camarada camarada
homossexual homossexual
se se
agredido agredir
xingamentos xingamento
tá estar
eu eu
com com
policial policial
prende prender
vou ir
embora embora
e e
volto voltar
olhar olhar
o o
cara cara
eu eu
não não
tô tô
aqui aqui
para para
isso isso
não não
vem vir
aqui aqui
me eu
confundir confundir
uma um
coisa coisa
criticar criticar
comportamento comportamento
outra outro
coisa coisa
é ser
o o
dia dia
pessoas pessoa
e e
vamos ir
devagar devagar
com com
a o
louça louça
e e
eu eu
conheço conhecer
um um
jogo jogo
do de_o
ativismo ativismo
gay gay
ele ele
quer querer
misturar misturar
essas esse
coisas coisa
críticas crítico
de de
opinião opinião
é ser
um um
comportamento comportamento
com com
pessoas pessoa
então então
homossexualismo homossexualismo
o o
comportamento comportamento
homossexualidade homossexualidade
é ser
uma um
condição condição
e e
não não
é ser
condição condição
é é
comportamento comportamento
eu eu
falei falar
ontem ontem
aqui aqui
para para
juventude juventude
da de_o
igreja igreja
e e
não não
pergunta perguntar
qualquer qualquer
um um
deles de_eles
só só
escuta escutar
essa esse
eu eu
pergunto perguntar
aqui aqui
a o
igreja igreja
se se
alguém alguém
nasci nascer
fumando fumar
sim sim
ou ou
não não
a o
resposta resposta
direta direto
se se
eu eu
perguntar perguntar
a a
qualquer qualquer
um um
e e
a o
resposta resposta
direta direto
se se
alguém alguém
nasci nascer
fumando fumar
não não
não não
não não
e e
o o
neném neném
o o
menininho menino
quando quando
começa começar
a a
falar falar
uma um
me eu
dá dar
um um
cigarro cigarro
e e
não não
é ser
tão tão
comportamento comportamento
adquirido adquirir
pelos por_o
modelos modelo
de de
imitação imitação
que que
o o
ser ser
humano humano
é ser
um um
ser ser
social social
em em
alguma algum
criança criança
nasce nascer
querendo querer
cheirar cheirar
cocaína cocaína
ou ou
fumar fumar
maconha maconha
sim sim
ou ou
não não
e e
eu eu
vou ir
por por
em em
alguma algum
criança criança
nasce nascer
de de
mami mami
da de_o
cerveja cerveja
e e
não não
é ser
um um
comportamento comportamento
adquirido adquirir
agora agora
eles eles
querem querer
botar botar
na em_o
sociedade sociedade
que que
na em_o
questão questão
sexual sexual
é ser
condição condição
e e
no em_o
comportamento comportamento
tu tu
tá estar
sentada sentar
nesse em_esse
negócio negócio
você você
pergunta perguntar
qualquer qualquer
pessoa pessoa
como como
você você
já já
respondeu responder
imediatamente imediatamente
alguém alguém
nasci nascer
fumando fumar
não não
alguém alguém
nasce nascer
tomando tomar
guarana guarana
não não
alguém alguém
nasceram nascer
que que
não não
mas mas
quando quando
eu eu
chegar chegar
na em_o
área área
sexual sexual
eles eles
querem querer
dizer dizer
que que
o o
camarada camarada
já já
nasce nascer
assim assim
ou ou
mudar mudar
um um
pouco pouco
agora agora
que que
o o
camarada camarada
quando quando
nasce nascer
não não
é ser
masculino masculino
e e
feminino feminino
de de
alguma algum
coisa coisa
que que
a o
gente gente
não não
sabe saber
o o
que que
que que
é ser
e e
que que
depois depois
vai ir
escolher escolher
ser ser
só só
que que
tem ter
detalhezinho detalhezinho
e e
o o
que que
eu eu
lamento lamentar
é é
que que
a o
ciência ciência
que que
muitas muito
vezes vez
debochou debochar
e e
peitou peitar
a o
religião religião
e e
hoje hoje
sim sim
curva curvar
a o
ideologia ideologia
mas mas
científicamente científicamente
falando falar
o o
sexo sexo
é ser
biológico biológico
e e
a o
criança criança
Quando quando
Nasce nascer
tem ter
uma um
pré-disposição pré-disposição
de de
ajudar ajudar
características característica
psicológicas psicológico
do de_o
sexo sexo
que que
veio vir
e e
a o
Sexualidade sexualidade
nas em_o
diferentes diferente
espécies espécie
Inclusive inclusive
a o
humana humano
cumprir cumprir
três três
funções função
principais principal
e e
os o
aqui aqui
a o
ciência ciência
do de_o
alismo alismo
a a
complementariedade complementariedade
e e
fecundação fecundação
dualismo dualismo
dois dois
diferente diferente
complementaridade complementaridade
dos de_o
diferentes diferente
que que
se se
completam completar
e e
fecundação fecundação
dos de_o
diferentes diferente
para para
gerarem gerar
a o
espécie espécie
coloca colocar
qualquer qualquer
prática prática
sexual sexual
que que
não não
seja ser
a o
heterossexual heterossexual
para para
ver ver
se se
consegue conseguir
sair sair
há há
dois dois
iguais igual
não não
se se
completam completar
há há
dois dois
iguais igual
não não
fecundam fecundar
isso isso
aqui aqui
é ser
Essência essência
eu eu
já já
disse dizer
que que
eu eu
repetindo repetir
Deus deus
é ser
tão tão
é ser
tão tão
incrível incrível
e e
em em
todas todo
as o
células célula
dos de_o
bilhões bilhão
que que
você você
carrega carregar
todas todo
as o
tuas tuas
células célula
defendem defender
se se
você você
é ser
masculino masculino
ou ou
feminino feminino
amanhã amanhã
qualquer qualquer
um um
que que
morrer morrer
e e
um um
fragmento fragmento
de de
um um
osso osso
daqui de_aqui
a a
1000 1000
anos ano
foi ser
achado achar
ninguém ninguém
vai ir
dizer dizer
isso isso
aqui aqui
é ser
transgênero transgênero
e e
não não
esse esse
aqui aqui
não não
é ser
hétero hétero
não não
esse esse
aqui aqui
é ser
o o
não não
não não
macho macho
fêmea fêmeo
E e
aí aí
a a
minha meu
gente gente
o o
negócio negócio
é ser
incrível incrível
e e
eu eu
fico ficar
parado parar
para para
pensar pensar
quando quando
eu eu
vi ver
a o
imprensa imprensa
falar falar
de de
censura censura
quem quem
sabe saber
censura censura
censura censurar
a o
censura censura
nós nós
estamos estar
vivendo viver
um um
tempo tempo
de de
cerceamento cerceamento
da de_o
manifestação manifestação
de de
opinião opinião
quem quem
sabe saber
qual qual
o o
jogo jogo
discurso discurso
de de
ódio ódio
fala falar
mal mal
do de_o
diabo diabo
do de_o
presidente presidente
de de
pastor pastor
de de
padre padre
de de
igreja igreja
falar falar
mal mal
de de
campo campo
de de
político político
de de
quem quem
você você
quiser querer
mas mas
se se
tocar tocar
em em
ativismo ativismo
gay gay
você você
é ser
homofóbico homofóbico
e e
não não
pode poder
falar falar
ou ou
se se
é ser
censurado censurar
nas em_o
redes rede
sociais social
e e
eu eu
já já
digo dizer
há há
anos ano
o o
grupo grupo
mais mais
intolerante intolerante
da de_o
pós-modernidade pós-modernidade
ao a_o
ar ar
não não
são ser
os o
gays gay
é ser
o o
grupo grupo
mais mais
intolerante intolerante
é ser
o o
ativismo ativismo
gay gay
eu eu
digo dizer
isso isso
anos ano
e e
muitos muito
pastores pastor
tomar tomar
açaí açaí
Parece parecer
que que
só só
fala falar
disso de_isso
eu eu
disse dizer
a o
gente gente
esses esse
caras cara
não não
estão estar
atrás atrás
da de_o
prática prática
sexual sexual
eles eles
querem querer
em em
pó pó
a a
sociedade sociedade
o o
seu seu
modo modo
de de
vidro vidro
porque porque
modo modo
de de
vida vida
porque porque
isso isso
é ser
ideológico ideológico
vem vir
do de_o
Marxismo marxismo
cultural cultural
que que
descobriram descobrir
que que
não não
adianta adiantar
conquistar conquistar
pela por_o
força força
da de_o
arma arma
Mas mas
pelo por_o
poder poder
da de_o
cultura cultura
para para
destruir destruir
o o
último último
reduto reduto
de de
autoridade autoridade
na em_o
sociedade sociedade
que que
a o
família família
que que
a o
base base
da de_o
civilização civilização
e e
de de
autoridade autoridade
distrair distrair
e e
aí aí
pega pegar
aí aí
eu eu
tô tô
força força
Erika erika
kokay kokay
tu tu
tem ter
aí aí
o o
discurso discurso
dela de_ela
no em_o
no em_o
simpósio simpósio
ela ela
dizendo dizer
isso isso
em em
alto alto
e e
bom bom
som som
tem ter
que que
destruir destruir
a o
família família
patriarcal patriarcal
tem ter
que que
destruir destruir
e e
ela ela
ela ela
diz dizer
tem ter
um um
vídeo vídeo
dela de_ela
lado lado
todos todo
citando citar
que que
não não
pode poder
me eu
processar processar
que que
quer querer
falar falar
dela de_ela
ela ela
dizendo dizer
eu eu
agora agora
entendo entender
o o
porquê porquê
que que
pode poder
ter ter
em em
sexto sexto
o o
jogo jogo
é ser
mais mais
perverso perverso
e e
um um
monte monte
de de
crente crente
igual igual
os o
bobinhos bobinhos
tô tô
acreditando acreditar
em em
Papai papai
Noel noel
político político
e e
aqui aqui
de de
30 30
ideologia ideologia
de de
esquerda esquerda
que que
odeia odiar
nossos nosso
princípios princípio
e e
quer querer
destruir destruir
tudo tudo
aquilo aquilo
que que
Deus deus
Fez fazer
por por
bom bom
está estar
para para
o o
bem-estar bem-estar
do de_o
homem homem
e e
eu eu
já já
vi ver
isso isso
lá lá
atrás atrás
eu eu
já já
vi ver
isso isso
há haver
muito muito
tempo tempo
esse esse
jogo jogo
o o
e e
os o
crentes crente
lamento lamento
dizer dizer
tem ter
que que
dizer dizer
é ser
um um
negócio negócio
tão tão
diabólico diabólico
que que
eles eles
preferem preferir
dar dar
crédito crédito
a a
ideologia ideologia
do de_o
que que
a o
palavra palavra
de de
Deus deus
é é
e e
ficam ficar
cegos cego
o o
meu meu
povo povo
foi ser
destruído destruir
porque porque
lhe ele
faltou faltar
o o
conhecimento conhecimento
e e
não não
querem querer
conhecer conhecer
não não
quer querer
entender entender
e e
fazem fazer
parte parte
de de
um um
jogo jogo
político político
nojento nojento
o o
que que
destrói destruir
os o
valores valor
daquilo de_aquilo
que que
nós nós
temos ter
com com
uma um
palavra palavra
de de
Deus deus
para para
nossa nosso
vida vida
bom bom
então então
vamos ir
ver ver
as o
práticas prática
sexuais sexual
lícitas lícito
e e
ilícitas ilícito
segundo segundo
a o
palavra palavra
de de
Deus deus
eu eu
tô tô
no em_o
parado parar
pela por_o
constituição constituição
e e
é ser
Inviolável inviolável
minhas meu
convicções convicção
de de
crenças crença
religiosas religioso
e e
e e
é ser
Inviolável inviolável
ninguém ninguém
pode poder
violar violar
o o
lugar lugar
do de_o
culto culto
é ser
Inviolável inviolável
e e
é ser
o o
ideal ideal
de de
Deus deus
para para
relações relação
sexuais sexual
é ser
o o
relacionamento relacionamento
monogâmico monogâmico
heterossexual heterossexual
no em_o
casamento casamento
é ser
esse esse
aqui aqui
que que
é ser
a o
relação relação
sexual sexual
lícita lícito
da de_o
Bíblia bíblia
eu eu
vou ir
repetir repetir
a o
relação relação
sexual sexual
lícita lícito
da de_o
bíblia bíblia
é ser
um um
relacionamento relacionamento
monogâmico monogâmico
heterossexual heterossexual
do de_o
casamento casamento
e e
as o
outras outro
relações relação
sexuais sexual
que que
lá lá
no em_o
Grego grego
é ser
usado usar
a o
palavra palavra
pornéia pornéia
suas seu
relações relação
sexuais sexual
ilícitas ilícito
Isto isto
é ser
casados casado
com com
outros outro
com com
juízes juíz
fora fora
do de_o
seu seu
ou ou
com com
solteiros solteiro
o o
relacionamento relacionamento
entre entre
solteiros solteiro
relacionamento relacionamento
de de
homem homem
com com
homem homem
e e
mulher mulher
com com
mulher mulher
relacionamentos relacionamento
com com
animais animal
relacionamentos relacionamento
com com
criança criança
relacionamentos relacionamento
incestuosos incestuoso
com com
membros membro
da de_o
família família
irmão irmão
que que
o o
irmão irmão
um um
pai pai
com com
filho filho
filha filha
mãe mãe
com com
filho filho
toda todo
prática prática
sexual sexual
dessa de_esse
que que
a o
Bíblia bíblia
tem ter
um um
nome nome
por por
Néia néia
é ser
ilícita ilícito
e e
é ser
pecaminosa pecaminoso
segundo segundo
a o
palavra palavra
para para
quem quem
crê crer
E e
aí aí
eu eu
vi ver
um um
cara cara
dizer dizer
mas mas
pastor pastor
pastor pastor
eu eu
vi ver
pastor pastor
só só
leva levar
mal mal
Jesus jesus
eu eu
não não
vejo ver
Jesus jesus
nunca nunca
falou falar
nada nada
contra contra
a o
prática prática
homossexual homossexual
Jesus jesus
é é
Amor amor
falei falar
a o
filha filha
porque porque
você você
não não
conhece conhecer
nada nada
de de
Bíblia bíblia
pessoa pessoa
você você
conhecesse conhecer
bem bem
não não
tá estar
falando falar
dessa de_esse
maneira maneira
então então
vou ir
te tu
provar provar
o o
que que
que que
Jesus jesus
falou falar
é ser
mais mais
do de_o
que que
você você
imagina imaginar
em em
Marcos marcos
Capítulo capítulo
10 10
do de_o
versículo versículo
6 6
ao a_o
9 9
Jesus jesus
ratifica ratificar
o o
que que
Deus deus
fala falar
na em_o
criação criação
por por
quê quê
texto texto
princípio princípio
Deus deus
fez fazer
macho macho
e e
fêmea fêmeo
o o
deixará deixar
o o
homem homem
seu seu
pai pai
e e
sua seu
mãe mãe
e e
unir unir
-se-á -se-á
a a
sua seu
mulher mulher
e e
serão ser
ambos ambos
uma um
só só
carne carne
e e
como como
é ser
que que
o o
Jesus jesus
apoia apoiar
relações relação
homossexuais homossexual
aonde aonde
ele ele
tá estar
ratificando ratificar
o o
princípio princípio
