[ [
eu eu
pegar pegar
é ser
que que
eu eu
vou ir
pregar pregar
que que
está estar
tudo tudo
bem bem
isso isso
por por
um um
lado lado
é ser
muito muito
bom bom
sabe saber
por por
quê quê
porque porque
a o
gente gente
passa passar
a a
depender depender
de de
deus deus
que que
quando quando
você você
é ser
muito muito
insuficiente insuficiente
é ser
chávez chávez
nessa em_esse
eu eu
vou ir
falar falar
e e
tá estar
tá estar
numa em_um
boa bom
e e
está estar
encerrado encerrar
eu eu
vou ir
falar falar
mesmo mesmo
e e
eu eu
já já
aceitei aceitar
pp pp
aí aí
você você
pode poder
pensar pensar
que que
você você
que que
é ser
o o
dono dono
da de_o
mensagem mensagem
ea ea
verdade verdade
é ser
o o
que que
você você
ouviu ouvir
aqui aqui
tanto tanto
dos de_o
jabs jabs
quanto quanto
jorge jorge
o o
que que
eu eu
peguei pegar
aqui aqui
você você
pode poder
ter ter
certeza certeza
você você
pode poder
não não
achar achar
muito muito
boa bom
a o
mensagem mensagem
que que
eu eu
vou ir
pegar pegar
ou ou
não não
achou achar
muito muito
bom bom
o o
que que
eu eu
peguei pegar
o o
que que
o o
jabs jabs
mas mas
você você
pode poder
ter ter
certeza certeza
eu eu
sei saber
que que
eu eu
tô tô
falando falar
aqui aqui
você você
pode poder
ter ter
certeza certeza
que que
nenhuma nenhum
mensagem mensagem
que que
foi ser
pregado pregar
aqui aqui
foi ser
extraída extrair
de de
compêndio compêndio
de de
livro livro
teológico teológico
não não
se se
pegou pegar
um um
livro livro
e e
assim assim
conquistar conquistar
8234 @card@
não não
o o
que que
foi ser
pregado pregar
aqui aqui
por por
mais mais
simples simples
que que
você você
possa poder
achar achar
foi ser
produzido produzir
no em_o
fogão fogão
de de
deus deus
a o
oração oração
com com
leitura leitura
com com
a o
aplicação aplicação
mesmo mesmo
coisas coisa
que que
você você
já já
ouviu ouvir
e e
o o
que que
eu eu
vou ir
pegar pegar
aqui aqui
você você
já já
ouviu ouvir
também também
mas mas
você você
pode poder
ter ter
certeza certeza
que que
não não
é ser
luxo luxo
para para
goiás goiá
sabe saber
é ser
pra pra
você você
poder poder
quando quando
chegar chegar
na em_o
sua seu
igreja igreja
e e
o o
seu seu
pastor pastor
foi ser
pegar pegar
você você
lá lá
do de_o
banco banco
você você
dizer dizer
senhor senhor
usa usar
teu teu
servo servo
abre abrir
a o
porta porta
da de_o
palavra palavra
da de_o
revelação revelação
a a
ele ele
coloca colocar
uma um
palavra palavra
rima remir
chama chamar
palavra palavra
revelada revelar
uma um
palavra palavra
de de
poder poder
na em_o
boca boca
desse de_esse
homem homem
porque porque
o o
seu seu
pastor pastor
imagina imaginar
é ser
fácil fácil
pegar pegar
aqui aqui
até até
certo certo
ponto ponto
porque porque
você você
não não
está estar
acostumado acostumar
comigo com_eu
e e
o o
que que
eu eu
falo falar
é é
novidade novidade
pra pra
você você
agora agora
imagine imaginar
na em_o
sua seu
igreja igreja
que que
você você
é ser
membro membro
10 10
anos ano
15 15
anos ano
ouvindo ouvir
mesmo mesmo
pastor pastor
você você
não não
sabe saber
como como
é ser
duro duro
para para
aquele aquele
rolo rolo
preparar preparar
uma um
mensagem mensagem
e e
você você
cada cada
um um
tem ter
uma um
característica característico
de de
personalidade personalidade
jeito jeito
que que
as o
mensagens mensagem
elas ele
ficam ficar
marcadas marcar
por por
que que
a o
personalidade personalidade
daquela de_aquele
pessoa pessoa
eu eu
tô tô
falando falar
essas esse
palavras palavra
aqui aqui
para para
que que
você você
se se
sinta sentir
responsável responsável
na em_o
sua seu
igreja igreja
de de
interceder interceder
pelo por_o
seu seu
pastor pastor
e e
por por
aqueles aquele
que que
ministra ministrar
a o
palavra palavra
sabe saber
pra pra
que que
para para
que que
quando quando
você você
ouve ouvir
uma um
palavra palavra
por por
mais muito
feijão feijão
com com
arroz arroz
que que
seja ser
mas mas
se se
ela ela
vínculo vínculo
graça graça
e e
com com
são são
parece parecer
que que
você você
nunca nunca
ouviu ouvir
aquilo aquilo
porque porque
o o
espírito espírito
santo santo
tem ter
o o
poder poder
de de
renovar renovar
a o
palavra palavra
então então
queria querer
aproveitar aproveitar
e e
deixar deixar
essa esse
dica dica
aqui aqui
com com
você você
escolhe escolher
pelo por_o
seu seu
pastor pastor
na em_o
hora hora
que que
ele ele
for ser
abrir abrir
a o
bíblia bíblia
diz dizer
eu eu
coloque colocar
uma um
palavra palavra
revelada revelar
na em_o
boca boca
desse de_esse
homem homem
pra pra
que que
essa esse
palavra palavra
possa poder
produzir produzir
vida vida
em em
mim eu
eu eu
quero querer
trazer trazer
uma um
palavra palavra
pra pra
vocês você
aqui aqui
efésios efésio
capítulo capítulo
5 5
751 @card@
efésios efésio
capítulo capítulo
5 5
versículo versículo
um um
diz dizer
assim assim
a o
palavra palavra
do de_o
senhor senhor
c c
depois depois
imitadores imitador
de de
deus deus
como como
filhos filho
amados amar
você você
pode poder
repetir repetir
esse esse
texto texto
eu eu
vou ir
começar começar
e e
vocês você
continua continuar
sei saber
que que
você você
é ser
filho filho
de de
deus deus
senhor senhor
não não
é ser
sim sim
ou ou
não não
pergunta perguntar
em em
quem quem
está estar
do de_o
seu seu
lado lado
você você
é ser
filho filho
de de
deus deus
é ser
filho filho
de de
deus deus
então então
eu eu
tenho ter
uma um
notícia notícia
pra pra
te tu
da de_o
equipe equipe
se se
você você
é ser
filho filho
de de
deus deus
trate tratar
de de
imitá imitá
lo lo
no em_o
texto texto
irmão irmão
c c
depois depois
de de
imitadores imitador
de de
deus deus
como como
filhos filho
amados amar
diga dizer
provocado provocar
solar solar
você você
é ser
filho filho
de de
deus deus
trate tratar
de de
mittal mittal
fala falar
aí aí
é ser
claro claro
e e
agora agora
escuto escutar
que que
eu eu
vou ir
dizer dizer
durante durante
toda todo
essa esse
minha meu
palavra palavra
e e
vou ir
treinar treinar
aqui aqui
com com
você você
durante durante
toda todo
minha meu
palavra palavra
vez vez
em em
quando quando
eu eu
vou ir
dizer dizer
assim assim
se se
você você
é ser
filho filho
de de
deus deus
aí aí
você você
vai ir
responder responder
eu eu
tenho ter
que que
emita emitir
lo lo
ok ok
eu eu
vou ir
perguntar perguntar
durante durante
toda todo
a o
mensagem mensagem
mais mais
ou ou
menos menos
assim assim
se se
você você
é ser
filho filho
de de
deus deus
guardou guardar
em em
é ser
a o
senha senha
se se
você você
é ser
filho filho
de de
deus deus
que que
a o
gente gente
tem ter
que que
imitar imitar
de de
deus deus
é ser
tanta tanto
coisa coisa
pastor pastor
então então
eu eu
vou ir
dar dar
aqui aqui
algumas algum
dicas dica
de de
algumas algum
coisas coisa
que que
como como
filho filho
de de
deus deus
que que
somos ser
temos ter
que que
imitar imitar
o o
primeiro primeiro
disco disco
que que
eu eu
vou ir
dizer dizer
oh oh
deus deus
que que
é ser
o o
nosso nosso
pai pai
é ser
um um
deus deus
de de
projetos projeto
deus deus
é ser
um um
deus deus
de de
projetos projeto
em em
apocalipse apocalipse
capítulo capítulo
13 13
versículo versículo
8 8
diz dizer
assim assim
o o
cordeiro cordeiro
que que
foi ser
morto morrer
antes antes
da de_o
fundação fundação
do de_o
mundo mundo
jesus jesus
não não
foi ser
morto morrer
antes antes
da de_o
fundação fundação
do de_o
mundo mundo
o o
que que
ele ele
está estar
falando falar
é ser
que que
deus deus
já já
tinha ter
preparado preparar
um um
projeto projeto
para para
o o
homem homem
e e
deus deus
é ser
um um
deus deus
de de
projeto projeto
deus deus
não não
é ser
um um
deus deus
que que
faz fazer
as o
coisas coisa
no em_o
aqui aqui
e e
no em_o
agora agora
e e
agora agora
vamos ir
fazer fazer
se se
deus deus
é ser
um um
deus deus
se se
projetos projeto
e e
eu eu
sou ser
filho filho
de de
deus deus
e e
tenho ter
que que
me eu
tala talar
eu eu
faço fazer
uma um
pergunta pergunta
lá lá
não não
é ser
fácil fácil
3 3
elas ele
são ser
rápidas rápido
pra pra
você você
respondeu responder
aí aí
pra pra
você você
qual qual
é ser
o o
seu seu
projeto projeto
de de
vida vida
e e
na em_o
obra obra
do de_o
acaso acaso
você você
não não
está estar
aqui aqui
por por
acidente acidente
o o
seu seu
projeto projeto
de de
vida vida
que que
você você
quer querer
chegar chegar
a a
construir construir
qual qual
o o
legado legado
que que
você você
quer querer
deixar deixar
para para
sua seu
família família
para para
seus seu
filhos filho
será ser
que que
vai ir
ficar ficar
perdido perder
bastou bastar
uma um
vez vez
na em_o
parte parte
da de_o
igreja igreja
que que
não não
gostava gostar
muito muito
do de_o
trabalho trabalho
do de_o
rapaz rapaz
que que
quer querer
da de_o
vida vida
o o
seu seu
filho filho
do de_o
rei rei
é ser
aquele aquele
de de
rei rei
é ser
servidor servidor
só só
se se
for ir
do de_o
reino reino
capeta capeta
meu meu
nome nome
só só
que que
qualquer qualquer
projeto projeto
de de
vida vida
segundo segundo
o o
qual qual
é ser
o o
projeto projeto
de de
família família
você você
é ser
filho filho
de de
deus deus
tem ter
que que
imitar imitar
a a
deus deus
deus deus
é ser
um um
deus deus
de de
projeto projeto
e e
não não
fez fazer
nada nada
na em_o
última último
hora hora
em em
cima cima
da de_o
hora hora
qual qual
é ser
o o
projeto projeto
de de
família família
quebra quebra
a o
tua tua
família família
você você
quer querer
ter ter
um um
marido marido
que que
chega chegar
para para
sua seu
esposa esposo
que que
é ser
que que
você você
quer querer
ver ver
seus seu
filhos filho
a a
prioridade prioridade
da de_o
mulher mulher
o o
marido marido
a a
prioridade prioridade
do de_o
marido marido
e e
mulher mulher
pra pra
começar começar
a o
história história
tá estar
lá lá
em em
primeira primeiro
coríntios coríntio
chat chat
a a
partir partir
do de_o
30 30
2t 2t
o o
projeto projeto
já já
que que
o o
teu teu
marido marido
é ser
a o
sua seu
prioridade prioridade
ea ea
tua tua
mulher mulher
sua seu
prioridade prioridade
é ser
filho filho
não não
é ser
filho filho
que que
a o
prioridade prioridade
não não
é ser
o o
marido marido
é ser
a o
mulher mulher
vai ir
ter ter
a o
bíblia bíblia
possível possível
que que
a o
prioridade prioridade
está estar
se se
acabando acabar
por por
um um
marmanjo marmanjo
e e
largando largar
teu teu
marido marido
com com
o o
seu seu
projeto projeto
de de
vida vida
com com
ele ele
há haver
como como
ficar ficar
2 2
velho velho
gagá gagá
é ser
meu meu
deus deus
quanta quantum
coisa coisa
nós nós
perdemos perder
demanda demanda
não não
fizemos fazer
nada nada
fácil fácil
é ser
o o
filho filho
é ser
minha meu
velha velho
agora agora
não não
adianta adiantar
maggi maggi
é ser
que que
tu tu
quer querer
que que
essa esse
mulher mulher
me eu
a o
mão mão
que que
quer querer
fazer fazer
um um
som som
para para
passear passear
uma um
vez vez
não não
vai ir
numa em_um
pastelaria pastelaria
pra pra
pagar pagar
um um
pastel pastel
com com
essa esse
bendita bendito
santa santo
meu meu
chapa chapa
que que
te tu
atura aturar
qual qual
é ser
o o
projeto projeto
com com
essa esse
mulher mulher
que que
tu tu
quer quer
construir construir
com com
ela ela
as o
irmãs irmã
estão estar
uma um
vez vez
eu eu
vi ver
um um
cara cara
dizia dizer
assim assim
pra pra
mim eu
é ser
normal normal
esse esse
negócio negócio
de de
achar achar
modernidade modernidade
que que
vocês você
ficam ficar
falando falar
quando quando
a o
mulher mulher
me eu
chamam chamar
aqui aqui
no em_o
meu meu
bolso bolso
tem ter
grana grana
entendeu entender
que que
ela ela
quiser querer
é ser
aqui aqui
o o
dinheiro dinheiro
ignorante ignorante
falando falar
a o
besta besta
quadrada quadrado
se se
pronunciando pronunciar
eu eu
cá cá
comigo com_eu
disse dizer
que que
o o
dinheiro dinheiro
é ser
tudo tudo
meu meu
chapa chapa
que que
você você
tem ter
dinheiro dinheiro
não não
porque porque
ela ela
quer querer
o o
corpo corpo
que que
te tu
falou falar
o o
rapaz rapaz
a o
tua tua
presença presença
o o
que que
eu eu
queria querer
muito muito
que que
essa esse
troca troca
de de
dinheiro dinheiro
tem ter
quando quando
é ser
que que
você você
projetar projetar
um um
dia dia
sair sair
só só
você você
e e
sua seu
mulher mulher
e e
não não
com com
essa esse
cambada cambar
de de
fedelho fedelho
do de_o
lado lado
onde onde
é ser
que que
tu tu
fez fazer
um um
projeto projeto
pra pra
fazer fazer
uma um
surpresa surpresa
para para
ela ela
com com
essa esse
surpresa surpresa
dizer dizer
que que
a o
mulher mulher
se se
pode poder
no em_o
shopping shopping
e e
comprar comprar
o o
que que
você você
quiser querer
nesse em_esse
cartão cartão
aí aí
[ [
Aplausos aplauso
] _
só só
não não
pode poder
passar passar
de de
50 50
reais real
e e
eu eu
tô tô
vendo ver
moços moço
e e
moças moça
aqui aqui
qual qual
o o
seu seu
projeto projeto
de de
vida vida
ao a_o
seu seu
projeto projeto
de de
família família
fica ficar
beliscando beliscar
as o
irmãs irmã
da de_o
igreja igreja
o o
garanhão garanhão
sem sem
vergonha vergonha
um um
dia dia
com com
um um
dia dia
com com
outra outro
um um
dia dia
com com
uma um
quanto quanto
o o
projeto projeto
família família
rapaz rapaz
quer querer
uma um
serva servo
do de_o
senhor senhor
que que
eu eu
vou ir
construir construir
uma um
história história
semelhante semelhante
direito direito
parece parecer
até até
maçaneta maçaneta
todo todo
mundo mundo
pega pegar
se se
não não
eu eu
não não
quero querer
isso isso
eu eu
quero querer
me eu
casar casar
com com
o o
camarada camarada
contra contra
o o
projeto projeto
sei saber
lá lá
o o
que que
aparecer aparecer
eu eu
tô tô
pastor pastor
já já
no em_o
novo novo
testamento testamento
eu eu
eu eu
cansei cansar
de de
ficar ficar
no em_o
antigo antigo
testamento testamento
esperei esperar
com com
paciência paciência
no em_o
senhor senhor
são ser
40 40
e e
profundos profundo
70 70
pressa pressa
ti tu
senhor senhor
não não
aconteceu acontecer
nada nada
aí aí
eu eu
já já
tô tô
no em_o
novo novo
testamento testamento
aquele aquele
que que
venha vir
a a
mim eu
de de
maneira maneira
nenhuma nenhum
lançarei lançar
fora fora
e e
é ser
isso isso
que que
eu eu
acho achar
que que
é ser
melhor bom
pra pra
você você
se se
apavorar apavorar
não não
eu eu
ia ir
falar falar
nada nada
disso de_isso
aqui aqui
mas mas
deus deus
está estar
com com
a o
filha filha
não não
fique ficar
ansiosa ansioso
porque porque
a o
sua seu
colega colega
casou casar
com com
19 19
anos ano
ea ea
outra outro
mig mig
cima cima
sua sua
caso caso
com com
21 21
ea ea
outra outro
menina menina
que que
é ser
mais mais
feia feio
do de_o
que que
você você
ela ela
casou casar
com com
22 22
e e
você você
tem ter
24 24
anos ano
25 25
ainda ainda
não não
apareceu aparecer
e e
calma calmo
calma calmo
em em
fique ficar
preocupada preocupado
alvoroçada alvoroçar
com com
o o
primeiro primeiro
abestado abestado
que que
cruzaram cruzar
seu seu
caminho caminho
planeta planeta
não não
eu eu
vou ir
deus deus
vai ir
me eu
dar dar
o o
marido marido
um um
homem homem
que que
eu eu
vou ir
ser ser
feliz feliz
aqui aqui
é ser
tati tati
vai ir
acontecer acontecer
se se
deus deus
é ser
o o
deus deus
do de_o
projeto projeto
com com
o o
seu seu
projeto projeto
de de
vida vida
a o
caixa caixa
projeta projetar
de de
família família
e e
qual qual
é ser
o o
seu seu
projeto projeto
no em_o
reino reino
de de
deus deus
o o
que que
é ser
que que
você você
está estar
fazendo fazer
no em_o
reino reino
com com
um um
lugar lugar
que que
deus deus
quer querer
que que
você você
esteja estar
com com
a o
vontade vontade
de de
deus deus
para para
você você
o o
que que
é ser
que que
você você
tem ter
sonhado sonhar
em em
fazer fazer
na em_o
obra obra
de de
deus deus
o o
que que
é ser
que que
você você
quer querer
realizar realizar
quando quando
você você
pensa pensar
que que
é ser
só só
pastor pastor
que que
tem ter
chamada chamar
eu eu
li ler
a o
história história
de de
charles charlar
colchão colchão
quando quando
ele ele
escreve escrever
um um
livro livro
que que
significa significar
amar amar
a a
deus deus
de de
uma um
mulher mulher
uma um
história história
linda lindo
uma um
mulher mulher
de de
82 82
anos ano
82 82
anos ano
não não
era ser
pastor pastor
há haver
nada nada
foi ser
abandonada abandonar
pela por_o
família família
que que
na em_o
américa américa
o o
sentido sentido
de de
família família
muito muito
diferente diferente
da de_o
gente gente
você você
vê ver
pessoa pessoa
de de
80 80
anos ano
dirigindo dirigir
o o
carro carro
sozinha só
sem sem
ninguém ninguém
cada cada
um um
é ser
que que
se se
vire virar
essa esse
senhora senhora
foi ser
colocada colocar
num em_um
asilo asilo
e e
quando quando
ela ela
chegou chegar
a a
ser ser
uma um
mulher mulher
crente crente
a o
mulher mulher
de de
deus deus
ela ela
disse dizer
para para
o o
senhor senhor
desse de_esse
senhor senhor
eu eu
leio ler
na em_o
minha meu
bíblia bíblia
em em
ezequiel ezequiel
37 37
que que
deus deus
de de
um um
vale vale
de de
ossos osso
sequíssima sequíssima
levantou levantar
um um
grande grande
exército exército
eu eu
estou estar
melhor bom
do de_o
que que
esse esse
vale valer
porque porque
eu eu
tenho ter
pele pele
eu eu
tenho ter
carne carne
eu eu
tenho ter
nervos nervo
se se
o o
que que
tu tu
queres querer
fazer fazer
ainda ainda
da de_o
minha meu
vida vida
uma um
mulher mulher
de de
82 82
anos ano
um um
dia dia
chega chegar
no em_o
' '
hall hall
' '
de de
poltronas poltrão
onde onde
ficava ficar
o o
pessoal pessoal
do de_o
asilo asilo
ela ela
pega pegar
um um
jornal jornal
matéria matéria
de de
primeira primeiro
página página
um um
presídio presídio
de de
segurança segurança
máxima grande
perto perto
daquela de_aquele
cidade cidade
presos preso
de de
periculosidade periculosidade
altíssima alto
até até
condenados condenar
à a_o
morte morte
e e
no em_o
jornal jornal
ea ea
escrita escrever
assim assim
um um
dos de_o
maiores grande
índices índice
de de
suicídio suicídio
em em
prisões prisão
nos em_o
estados estado
unidos unir
quando quando
ela ela
leu ler
aqui aqui
no em_o
espírito espírito
santo santo
falou falar
com com
ela ela
escreva escrever
cartas carta
para para
esses esse
homens homem
inscreva inscrever
cartas carta
para para
esse esse
presídio presídio
uma um
mulher mulher
de de
82 82
anos ano
que que
usavam usar
óculos óculo
de de
lente lente
gigantesca gigantesco
que que
tinha ter
quase quase
que que
deitar deitar
para para
saber saber
o o
que que
estava estar
escrevendo escrever
essa esse
mulher mulher
começou começar
a a
mandar mandar
cartas carta
para para
aquele aquele
presídio presídio
charles charlar
coulson coulson
que que
era ser
advogado advogar
de de
nixon nixon
um um
escândalo escândalo
ao a_o
gate gatar
ele ele
foi ser
preso prender
depois depois
que que
ele ele
foi ser
liberto libertar
ele ele
se se
converteu converter
e e
começou começar
a a
trabalhar trabalhar
em em
serviços serviço
com com
penitenciárias penitenciário
charles charlar
costa costa
então então
sabia saber
que que
naquele em_aquele
presídio presídio
não não
havia haver
um um
trabalho trabalho
de de
igreja igreja
e e
pela por_o
influência influência
política político
do de_o
partido partido
republicano republicano
ele ele
chegou chegar
nesse em_esse
presídio presídio
que que
essa esse
irmã irmã
anos ano
atrás atrás
nessa em_esse
reportagem reportagem
e e
ele ele
então então
pediu pedir
ao a_o
diretor diretor
para para
anunciar anunciar
no em_o
alto alto
falante falante
que que
ele ele
estaria estar
ali ali
numa em_um
sala sala
e e
diz dizer
a a
ele ele
que que
ele ele
estava estar
emocionado emocionar
porque porque
pela por_o
primeira primeiro
vez vez
alguém alguém
crente crente
a a
fazer fazer
um um
culto culto
numa em_um
sala sala
daquele de_aquele
presídio presídio
e e
ele ele
então então
estava estar
assim assim
será ser
que que
vai ir
ter ter
alguém alguém
será ser
que que
vai ir
ter ter
ninguém ninguém
ele ele
estava estar
emocionado emocionar
foi ser
anunciado anunciar
pelo por_o
alto alto
falante falante
e e
quando quando
eles eles
chega chegar
depois depois
que que
desce descer
da de_o
sala sala
do de_o
diretor diretor
e e
entra entrar
naquela em_aquele
sala sala
40 40
homens homem
estava estar
na em_o
sala sala
e e
quando quando
ele ele
entrou entrar
nessa em_esse
disse dizer
assim assim
esses esse
camaradas camarada
são ser
diferentes diferente
e e
o o
líder líder
de de
um um
sorriso sorriso
e e
disse dizer
assim assim
o o
meu meu
irmão irmão
nós nós
aqui aqui
somos ser
crentes crente
em em
jesus jesus
mas mas
qual qual
nunca nunca
veio vir
estou estar
aqui aqui
se se
assim assim
a a
cinco cinco
anos ano
nós nós
recebemos receber
cartas carta
de de
uma um
mulher mulher
que que
não não
conhecemos conhecer
quem quem
ela ela
é ser
mas mas
as o
cartas carta
dessa de_esse
mulher mulher
mudaram mudar
a o
nossa nosso
história história
ea ea
nossa nosso
vida vida
por por
favor favor
procure procurar
essa esse
mulher mulher
por por
favor favor
diga dizer
pra pra
ela ela
que que
aqui aqui
tem ter
40 40
homens homem
que que
estavam estar
fadados fadar
ao a_o
suicídio suicídio
a o
cadeira cadeira
elétrica elétrico
a o
desgraça desgraça
e e
hoje hoje
nós nós
servimos servir
a a
deus deus
ele ele
pegou pegar
endereço endereço
ficou ficar
curioso curioso
por por
saber saber
que que
era ser
mulher mulher
e e
foi ser
até até
a o
cidade cidade
entra entrar
numa em_um
rua rua
da de_o
horta horta
para para
enfrente enfrentar
o o
asilo asilo
diz dizer
não não
é ser
possível possível
não não
é ser
possível possível
não não
é ser
possível possível
ele ele
sobe subir
e e
chega chegar
na em_o
recepção recepção
desses de_esse
eu eu
queria querer
falar falar
com com
a o
senhora senhora
fulano fulano
de de
tal tal
segundo segundo
andar andar
quarto quarto
número número
total total
foram ser
não não
é ser
possível possível
negócio negócio
desse de_esse
de de
charles charlar
coulson coulson
que que
quando quando
ele ele
chega chegar
na em_o
porta porta
daquele de_aquele
quarto quarto
debate debate
uma um
voz voz
suave suave
baixa baixa
de de
uma um
pessoa pessoa
de de
idade idade
de de
entre entre
quando quando
ele ele
abre abrir
a o
porta porta
ele ele
vê ver
uma um
senhora senhora
de de
82 82
anos ano
com com
rosto rosto
colado colar
quase quase
no em_o
papel papel
escrevendo escrever
vagarosamente vagarosamente
uma um
carta carta
diz dizer
ele ele
que que
quando quando
aquela aquele
mulher mulher
volta volta
ao a_o
rosto rosto
pra pra
ele ele
ele ele
ver ver
a o
glória glória
de de
deus deus
naquela em_aquele
mulher mulher
e e
aí aí
eu eu
digo dizer
pra pra
você você
se se
uma um
mulher mulher
de de
82 82
anos ano
de de
idade idade
deus deus
diz dizer
para para
ela ela
quando quando
ela ela
disse dizer
dispõe dispor
de de
deus deus
eu eu
quero querer
fazer fazer
alguma algum
coisa coisa
na em_o
tua tua
obra obra
eu eu
ainda ainda
não não
morre morrer
como como
é ser
que que
você você
com com
toda todo
essa esse
energia energia
num em_um
e e
um um
projeto projeto
se se
você você
é ser
filho filho
de de
deus deus
que que
aqui aqui
houve haver
engasgou engasgar
se se
você você
é ser
filho filho
de de
deus deus
quais qual
são ser
os o
seus seu
projetos projeto
no em_o
reino reino
de de
deus deus
você você
pensa pensar
que que
veio vir
para para
esse esse
congresso congresso
para para
encher encher
a o
barriguinha barriga
aleluia aleluiar
que que
ma ma
na em_o
glória glória
mensagens mensagem
abençoadas abençoar
aleluia aleluia
totala totala
ficar ficar
do de_o
meu meu
amigo amigo
não não
veio vir
aqui aqui
pra pra
encher encher
a o
barriguinha barriga
do de_o
veio veio
aqui aqui
pra pra
ser ser
questionado questionar
do de_o
veio veio
aqui aqui
pra pra
ser ser
confrontado confrontar
nós nós
não não
estamos estar
fazendo fazer
um um
congresso congresso
para para
você você
se se
alegrar alegrar
nossa nosso
ideia ideia
nosso nosso
desejo desejo
é ser
que que
quando quando
você você
sair sair
daqui de_aqui
você você
vai ir
incendiar incendiar
a o
tua tua
família família
tua tua
igreja igreja
as o
pessoas pessoa
em em
sua seu
volta volta
o o
seu seu
trabalho trabalho
meu meu
irmão irmão
número número
2 2
que que
eu eu
possa poder
imitar imitar
de de
deus deus
número número
2 2
discutir discutir
essa esse
aqui aqui
é ser
muito muito
importante importante
deus deus
trabalha trabalhar
com com
organização organização
primeiro primeiro
deus deus
é ser
um um
deus deus
de de
projetos projeto
segundo segundo
deus deus
trabalha trabalhar
com com
organização organização
quando quando
a o
primeira primeiro
coríntios coríntio
capítulo capítulo
14 14
versículo versículo
33 33
diz dizer
que que
deus deus
não não
é ser
deus deus
de de
confusão confusão
é ser
porque porque
a o
confusão confusão
tem ter
a a
ver ver
com com
a o
desorganização desorganização
agora agora
a o
prenda prenda
princípios princípio
organizacionais organizacional
de de
deus deus
aprenda aprender
que que
é ser
importante importante
se se
você você
é ser
filho filho
de de
deus deus
então então
aprenda aprender
os o
princípios princípio
organizacionais organizacional
de de
deus deus
olha olhar
os o
princípios princípio
primeiro primeiro
deus deus
trabalha trabalhar
com com
prioridades prioridade
no em_o
princípio princípio
organizacional organizacional
de de
deus deus
deus deus
trabalha trabalhar
com com
prioridades prioridade
você você
quer querer
ver ver
em em
gênesis gênese
capítulo capítulo
1 1
diz dizer
que que
a o
terra terra
era ser
assim assim
em em
forma forma
e e
vazia vaziar
então então
a o
terra terra
era ser
um um
caos caos
qual qual
foi ser
a o
primeira primeiro
coisa coisa
que que
deus deus
fez fazer
e e
disse dizer
deus deus
haja haver
o o
que que
tem ter
que que
ver ver
a o
primeira primeiro
coisa coisa
para para
arrumar arrumar
a o
bagunça bagunça
tem ter
que que
haver haver
longe longe
porque porque
nas em_o
trevas treva
ninguém ninguém
viu ver
nada nada
a o
prioridade prioridade
deus deus
como como
é ser
coisa coisa
de de
deus deus
faz fazer
é é
luz luz
acendeu acender
a o
luz luz
se se
pode poder
arrumar arrumar
sua seu
casa casa
acendeu acender
a o
luz luz
você você
pode poder
arrumar arrumar
seu seu
quarto quarto
no em_o
escuro escuro
mesmo mesmo
que que
você você
entre entre
conheça conhecer
seu seu
