bem bem
lugar lugar
que que
determina determinar
esse esse
lugar lugar
aqui aqui
uma um
área área
de de
miscigenação miscigenação
social social
uma um
área área
de de
gente gente
pobre pobre
de de
gente gente
problemática problemático
uma um
área área
muito muito
desconsiderada desconsiderar
a o
questão questão
não não
é ser
o o
lugar lugar
a a
questão questão
é ser
a o
pessoa pessoa
é ser
quem quem
é ser
não não
é ser
o o
lugar lugar
quem quem
faz fazer
a o
diferença diferença
são ser
as o
pessoas pessoa
não não
é ser
o o
lugar lugar
que que
vai ir
determinar determinar
é é
quem quem
é ser
que que
tá estar
lá lá
eu eu
aprendo aprender
também também
uma um
outra outro
coisa coisa
interessante interessante
tem ter
pessoas pessoa
que que
vão ir
até até
no em_o
café café
mas mas
atrás atrás
das de_o
pessoas pessoa
erradas errar
recebe receber
onde onde
mais mais
ocorre ocorrer
isso isso
por por
incrível incrível
que que
parece parecer
ser ser
seb seb
onde onde
é ser
que que
é ser
o o
lugar lugar
certo certo
que que
as o
pessoas pessoa
vão ir
atrás atrás
de de
pessoas pessoa
erradas errar
sabe saber
o o
dia dia
que que
mais mais
acontece acontecer
isso isso
na em_o
igreja igreja
a a
igreja igreja
o o
lugar lugar
certo certo
lugar lugar
de de
culto culto
de de
adoração adoração
só só
que que
as o
pessoas pessoa
vão ir
atrás atrás
de de
pastor pastor
vão ir
atrás atrás
de de
cantou cantar
da de_o
irmã irmã
que que
ora ora
do de_o
irmão irmão
que que
tem ter
raio raio
x x
e e
revela revelar
que que
profetiza profetizar
sabe saber
vão ir
atrás atrás
do de_o
departamento departamento
que que
ele ele
trabalha trabalhar
do de_o
coral coral
que que
ele ele
canta cantar
vai ir
ao a_o
lugar lugar
certo certo
atrás atrás
de de
gente gente
errada errar
a o
igreja igreja
é ser
o o
lugar lugar
certo certo
só só
que que
a o
gente gente
certa certo
chama chamar
-se se
g g
suisse suisse
crichton crichton
isso isso
aqui aqui
é ser
pra pra
você você
entender entender
essa esse
muleta muleta
no em_o
lugar lugar
que que
não não
era ser
um um
lugar lugar
certo certo
mas mas
ela ela
estava estar
atrás atrás
da de_o
pessoa pessoa
certa certo
que que
é ser
jesus jesus
ela ela
tava tava
atrás atrás
do de_o
que que
é ser
certo certo
agora agora
número número
dois dois
essa esse
mulher mulher
é ser
essa esse
mulher mulher
ela ela
entende entender
ela ela
aprendeu aprender
o o
que que
é ser
a o
lei lei
e e
do de_o
reconhecimento reconhecimento
essa esse
mulher mulher
compreende compreender
além além
do de_o
reconhecimento reconhecimento
olha olhar
o o
que que
ela ela
vai ir
dizer dizer
gente gente
olha olhar
nunca nunca
freqüentou freqüentou
a o
igreja igreja
em em
que que
ela ela
vai ir
dizer dizer
uma um
mulher mulher
cananéia cananéia
daquelas de_aquele
cercanias cercania
clama clamar
dizendo dizer
senhor senhor
filho filho
de de
davi davi
ela ela
reconhece reconhecer
que que
jesus jesus
é ser
o o
messias messias
e e
ao a_o
senhor senhor
a o
bênção bênção
ea ea
vitória vitória
podem poder
estar estar
um um
palmo palmo
do de_o
teu teu
nariz nariz
mas mas
se se
você você
não não
reconhecer reconhecer
meu meu
filho filho
adianta adiantar
nada nada
muitas muito
vezes vez
a a
bênção bênção
ea ea
vitória vitória
tão tão
palmo palmar
a o
gente gente
nunca nunca
reconhecer reconhecer
a o
nossa nosso
cara cara
mas mas
aqui aqui
não não
adianta adiantar
bênção bênção
está estar
na em_o
minha meu
cara cara
eu eu
tenho ter
que que
reconhecer reconhecer
que que
a o
bênção bênção
eu eu
tenho ter
que que
reconhecer reconhecer
que que
é ser
deus deus
eu eu
tenho ter
que que
reconhecer reconhecer
que que
a o
porta porta
que que
ele ele
abre abrir
essa esse
mulher mulher
reconhece reconhecer
que que
jesus jesus
é ser
o o
messias messias
e e
ao a_o
senhor senhor
e e
quando quando
alguém alguém
chama chamar
jesus jesus
de de
messias messias
e e
quando quando
alguém alguém
chamar chamar
ele ele
de de
senhor senhor
meu meu
filho filho
ele ele
pára parar
pra pra
dá dar
atenção atenção
essa esse
pessoa pessoa
sabe saber
que que
eu eu
sou ser
essa esse
pessoa pessoa
me eu
reconhece reconhecer
e e
ela ela
não não
era ser
frequentadora frequentador
de de
igreja igreja
interessante interessante
terceiro terceiro
lugar lugar
essa esse
mulher mulher
é ser
uma um
mulher mulher
focada focar
qual qual
é ser
a o
prioridade prioridade
dessa de_esse
mulher mulher
essa esse
mulher mulher
vive viver
numa em_um
região região
de de
gente gente
pobre pobre
é ser
mais mais
uma um
delas de_elas
essa esse
moléstia moléstia
muitas muitas
necessidades necessidade
mas mas
qual qual
é ser
o o
seu seu
foco foco
endemoniada endemoniado
essa esse
mulher mulher
prendeu prender
uma um
escala escala
de de
valor valor
o o
que que
é ser
prioridade prioridade
o o
que que
é ser
secundário secundário
tem ter
gente gente
que que
trata tratar
quais qual
as o
secundárias secundário
como como
prioritárias prioritário
na em_o
tua tua
vida vida
você você
deve dever
ter ter
uma um
escala escala
de de
valor valor
para para
você você
saber saber
o o
que que
tem ter
mais muito
valor valor
- -
valor valor
para para
você você
saber saber
qual qual
é ser
a o
tua tua
prioridade prioridade
no em_o
momento momento
mesmo mesmo
que que
você você
esteja estar
rodeado rodear
de de
problemas problema
tem ter
uma um
prioridade prioridade
e e
você você
precisa precisar
focar focar
naquilo em_aquilo
que que
é ser
mais mais
importante importante
essa esse
moléstia moléstia
diversos diversos
problemas problema
mas mas
o o
problema problema
maior grande
dela de_ela
era ser
uma um
filha filha
miseravelmente miseravelmente
endemoniada endemoniado
qual qual
é ser
o o
teu teu
principal principal
problema problema
qual qual
é ser
a o
tua tua
prioridade prioridade
agora agora
o o
que que
eu eu
acho achar
incrível incrível
nessa em_esse
mulher mulher
é ser
que que
essa esse
mulher mulher
possuía possuir
discernimento discernimento
espiritual espiritual
e e
encarava encarar
a o
realidade realidade
da de_o
vida vida
não não
é ser
impressionante impressionante
essa esse
mulher mulher
chega chegar
pra para_o
gente gente
assim assim
minha meu
filha filha
está estar
miserável miserável
mente mente
endemoniada endemoniado
para para
entender entender
se se
a o
família família
nunca nunca
freqüentou freqüentou
a o
igreja igreja
essa esse
mulher mulher
discerniu discernir
entre entre
o o
espiritual espiritual
e e
humano humano
o o
espiritual espiritual
eo eo
psíquico psíquico
um um
negócio negócio
fabuloso fabuloso
tem ter
grande grande
com com
50 50
de de
igreja igreja
dizendo dizer
que que
é ser
demônio demônio
quando quando
a o
questão questão
emocional emocional
exigindo exigir
que que
emocionou emocionar
quando quando
a o
questão questão
é ser
capeta capeta
é ser
incrível incrível
uma um
vez vez
quando quando
a o
gente gente
era ser
mais mais
novo novo
na em_o
nossa nosso
igreja igreja
entrou entrar
uma um
mulher mulher
me eu
lembro lembrar
de de
um um
metro metro
e e
noventa noventa
na em_o
zona zona
de de
altura altura
pelo por_o
portão portão
6 6
luz luz
inata inato
eu eu
era ser
jovem jovem
na em_o
igreja igreja
era ser
jovem jovem
nunca nunca
me eu
esqueci esquecer
dessa de_esse
cena cena
aí aí
um um
digno digno
abrir abrir
o o
servo servo
do de_o
senhor senhor
a o
mulher mulher
com com
cabelão cabelo
grande grande
nunca nunca
vou ir
me eu
esquecer esquecer
daquela de_aquele
cena cena
ele ele
para para
a o
mulher mulher
ele ele
tinha ter
uma um
mania mania
uma um
maneira maneira
estúpida estúpido
de de
repreender repreender
de de
mulher mulher
para para
mulher mulher
pelo por_o
cabelo cabelo
esqueceu esquecer
que que
depois depois
que que
o o
mundo mundo
vai ir
embora embora
o o
solavanco solavanco
da de_o
cabeça cabeça
vai ir
deixar deixar
dolorido dolorido
eu eu
nunca nunca
vou ir
me eu
esquecer esquecer
da de_o
cena cena
ele ele
paulo paulo
a ela
agarrou agarrar
pelo por_o
cabelo cabelo
lá lá
diabo diabo
tu tu
vai ir
sair sair
dela de_ela
meu meu
irmão irmão
e e
ele ele
era ser
meia meio
altura altura
mais mais
ou ou
menos menos
uma um
mulher mulher
de de
um um
metro metro
e e
noventa noventa
e e
um um
cara cara
de de
1 1
68 68
irmão irmão
quando quando
ele ele
falou falar
eu eu
vou ir
repreender repreender
esse esse
demônio demônio
meu meu
irmão irmão
a a
mulher mulher
largo largo
lhe ela
uma um
bofetada bofetada
no em_o
meio meio
da de_o
lata lata
jesus jesus
o o
assassinato assassinato
na em_o
minha meu
memória memória
eu eu
tinha ter
uns um
16 16
anos ano
a o
mulher mulher
fez fazer
assim assim
o o
demônio demônio
quebrou quebrar
eu eu
falei falar
misericórdia misericórdia
o o
cabouco cabouco
booth booth
do de_o
narrado narrado
aí aí
a o
mulher mulher
estava estar
surtada surtada
ela ela
teve ter
um um
surto surto
psicótico psicótico
não não
era ser
demônio demônio
na em_o
área área
demônio demônio
talvez talvez
eu eu
me eu
trouxe trazer
a a
falar falar
isso isso
aqui aqui
pra pra
alguém alguém
que que
está estar
tratando tratar
como como
demônio demônio
uma um
doença doença
mental mental
emocional emocional
que que
precisa precisar
tomar tomar
remédio remédio
para para
regularizar regularizar
porque porque
é ser
uma um
idéia idéia
equivocada equivocar
e e
preconceituosa preconceituoso
de de
que que
uma um
pessoa pessoa
que que
tem ter
algum algum
distúrbio distúrbio
mental mental
é ser
maluco maluco
e e
acabou acabar
se se
está estar
enganado enganar
você você
está estar
enganado enganar
uma um
pessoa pessoa
que que
pode poder
ter ter
um um
distúrbio distúrbio
mental mental
se se
ela ela
tiver ter
uma um
terapia terapia
medicamentosa medicamentoso
ela ela
vive viver
uma um
vida vida
regular regular
e e
não não
é ser
demônio demônio
o o
jesus jesus
cura cura
vai ir
ter ter
que que
tomar tomar
remédio remédio
como como
qualquer qualquer
outra outro
doença doença
seja ser
do de_o
coração coração
dos de_o
rins rim
do de_o
paço paço
da de_o
perna perna
o o
toma tomar
remédio remédio
ou ou
jesus jesus
cura cura
e e
as o
doenças doença
mentais mental
também também
e e
nós nós
estamos estar
dizendo dizer
é é
demônio demônio
é ser
de de
money money
esquizofrenia esquizofrenia
não não
é ser
demônio demônio
quem quem
viu ver
o o
filme filme
uma um
mente mente
brilhante brilhante
o o
camarada camarada
que que
ganhou ganhar
o o
nobel nobel
de de
economia economia
de de
1986 1986
o o
nobel nobel
de de
economia economia
um um
gênio gênio
na em_o
matemática matemática
ele ele
era ser
esquizofrênico esquizofrênico
até até
descobrir descobrir
até até
que que
naquela em_aquele
época época
a o
medicação medicação
tava tava
se se
modernizando modernizar
até até
equilibrar equilibrar
o o
cara cara
esse esse
cara cara
sofreu sofrer
para para
um um
filme filme
mostra mostrar
então então
essa esse
mulher mulher
que que
eu eu
admiro admirar
nessa em_esse
mulher mulher
para para
mulher mulher
que que
nunca nunca
freqüentou freqüentou
a o
igreja igreja
ela ela
diz dizer
assim assim
a o
filha filha
tem ter
moeda moeda
não não
olha olhar
o o
capeta capeta
que que
está estar
nessa em_esse
garota garota
é ser
um um
capita capitar
de de
ação ação
capita capitar
su su
arrebenta arrebentar
minha meu
filha filha
está estar
ela ela
ela ela
define definir
o o
grid grid
al al
é ser
incrível incrível
é ser
só só
eu eu
tomasse tomar
no em_o
demônio demônio
não não
não não
ela ela
define definir
o o
grau grau
do de_o
poder poder
do de_o
endemoniada endemoniado
uma um
outra outro
coisa coisa
que que
eu eu
gosto gostar
dessa de_esse
mulher mulher
a o
mulher mulher
extraordinária extraordinário
é ser
que que
ela ela
não não
foge fugir
da de_o
realidade realidade
o o
jesus jesus
dá dar
para para
fazer fazer
uma um
oração oração
pela por_o
minha meu
filha filha
estou estar
com com
um um
probleminha probleminha
lá lá
em em
casa casa
que que
problema problema
não não
está estar
com com
um um
abacaxi abacaxi
mais mais
um um
piloto piloto
junto junto
a a
ser ser
descascado descascar
e e
vem vir
com com
essa esse
falácia falácia
que que
está estar
comprando comprar
disse dizer
a o
mulher mulher
abrir abrir
o o
verbo verbo
rádio rádio
coração coração
minha meu
filha filha
está estar
miseravelmente miseravelmente
na em_o
molhada molhar
aleluia aleluia
estamos estar
em em
vitória vitória
glória glória
a a
deus deus
estamos estar
evitando evitar
que que
vittorio vittorio
está estar
fazendo fazer
o o
carnaval carnaval
na em_o
tua tua
casa casa
em em
vitória vitória
rapá rapá
reconheça reconhecer
a o
realidade realidade
da de_o
tua tua
vida vida
da de_o
tua tua
casa casa
pra pra
você você
poder poder
trazer trazer
a o
solução solução
real real
do de_o
problema problema
você você
não não
pode poder
supervalorizar supervalorizar
um um
problema problema
nem nem
menor pequeno
de de
prezar prezar
o o
problema problema
você você
precisa precisar
da de_o
realidade realidade
do de_o
problema problema
no em_o
nosso nosso
meio meio
aquele aquele
velho velho
ditado ditado
gente gente
fazendo fazer
tempestade tempestade
em em
copo copo
d d
' '
água água
e e
gente gente
dizendo dizer
que que
tu tu
diz dizer
unami unami
é é
marola marola
rapaz rapaz
que que
nível nível
a a
esse esse
problema problema
que que
gravar gravar
esse esse
problema problema
qual qual
é ser
a o
realidade realidade
hoje hoje
e e
parte parte
pra pra
pedir pedir
ajuda ajuda
dentro dentro
da de_o
área área
você você
tem ter
que que
entender entender
isso isso
eu eu
me eu
lembro lembrar
já já
contei contar
aqui aqui
contar contar
de de
novo novo
não não
custa custar
nada nada
muita muito
gente gente
aqui aqui
não não
estava estar
num em_um
dia dia
que que
eu eu
falei falar
eu eu
me eu
lembro lembrar
que que
eu eu
andava andar
essa esse
minha meu
vida vida
se se
internadas internar
e e
agitado agitar
uma um
vida vida
muito muito
tranquila tranquilo
procurei procurar
a o
polícia polícia
e e
aí aí
eu eu
vinha vir
muito muito
muito muito
estresse estressar
muita muito
batalha batalha
muita muito
demanda demanda
eu eu
comecei começar
a a
perder perder
sono sono
e e
acordar acordar
cedo cedo
sem sem
cansaço cansaço
dormir dormir
pouco pouco
dormir dormir
tarde tarde
acordar acordar
muito muito
cedo cedo
e e
eu eu
comecei começar
a a
aquilo aquilo
a a
você você
começa começar
a a
perceber perceber
o o
nível nível
de de
estresse estresse
e e
lá lá
no em_o
rio rio
de de
janeiro janeiro
tem ter
um um
pastor pastor
que que
é ser
psiquiatra psiquiatra
doutor doutor
fábio fábio
damasceno damasceno
famoso famoso
um um
cara cara
de de
alto alto
nível nível
eu eu
falei falar
o o
doutor doutor
fábio fábio
damasceno damasceno
porque porque
eu eu
tô tô
sentindo sentir
que que
essa esse
brincadeira brincadeira
isso isso
vai ir
dar dar
um um
bom bom
resultado resultado
eu eu
comecei começar
a a
sentir sentir
e e
aí aí
eu eu
estava estar
cuspindo cuspir
marimbondos marimbondo
não não
marimbanda marimbandar
board board
um um
bicho bicho
de de
ferrão ferrão
aí aí
forte forte
correcta correcto
o o
nome nome
eu eu
estava estar
construindo construir
escorpião escorpião
que que
marimbondo marimbondo
é ser
o o
cara cara
falava falar
uma um
coisa coisa
já já
vinha vir
com com
10 10
pela por_o
repete repetir
não não
posso poder
ir ir
para para
o o
show show
todo todo
na em_o
porta porta
do de_o
show show
tá estar
bom bom
eu eu
estressado estressar
aí aí
foi ser
no em_o
total total
fábio fábio
damasceno damasceno
porquê porquê
porque porque
eu eu
sabia saber
que que
eu eu
precisava precisar
de de
uma um
terapia terapia
medicamentosa medicamentoso
eu eu
não não
vim vir
aqui aqui
é ser
o o
todo todo
todo todo
brasileiro brasileiro
é ser
um um
médico médico
em em
potencial potencial
ele ele
mesmo mesmo
se se
medica medicar
eu eu
fui ser
doutor doutor
fábio fábio
damasceno damasceno
eu eu
estou estar
na em_o
sala sala
de de
está estar
uma um
sala sala
de de
está estar
achando achar
uma um
pessoa pessoa
o o
senhor senhor
é ser
o o
show show
silas silas
malafaia malafaia
pastor pastor
fala falar
assim assim
que que
ele ele
estava estar
aqui aqui
o o
tratorista tratorista
que que
eu eu
falei falar
vim vir
comprar comprar
carne carne
quase quase
tolerância tolerância
zero zero
quase quase
marcar marcar
quase quase
quase quase
eu eu
falei falar
se se
perguntar perguntar
de de
novo novo
falar falar
bobagem bobagem
ver ver
e e
comprar comprar
pipoca pipoca
tia tio
eu eu
falei falar
estou estar
aqui aqui
se se
atendido atender
pelo por_o
doutor doutor
fábio fábio
damasceno damasceno
a a
a ela
acentuou acentuar
que que
após após
chegar chegar
a o
outra outro
passou passar
pela por_o
falha falho
eu eu
falei falar
se se
o o
que que
está estar
fazendo fazer
aqui aqui
eu eu
falei falar
ah ah
não não
isso isso
não não
vai ir
dar dar
essa esse
será ser
mais mais
uma um
que que
a o
casa casa
vai ir
cair cair
o o
doutor doutor
vai ir
votar votar
na em_o
camisa camisa
de de
força força
eu eu
falei falar
eu eu
acho achar
que que
é ser
a o
mesma mesmo
coisa coisa
que que
você você
se se
vê ver
se se
consultar consultar
com com
o o
doutor doutor
fábio fábio
da de_o
maçã maçã
como como
dizer dizer
não não
eu eu
vim vir
aqui aqui
porque porque
é ser
dentista dentista
e e
aí aí
doutor doutor
fábio fábio
damasceno damasceno
assim assim
malafaia malafaia
copa copa
é ser
o o
seguinte seguinte
a a
esse esse
remédio remédio
por por
uma um
semana semana
depois depois
para para
no em_o
terceiro terceiro
dia dia
ele ele
vai ir
de de
quebrar quebrar
mas mas
não não
pare parar
não não
tome tomar
os o
sete sete
dias dia
a a
um um
circo circo
o o
problema problema
do de_o
remédio remédio
desse de_esse
tipo tipo
de de
remédio remédio
é ser
que que
se se
você você
toma tomar
três três
dias dia
daqui de_aqui
a a
pouco pouco
você você
passa passar
por por
um um
outro outro
stress stress
tomar tomar
de de
novo novo
vai ir
desequilibrar desequilibrar
o o
teu teu
ciclo ciclo
do de_o
sono sono
que que
o o
sono sono
tem ter
um um
chico chico
ele ele
falou falar
comigo com_eu
por por
uma um
semana semana
no em_o
terceiro terceiro
dia dia
eu eu
estava estar
chamando chamar
urubu urubu
de de
meu meu
louro louro
acordando acordar
meu meu
irmão irmão
com com
sono sono
lascar lascar
disse dizer
mú mú
de de
pesado pesado
pra pra
jesus jesus
tem ter
misericórdia misericórdia
ea ea
avó avó
dele de_ele
não não
pare parar
sete sete
dias dia
no em_o
quinto quinto
dia dia
sangue sangue
do de_o
cordeiro cordeiro
eu eu
não não
queria querer
levantar levantar
da de_o
cama cama
no em_o
cespu cespu
eu eu
queria querer
dormir dormir
24 24
horas hora
no em_o
7º 7º
urman urman
eu eu
parei parar
meu meu
sono sono
voltou voltar
a a
ficar ficar
regulado regular
ei ei
você você
não não
pode poder
fugir fugir
da de_o
tua tua
realidade realidade
de de
vida vida
eu eu
encontrei encontrar
um um
pastor pastor
que que
eu eu
sabia saber
que que
estava estar
com com
um um
problema problema
eu eu
falei falar
rapaz rapaz
busca buscar
um um
terapeuta terapeuta
sabe saber
qual qual
foi ser
a o
resposta resposta
do de_o
cara cara
pra pra
mim eu
eu eu
sou ser
conhecido conhecido
e e
se se
alguém alguém
me eu
ver ver
lá lá
irmão irmão
irmão irmão
quase quase
como como
eu eu
sabia saber
que que
ele ele
estava estar
numa em_um
coisa coisa
que que
eu eu
falei falar
então então
morra morrer
miserável miserável
quase quase
então então
morra morrer
você você
está estar
dando dar
uma um
orientação orientação
e e
o o
cara cara
a a
minha meu
reputação reputação
que que
reputação reputação
rapaz rapaz
reconheça reconhecer
a o
realidade realidade
da de_o
tua tua
vida vida
e e
vá ir
buscar buscar
socorro socorro
naquilo em_aquilo
que que
pode poder
resolver resolver
hotel hotel
problema problema
ou ou
amenizar amenizar
a o
tua tua
do de_o
em em
quinto quinto
lugar lugar
o o
que que
eu eu
acho achar
aqui aqui
é ser
incrível incrível
nessa em_esse
mulher mulher
é ser
que que
essa esse
mulher mulher
tem ter
uma um
resistência resistência
toda todo
a o
prova prova
ela ela
começa começar
a a
clamar clamar
jesus jesus
não não
responde responder
nada nada
ela ela
tem ter
uma um
resistência resistência
toda todo
a o
oposição oposição
porque porque
o o
silêncio silêncio
de de
uma um
pessoa pessoa
quando quando
você você
tá estar
reclamando reclamar
a o
ela ela
a o
pessoa pessoa
fazendo fazer
não não
vai ir
resolver resolver
o o
problema problema
não não
ela ela
continua continuar
clamando clamar
os o
discípulos discípulo
ficam ficar
incomodados incomodar
com com
essa esse
mulher mulher
pedem pedir
para para
o o
mestre mestre
dispensar dispensar
ela ela
tá estar
vendo ver
ela ela
não não
desiste desistir
jesus jesus
diz dizer
que que
ela ela
não não
é ser
a o
prioridade prioridade
dele de_ele
e e
ela ela
não não
desiste desistir
essa esse
mulher mulher
tem ter
uma um
resistência resistência
a a
oposição oposição
incrível incrível
eu eu
pergunto perguntar
a a
você você
como como
é ser
que que
é ser
você você
quando quando
alguém alguém
não não
quer querer
atender atender
o o
teu teu
clamor clamor
como como
é ser
que que
você você
reage reagir
quando quando
alguém alguém
não não
quer querer
te tu
ajudar ajudar
na em_o
sua seu
necessidade necessidade
eu eu
vou ir
melhorar melhorar
como como
é ser
que que
você você
reage reagir
quando quando
você você
vai ir
buscar buscar
socorro socorro
com com
aquele aquele
que que
pode poder
resolver resolver
o o
problema problema
não não
te tu
dá dar
atenção atenção
essa esse
mulher mulher
ela ela
não não
é ser
convencida convencer
por por
palavras palavra
ela ela
vai ir
convencer convencer
com com
palavras palavra
ou ou
mostra mostrar
que que
há haver
pouco pouco
pra pra
você você
ela ela
não não
é ser
convencida convencer
por por
palavras palavras
não não
daquela de_aquele
vai ir
conversar conversar
com com
ela ela
já já
o o
que que
move mover
em em
outra outro
coisa coisa
extraordinária extraordinário
dessa de_esse
mulher mulher
essa esse
mulher mulher
tem ter
a o
percepção percepção
qual qual
é ser
a o
hora hora
certa certo
do de_o
acesso acesso
ao a_o
lugar lugar
especial especial
essa esse
mulher mulher
entendeu entender
da de_o
lei lei
do de_o
protocolo protocolo
olha olhar
aqui aqui
a o
cena cena
jesus jesus
na em_o
frente frente
rodeado rodear
pelo por_o
discípulo discípulo
está estar
um um
pouco pouco
na em_o
frente frente
nem nem
aquela aquele
roda roda
então então
é ser
jesus jesus
na em_o
frente frente
discípulos discípulo
ea ea
mulher mulher
gritando gritar
ela ela
está estar
clamando clamar
jesus jesus
não não
fala falar
nada nada
ela ela
continua continuar
reclamando reclamar
o o
discípulos discípulo
falam falar
pra pra
jesus jesus
acerca acerca
dela de_ela
e e
jesus jesus
diz dizer
algo algo
para para
os o
discípulos discípulo
em em
relação relação
a a
ela ela
então então
olha olhar
o o
que que
aquela aquele
taima taima
ela ela
está estar
pensando pensar
ah ah
tá estar
entendendo entender
bem bem
ele ele
está estar
falando falar
do de_o
meu meu
caso caso
está estar
na em_o
hora hora
de de
eu eu
chegar chegar
mais mais
perto perto
enquanto enquanto
jesus jesus
não não
fala falar
do de_o
caso caso
dela de_ela
ela ela
continua continuar
na em_o
posição posição
que que
ela ela
tá estar
olha olhar
que que
percepção percepção
dessa de_esse
mulher mulher
ela ela
está estar
clamando clamar
resulta resultar
falei falar
nada nada
estou estar
continuando continuar
a a
clamar clamar
ela ela
está estar
clamando clamar
os o
discípulos discípulo
e e
incomodado incomodar
perde perder
mesmo mesmo
para para
desimpedir desimpedir
ela ela
continua continuar
a a
clamar clamar
aí aí
jesus jesus
vai ir
dizer dizer
algo algo
sobre sobre
ela ela
olha olhar
só só
ver ver
se se
por por
24 24
25 25
23 23
mas mas
ele ele
não não
me eu
respondeu responder
palavra palavra
e e
os o
seus seu
discípulos discípulo
chegando chegar
a a
perder perder
e e
roubaram roubar
lhe ele
dizendo dizer
de de
sped sped
que que
vem vir
gritando gritar
atrás atrás
de de
nós nós
e e
ele ele
respondendo responder
disse dizer
eu eu
não não
fui ser
enviado enviar
se se
não não
as o
ovelhas ovelha
perdidas perder
da de_o
casa casa
de de
israel israel
versículo versículo
25 25
então então
chegou chegar
ela ela
então então
chegou chegar
ela ela
ei ei
querido querer
e e
querida querer
você você
tem ter
que que
saber saber
a o
hora hora
que que
você você
vai ir
chegar chegar
perto perto
de de
quem quem
pode poder
solucionar solucionar
o o
seu seu
problema problema
aprenda aprender
a o
lei lei
do de_o
protocolo protocolo
espera esperar
hora hora
certa certo
nem nem
mias miar
falou falar
com com
