abra abrir
e e
não não
coloque colocar
em em
prática prática
é ser
porque porque
não não
sabe saber
o o
que que
querem querer
indecisos indeciso
uma um
hora hora
que que
é ser
uma um
coisa coisa
outra outro
hora hora
de de
outra outro
coisa coisa
segunda segundo
feira feira
que que
é ser
uma um
coisa coisa
corda corda
terça terça
feira feira
querendo querer
outra outra
e e
antes antes
de de
dormir dormir
já já
que que
a o
outra outro
de de
madrugada madrugada
tem ter
um um
sonho sonho
que que
a o
outra outro
de de
manhã manhã
sáb sábado
a o
bíblia bíblia
diz dizer
em em
thiago thiago
18 18
que que
o o
homem homem
de de
coração coração
do de_o
bebê bebê
é ser
inconstante inconstante
em em
todos todo
os o
seus seu
caminhos caminho
do de_o
be be
você você
sabia saber
que que
o o
paciente paciente
mais mais
difícil difícil
para para
ser ser
tratado tratar
na em_o
terapia terapia
são ser
os o
indecisos indeciso
esse esse
é ser
esse esse
é ser
o o
paciente paciente
que que
o o
psicólogo psicólogo
tem ter
que que
ser ser
muito muito
fera fero
sabe saber
aquela aquele
coisa coisa
toda todo
que que
é ser
uma um
coisa coisa
ora ora
que que
a a
fazer fazer
um um
negócio negócio
para para
mim eu
acaba acabar
não não
fazendo fazer
nada nada
porque porque
pessoas pessoa
em em
prática prática
porque porque
querem querer
que que
deus deus
faça fazer
aquilo aquilo
que que
eles eles
têm ter
que que
fazer fazer
eu eu
tenho ter
uma um
notícia notícia
boa bom
parte parte
da de_o
fé fé
que que
deus deus
não não
move mover
uma um
palha palha
naquilo em_aquilo
que que
é ser
a o
sua seu
capacidade capacidade
pode poder
e e
deus deus
move mover
o o
céu céu
inteiro inteiro
onde onde
você você
não não
pode poder
as o
pessoas pessoa
querem querer
que que
deus deus
decidam decidir
coisas coisa
que que
eles eles
têm ter
que que
decidir decidir
muitas muito
vezes vez
cedendo ceder
alguma algum
coisa coisa
muitas muito
vezes vez
sentando sentar
para para
conversar conversar
há há
muitas muito
vezes vez
tomando tomar
uma um
atitude atitude
então então
não não
deus deus
vaginal vaginal
deus deus
vai ir
fazer fazer
mas mas
não não
vou ir
fazer fazer
não não
eu eu
não não
criei criar
um um
robô robô
eu eu
creio crer
não não
ser ser
a o
minha meu
imagem imagem
e e
semelhança semelhança
eu eu
creio crer
ser ser
dotado dotar
de de
capacidades capacidade
foi ser
uma um
coisa coisa
que que
não não
tem ter
nada nada
a a
ver ver
com com
a o
mensagem mensagem
mas mas
só só
com com
você você
entender entender
você você
sabe saber
que que
um um
dos de_o
motivos motivo
de de
satanás satanás
se se
rebelar rebelar
contra contra
deus deus
é ser
porque porque
satanás satanás
queria querer
aquilo aquilo
que que
nós nós
temos ter
não não
saber saber
disso de_isso
não não
olha olhar
que que
satanás satanás
é ser
uma um
classe classe
angelical angelical
há haver
uma um
classe classe
que que
o o
hub hub
lub lub
ungido ungir
no em_o
santo santo
monte monte
de de
deus deus
eu eu
estabeleci estabelecer
ele ele
era ser
chamado chamar
do de_o
aferidor aferidor
de de
medida medida
isso isso
é ser
se se
alguém alguém
aqui aqui
deus deus
transportasse transportar
para para
os o
tempos tempo
da de_o
eternidade eternidade
passado passar
antes antes
da de_o
queda queda
de de
lúcifer lúcifer
e e
se se
você você
chegasse chegar
diante diante
de de
deus deus
perguntas pergunta
assim assim
deus deus
me eu
dá dar
um um
exemplo exemplo
máximo grande
no em_o
terreno terreno
de de
sabedoria sabedoria
beleza beleza
e e
poder poder
de de
deus deus
e e
dizer dizer
olhe olhar
para para
lúcifer lúcifer
lá lá
ezequiel ezequiel
28 28
era ser
um um
aferidor aferidor
de de
medida medida
mas mas
tem ter
um um
texto texto
de de
isaías isaías
que que
ele ele
vai ir
mostrar mostrar
botar botar
as o
manguinhas manguinhas
de de
fora fora
subirei subirei
a o
tese tese
mais mais
altas alto
nuvens nuvem
e e
serei ser
semelhante semelhante
ao a_o
altíssimo alto
deus deus
fez fazer
o o
homem homem
à a_o
sua seu
imagem imagem
e e
semelhança semelhança
nós nós
temos ter
uma um
coisa coisa
que que
o o
diabo diabo
não não
tem ter
olha olhar
como como
é ser
que que
você você
é ser
tão tão
precioso precioso
e e
tão tão
importante importante
você você
tem ter
algo algo
que que
o o
diabo diabo
não não
tem ter
e e
como como
deus deus
fez fazer
você você
à a_o
sua seu
imagem imagem
e e
semelhança semelhança
cotado cotar
de de
atributos atributo
comunicáveis comunicável
da de_o
divindade divindade
que que
o o
homem homem
tem ter
os o
atributos atributo
comunicáveis comunicável
a o
personalidade personalidade
é ser
um um
atributo atributo
comunicado comunicar
da de_o
divindade divindade
deus deus
não não
ser ser
pessoal pessoal
fez fazer
eles eles
pessoais pessoal
a a
outros outro
atributos atributo
do de_o
caráter caráter
de de
deus deus
com com
uma um
boa bom
vontade vontade
misericórdia misericórdia
compaixão compaixão
são ser
atributos atributo
da de_o
divindade divindade
como como
cada cada
um um
homem homem
então então
deus deus
não não
faz fazer
coisas coisa
que que
você você
pode poder
fazer fazer
pode poder
chorar chorar
pode poder
gritar gritar
pode poder
joá joá
da de_o
cambalhota cambalhota
feita fazer
na em_o
igreja igreja
não não
vai ir
fazer fazer
porque porque
deus deus
trabalha trabalhar
com com
princípios princípio
e e
com com
leis lei
e e
doutor doutor
você você
de de
aptidões aptidão
e e
talentos talento
e e
coisas coisa
que que
é ser
pra pra
você você
resolver resolver
é ser
pra pra
você você
agir agir
e e
não não
adianta adiantar
choramingar choramingar
você você
quer querer
que que
deus deus
tome tomar
decisões decisão
em em
áreas área
que que
você você
tem ter
que que
tomar tomar
então então
meu meu
filho filho
você você
não não
coloca colocar
em em
prática prática
6º 6º
lugar lugar
porque porque
pessoas pessoa
tomam tomar
decisão decisão
e e
não não
colocam colocar
em em
prática prática
porque porque
querem querer
que que
outros outro
decidam decidir
por por
ela ela
e e
aqui aqui
eu eu
quero querer
dar dar
um um
alerta alerta
duas dois
categorias categoria
de de
pessoas pessoa
pai pai
pai pai
e e
pastores pastorar
porque porque
é ser
pastor pastor
o o
show show
que que
é ser
dar dar
alerta alerta
duas dois
categorias categoria
de de
pastores pastor
preste prestar
atenção atenção
quando quando
a o
gente gente
tem ter
filho filho
pequeno pequeno
quem quem
decide decidir
por por
ele ele
somos ser
nós nós
inclusive inclusive
na em_o
constituição constituição
federativa federativo
do de_o
país país
você você
é ser
responsável responsável
por por
filho filho
pequeno pequeno
você você
é ser
responsável responsável
por por
criar criar
você você
é ser
responsável responsável
por por
educar educar
você você
é ser
responsável responsável
por por
sustentar sustentar
na em_o
constituição constituição
mas mas
quando quando
os o
filhos filho
crescem crescer
aqui aqui
é ser
que que
mora morar
o o
perigo perigo
tem ter
mães mãe
chamadas chamar
castradoras castrador
uma um
linguagem linguagem
técnica técnico
pais pai
a a
manipuladores manipulador
aí aí
o o
cara cara
tem ter
18 18
anos ano
tem ter
19 19
anos ano
tem ter
20 20
anos ano
e e
quando quando
ele ele
estava estar
se se
desenvolvendo desenvolver
como como
adolescente adolescente
não não
foi ser
ensinada ensinar
a a
ele ele
e e
tomando tomar
decisões decisão
sempre sempre
não não
não não
decide decidir
nada nada
não não
escolhe escolher
nada nada
essa esse
e e
não não
presta presto
no em_o
namoro namoro
essa esse
aí aí
não não
vai ir
casar casar
com com
a o
turma turma
não não
viu ver
o o
brother brother
caso caso
ela ela
também também
não não
sabe saber
a o
irmã irmã
meu meu
filho filho
vai ir
casar casar
com com
você você
não não
filha filha
libera liberar
esse esse
garoto garoto
é ser
homem homem
deus deus
trouxe trazer
alguma algum
irmã irmã
aqui aqui
província província
e e
libera liberar
libera liberar
ele ele
vai ir
depois depois
esse esse
moleque moleque
vai ir
ficar ficar
revoltada revoltar
contigo contigo
porque porque
você você
vem vir
castrando castrar
cara cara
tô tô
indo ir
toda todo
a o
decisão decisão
dele de_ele
ele ele
vai ir
ver ver
o o
tempo tempo
passar passar
e e
eu eu
não não
sei saber
porque porque
o o
meu meu
beijo beijo
da de_o
rebelde rebelde
eu eu
não não
saí sair
porque porque
o o
meu meu
pinho pinho
da de_o
contra contra
mim eu
eu eu
sei saber
é é
que que
você você
quer querer
tomar tomar
decisões decisão
onde onde
ele ele
tem ter
que que
tomar tomar
deixa deixar
ele ele
quebrar quebrar
a o
cara cara
e e
vai ir
aprender aprender
você você
pode poder
aconselhar aconselhar
você você
pode poder
dar dar
uma um
palavra palavra
mas mas
não não
decida decidir
não não
decida decidir
por por
filho filho
maiores grande
sabendo saber
tempo tempo
pastor pastor
o o
crime crime
chega chegar
pra pra
ele ele
quebrado quebrado
pastor pastor
que que
eu eu
faço fazer
olha olhar
tem ter
isso isso
tem ter
isso isso
aqui aqui
escolhe escolher
o o
que que
você você
quer querer
fazer fazer
o o
que que
você você
quer querer
fazer fazer
eu eu
decidi decidir
por por
vida vida
dos de_o
outros outro
eu eu
não não
fui ser
chamado chamar
para para
ser ser
chamado chamar
a a
aconselhar aconselhar
a o
decisão decisão
é ser
sua seu
então então
pessoais pessoal
decidem decidir
mas mas
não não
colocam colocar
em em
prática prática
porque porque
querem querer
que que
outros outro
decidam decidir
por por
ele ele
ea ea
verdade verdade
é ser
o o
seguinte seguinte
pessoas pessoa
que que
escolhem escolher
coisas coisa
erradas errar
decisões decisão
fracassados fracassar
gente gente
que que
faz fazer
escolhas escolha
erradas errar
a o
decisão decisão
acaba acabar
sendo ser
fracassada fracassar
não não
conseguem conseguir
decidir decidir
eu eu
tô tô
indo ir
pra pra
você você
aqui aqui
colega colega
amigo amigo
querido querido
irmão irmão
eu eu
tô tô
indo ir
pra pra
você você
aqui aqui
o o
mínimo mínimo
do de_o
mínimo mínimo
do de_o
mínimo mínimo
do de_o
mínimo mínimo
alguns algum
motivos motivo
pelos por_o
quais qual
pessoas pessoa
decidem decidir
coisas coisa
nação nação
estou estar
falando falar
coisa coisa
de de
importância importância
coisas coisa
fundamentais fundamental
da de_o
vida vida
material material
da de_o
vida vida
emocional emocional
e e
da de_o
vida vida
espiritual espiritual
e e
não não
consegue conseguir
colocar colocar
em em
prática prática
o o
número número
2 2
por por
que que
pessoas pessoa
não não
querem querer
tomar tomar
decisão decisão
aqui aqui
é ser
um um
outro outro
grupo grupo
porque porque
pessoas pessoa
não não
querem querer
tomar tomar
decisões decisão
na em_o
sua seu
vida vida
número número
um um
porque porque
não não
querem querer
assumir assumir
responsabilidade responsabilidade
e e
se se
dê dar
errado errar
como como
é ser
que que
eu eu
fico ficar
esse esse
é ser
o o
quebrar quebrar
a o
cara cara
meu meu
filho filho
decisões decisão
que que
tomamos tomar
na em_o
nossa nosso
vida vida
algumas algum
nos nós
leva levar
à a_o
vitória vitória
e e
outro outro
nos nós
leva levar
a o
derrota derrota
e e
até até
decisões decisão
que que
a o
gente gente
toma tomar
errado errar
para para
o o
cara cara
que que
é ser
inteligente inteligente
ele ele
vai ir
tirar tirar
lições lição
para para
aprender aprender
para para
crescer crescer
ao a_o
invés invés
de de
chutar chutar
no em_o
canto canto
choramingando choramingar
desde desde
quebrei quebrar
a o
cara cara
do de_o
brasil brasil
porque porque
deixou deixar
isso isso
porque porque
deu dar
porque porque
o o
senhor senhor
deixa deixar
de de
acontecer acontecer
deve dever
ter ter
umas um
seis seis
ou ou
sete sete
mensagens mensagem
minha meu
cena cena
no em_o
canal canal
do de_o
youtube youtube
27 27
pelo por_o
menos menos
eu eu
dizendo dizer
que que
já já
quebrei quebrar
seis seis
vezes vezes
mais mais
sete sete
pelo por_o
menos menos
mais mais
sete sete
irmãos irmão
estou estar
aqui aqui
olhando olhar
pra pra
você você
e e
você você
ataque ataque
e e
nós nós
estamos estar
aqui aqui
eu eu
já já
falei falar
uma um
falei falar
duas dois
falei falar
três três
falei falar
4 4
falei falar
cinco cinco
fale falar
sei saber
se se
falhar falhar
mais mais
uma um
eu eu
volto voltar
de de
novo novo
tiro tiro
lição lição
e e
toca tocar
a o
vida vida
[ [
Aplausos aplauso
] _
eu eu
não não
quero querer
mais mais
saber saber
de de
nada nada
então então
morra morrer
não não
quero querer
eu eu
não não
quero querer
saber saber
mas mas
que que
é ser
o o
que que
quer querer
cesta cesta
básica básico
do de_o
serviço serviço
social social
é ser
isso isso
que que
você você
quer querer
embora embora
rapaz rapaz
tente tentar
outra outro
vez vez
a o
verdade verdade
é ser
essa esse
as o
pessoas pessoa
não não
querem querer
assumir assumir
responsabilidade responsabilidade
e e
aí aí
não não
querem querer
tomar tomar
a o
decisão decisão
porque porque
as o
pessoas pessoa
não não
querem querer
assumir assumir
responsabilidades responsabilidade
não não
quero querer
tomar tomar
a o
decisão decisão
porque porque
não não
querem querer
correr correr
risco risco
elas ele
querem querer
vitória vitória
e e
sucesso sucesso
nunca nunca
a o
derrota derrota
em em
fracasso fracasso
corre correr
risco risco
meu meu
chapa chapa
corre correr
risco risco
querido querer
com com
todo todo
o o
respeito respeito
vai ir
olhar olhar
para para
a o
história história
do de_o
torneio torneio
na em_o
igreja igreja
olha olhar
pra para_o
história história
não não
conheço conhecer
um um
grande grande
homem homem
na em_o
história história
do de_o
lindo lindo
que que
não não
tenha ter
corrido correr
risco risco
não não
tenha ter
tido ter
fracassos fracasso
na em_o
sua seu
vida vida
antes antes
de de
chegar chegar
em em
lugares lugar
de de
glória glória
eu eu
não não
conheço conhecer
um um
não não
tem ter
não não
tem ter
um um
ser ser
humano humano
de de
sucesso sucesso
no em_o
planeta planeta
terra terra
que que
não não
tenha ter
corrido correr
risco risco
e e
que que
não não
tenha ter
enfrentado enfrentar
fracassos fracasso
então então
agora agora
vamos ir
lá lá
eu eu
já já
falei falar
porque porque
pessoas pessoa
tomam tomar
decisões decisão
na em_o
vida vida
não não
coloque colocar
em em
prática prática
já já
de de
aqui aqui
simples simples
simples simples
porque porque
pessoas pessoa
não não
querem querer
tomar tomar
decisões decisão
então então
vamos ir
o o
terceiro terceiro
como como
é ser
que que
se se
toma tomar
decisões decisão
quais qual
elementos elemento
que que
você você
deve dever
colocar colocar
pra pra
você você
tomar tomar
decisões decisão
na em_o
sua seu
vida vida
primeiro primeiro
quando quando
eu eu
falo falar
de de
decisão decisão
eu eu
não não
tenho ter
saído sair
tem ter
que que
ir ir
pra pra
esse esse
cara cara
quando quando
eu eu
falo falar
de de
decisão decisão
eu eu
tenho ter
que que
profeta profeta
daniel daniel
ele ele
é ser
um um
mau mau
exemplo exemplo
bíblico bíblico
focal focal
como como
é ser
que que
se se
toma tomar
decisão decisão
na em_o
vida vida
além além
de de
daniel daniel
18 18
e e
assentou assentar
daniel daniel
no em_o
chão chão
coração coração
não não
se se
contaminar contaminar
decidiu decidir
firmemente firmemente
tomar tomar
uma um
decisão decisão
e e
essa esse
decisão decisão
foi ser
no em_o
seu seu
coração coração
a a
sede sede
dos de_o
pensamentos pensamento
da de_o
vontade vontade
e e
dos de_o
sentimentos sentimento
como como
é ser
que que
se se
processa processar
isso isso
bem bem
se se
você você
quer querer
tomar tomar
decisões decisão
importantes importante
na em_o
sua seu
vida vida
primeiro primeiro
lugar lugar
tem ter
que que
vim vir
ao a_o
processo processo
mental mental
porque porque
tudo tudo
parte partir
do de_o
processo processo
mental mental
primeiro primeiro
eu eu
penso pensar
depois depois
eu eu
sinto sentir
primeiro primeiro
eu eu
penso pensar
depois depois
eu eu
tenho ter
vontade vontade
primeiro primeiro
penso pensar
depois depois
eu eu
tomar tomar
atitudes atitude
isso isso
em em
velocidades velocidade
espantosas espantoso
que que
você você
nem nem
percebe perceber
você você
primeiro primeiro
não não
sente sentar
para para
depois depois
pensar pensar
em em
você você
a o
primeira primeiro
não não
tem ter
vontade vontade
para para
depois depois
pensar pensar
o o
contrário contrário
tudo tudo
passa passar
pelo por_o
processo processo
mental mental
então então
se se
tudo tudo
passa passar
primeiro primeiro
por por
um um
processo processo
mental mental
tem ter
que que
pensar pensar
e e
aí aí
eu eu
tenho ter
que que
fazer fazer
uma um
das de_o
coisas coisa
mais mais
importantes importante
que que
a o
mente mente
humana humano
precisa preciso
conversa conversa
não não
vou ir
entrar entrar
em em
detalhes detalhe
já já
peguei pegar
numa em_um
outra outro
mensagem mensagem
as o
três três
coisas coisa
mais mais
importantes importante
que que
a o
mente mente
humana humano
precisa precisar
a o
mente mente
humana humano
precisa precisar
de de
foco foco
heróis herói
e e
conversa conversa
e e
conversa conversa
não não
ficar ficar
maluco maluco
conversando conversar
na em_o
rua rua
porque porque
vão ir
te tu
internar internar
mas mas
é ser
você você
conversar conversar
com com
você você
sozinha só
em em
casa casa
e e
se se
não não
fizer fazer
isso isso
aqui aqui
e e
se se
eu eu
fizer fazer
isso isso
aqui aqui
não não
dá dar
errado errar
como como
é ser
que que
eu eu
faço fazer
então então
e e
se se
der dar
certo certo
qual qual
o o
outro outro
passo passo
como como
é ser
que que
pessoas pessoa
que que
tomaram tomar
decisões decisão
em em
casos caso
semelhantes semelhante
ao a_o
meu meu
como como
é ser
que que
ela ela
fizer fazer
você você
colocou colocar
a o
mente mente
para para
raciocinar raciocinar
[ [
Música música
] _
as o
pessoas pessoa
querem querer
tomar tomar
decisões decisão
na em_o
vida vida
o o
santa santo
cruz cruz
fora fora
de de
casa casa
lúcia lúcia
tem ter
um um
exército exército
de de
anjos anjo
aqui aqui
glória glória
a a
deus deus
e e
tal tal
tomar tomar
e e
quebra quebra
a o
cara cara
com com
os o
anjos anjo
de de
tudo tudo
primeiro primeiro
tem ter
que que
pensar pensar
analisar analisar
e e
verificar verificar
refletir refletir
inferir inferir
a a
conectar conectar
idéias idéia
depois depois
você você
vai ir
falar falar
aos a_o
seus seu
sentimentos sentimento
é ser
isso isso
que que
eu eu
gosto gostar
isso isso
me eu
dá dar
prazer prazer
isso isso
essa esse
decisão decisão
que que
eu eu
vou ir
tomar tomar
me eu
faz fazer
feliz feliz
você você
foi ir
aos a_o
teus teu
sentimentos sentimento
e e
depois depois
você você
vai ir
a o
tua tua
vontade vontade
é ser
isso isso
mesmo mesmo
que que
eu eu
quero querer
porque porque
se se
você você
tomar tomar
decisões decisão
só só
com com
a o
sua seu
mente mente
analisei analisar
refletir refletir
pensei pensar
inferi inferi
conectei conectei
idéias idéia
analisei analisar
outros outro
que que
tiveram ter
a o
mesma mesmo
situação situação
se se
você você
pode poder
pensar pensar
foi ser
direto direto
com com
a o
decisão decisão
é ser
isso isso
que que
eu eu
queria querer
não não
isso isso
me eu
faz fazer
bem bem
essa esse
não não
ano ano
tem ter
prazer prazer
nesse em_esse
negócio negócio
a o
cena cena
então então
você você
primeiro primeiro
pensa pensar
depois depois
vai ir
para para
o o
comando comando
das de_o
duas dois
emoções emoção
dos de_o
meus meu
sentimentos sentimento
me eu
agrada agradar
eu eu
gosto gosto
vai ir
ser ser
bom bom
ele ele
foi ir
para para
o o
outro outro
eu eu
tenho ter
vontade vontade
será ser
que que
a o
minha meu
vontade vontade
à a_o
vontade vontade
de de
outro outro
que que
tenha ter
influenciado influenciar
quando quando
você você
a a
passar passar
por por
essas esse
três três
etapas etapa
aí aí
você você
vai ir
estar estar
diante diante
de de
você você
uma um
escolha escolha
que que
você você
tem ter
que que
fazer fazer
você você
passou passar
por por
esses esse
processos processo
então então
agora agora
eu eu
tenho ter
uma um
escolha escolha
sobre sobre
que que
decisão decisão
tomar tomar
e e
aí aí
você você
vai ir
juntar juntar
o o
outro outro
elemento elemento
bem bem
eu eu
fiz fazer
uma um
análise análise
passou passar
pela por_o
minha meu
mente mente
pela por_o
minhas meu
emoções emoção
e e
pela por_o
minha meu
vontade vontade
eu eu
tenho ter
uma um
escolha escolha
a a
fazer fazer
então então
tem ter
um um
outro outro
elemento elemento
se se
eu eu
vou ir
fazer fazer
uma um
escolha escolha
eu eu
tenho ter
que que
acreditar acreditar
naquilo em_aquilo
que que
eu eu
escolhi escolher
e e
que que
eu eu
decidi decidir
eu eu
tenho ter
que que
ter ter
convicção convicção
disso de_isso
que que
eu eu
quero querer
e e
como como
uma um
coisa coisa
puxa puxar
a o
outra outro
aí aí
vai ir
ser ser
levada levar
à a_o
fé fé
vai ir
levar levar
você você
a o
coragem coragem
porque porque
a o
coragem coragem
não não
é ser
a o
ausência ausência
de de
medo medo
a o
coragem coragem
é ser
o o
domínio domínio
do de_o
medo medo
e e
resistência resistência
ao a_o
medo medo
mas mas
não não
a o
ausência ausência
de de
medo medo
a o
diferença diferença
do de_o
corajoso corajoso
por por
medroso medroso
é ser
que que
o o
medroso medroso
medo medo
domina dominar
a a
ele ele
e e
que que
o o
corajoso corajoso
dominam dominar
medo medo
se se
você você
pensa pensar
que que
o o
corajoso corajoso
não não
tem ter
medo medo
então então
ele ele
é ser
um um
psicopata psicopata
um um
doente doente
mental mental
maluco maluco
porque porque
o o
corajoso corajoso
tem ter
medo medo
mas mas
ele ele
resiste resistir
ao a_o
