domingo domingo
de de
paulo paulo
a a
timóteo timóteo
capítulo capítulo
3 3
versículo versículo
15 15
mas mas
se se
tartá tartá
para para
que que
saibas saber
como como
convém convir
andar andar
na em_o
casa casa
de de
deus deus
que que
é ser
a o
igreja igreja
do de_o
deus deus
vivo vivo
a o
coluna coluna
e e
firmeza firmeza
da de_o
verdade verdade
porque porque
é ser
que que
você você
acha achar
que que
nós nós
escolhemos escolher
esses esse
quatro quatro
pilares pilar
fundamentais fundamental
para para
a o
noite noite
essa esse
igreja igreja
porque porque
achei achar
bacana bacana
que que
eu eu
achei achar
bonito bonito
que que
acha achar
que que
é ser
legal legal
eu eu
vou ir
te tu
mostrar mostrar
por por
que que
essas esse
quatro quatro
coisas coisa
aqui aqui
norteiam nortear
a o
vida vida
dessa de_esse
igreja igreja
a o
primeira primeiro
que que
nós nós
estamos estar
falando falar
aqui aqui
é ser
sobre sobre
unidade unidade
então então
escute escutar
a o
importância importância
da de_o
unidade unidade
da de_o
igreja igreja
à a_o
unidade unidade
para para
a o
igreja igreja
primeiro primeiro
a o
igreja igreja
corpo corpo
o o
corpo corpo
só só
funciona funcionar
porque porque
os o
membros membro
estão estar
interrelacionadas interrelacionar
silvy silvy
gado gado
diz dizer
é ser
minha meu
gente gente
fechado fechar
para para
balanço balanço
não não
vou ir
funcionar funcionar
só só
o o
fígado fígado
tem ter
mais mais
de de
200 200
funções função
no em_o
organismo organismo
você você
morre morrer
então então
a o
unidade unidade
é ser
fundamental fundamental
para para
a o
vida vida
espiritual espiritual
se se
a o
unidade unidade
da de_o
igreja igreja
não não
a o
vida vida
espiritual espiritual
você você
morre morrer
você você
tem ter
que que
estar estar
ligado ligar
ao a_o
outro outro
temos ter
que que
estar estar
ligados ligar
a a
outro outro
para para
a o
sobrevivência sobrevivência
de de
todos todo
essa esse
importância importância
da de_o
unidade unidade
segundo segundo
lugar lugar
é ser
que que
a o
maneira maneira
do de_o
mundo mundo
reconhece reconhecer
que que
jesus jesus
el el
salvador salvador
é ser
através através
da de_o
nossa nosso
unidade unidade
de de
joão joão
17 17
21 21
para para
que que
eles eles
sejam ser
um um
como como
tu tu
pai pai
quais qual
em em
mim eu
para para
que que
eles eles
sejam ser
um um
em em
nós nós
para para
que que
o o
mundo mundo
creia crer
que que
tu tu
me eu
enviaste enviar
um um
mundo mundo
só só
vai ir
crescer crescer
em em
jesus jesus
se se
o o
mundo mundo
ver ver
a o
unidade unidade
da de_o
igreja igreja
agora agora
terceiro terceiro
em em
mateus mateus
capítulo capítulo
12 12
versículo versículo
25 25
a o
gente gente
lê ler
texto texto
não não
presta presto
atenção atenção
a a
grandeza grandeza
do de_o
que que
ele ele
está estar
ensinando ensinar
todo todo
o o
reino reino
dividido dividir
será ser
devastado devastar
e e
toda todo
a o
casa casa
dividida dividir
não não
subsistirá subsistir
quem quem
disse dizer
isso isso
foi ir
jesus jesus
jesus jesus
está estar
falando falar
que que
pela por_o
falta falta
de de
unidade unidade
fatores fator
externos externo
podem poder
destruir destruir
e e
pela por_o
falta falta
da de_o
unidade unidade
fatores fator
internos interno
podem poder
destruir destruir
quando quando
ele ele
está estar
usando usar
todo todo
o o
reino reino
dividido dividir
é ser
devastado devastar
um um
reino reino
para para
ser ser
devastado devastar
só só
por por
um um
outro outro
reino reino
ele ele
está estar
falando falar
de de
fatores fator
externos externo
que que
vêm vir
pra pra
dentro dentro
e e
devastar devastar
é ser
destruir destruir
a o
raiva raiva
os o
fatores fator
externos externo
satanás satanás
os o
inimigos inimigo
do de_o
povo povo
de de
deus deus
gente gente
que que
nos nós
rodeia rodear
então então
a o
divisão divisão
da de_o
igreja igreja
ela ela
permite permitir
que que
agentes agente
externos externo
venham vir
destruir destruir
as o
questões questão
internas interno
toda todo
a o
casa casa
dividida dividir
não não
subsistirá subsistir
isso isso
é ser
se se
a o
divisão divisão
no em_o
corpo corpo
de de
cristo cristo
ele ele
mesmo mesmo
morre morrer
ele ele
mesmo mesmo
implode implode
ele ele
mesmo mesmo
vai ir
sofrer sofrer
em em
tão tão
querido querer
quando quando
nós nós
colocamos colocar
aqui aqui
que que
um um
pilar pilar
fundamental fundamental
que que
norteia nortear
essa esse
igreja igreja
unidade unidade
por por
causa causa
dessas de_esse
pelo por_o
menos menos
tem ter
outras outro
mas mas
eu eu
destaco destacar
essas esse
a o
igreja igreja
é ser
corpo corpo
e e
se se
a a
corpo corpo
nenhum nenhum
membro membro
pode poder
andar andar
isolado isolar
manifestar manifestar
a a
cristo cristo
é ser
através através
da de_o
unidade unidade
e e
evitar evitar
destruição destruição
por por
fatores fator
quer quer
externos externo
ou ou
quer querer
internos interno
se se
você você
pensa pensar
eu eu
conheço conhecer
a o
história história
de de
igrejas igreja
que que
estão estar
arrasados arrasar
destruídas destruir
a o
igreja igreja
que que
nós nós
reformamos reformar
lá lá
em em
alphaville alphaville
não não
vou ir
da de_o
denominação denominação
ela ela
foi ser
uma um
igreja igreja
que que
sofreu sofrer
divisão divisão
e e
briga briga
dos de_o
membros membro
e e
depois depois
a o
queda queda
do de_o
pastor pastor
junto junto
a a
essas esse
duas dois
coisas coisa
acabou acabar
com com
a o
igreja igreja
fechou fechar
fechou fechar
a o
igreja igreja
estava estar
lá lá
propriedade propriedade
fechada fechar
há haver
quase quase
três três
anos ano
se se
você você
pensa pensar
que que
isso isso
é ser
brincadeira brincadeira
se se
cada cada
um um
que que
é ser
uma um
coisa coisa
se se
cada cada
um um
aqui aqui
quiser querer
trabalhar trabalhar
na em_o
individualidade individualidade
de de
cada cada
departamento departamento
aqui aqui
e e
quiser querer
trabalhar trabalhar
naquilo em_aquilo
que que
ele ele
acha achar
nós nós
vamos ir
nos nós
auto auto
destruir destruir
você você
pode poder
ter ter
certeza certeza
do de_o
que que
eu eu
estou estar
te tu
falando falar
em em
segundo segundo
lugar lugar
a o
visão visão
visão visão
é ser
o o
objetivo objetivo
é ser
o o
ideal ideal
o o
que que
nós nós
queremos querer
como como
igreja igreja
que que
a o
gente gente
quer querer
a o
primeiro primeiro
conquistar conquistar
vidas vida
pra pra
cristo cristo
porque porque
se se
a o
igreja igreja
não não
tiver ter
aqui aqui
pra para_o
alma alma
mandar mandar
fechar fechar
a o
porta porta
do de_o
povo povo
embora embora
a o
igreja igreja
não não
tá estar
aqui aqui
pra pra
analisar analisar
ego ego
de de
ninguém ninguém
nem nem
para para
encher encher
a o
barriga barriga
de de
crente crente
a o
igreja igreja
está estar
aqui aqui
pra pra
conquistar conquistar
vidas vida
pra pra
jesus jesus
uma um
coisa coisa
está estar
atrelada atrelar
à a_o
outra outro
porque porque
nós nós
queremos querer
abrir abrir
a o
igreja igreja
nós nós
queremos querer
abrir abrir
brecha brecha
para para
brincar brincar
o o
povo povo
que que
aceita aceitar
cristo cristo
está estar
uma um
coisa coisa
está estar
atrelada atrelar
à a_o
outra outro
eu eu
já já
tenho ter
dito dizer
aqui aqui
pra pra
vocês você
nós nós
já já
temos ter
feito fazer
isso isso
mas mas
eu eu
não não
quero querer
fazer fazer
do de_o
que que
como como
nós nós
temos ter
feito fazer
eu eu
quero querer
fazer fazer
uma um
outra outro
grandeza grandeza
que que
eu eu
tenho ter
dito dizer
pra pra
vocês você
que que
o o
reino reino
de de
deus deus
na em_o
defrec defrec
o o
erro erro
de de
deus deus
é ser
muito muito
muito muito
muito muito
muito muito
muito muito
além além
da de_o
nossa nosso
igreja igreja
nós nós
temos ter
ajudado ajudar
outros outro
ministérios ministério
mas mas
vai ir
chegar chegar
o o
tempo tempo
que que
essa esse
igreja igreja
vai ir
construir construir
tempo tempo
para para
outras outro
igrejas igreja
que que
não não
tem ter
nada nada
a a
ver ver
com com
a o
gente gente
pra pra
terreno terreno
para para
outras outro
igrejas igreja
que que
também também
é ser
povo povo
de de
deus deus
e e
rendeu render
e e
eu eu
tenho ter
essa esse
visão visão
eu eu
não não
sou ser
bairrista bairrista
nem nem
medíocre medíocre
porque porque
o o
reino reino
de de
deus deus
ultrapassa ultrapassar
as o
paredes parede
da de_o
defrec defrec
eu eu
creio crer
fale falar
em em
obras obra
sociais social
com com
soluções solução
definitivas definitivo
claro claro
a o
gente gente
da de_o
cesta cesta
básica básico
aqui aqui
é ser
um um
paliativo paliativo
nós nós
temos ter
um um
trabalho trabalho
sócio sócio
ambiental ambiental
pra pra
ensinar ensinar
com com
uma um
profissional profissional
paga pagar
medo medo
da de_o
igreja igreja
para para
viver viver
disso de_isso
para para
ensinar ensinar
o o
povo povo
a a
não não
ficar ficar
como como
um um
dependente dependente
mas mas
dá dar
ferramentas ferramenta
pra pra
ele ele
poder poder
viver viver
e e
eu eu
já já
falei falar
aqui aqui
o o
que que
pode poder
pensar pensar
que que
eu eu
sou ser
maluco maluco
mas mas
fique ficar
tranquilo tranquilo
porque porque
a o
bíblia bíblia
diz dizer
que que
nem nem
os o
loucos louco
erraram errar
o o
caminho caminho
então então
eu eu
tô tô
safo safar
ok ok
mas mas
eu eu
tenho ter
um um
sonho sonho
eu eu
não não
vou ir
dizer dizer
que que
eu eu
vou ir
resolver resolver
tudo tudo
mas mas
vou ir
dizer dizer
uma um
coisa coisa
pra pra
você você
sabia saber
que que
o o
problema problema
da de_o
seca seca
do de_o
nordeste nordeste
poderá poder
ser ser
resolvido resolver
minha meu
mão mão
quando quando
você você
vai ir
a a
israel israel
você você
fica ficar
com com
vergonha vergonha
do de_o
brasil brasil
israel israel
importa importar
terra terra
importa importar
até até
isso isso
você você
está estar
ouvindo ouvir
e e
coloca colocar
sobre sobre
o o
deserto deserto
e e
planta plantar
além além
das de_o
terras terra
férteis fértil
que que
eles eles
têm ter
eles eles
importam importar
terra terra
colocam colocar
sobre sobre
o o
deserto deserto
e e
tem ter
uma um
produção produção
agrícola agrícola
que que
exporta exportar
para para
o o
mundo mundo
inteiro inteiro
se se
eu eu
sabia saber
que que
o o
nordeste nordeste
tem ter
água água
no em_o
subsolo subsolo
o o
que que
falta faltar
é é
vergonha vergonha
na em_o
cara cara
para para
trazer trazer
essa esse
água água
tratada tratar
essa esse
água água
você você
sabia saber
que que
uma um
usina usina
para para
tratar tratar
de de
água água
para para
doar doar
mil mil
pessoa pessoa
custa custar
40 40
mil mil
reais real
você você
sabe saber
que que
o o
sonho sonho
é ser
dizer dizer
que que
a o
tv tv
pode poder
até até
ser ser
mas mas
num em_um
novo novo
neusa neusa
tanto tanto
mas mas
quem quem
sabe saber
eu eu
vou ir
usar usar
essa esse
igreja igreja
pra pra
gente gente
solucionar solucionar
problemas problema
de de
várias várias
cidades cidade
não não
paliativo paliativo
essa esse
cidade cidade
aqui aqui
não não
vai ir
ter ter
mais muito
problema problema
de de
água água
porque porque
nossa nosso
igreja igreja
foi ser
lá lá
e e
resolveu resolver
o o
problema problema
eu eu
sonho sonho
com com
questões questão
sociais social
muito muito
além além
de de
da de_o
roupa roupa
e e
de de
dar dar
uma um
bolsa bolsa
de de
compra compra
essa esse
visão visão
nós nós
vamos ir
ter ter
faculdade faculdade
governo governo
tem ter
universidade universidade
vão ir
à a_o
escola escola
aqui aqui
nós nós
vamos ir
ter ter
de de
fazer fazer
essa esse
visão visão
a a
nossa nosso
visão visão
estabeleceu estabelecer
o o
reino reino
na em_o
terra terra
influenciam influenciar
em em
todos todo
os o
campos campo
da de_o
vida vida
gente gente
o o
reino reino
de de
deus deus
é ser
pra pra
ser ser
estabelecido estabelecer
na em_o
terra terra
gente gente
na em_o
cultura cultura
na em_o
ciência ciência
na em_o
educação educação
nas em_o
artes arte
na em_o
política política
no em_o
executivo executivo
no em_o
legislativo legislativo
no em_o
judiciário judiciário
vocês você
pensam pensar
que que
quando quando
nós nós
aqui aqui
e e
eu eu
certo certar
porque porque
eu eu
conheço conhecer
a ela
há haver
maldade maldade
quando quando
o o
nosso nosso
aqui aqui
não não
vamos ir
votar votar
nós nós
temos ter
aqui aqui
vereador vereador
nós nós
temos ter
aqui aqui
deputado deputado
estadual estadual
do de_o
tatran tatran
por por
algum algum
acaso acaso
é ser
para para
arrumar arrumar
um um
emprego emprego
pra pra
mim eu
a o
família família
meu meu
filho filho
tem ter
dois dois
genros genro
que que
não não
tem ter
nome nome
malafaia malafaia
podia poder
ter ter
nomeado nomear
em em
qualquer qualquer
gabinete gabinete
eu eu
tenho ter
dois dois
gémeos gémeos
que que
não não
tem ter
meu meu
nome nome
e e
meu meu
irmão irmão
e e
deputado deputado
à a_o
malafaia malafaia
não não
vai ir
poder poder
votar votar
um um
outro outro
gabinete gabinete
de de
um um
deputado deputado
um um
outro outro
malafaia malafaia
a o
a o
lei lei
proíbe proibir
mas mas
eu eu
podia poder
pegar pegar
um um
jogo jogo
não não
é ser
colocar colocar
no em_o
gabinete gabinete
não não
tem ter
jeito jeito
o o
meu meu
nomeado nomear
em em
nada nada
porque porque
a o
minha meu
visão visão
meu meu
irmão irmão
não não
é ser
meu meu
interesse interesse
eu eu
tenho ter
uma um
visão visão
de de
renda renda
e e
deixou deixar
china china
uma um
coisa coisa
pra pra
vocês você
que que
já já
tem ter
falado falar
e e
estou estar
falando falar
aqui aqui
nessa em_esse
eleição eleição
irmão irmão
na em_o
época época
da de_o
eleição eleição
a a
prefeito prefeito
na em_o
época época
da de_o
eleição eleição
de de
prefeito prefeito
na em_o
época época
da de_o
eleição eleição
de de
governador governador
e e
presidente presidente
eles eles
querem querer
carregar carregar
pastor pastor
no em_o
colo colo
na em_o
época época
da de_o
eleição eleição
quando quando
o o
cara cara
eleito eleger
escute escutar
eu eu
vou ir
ensinar ensinar
para para
vocês você
os o
novos novo
toque toque
porque porque
os o
antigos antigo
já já
falei falar
quando quando
um um
cara cara
eleito eleger
os o
quatro quatro
anos ano
de de
mandato mandato
sabe saber
qual qual
pastor pastor
que que
ele ele
vai ir
atender atender
que que
tem ter
a o
representação representação
na em_o
época época
da de_o
eleição eleição
ele ele
vem vir
com com
a o
bíblia bíblia
na em_o
igreja igreja
da de_o
aleluia aleluia
da de_o
glória glória
a a
deus deus
disse dizer
o o
pastor pastor
é ser
um um
anjo anjo
e e
tal tal
tudo tudo
quando quando
acaba acabar
eleição eleição
para para
atender atender
pastores pastor
assim assim
eu eu
quero querer
saber saber
a o
influência influência
política político
desse de_esse
pastor pastor
não não
elegeu eleger
ninguém ninguém
tá estar
bom bom
você você
é ser
um um
líder líder
mas mas
eu eu
não não
tenho ter
tempo tempo
pra pra
você você
se se
eu eu
quiser querer
pegar pegar
meu meu
telefone telefone
aqui aqui
agora agora
só só
irá ir
ligar ligar
para para
o o
governador governador
do de_o
estado estado
e e
vai ir
atender atender
o o
telefone telefone
com com
o o
telefone telefone
o o
lado lado
dele de_ele
se se
eu eu
quiser querer
ligar ligar
ali ali
fora fora
o o
prefeito prefeito
da de_o
cidade cidade
ele ele
vai ir
entender entender
que que
eu eu
tenho ter
um um
telefone telefone
particular particular
dele de_ele
se se
eu eu
quiser querer
ligar ligar
para para
a o
secretaria secretaria
para para
a o
secretária secretária
da de_o
presidência presidência
da de_o
república república
ela ela
vai ir
me eu
atender atender
vai ir
mandar mandar
um um
recado recado
presente presente
porque porque
eu eu
sou ser
o o
melhor bom
do de_o
que que
os o
outros outro
não não
porque porque
nós nós
temos ter
representação representação
e e
se se
você você
pensa pensar
a a
se se
mostrar mostrar
sem sem
filme filme
que que
eu eu
já já
falei falar
pra pra
autoridades autoridade
já já
se se
passou passar
o o
seu seu
lucro lucro
e e
você você
pensa pensar
que que
eu eu
vou ir
cumprir cumprir
na em_o
mão mão
ou ou
baixo baixo
autoridade autoridade
ometto ometto
pé pé
na em_o
porta porta
meu meu
irmão irmão
eu eu
já já
fiz fazer
por por
bondade bondade
de de
deus deus
é ser
por por
isso isso
que que
deus deus
me eu
posicionou posicionar
eu eu
já já
fiz fazer
prefeito prefeito
mudar mudar
de de
decreto decreto
falei falar
você você
muda mudar
essa esse
porcaria porcaria
ou ou
você você
não não
vai ir
ter ter
um um
voto voto
dos de_o
evangélicos evangélico
se se
você você
quer querer
permitir permitir
promiscuidade promiscuidade
na em_o
cara cara
ou ou
você você
muda mudar
essa esse
droga droga
aí aí
então então
você você
me eu
aguarde aguardar
na em_o
eleição eleição
calma calmo
malafaia malafaia
calma calmo
para para
tocar tocar
uma um
porcaria porcaria
nenhuma nenhum
se se
você você
pensa pensar
que que
eu eu
sou ser
um um
idiota idiota
trouxa trouxa
ou ou
você você
muda mudar
essa esse
droga droga
que que
você você
fala falar
o o
cara cara
mudada mudado
é ser
decreto decreto
é ser
porque porque
ele ele
me eu
atendeu atender
ele ele
tem ter
medo medo
de de
mim eu
é ser
porque porque
na em_o
política político
ele ele
reconhece reconhecer
a o
autoridade autoridade
que que
você você
tem ter
através através
do de_o
voto voto
por por
isso isso
quando quando
eu eu
indico indicar
alguém alguém
aqui aqui
né né
por por
meus meu
interesses interesse
o o
povo povo
aqui aqui
mais mais
madura maduro
entende entender
isso isso
enquanto enquanto
alguém alguém
quer querer
votar votar
no em_o
candidato candidato
do de_o
bairro bairro
no em_o
candidato candidato
é ser
da de_o
rua rua
é ser
no em_o
candidato candidato
da de_o
cidade cidade
e e
depois depois
esses esse
bandidos bandido
vão ir
fazer fazer
leis lei
contra contra
nossos nosso
princípios princípio
e e
você você
não não
sabe saber
nem nem
que que
ele ele
está estar
fazendo fazer
aqui aqui
o o
software software
está estar
aqui aqui
na em_o
minha meu
frente frente
eu eu
disse dizer
de de
manhã manhã
estava estar
aqui aqui
sócio sócio
estava estar
esquerdo esquerdo
tá estar
faltando faltar
o o
samuel samuel
digo dizer
já já
disse dizer
que que
os o
três três
já já
disse dizer
para para
samuel samuel
já já
disse dizer
pra pra
sóstenes sóstenes
já já
desfila desfilar
esquerdo esquerdo
amiguinhos amigo
não não
se se
envolve envolver
em em
porcaria porcaria
porque porque
eu eu
vou ir
ser ser
o o
primeiro primeiro
a a
descer descer
o o
bambu bambu
em em
cima cima
de de
vocês você
porque porque
eu eu
não não
devo dever
nada nada
a a
eles eles
o o
apoio apoio
a a
alguém alguém
e e
depois depois
o o
cara cara
faz fazer
besteira besteira
ometto ometto
paulo paulo
alguém alguém
já já
se se
passou passar
só só
por por
esse esse
cara cara
e e
fez fazer
aí aí
robô robô
porque porque
eu eu
não não
tenho ter
um um
corrupto corrupto
de de
estimação estimação
sabe saber
que que
o o
método método
paulo paulo
quando quando
um um
cara cara
eu eu
não não
tenho ter
lhe ele
ciência ciência
onipresença onipresença
sobe subir
depois depois
que que
eu eu
descobri descobrir
que que
é ser
piloto piloto
sabe saber
que que
o o
boto boto
meto meto
pé pé
vou ir
dizer dizer
um um
linguajar linguajar
chulo chulo
que que
eu eu
não não
tenho ter
rabo rabo
preso preso
que que
eu eu
tivesse ter
recebido receber
grandes grande
o o
calado calado
não não
podia poder
falar falar
nada nada
por por
isso isso
que que
o o
mesmo mesmo
a o
língua língua
apoia apoiar
tomac tomac
corrupto corrupto
safado safar
tem ter
que que
estar estar
na em_o
cadeia cadeia
mesmo mesmo
vai ir
lá lá
diz dizer
que que
me eu
deu dar
dinheiro dinheiro
disse dizer
me eu
beneficiou beneficiar
porque porque
eu eu
tenho ter
uma um
visão visão
que que
a o
igreja igreja
está estar
aqui aqui
nessa em_esse
terra terra
pra pra
marcar marcar
influenciam influenciar
em em
todos todo
os o
campos campo
da de_o
vida vida
social social
gente gente
a o
autoridade autoridade
nós nós
trabalhamos trabalhar
com com
unidade unidade
nós nós
trabalhamos trabalhar
com com
visão visão
e e
com com
propósito propósito
e e
nós nós
trabalhamos trabalhar
com com
a o
autora autora
deixa deixar
montar montar
uma um
equipe equipe
há haver
quase quase
que que
eu eu
esqueci esquecer
eu eu
tô tô
falando falar
de de
visão visão
você você
sabe saber
o o
que que
quer querer
divisão divisão
duas dois
visões visão
duas dois
visões visão
aqui aqui
não não
tem ter
visão visão
da de_o
igreja igreja
matriz matriz
e e
visão visão
de de
igreja igreja
filiada filiar
não não
tem ter
visão visão
do de_o
pastor pastor
e e
visão visão
do de_o
chefe chefe
do de_o
departamento departamento
de de
adolescentes adolescente
de de
juventude juventude
de de
mulher mulher
vitoriosa vitorioso
de de
obreiros obreiro
de de
escola escola
dominical dominical
aqui aqui
não não
tem ter
nome nome
irmão irmão
se se
tentar tentar
samba samba
nós nós
temos ter
uma um
visão visão
só só
nós nós
temos ter
uma um
visão visão
só só
aqui aqui
não não
tem ter
do de_o
a o
nokia nokia
é ser
uma um
chove chover
o o
blog blog
aqui aqui
não não
tem ter
não não
agora agora
discute discutir
que que
eu eu
vou ir
falar falar
pra pra
você você
agora agora
assim assim
agora agora
assim assim
não não
vamos ir
lá lá
a o
autoridade autoridade
eu eu
queria querer
que que
você você
lê ler
se se
comigo com_eu
texto texto
de de
hebreus hebreu
13 13
17 17
eu eu
vou ir
lendo ler
e e
você você
vai ir
repetindo repetir
à a_o
medida medida
que que
o o
lê ler
obedecer obedecer
e e
avós avô
os o
pastores pastor
sujeitai sujeitai
-vos vós
a a
eles eles
porque porque
revelam revelar
por por
vossa vosso
alma alma
como como
aqueles aquele
que que
amam amar
de de
dar dar
conta conta
delas de_elas
para para
que que
o o
façam fazer
com com
alegria alegria
e e
não não
gemendo gemer
porque porque
isso isso
não não
vos vós
seria ser
útil útil
eu eu
destaco destacar
repita repetir
obedecei obedecer
avós avô
os o
pastores pastor
e e
sujeitai sujeitai
-vos vós
a a
eles eles
escute escutar
eu eu
vou ir
dizer dizer
pra pra
vocês você
preste prestar
atenção atenção
em em
qualquer qualquer
organização organização
que que
não não
tenha ter
princípio princípio
de de
autoridade autoridade
alto alto
se se
destrói destruir
até até
quitanda quitanda
do de_o
seu seu
manel manel
que que
não não
tiver ter
princípio princípio
de de
autoridade autoridade
vai ir
pro pro
beleléu beleléu
qualquer qualquer
organização organização
qualquer qualquer
eu eu
não não
vejo ver
na em_o
bíblia bíblia
deus deus
negociar negociar
sua seu
autoridade autoridade
eu eu
já já
vi ver
deus deus
perdoar perdoar
pecados pecado
contra contra
sua seu
santidade santidade
mas mas
contra contra
a o
sua seu
autoridade autoridade
não não
vi ver
na em_o
bíblia bíblia
no em_o
meu meu
filho filho
que que
é ser
pecado pecar
contra contra
a o
santidade santidade
de de
deus deus
mente mente
é ser
um um
pecado pecado
contra contra
a o
santidade santidade
de de
deus deus
fazer fazer
uma um
pessoa pessoa
também também
um um
pecado pecado
contra contra
pessoa pessoa
santidade santidade
de de
deus deus
o o
adultério adultério
à a_o
prostituição prostituição
pecados pecado
no em_o
corpo corpo
mas mas
aqui aqui
em em
outra outro
cidade cidade
de de
deus deus
agora agora
mercado mercado
pecado pecar
contra contra
autoridade autoridade
lúcifer lúcifer
quando quando
ele ele
se se
rebelou rebelar
eu eu
não não
vier vir
dizer dizer
tem ter
algum algum
demônio demônio
aqui aqui
que que
quer querer
aceitar aceitar
cristo cristo
é ser
algum algum
demônio demônio
aqui aqui
quer querer
voltar voltar
pra pra
jesus jesus
e e
alguns algum
já já
diguinho diguinho
que que
está estar
arrependido arrepender
não não
tem ter
chororô chororô
meu meu
irmão irmão
botou botar
todo todo
mundo mundo
pra pra
fora fora
quando quando
da de_o
tam tam
cobra cobrar
e e
abriram abrir
se se
rebelaram rebelar
contra contra
a o
autoridade autoridade
de de
moisés moisés
que que
representava representar
a a
deus deus
foi ser
todo todo
mundo mundo
incluído incluir
nós nós
estamos estar
enganado enganar
quando quando
deus deus
escreve escrever
manda mandar
escrever escrever
as o
sete sete
cartas carta
à a_o
igreja igreja
do de_o
apocalipse apocalipse
não não
foi ser
escrita escrever
a a
pastor pastor
ciliar ciliar
não não
foi ser
escrita escrever
a a
cij cij
departamento departamento
foi ser
escrito escrever
ao a_o
anjo anjo
da de_o
igreja igreja
ao a_o
pastor pastor
da de_o
igreja igreja
então então
escute escutar
o o
que que
eu eu
vou ir
dizer dizer
aqui aqui
você você
dirige dirigir
a o
juventude juventude
você você
dirige dirigir
por por
delegação delegação
quem quem
é ser
o o
responsável responsável
pela por_o
juventude juventude
sou ser
eu eu
você você
dirija dirigir
adolescente adolescente
você você
dirige dirigir
por por
delegação delegação
quem quem
dirige dirigir
os o
adolescentes adolescente
só só
eu eu
e e
você você
dirige dirigir
a a
mulheres mulher
vitoriosa vitorioso
pode poder
ser ser
minha meu
esposa esposo
dirigir dirigir
por por
delegação delegação
quem quem
dirige dirigir
lá lá
sou ser
eu eu
você você
dirige dirigir
a o
escola escola
dominical dominical
você você
dirige dirigir
por por
delegação delegação
quem quem
dirige dirigir
lá lá
sou ser
eu eu
você você
é ser
pastor pastor
