olá olá
de de
se se
defender defender
diz dizer
ser ser
um um
engana enganir
ninguém ninguém
agora agora
eu eu
vou ir
falar falar
daquilo de_aquilo
que que
é ser
da de_o
minha meu
fé fé
daquilo de_aquilo
que que
eu eu
acredito acreditar
você você
esconde esconder
o o
que que
eu eu
tenho ter
orado orar
a a
deus deus
para para
que que
em em
nome nome
de de
jesus jesus
o o
espírito espírito
santo santo
esclareça esclarecer
a a
esse esse
povo povo
simpático simpático
bonachão bom
hospitaleiro hospitaleiro
do de_o
rio rio
de de
janeiro janeiro
para para
não não
ser ser
enganado enganar
por por
um um
cara cara
como como
você você
com com
esse esse
falso falso
moralismo moralismo
cínico cínico
dissimulado dissimular
mentiroso mentiroso
e e
vendido vender
pra pra
encerrar encerrar
free free
para para
votar votar
uma um
pá pá
de de
cal cal
nesse em_esse
seu seu
falso falso
moralismo moralismo
e e
me eu
acusar acusar
de de
boato boato
aí aí
tá estar
prova prova
o o
diário diário
oficial oficial
a o
exoneração exoneração
da de_o
sua seu
mulher mulher
do de_o
gabinete gabinete
dele de_ele
o o
macaco macaco
ele ele
em em
2012 @card@
e e
admissão admissão
da de_o
sua seu
mulher mulher
no em_o
gabinete gabinete
de de
renato renato
cinco cinco
dia dia
1º 1º
de de
janeiro janeiro
de de
2013 @card@
acabou acabar
para para
você você
o o
povo povo
do de_o
rio rio
de de
janeiro janeiro
vai ir
te tu
rejeitar rejeitar
que que
deus deus
tenha ter
misericórdia misericórdia
do de_o
rio rio
de de
janeiro janeiro
fora fora
frevo frevo
deus deus
abençoe abençoar
você você
deus deus
abençoe abençoar
sua seu
família família
[ [
Música música
] _
