17 17
aqui aqui
saírem sair
aqui aqui
porque porque
o o
povo povo
que que
tá estar
atrás atrás
precisa preciso
bota bota
do de_o
lado lado
se se
vira ver
não não
quero querer
ver ver
ninguém ninguém
aqui aqui
na em_o
à a_o
frente frente
e e
vamos ir
embora embora
então então
eh eh
tem ter
câmeras câmera
aqui aqui
em em
tudo tudo
que que
é ser
lado lado
para para
poder poder
trazer trazer
a o
filmagem filmagem
Ali ali
vai ir
atrapalhar atrapalhar
os o
irmãos irmão
estão estar
na em_o
direita direita
Eu eu
sei saber
que que
eles eles
estão estar
trabalhando trabalhar
e e
fazem fazer
um um
trabalho trabalho
top top
mas mas
só só
para para
pedir pedir
a a
vocês você
isso isso
aí aí
tá estar
isso isso
obrigado obrigar
então então
repito repetir
para para
você você
não não
é ser
obediência obediência
cega cego
é é
obediência obediência
nos em_o
termos termos
da de_o
palavra palavra
de de
Deus deus
agora agora
escute escutar
existem existir
tem ter
quatro quatro
níveis nível
de de
autoridade autoridade
sobre sobre
a o
sua seu
vida vida
quatro quatro
níveis nível
de de
autoridade autoridade
que que
você você
tem ter
que que
entender entender
sobre sobre
a o
sua seu
vida vida
primeiro primeiro
Deus deus
Lembra lembrar
quando quando
os o
apóstolos apóstolo
foram ser
apertados apertar
pressionados pressionar
para para
não não
pregar pregar
em em
Atos ato
Capítulo capítulo
5 5
Versículo versículo
29 29
Pedrão pedrão
vai ir
dizer dizer
h h
eh eh
Vê ver
se se
é ser
justo justo
isso isso
obedecer obedecer
a a
vocês você
ou ou
a a
Deus deus
vê ver
se se
isso isso
é ser
justo justo
importa importar
obedecer obedecer
a o
Deus deus
então então
você você
tá estar
debaixo debaixo
primeiro primeiro
da de_o
autoridade autoridade
de de
Deus deus
que que
é ser
o o
supremo supremo
poder poder
acima acima
de de
tudo tudo
de de
todos todo
número número
dois dois
você você
tá estar
debaixo debaixo
de de
autoridade autoridade
da de_o
palavra palavra
de de
Deus deus
se se
você você
é ser
ovelha ovelha
de de
Cristo cristo
Primeiro primeiro
Samuel samuel
15:22 @card@
um um
texto texto
célebre célebre
tem ter
o o
senhor senhor
mais mais
prazer prazer
em em
sacrifício sacrifício
do de_o
que que
se se
obedeça obedecer
a o
sua seu
palavra palavra
porque porque
é ser
melhor bom
obedecer obedecer
do de_o
que que
sacrificar sacrificar
Então então
você você
tá estar
debaixo debaixo
e e
eu eu
também também
T t
debaixo debaixo
da de_o
autoridade autoridade
de de
Deus deus
tô tô
debaixo debaixo
da de_o
autoridade autoridade
da de_o
palavra palavra
de de
Deus deus
em em
terceiro terceiro
lugar lugar
você você
tá estar
debaixo debaixo
da de_o
autoridade autoridade
da de_o
Igreja igreja
você você
tá estar
debaixo debaixo
da de_o
autoridade autoridade
da de_o
Igreja igreja
Inclusive inclusive
eu eu
nós nós
estamos estar
debaixo debaixo
da de_o
autoridade autoridade
da de_o
Igreja igreja
é ser
a o
igreja igreja
que que
tem ter
poder poder
Como como
diz dizer
Mateus mateus
18:18 @card@
de de
ligar ligar
e e
desligar desligar
aqui aqui
na em_o
terra terra
Olha olhar
a o
autoridade autoridade
que que
ela ela
tem ter
não não
diz dizer
que que
o o
pastor pastor
tem ter
esse esse
poder poder
mas mas
a o
igreja igreja
tem ter
E e
olha olhar
que que
coisa coisa
interessante interessante
quem quem
liberou liberar
o o
ministério ministério
de de
Paulo paulo
Paulo paulo
pertencia pertencer
à a_o
igreja igreja
Atos ato
Capítulo capítulo
13 13
do de_o
versículo versículo
1 1
ao a_o
4 4
Paulo paulo
para para
começar começar
o o
seu seu
ministério ministério
ele ele
foi ser
liberado liberar
pela por_o
igreja igreja
em em
posição posição
de de
mãos mão
e e
quando quando
você você
chega chegar
no em_o
Capítulo capítulo
16 16
é ser
interessante interessante
isso isso
aqui aqui
e e
no em_o
Versículo versículo
4 4
o o
apóstolo apóstolo
Paulo paulo
onde onde
passava passar
levava levar
os o
decretos decreto
dos de_o
Apóstolos apóstolo
e e
anciãos ancião
que que
estavam estar
em em
Jerusalém jerusalém
então então
aqui aqui
já já
tá estar
a o
quarta quarto
autoridade autoridade
tanto tanto
a o
autoridade autoridade
da de_o
Igreja igreja
e e
agora agora
a o
autoridade autoridade
do de_o
pastor pastor
que que
Paulo paulo
tava tava
sujeito sujeitar
ele ele
levava levar
as o
cartas carta
da de_o
igreja igreja
com com
a o
autoridade autoridade
dos de_o
dos de_o
Apóstolos apóstolo
e e
anciãos ancião
e e
o o
texto texto
que que
eu eu
acabei acabar
de de
ler ler
obedeci obedecer
a a
vossos vosso
pastores pastor
e e
sujeitos sujeitar
a a
eles eles
aqui aqui
estão estar
os o
quatro quatro
níveis nível
de de
autoridade autoridade
quem quem
pertence pertencer
a a
Cristo cristo
quem quem
é ser
ovelha ovelha
de de
Cristo cristo
tem ter
que que
entender entender
que que
está estar
Submisso submisso
a a
esses esse
quatro quatro
níveis nível
a a
Deus deus
igreja igreja
e e
ao a_o
pastor pastor
isso isso
aqui aqui
é ser
básico básico
isso isso
aqui aqui
simples simples
agora agora
preste preste
atenção atenção
eu eu
como como
pastor pastor
dessa de_esse
igreja igreja
já já
estabeleci estabelecer
aqui aqui
algumas algum
normas norma
que que
eu eu
quero querer
lembrar lembrar
e e
agora agora
vou ir
lembrar lembrar
mais mais
uma um
vez vez
e e
dizer dizer
a a
todo todo
o o
povo povo
aqui aqui
eu eu
já já
estabeleci estabelecer
aqui aqui
uma um
Norma norma
que que
quando quando
um um
pastor pastor
sai sair
de de
uma um
igreja igreja
ele ele
perde perder
a o
autoridade autoridade
sobre sobre
aquela aquele
igreja igreja
não não
tem ter
que que
ficar ficar
atendendo atender
membros membro
daquela de_aquele
igreja igreja
queixinhas queixinhas
de de
obreiros obreiro
daquela de_aquele
igreja igreja
que que
ele ele
saiu sair
para para
que que
ele ele
possa poder
desempenhar desempenhar
uma um
nova novo
função função
com com
a o
máxima grande
atenção atenção
e e
não não
adianta adiantar
ovelha ovelha
tá estar
ligando ligar
pra para_o
mulher mulher
do de_o
pastor pastor
que que
saiu sair
ou ou
pro pro
pastor pastor
para para
fazer fazer
quexin quexin
porque porque
não não
tem ter
mais muito
autoridade autoridade
sobre sobre
você você
você você
tem ter
algum algum
problema problema
com com
o o
pastor pastor
mas mas
o o
meu meu
problema problema
aqui aqui
é ser
com com
o o
pastor pastor
Regional regional
fala falar
com com
o o
vice-presidente vice-presidente
da de_o
igreja igreja
você você
tem ter
algum algum
problema problema
com com
o o
vice-presidente vice-presidente
da de_o
igreja igreja
fala falar
comigo com_eu
você você
tem ter
algum algum
problema problema
comigo com_eu
fala falar
com com
é ser
a o
sequência sequência
de de
autoridade autoridade
você você
não não
tem ter
que que
tá estar
ligando ligar
nem nem
olha olhar
sabia saber
que que
agora agora
quem quem
entrou entrar
aqui aqui
para para
poder poder
ficar ficar
alisando alisar
o o
ego ego
de de
quem quem
saiu sair
ou ou
porque porque
era ser
muito muito
seu seu
amiguinho amigo
ame amar
as o
ovelhas ovelha
mas mas
você você
não não
tem ter
mais muito
autoridade autoridade
sobre sobre
a o
igreja igreja
que que
você você
saiu sair
e e
deixa deixar
o o
outro outro
colega colega
trabalhar trabalhar
em em
paz paz
e e
você você
que que
é ser
uma um
ovelha ovelha
né né
bacana bacana
Quando quando
recebe receber
o o
pastor pastor
faz fazer
festa festa
quando quando
ele ele
sai sair
isso isso
significa significar
honra honra
faz fazer
festa festa
quando quando
chega chegar
o o
novo novo
isso isso
mostra mostrar
uma um
coisa coisa
que que
eu eu
vou ir
falar falar
daqui de_aqui
a a
pouco pouco
sobre sobre
maturidade maturidade
que que
você você
tem ter
maturidade maturidade
você você
não não
é ser
crente crente
em em
pastor pastor
a o
igreja igreja
permanece permanecer
nós nós
pastores pastor
estamos estar
de de
passagem passagem
você você
tem ter
que que
ser ser
crente crente
em em
Cristo cristo
tem ter
que que
amar amar
a o
igreja igreja
que que
você você
escolheu escolher
em em
participar participar
E e
servir servir
da de_o
melhor bom
maneira maneira
possível possível
então então
ô ô
querido querido
pastor pastor
ou ou
querida querer
esposa esposo
de de
pastor pastor
Quando quando
você você
sair sair
de de
uma um
igreja igreja
e e
alguém alguém
te tu
ligar ligar
para para
falar falar
alguma algum
coisa coisa
eu eu
po po
dizer dizer
aluma aluma
coisa coisa
assim assim
olha olhar
não não
adianta adiantar
mais mais
falar falar
comigo com_eu
porque porque
eu eu
não não
tenho ter
mais muito
autoridade autoridade
sobre sobre
essa esse
igreja igreja
se se
tem ter
algum algum
problema problema
sério sério
se se
reporte reportar
ao a_o
pastor pastor
Regional regional
Ah ah
o o
problema problema
é ser
com com
o o
pastor pastor
Regional regional
Então então
liga ligar
pro pro
igreja igreja
isso isso
aqui aqui
eu eu
estabeleci estabelecer
é ser
uma um
Norma norma
você você
é ser
ovelha ovelha
obedece obedecer
é ser
uma um
Norma norma
que que
eu eu
estabeleci estabelecer
aqui aqui
não não
tem ter
que que
est est
se se
metendo meter
mais mais
em em
nada nada
da de_o
igreja igreja
que que
você você
deixou deixar
esquece esquecer
Vai ir
desempenhar desempenhar
com com
maestria maestria
Hã hã
o o
trabalho trabalho
no em_o
novo novo
lugar lugar
que que
você você
foi ir
ou ou
na em_o
função função
que que
você você
tá estar
desempenhando desempenhar
faça fazer
com com
excelência excelência
quando quando
você você
serve servir
o o
reino reino
quando quando
você você
discipula discipula
quando quando
você você
evangeliza evangelizar
você você
tá estar
colaborando colaborar
para para
que que
o o
pastor pastor
desempenhe desempenhar
a o
sua seu
função função
com com
alegria alegria
e e
quando quando
é ser
que que
você você
faz fazer
um um
pastor pastor
gemer gemer
porque porque
você você
como como
ovelha ovelha
pode poder
fazer fazer
com com
que que
um um
pastor pastor
desempenha desempenhar
a o
sua seu
função função
com com
alegria alegria
e e
prazer prazer
ou ou
possa poder
fazer fazer
com com
que que
o o
pastor pastor
desempenhe desempenhar
sua seu
função função
gemendo gemer
Amargurado amargurar
triste triste
quando quando
é ser
que que
você você
faz fazer
isso isso
rebelião rebelião
insubordinação insubordinação
e e
espírito espírito
independente independente
essas esse
três três
coisinhas coisa
aqui aqui
rebelião rebelião
isso isso
faz fazer
o o
pastor pastor
gemer gemer
insubordinação insubordinação
o o
pastor pastor
dá dar
uma um
ordem ordem
o o
cara cara
tá estar
fazendo fazer
uma um
coisa coisa
contrária contrário
Espírito espírito
Independente independente
Pastor pastor
tá estar
falando falar
diz dizer
assim assim
não não
tô tô
nem nem
aí aí
não não
é ser
para para
mim eu
não não
faço fazer
irmão irmão
vamos ir
ler ler
a o
Bíblia bíblia
Eu eu
leio ler
a o
hora hora
que que
eu eu
quero querer
irmão irmão
Estamos estar
lendo ler
a o
bíblia bíblia
aqui aqui
eu eu
eu eu
não não
faço fazer
não não
fala falar
da de_o
boca boca
mas mas
tem ter
um um
espírito espírito
independente independente
ele ele
não não
adianta adiantar
não não
obedece obedecer
o o
pastor pastor
instrui instruir
sobre sobre
dízimo dízimo
instrui instruir
sobre sobre
oferta oferta
mostra mostrar
o o
que que
tá estar
se se
acontecendo acontecer
tô tô
nem nem
aí aí
Espírito espírito
Independente independente
se se
você você
quer querer
saber saber
como como
é ser
que que
um um
pastor pastor
geme gemar
É é
por por
essas esse
coisas coisa
promotores promotor
de de
confusão confusão
promotor promotor
de de
rebelião rebelião
hã hã
insubordinação insubordinação
isso isso
tudo tudo
faz fazer
o o
pastor pastor
gemer gemer
Briga briga
de de
irmãos irmão
briga briga
por por
departamento departamento
briga briga
por por
coisas coisa
da de_o
igreja igreja
isso isso
faz fazer
o o
pastor pastor
gemer gemer
agora agora
há haver
uma um
sentença sentença
interessante interessante
do de_o
resultado resultado
que que
tá estar
no em_o
texto texto
isso isso
não não
vos vós
seria ser
útil útil
vai ir
trazer trazer
prejuízos prejuízo
para para
você você
se se
você você
faz fazer
com com
que que
um um
pastor pastor
seja ser
na em_o
igreja igreja
filial filial
seja ser
na em_o
igreja igreja
sede sede
seja ser
no em_o
ministério ministério
Total total
se se
você você
faz fazer
com com
que que
um um
pastor pastor
Exerça exercer
seu seu
ministério ministério
gemendo gemer
o o
texto texto
aqui aqui
não não
deixa deixar
isso isso
solto soltar
isso isso
não não
vos vós
seria ser
útil útil
se se
não não
é ser
útil útil
é ser
porque porque
traz trazer
prejuízo prejuízo
vai ir
trazer trazer
prejuízo prejuízo
espiritual espiritual
paraa paraa
sua seu
vida vida
Anote anotar
o o
que que
eu eu
estou estar
te tu
dizendo dizer
E e
o o
que que
eu eu
estou estar
te tu
instruindo instruir
você você
pensa pensar
que que
não não
tem ter
problema problema
você você
acha achar
que que
não não
tem ter
problema problema
agora agora
as o
obrigações obrigação
do de_o
pastor pastor
eu eu
falei falar
das de_o
ovelhas ovelha
velam velar
por por
vossas vossas
almas alma
a o
solene solene
incumbência incumbência
de de
um um
pastor pastor
transcende transcender
as o
questões questão
da de_o
vida vida
terrena terreno
a o
incumbência incumbência
de de
um um
pastor pastor
a a
vida vida
terrena terreno
e e
chega chegar
na em_o
eternidade eternidade
quando quando
tá estar
dizendo dizer
aqui aqui
velam velar
por por
vossas vossas
almas alma
quando quando
você você
vai ir
em em
Mateus mateus
10:28 @card@
Jesus jesus
vai ir
dizer dizer
uma um
palavra palavra
não não
devem dever
temer temer
aqueles aquele
que que
matam matar
o o
corpo corpo
mas mas
aquele aquele
que que
lança lançar
o o
corpo corpo
e e
a o
alma alma
no em_o
inferno inferno
a o
alma alma
do de_o
homem homem
é ser
responsável responsável
por por
pensamentos pensamento
vontade vontade
e e
sentimentos sentimento
o o
texto texto
tá estar
dizendo dizer
que que
os o
pastores pastor
velam velar
por por
vossas vossas
almas alma
porque porque
a o
alma alma
vai ir
ser ser
lançada lançar
no em_o
inferno inferno
ou ou
vai ir
pro pro
céu céu
um um
pastor pastor
não não
é ser
alguém alguém
apenas apenas
com com
o o
Carisma carisma
para para
impressionar impressionar
a o
plateia plateia
um um
pastor pastor
ele ele
cuida cuidar
das de_o
Almas alma
do de_o
povo povo
para para
salvá salvá
-las elas
um um
pastor pastor
não não
ganha ganhar
almas alma
para para
si si
mas mas
para para
Cristo cristo
para para
edificá edificá
-la ela
em em
conhecimento conhecimento
fé fé
e e
santidade santidade
esse esse
é ser
o o
nosso nosso
papel papel
nós nós
não não
estamos estar
aqui aqui
para para
ganhar ganhar
adeptos adepto
para para
nós nós
nós nós
pastores pastor
não não
estamos estar
aqui aqui
para para
termos termo
seguidores seguidor
Como como
eu eu
vejo ver
em em
alguns algum
lugares lugar
por por
aí aí
eu eu
não não
não não
quero querer
seguidor seguidor
eu eu
quero querer
velas vela
de de
Cristo cristo
que que
entendam entender
A o
Minha meu
autoridade autoridade
mas mas
que que
obedeçam obedecer
e e
honrem honrar
a a
Cristo cristo
agora agora
o o
texto texto
diz dizer
velam velar
essa esse
palavra palavra
é ser
um um
vigilante vigilante
que que
tá estar
antenado antenado
24 24
horas hora
cuidando cuidar
das de_o
ovelhas ovelha
por por
causa causa
de de
lobo lobo
hã hã
perigos perigo
heresias heresia
todo todo
tipo tipo
de de
mal mal
que que
que que
pode poder
danificar danificar
A o
Ovelha ovelha
e e
impedi impedir
-la ela
de de
ir ir
pro pro
céu céu
então então
o o
pastor pastor
vela velar
tem ter
que que
est est
antenado antenado
atento atento
a a
tudo tudo
não não
tô tô
nem nem
aí aí
eu eu
prego prego
fechei fechar
minha meu
Bíblia bíblia
vou ir
PR pr
minha meu
casa casa
quero querer
nem nem
saber saber
deu dar
dízimo dízimo
aqui aqui
deu dar
oferta oferta
Vai ir
em em
paz paz
eu eu
falo falar
com com
muitos muito
pastores pastor
do de_o
nível nível
que que
eu eu
estou estar
porque porque
é ser
Deus deus
que que
eleva elevar
é é
Deus deus
que que
faz fazer
e e
eles eles
ficam ficar
admirados admirar
quando quando
eu eu
digo dizer
que que
eu eu
dou dar
atendimento atendimento
pastoral pastoral
é ser
claro claro
que que
se se
eu eu
viver viver
só só
para para
dar dar
atendimento atendimento
Pastoral pastoral
é ser
24 24
horas hora
mas mas
casos caso
mais mais
graves grave
eu eu
dou dar
atendimento atendimento
eu eu
marco marco
na em_o
minha meu
agenda agenda
tá estar
aqui aqui
a o
minha meu
secretária secretária
da de_o
igreja igreja
que que
tá estar
aqui aqui
a o
irmã irmã
esté esté
eu eu
marco marco
na em_o
agenda agenda
e e
dou dar
atendimento atendimento
Pastoral pastoral
por por
quê quê
Porque porque
eu eu
tenho ter
que que
velar velar
pelas por_o
pessoas pessoa
eu eu
tenho ter
que que
saber saber
eu eu
não não
posso poder
simplesmente simplesmente
chegar chegar
aqui aqui
no em_o
público público
pregar pregar
uma um
mensagem mensagem
e e
não não
tô tô
nem nem
aí aí
que que
tá estar
acontecendo acontecer
não não
eu eu
tenho ter
que que
estar estar
antenado antenado
vendo ver
que que
tá estar
acontecendo acontecer
com com
o o
povo povo
como como
cada cada
pastor pastor
da de_o
devec devec
tem ter
que que
est est
antenado antenado
que que
que que
tá estar
acontecendo acontecer
tem ter
algum algum
perturbador perturbador
no em_o
meio meio
das de_o
ovelhas ovelha
tem ter
algum algum
usurpador usurpador
no em_o
meio meio
das de_o
ovelhas ovelha
tem ter
algum algum
ensino ensino
para para
deturpar deturpar
meu meu
irmão irmão
olha olhar
olha olhar
aqui aqui
a o
tarefa tarefa
de de
um um
pastor pastor
a a
coisa coisa
mais mais
séria sério
do de_o
que que
a o
gente gente
pensa pensar
como como
aqueles aquele
que que
hão haver
de de
dar dar
conta conta
delas de_elas
que que
responsabilidade responsabilidade
ninguém ninguém
é ser
adequado adequado
para para
ser ser
Pastor pastor
se se
não não
for ser
capaz capaz
de de
cuidar cuidar
as o
ovelhas ovelha
de de
Cristo cristo
para para
levá levar
-las elas
pro pro
céu céu
nenhum nenhum
pastor pastor
ninguém ninguém
pode poder
ser ser
adequado adequar
para para
ser ser
Pastor pastor
se se
ele ele
não não
tiver ter
envolvido envolver
em em
preparar preparar
as o
ovelhas ovelha
para para
ir ir
pro pro
céu céu
porque porque
nós nós
fazemos fazer
campanha campanha
e e
leitura leitura
da de_o
Bíblia bíblia
e e
hã hã
e e
projetos projeto
da de_o
igreja igreja
para para
te tu
preparar preparar
e e
pregação pregação
e e
Aviva avivar
e e
congressos congresso
para para
te tu
preparar preparar
culto culto
da de_o
palavra palavra
para para
te tu
preparar preparar
um um
pastor pastor
tá estar
pensando pensar
que que
Deus deus
não não
vai ir
cobrar cobrar
de de
você você
o o
seu seu
ministério ministério
tem ter
gente gente
enganado enganar
Deus deus
vai ir
para para
de de
escute escutar
pastores pastor
da de_o
ADC adc
Deus deus
não não
vai ir
pedir pedir
conta conta
dos de_o
templos templo
que que
a o
gente gente
constrói construir
da de_o
grandeza grandeza
da de_o
igreja igreja
do de_o
número número
de de
filiais filial
Deus deus
vai ir
pedir pedir
conta conta
das de_o
pessoas pessoa
seu seu
ministério ministério
guia guia
as o
ovelhas ovelha
pro pro
céu céu
ou ou
pro pro
inferno inferno
isso isso
aqui aqui
é ser
sério sério
eu eu
quero querer
deixar deixar
aqui aqui
um um
alerta alerta
sobre sobre
dois dois
extremos extremo
são ser
dois dois
extremos extremo
perigosos perigoso
o o
primeiro primeiro
a o
insubordinação insubordinação
de de
ovelhas ovelha
e e
o o
segundo segundo
a o
manipulação manipulação
de de
Pastores pastor
são ser
dois dois
extremos extremo
perigosos perigoso
ovelhas ovelha
insubordinadas insubordinar
à a_o
autoridade autoridade
do de_o
pastor pastor
e e
a o
manipulação manipulação
que que
o o
pastor pastor
faz fazer
pela por_o
autoridade autoridade
que que
tem ter
dois dois
extremos extremo
que que
nós nós
não não
queremos querer
eu eu
quero querer
deixar deixar
isso isso
aqui aqui
de de
alerta alerta
a a
todo todo
o o
povo povo
da de_o
advec advec
e e
a a
todos todo
os o
pastores pastor
daqui de_aqui
como como
eu eu
quero querer
dar dar
alguns algum
conselhos conselho
para para
vocês você
o o
segundo segundo
eu eu
quero querer
falar falar
de de
comunhão comunhão
coinon coinon
115 115
vezes vezes
na em_o
Bíblia bíblia
tem ter
a o
palavra palavra
comunhão comunhão
só só
o o
apóstolo apóstolo
Paulo paulo
usa usar
87 87
vezes vez
nas em_o
suas seu
13 13
cartas carta
a a
a o
comunhão comunhão
o o
companheirismo companheirismo
participação participação
convivência convivência
Harmonia harmonia
identificação identificação
compartilhar compartilhar
escute escutar
bem bem
tô tô
falando falar
coisas coisa
que que
vocês você
já já
ouviram ouvir
e e
vão ir
ter ter
que que
ouvir ouvir
outras outro
vezes vez
primeira primeira
Coríntios coríntio
Capítulo capítulo
12 12
a a
partir partir
do de_o
Versículo versículo
12 12
diz dizer
que que
a o
igreja igreja
é ser
corpo corpo
tô tô
sendo ser
repetitivo repetitivo
mas mas
que que
é ser
importante importante
o o
que que
é ser
corpo corpo
conjunto conjunto
de de
membros membro
interdependentes interdependente
membro membro
só só
tem ter
vida vida
ligado ligar
a a
outros outro
membros membro
no em_o
corpo corpo
não não
é ser
à a_o
toa toa
essa esse
analogia analogia
do de_o
apóstolo apóstolo
Paulo paulo
para para
mostrar mostrar
a o
importância importância
que que
tem ter
a o
igreja igreja
e e
a o
importância importância
que que
tem ter
você você
tá estar
ligado ligar
a a
outro outro
todos todo
são ser
importantes importante
a o
interdependência interdependência
nos em_o
membros membro
do de_o
corpo corpo
nessa em_esse
passagem passagem
diz dizer
que que
se se
um um
membro membro
sofre sofrer
todos todo
sofrem sofrer
se se
um um
membro membro
se se
alegra alegrar
todos todo
se se
alegram alegrar
isso isso
aqui aqui
é ser
o o
princípio princípio
que que
é ser
a o
igreja igreja
isso isso
é ser
igreja igreja
não não
existe existir
ninguém ninguém
descartável descartável
na em_o
igreja igreja
todos todo
os o
membros membro
são ser
importantes importante
todos todo
os o
membros membro
são ser
importantes importante
agora agora
já já
que que
eu eu
eu eu
tô tô
falando falar
de de
comunhão comunhão
deixa deixar
eu eu
explicar explicar
uma um
coisa coisa
para para
você você
discórdia discórdia
de de
opinião opinião
ou ou
questão questão
sentimental sentimental
presta presto
atenção atenção
a a
isso isso
aqui aqui
isso isso
é ser
importante importante
discórdia discórdia
de de
opinião opinião
ou ou
questão questão
sentimental sentimental
porque porque
a o
gente gente
é é
indivíduo indivíduo
você você
tem ter
seu seu
jeito jeito
de de
ver ver
de de
perceber perceber
você você
pode poder
discordar discordar
de de
um um
irmão irmão
não não
há haver
nenhum nenhum
problema problema
vamos ir
pra para_o
Bíblia bíblia
Atos ato
Capítulo capítulo
15 15
versículo versículo
39 39
houve haver
uma um
violenta violento
discussão discussão
entre entre
Paulo paulo
e e
Barnabé barnabé
por por
causa causa
de de
Marcos marcos
um um
diz dizer
Leva levar
outro outro
diz dizer
não não
leva levar
leva levar
não não
leva levar
leva levar
não não
leva levar
houve haver
uma um
violenta violento
discussão discussão
não não
tem ter
uma um
repreensão repreensão
na em_o
Bíblia bíblia
sabe saber
por por
quê quê
discussão discussão
de de
ideias ideia
não não
de de
sentimentos sentimento
vamos ir
paraa paraa
outra outro
Gálatas gálata
Capítulo capítulo
2 2
Versículo versículo
11 11
diz dizer
que que
Paulo paulo
resistiu resistir
a a
Pedro pedro
na em_o
cara cara
porque porque
era ser
repreensível repreensível
isso isso
é ser
Pedrão pedrão
tava tava
com com
o o
chapéu chapéu
de de
dois dois
bicos bico
quando quando
tava tava
com com
judeus judeu
era ser
da de_o
circuncisão circuncisão
quando quando
tava tava
com com
gentios gentio
era ser
da de_o
incircuncisão incircuncisão
Paulo paulo
chegou chegar
meu meu
irmão irmão
e e
largou largar
lhe ele
o o
aço aço
em em
cima cima
de de
Pedro pedro
agora agora
olha olhar
que que
coisa coisa
Interessante interessante
não não
tem ter
nenhuma nenhum
repreensão repreensão
nenhuma nenhum
reprimenda reprimenda
para para
esse esse
enfrentamento enfrentamento
de de
Paulo paulo
a a
Pedro pedro
agora agora
você você
vai ir
lá lá
na em_o
epístola epístola
de de
Pedro pedro
no em_o
capítulo capítulo
3 3
e e
Versículo versículo
15 15
quando quando
Pedro pedro
tá estar
dando dar
um um
alerta alerta
