hoje hoje
da de_o
vida vida
do de_o
que que
os o
pastores pastor
Você você
pode poder
ter ter
mais muito
profundidade profundidade
que que
é ser
pastor pastor
é ser
para para
ter ter
uma um
vida vida
mais mais
Santa santa
de de
mais muito
intimidade intimidade
com com
Deus deus
ter ter
revelação revelação
que que
nem nem
Pastor pastor
tem ter
isso isso
tudo tudo
não não
tem ter
problema problema
e e
isso isso
é ser
fácil fácil
eu eu
tô tô
reconhecendo reconhecer
mas mas
mais muito
autoridade autoridade
que que
pastor pastor
não não
porque porque
são ser
princípios princípio
e e
eu eu
vou ir
tratar tratar
mais mais
tarde tarde
na em_o
mensagem mensagem
sobre sobre
isso isso
também também
aproveito aproveitar
para para
dizer dizer
que que
eu eu
não não
sou ser
paraquedista paraquedista
no em_o
mundo mundo
evangélico evangélico
e e
eu eu
não não
cheguei chegar
do de_o
nada nada
e e
eu eu
não não
cheguei chegar
agora agora
e e
quem quem
é ser
esse esse
cara cara
qual qual
é ser
a o
origem origem
dele de_ele
de de
onde onde
ele ele
veio vir
né né
Tá estar
na em_o
Não não
primeiro primeiro
eu eu
sou ser
de de
uma um
família família
tradicionalíssima tradicional
nessa em_esse
Assembleia assembleia
de de
Deus deus
meu meu
pai pai
foi ser
o o
primeiro primeiro
Malafaia malafaia
aceitar aceitar
a o
Cristo cristo
há haver
mais mais
de de
75 75
anos ano
atrás atrás
bom bom
e e
depois depois
vieram vir
os o
seus seu
irmãos irmão
e e
hoje hoje
a a
nossa nosso
família família
tem ter
mais mais
de de
300 300
crentes crente
a o
família família
Malafaia malafaia
uma um
família família
grande grande
eu eu
sou ser
com com
meus meu
primos primo
a a
segunda segundo
geração geração
de de
pastores pastor
e e
filhos filho
de de
primos primo
que que
também também
são ser
meus meu
primos primo
meus meu
filhos filho
meu meu
filho filho
é ser
a o
terceira terceiro
geração geração
de de
Pastores pastor
tá estar
na em_o
nossa nosso
família família
eu eu
sou ser
de de
uma um
família família
sacerdotal sacerdotal
é ser
importante importante
dizer dizer
que que
durante durante
30 30
anos ano
eu eu
servia servir
um um
pastor pastor
mesmo mesmo
sendo ser
conhecido conhecido
no em_o
Brasil brasil
e e
no em_o
exterior exterior
programa programa
em em
rede rede
nacional nacional
eu eu
sou ser
o o
pastor pastor
mais mais
antigo antigo
em em
tempo tempo
continuo continuar
na em_o
televisão televisão
agora agora
em em
maio maio
dia dia
cinco cinco
de de
Maio maio
completo completo
40 40
anos ano
ininterruptos ininterrupto
na em_o
TV tv
a a
Deus deus
a o
glória glória
e e
já já
tivemos ter
programa programa
dublado dublar
em em
mais mais
de de
120 120
Nações nações
do de_o
mundo mundo
programa programa
ainda ainda
programa programa
inglês inglês
com com
a o
queda queda
da de_o
televisão televisão
o o
advento advento
das de_o
redes rede
sociais social
eu eu
fui ser
enxugando enxugar
não não
é ser
porque porque
não não
se se
rasga rasgar
dinheiro dinheiro
porque porque
a o
televisão televisão
perdeu perder
muita muito
audiência audiência
e e
a o
gente gente
sociais social
passaram passar
a a
ter ter
essa esse
audiência audiência
então então
nós nós
diminuímos diminuímos
Hoje hoje
nós nós
estamos estar
na em_o
RedeTV redetv
sábado sábado
9:00 @card@
tinha ter
programa programa
em em
rede rede
diário diário
Nacional nacional
certo certo
tá estar
tudo tudo
isso isso
e e
eu eu
servia servir
um um
pastor pastor
durante durante
30 30
anos ano
o o
meu meu
ministério ministério
arrecadava arrecadar
dez dez
vezes vez
mais mais
do de_o
que que
a o
igreja igreja
Assembleia assembleia
de de
Deus deus
da de_o
Penha penha
Como como
era ser
chamada chamar
eu eu
pertencia pertencer
mesmo mesmo
sendo ser
abre abrir
e e
fecha fechar
arte arte
para para
essa esse
palavra palavra
famoso famoso
no em_o
mundo mundo
evangélico evangélico
fiz fazer
grandes grande
eventos evento
em em
lugares lugar
abertos abrir
500 500
mil mil
pessoas pessoa
em em
Manaus manaus
300 300
mil mil
em em
Fortaleza fortaleza
250 250
mil mil
em em
São são
Luís luís
do de_o
Maranhão maranhão
120 120
mil mil
com com
greve greve
de de
ônibus ônibus
em em
Teresina teresina
150 150
mil mil
pessoas pessoa
debaixo debaixo
de de
chuva chuva
de de
chuva chuva
forte forte
em em
Porto porto
Alegre alegre
fiz fazer
grandes grande
eventos evento
eu eu
tenho ter
tido ter
assim assim
o o
privilégio privilégio
de de
fazer fazer
uma um
escola escola
de de
líderes líder
que que
nós nós
já já
investimos investir
nessa em_esse
escola escola
de de
líderes líder
25 25
milhões milhão
de de
real real
reais real
levando levar
gente gente
pastores pastor
e e
jovens jovem
com com
pensão pensão
completa completo
e e
hotel hotel
por por
conta conta
do de_o
nosso nosso
Ministério ministério
para para
poder poder
deixar deixar
legado legar
aprendizado aprendizado
fazer fazer
outros outro
crescerem crescer
nós nós
investimos investir
nessa em_esse
nessas em_esse
escolas escola
que que
fizemos fazer
ainda ainda
continuamos continuar
fazendo fazer
as o
lavec lavec
mas mas
agora agora
estamos estar
usando usar
mais mais
o o
templo templo
nós nós
investiu investir
mais mais
de de
25 25
milhões milhão
para para
pagar pagar
hotel hotel
e e
pensão pensão
completa completo
né né
nessas em_esse
escolas escola
que que
fizemos fazer
eu eu
tô tô
posicionando posicionar
vocês você
agora agora
porque porque
nós nós
estamos estar
vivendo viver
a o
era era
dos de_o
Famosos famoso
anônimos anônimo
vai ir
ser ser
a o
mão mão
não não
é ser
famoso famoso
que que
que que
é ser
isso isso
eu eu
explico explicar
a a
contrário contrário
disso de_isso
é ser
proposital proposital
é ser
famoso famoso
porque porque
falou falar
algo algo
e e
social social
porque porque
tem ter
uma um
inteligência inteligência
em em
alguma algum
área área
e e
consegue conseguir
né né
se se
expandir expandir
rede rede
social social
e e
aí aí
o o
povo povo
acredita acreditar
em em
tudo tudo
que que
eles eles
falam falar
não não
tem ter
história história
você você
não não
conhece conhecer
a o
história história
você você
não não
sabe saber
a o
origem origem
e e
quando quando
se se
trata tratar
de de
Reino reino
de de
mundo mundo
de de
Deus deus
quem quem
está estar
submetida submeter
a o
pessoa pessoa
então então
isso isso
é ser
uma um
coisa coisa
muito muito
perigosa perigoso
e e
Deus deus
tem ter
me eu
incomodado incomodar
porque porque
eu eu
não não
sou ser
a o
única único
mas mas
eu eu
sou ser
uma um
das de_o
vozes voz
proféticas profético
dessa de_esse
nação nação
Então então
Deus deus
me eu
levantou levantar
e e
eu eu
sei saber
muito muito
bem bem
porque porque
que que
Deus deus
me eu
levantou levantar
eu eu
não não
tô tô
dizendo dizer
que que
eu eu
sou ser
melhor bom
por por
causa causa
disso de_isso
ao a_o
contrário contrário
eu eu
te tu
até até
de de
do de_o
Senhor senhor
Como como
é ser
que que
tu tu
me eu
usa usar
se se
eu eu
fosse ser
no em_o
teu teu
lugar lugar
não não
usava usar
não não
Olá olá
eu eu
sou ser
um um
cara cara
com com
um um
monte monte
de de
feito fazer
com com
com com
tanta tanto
coisa coisa
mas mas
é ser
graça graça
não não
tem ter
explicação explicação
é ser
o o
favor favor
benevolente benevolente
merecido merecer
amoroso amoroso
de de
Deus deus
para para
conosco conosco
bom bom
então então
Deus deus
usa usar
por por
sua seu
grandeza grandeza
de de
graça graça
eu eu
quero querer
deixar deixar
aqui aqui
essa esse
palavra palavra
aqui aqui
na em_o
introdução introdução
eu eu
quero querer
fazer fazer
agora agora
uma um
rápida rápido
análise análise
profunda profundo
do de_o
texto texto
com com
acabei acabar
de de
ler ler
uma um
análise análise
rápida rápido
do de_o
texto texto
tô tô
acabei acabar
de de
ler ler
de de
segunda segunda
Coríntios coríntio
Capítulo capítulo
11 11
Versículo versículo
primeiro primeiro
o o
apóstolo apóstolo
Paulo paulo
na em_o
sua seu
jactância jactância
isso isso
é ser
ele ele
falando falar
dele de_ele
mesmo mesmo
uma um
coisa coisa
que que
ele ele
não não
gostava gostar
de de
fazer fazer
mas mas
é ser
porque porque
ele ele
tava tava
debaixo debaixo
de de
pressão pressão
de de
gente gente
colocando colocar
em em
dúvida dúvida
o o
seu seu
ministério ministério
apostólico apostólico
então então
ele ele
vem vir
e e
dá dar
essa esse
palavra palavra
aqui aqui
olha olhar
Tomara tomar
que que
você você
me eu
suporta suportar
hein hein
e e
deixa deixar
eu eu
dizer dizer
mais mais
alguma algum
coisa coisa
para para
vocês você
de de
suporte suporte
ainda ainda
aguenta aguentar
comigo com_eu
mesmo mesmo
vocês você
muitos muito
aqui aqui
não não
me eu
dando dar
Crédito crédito
Depois depois
do de_o
versículo versículo
de de
número número
2 2
o o
apóstolo apóstolo
Paulo paulo
vai ir
dizer dizer
uma um
coisa coisa
muito muito
interessante interessante
aqui aqui
porque porque
estou estar
Zeloso zeloso
Zeloso zeloso
de de
vós vós
com com
o o
selo selo
de de
Deus deus
porque porque
vos vós
tenho ter
preparado preparar
para para
vos vós
apresentar apresentar
como como
uma um
virgem virgem
pura puro
a a
um um
marido marido
a a
saber saber
a a
Cristo cristo
o o
cuidado cuidado
de de
Paulo paulo
para para
apresentar apresentar
uma um
igreja igreja
Santa santa
pura puro
que que
não não
falsifica falsificar
o o
evangelho evangelho
e e
a o
preocupação preocupação
aqui aqui
dele de_ele
depois depois
você você
chega chegar
no em_o
Versículo versículo
3 3
Mas mas
temo temer
que que
assim assim
como como
a o
serpente serpente
enganou enganar
Eva eva
com com
a o
sua seu
astúcia astúcia
assim assim
também também
vós vós
sejam ser
de de
alguma algum
sorte sorte
corrompidos corromper
os o
vossos vosso
sentidos sentir
ou ou
a o
vossa vosso
mente mente
Eu eu
prefiro preferir
a o
vossa vosso
mente mente
e e
se se
apartem apartar
da de_o
simplicidade simplicidade
que que
há haver
em em
cristo cristo
olha olhar
o o
que que
é ser
que que
ele ele
tá estar
dizendo dizer
aqui aqui
que que
é ser
muito muito
interessante interessante
tá estar
muito muito
importante importante
o o
que que
o o
apóstolo apóstolo
Paulo paulo
está estar
falando falar
da de_o
preocupação preocupação
que que
a o
igreja igreja
estava estar
sendo ser
corrompida corromper
por por
falsos falso
Apóstolos apóstolo
o o
povo povo
facilmente facilmente
está estar
passando passar
seduzido seduzir
por por
falácias falácia
bom bom
então então
ele ele
tá estar
eu eu
te tu
amo amar
eu eu
tô tô
preocupado preocupado
com com
que que
tá estar
acontecendo acontecer
eu eu
tô tô
preocupado preocupado
que que
esses esse
falsos falso
obreiros obreiro
usam usar
a o
mesma mesmo
tática tática
de de
Satanás satanás
e e
ele ele
tá estar
falando falar
de de
falsos falso
Apóstolos apóstolo
que que
estão estar
até até
turbando turbando
o o
evangelho evangelho
Ele ele
tá estar
dizendo dizer
aqui aqui
é ser
o o
que que
o o
texto texto
acabei acabar
de de
ler ler
temos ter
como como
a o
serpente serpente
enganou enganar
Eva eva
com com
a o
sua seu
astúcia astúcia
astúcia astúcia
é é
sagacidade sagacidade
malandragem malandragem
e e
esperteza esperteza
para para
enganar enganar
envolver envolver
a o
pessoa pessoa
Satanás satanás
perdeu perder
sabedoria sabedoria
mas mas
não não
perdeu perder
a o
inteligência inteligência
e e
ele ele
só só
usa usar
a o
inteligência inteligência
para para
o o
mal mal
porque porque
ele ele
é ser
chamado chamar
de de
maligno maligno
aquele aquele
cuja cujo
essência essência
do de_o
seu seu
caráter caráter
é ser
mal mal
então então
ele ele
não não
consegue conseguir
usar usar
a o
inteligência inteligência
para para
o o
bem bem
ele ele
só só
usa usar
para para
o o
mal mal
e e
ele ele
tá estar
aqui aqui
o o
apóstolo apóstolo
Paulo paulo
dizendo dizer
que que
esses esse
obreiros obreiro
os o
falsos falso
Apóstolos apóstolo
estão estar
usando usar
uma um
tática tática
para para
envolver envolver
para para
seduzir seduzir
e e
para para
enganar enganar
o o
povo povo
de de
Deus deus
e e
agora agora
ele ele
tá estar
dizendo dizer
uma um
outra outro
coisa coisa
aqui aqui
nesse em_esse
Versículo versículo
assim assim
como como
a o
serpente serpente
enganou enganar
Eva eva
com com
a o
sua seu
astúcia astúcia
assim assim
também também
sejam ser
de de
alguma algum
short short
corrompido corromper
as o
vossas vossas
mentes mente
Olha olhar
que que
que que
é ser
isso isso
aqui aqui
de de
alguma algum
short short
sejam ser
corrompido corromper
a a
sua seu
mente mente
a o
mente mente
é ser
o o
único único
meio meio
eficaz eficaz
de de
transformação transformação
você você
sente sentar
primeiro primeiro
você você
pensa pensar
você você
tem ter
vontade vontade
primeiro primeiro
você você
pensa pensar
você você
vai ir
tomar tomar
uma um
atitude atitude
primeiro primeiro
você você
pensa pensar
você você
vai ir
assistir assistir
primeiro primeiro
você você
pensa pensar
por por
isso isso
que que
Paulo paulo
Em em
Romanos romano
12 12
2 2
dias dia
não não
vos vós
conformeis conformeis
com com
este este
mundo mundo
mas mas
transformai transformai
-vos vós
pela por_o
renovação renovação
do de_o
Vasco vasco
em em
entendimento entendimento
a a
sua seu
mente mente
tem ter
um um
poder poder
de de
não não
aceitar aceitar
esse esse
jogo jogo
do de_o
mundo mundo
que que
seduz seduzir
o o
homem homem
porque porque
a o
tua tua
mente mente
foi ser
a o
verba verba
pelo por_o
poder poder
do de_o
Evangelho evangelho
bom bom
então então
a o
mente mente
humana humano
é ser
algo algo
incrível incrível
você você
já já
sabe saber
já já
ouviram ouvir
de de
outros outro
pastores pastor
que que
já já
ouviram ouvir
dizer dizer
tirar tirar
o o
povo povo
do de_o
Egito egito
foi ser
moleza moleza
para para
Deus deus
é ser
só só
descer descer
o o
seu seu
poder poder
mandou mandar
pago pagar
pau pau
cantor cantor
em em
cima cima
dos de_o
caras cara
e e
liberar liberar
o o
povo povo
agora agora
tirar tirar
o o
Egito egito
do de_o
Povo povo
nem nem
Deus deus
porque porque
porque porque
uma um
questão questão
de de
mentalidade mentalidade
de de
livre livre
arbítrio arbítrio
eles eles
não não
perderam perder
a o
mentalidade mentalidade
de de
escravo escravo
e e
não não
incorporaram incorporar
a o
mentalidade mentalidade
de de
povo povo
de de
Deus deus
e e
por por
isso isso
foram ser
prostrados prostrar
no em_o
deserto deserto
Então então
Deus deus
não não
tem ter
poder poder
de de
mudar mudar
mentalidade mentalidade
é ser
uma um
decisão decisão
sua seu
por por
isso isso
que que
tirar tirar
o o
povo povo
do de_o
Egito egito
foi ser
beleza beleza
para para
Deus deus
mas mas
tirar tirar
o o
Egito egito
o o
povo povo
nem nem
Deus deus
por por
uma um
questão questão
de de
mentalidade mentalidade
EA ea
Grande grande
Batalha batalha
Entre entre
a o
Fé fé
EA ea
incredulidade incredulidade
se se
dá dar
na em_o
mente mente
humana humano
segundo segundo
no em_o
Capítulo capítulo
4 4
Versículo versículo
4 4
de de
que que
o o
Deus deus
deste de_este
século século
cegou cegar
o o
em em
entendimento entendimento
dos de_o
incrédulos incrédulo
a o
mente mente
dos de_o
incrédulos incrédulo
Hebreus hebreu
11 11
três três
dias dia
pela por_o
fé fé
entendemos entender
pela por_o
mente mente
que que
os o
mundos mundo
foram ser
criados criar
pela por_o
palavra palavra
de de
Deus deus
de de
sorte sorte
que que
aquilo aquilo
que que
se se
vê ver
não não
foi ser
feito fazer
do de_o
que que
é ser
aparente aparente
então então
é ser
na em_o
mente mente
humana humano
que que
se se
trava travar
A o
Batalha batalha
Entre entre
a o
Fé fé
EA ea
incredulidade incredulidade
Isso isso
é ser
coisa coisa
muito muito
séria sério
meu meu
irmão irmão
O o
que que
você você
tá estar
recebendo receber
de de
mentalidade mentalidade
vai ir
determinar determinar
a o
tua tua
vida vida
cristã cristão
tanto tanto
a o
vida vida
em em
sociedade sociedade
e e
tuas tuas
atitudes atitude
Oi oi
e e
aí aí
Paulo paulo
vai ir
dizer dizer
nesse em_esse
mesmo mesmo
Versículo versículo
eu eu
tenho ter
que que
vocês você
se se
apartem apartar
da de_o
simplicidade simplicidade
que que
era ser
o o
evangelho evangelho
e e
essa esse
palavra palavra
simplicidade simplicidade
lá lá
no em_o
Grego grego
é ser
a o
prótese prótese
que que
significa significar
eu eu
tenho ter
que que
vocês você
se se
apartem apartar
da de_o
retidão retidão
que que
há haver
no em_o
Evangelho evangelho
é ser
isso isso
que que
Paulo paulo
está estar
dizendo dizer
e e
para para
que que
não não
o o
evangelho evangelho
não não
seja ser
falsificado falsificar
E e
aí aí
você você
vai ir
para para
o o
Versículo versículo
4 4
e e
no em_o
Versículo versículo
4 4
tá estar
dizendo dizer
porque porque
se se
alguém alguém
for ser
pregar pregar
para para
os o
outros outro
Jesus jesus
que que
nós nós
não não
temos ter
pregado pregar
ou ou
se se
recebeis recebeis
outro outro
espírito espírito
que que
não não
recebestes receber
ou ou
outro outro
evangelho evangelho
que que
não não
abraçastes abraçastes
com com
razão razão
o o
sofrereis sofrereis
mas mas
se se
alguém alguém
prega pregar
um um
outro outro
Jesus jesus
Jesus jesus
é ser
o o
Senhor senhor
absoluto absoluto
da de_o
igreja igreja
único único
meio meio
de de
salvação salvação
em em
qualquer qualquer
coisa coisa
fora ser
isso isso
a o
heresia heresia
EA ea
bobagem bobagem
E e
aí aí
ele ele
vai ir
dizer dizer
uma um
outra outro
coisa coisa
aqui aqui
no em_o
texto texto
e e
se se
recebeis recebeis
outro outro
espírito espírito
que que
não não
recebeste receber
e e
ele ele
está estar
falando falar
aqui aqui
do de_o
espírito espírito
de de
confusão confusão
o o
espírito espírito
que que
não não
é ser
o o
Espírito espírito
Santo santo
é ser
um um
espírito espírito
que que
traz trazer
confusão confusão
doutrinária doutrinário
para para
o o
povo povo
e e
não não
traz trazer
paz paz
não não
traz trazer
base base
mais mais
trás trás
dúvida dúvida
traz trazer
essa esse
aqui aqui
que que
a o
coisa coisa
muito muito
séria sério
e e
o o
apóstolo apóstolo
Paulo paulo
entre entre
o o
Versículo versículo
11 11
e e
18 18
Versículo versículo
13 13
e e
15 15
ele ele
diz dizer
que que
esses esse
falsos falso
Apóstolos apóstolo
a a
que que
querem querer
dizer dizer
que que
são ser
Apóstolos apóstolo
verdadeiros verdadeiro
mas mas
são ser
falsos falso
e e
Paulo paulo
chama chamar
de de
obreiros obreiro
fraudulentos fraudulento
porque porque
porque porque
estão estar
falsificando falsificar
o o
Evangelho evangelho
no em_o
dizer dizer
de de
Paulo paulo
de de
segunda segunda
Coríntios coríntio
Capítulo capítulo
2 2
Versículo versículo
7 7
Capítulo capítulo
4 4
Versículo versículo
2 2
falsificadores falsificador
da de_o
palavra palavra
de de
Deus deus
E e
isso isso
não não
é ser
uma um
brincadeirinha brincadeira
E e
aí aí
ele ele
vai ir
dizer dizer
uma um
outra outro
coisa coisa
nesse em_esse
mesmo mesmo
Versículo versículo
eu eu
tô tô
fazendo fazer
aqui aqui
apenas apenas
uma um
exegese exegese
bem bem
rápida rápido
a o
interpretação interpretação
do de_o
texto texto
não não
é ser
bem bem
rápido rápido
aqui aqui
para para
você você
e e
se se
você você
um um
outro outro
espírito espírito
e e
o o
outro outro
é ser
evangelho evangelho
Paulo paulo
tá estar
falando falar
do de_o
Evangelho evangelho
misturado misturar
com com
legalismo legalismo
judaico judaico
e e
com com
vãs vão
filosofias filosofia
Evangelho evangelho
não não
precisa precisar
de de
muleta muleta
Evangelho evangelho
não não
precisa precisar
de de
bengala bengala
Evangelho evangelho
é é
verdade verdade
fundamental fundamental
de de
Deus deus
para para
o o
homem homem
não não
precisa precisar
de de
teorias teoria
teológicas teológico
ganho ganho
de de
ajuda ajuda
ele ele
é ser
super super
ano ano
o o
meu meu
irmão irmão
e e
deixa deixar
eu eu
dizer dizer
uma um
coisa coisa
para para
vocês você
eu eu
fico ficar
triste triste
como como
é ser
que que
o o
povo povo
de de
Deus deus
está estar
sendo ser
levado levar
por por
belos belo
discursos discurso
Oi oi
gente gente
muito muito
inteligente inteligente
preparada preparar
até até
o o
que que
seduz seduzir
o o
povo povo
de de
Deus deus
Oi oi
e e
o o
povo povo
de de
Deus deus
está estar
sendo ser
seduzido seduzir
pela por_o
falta falta
de de
conhecimento conhecimento
e e
de de
discernimento discernimento
espiritual espiritual
tu tu
acha achar
que que
é ser
verdade verdade
gente gente
é ser
incrível incrível
como como
é ser
que que
o o
povo povo
de de
Deus deus
prefere preferir
seguir seguir
gente gente
o o
que que
chegou chegar
agora agora
o o
que que
não não
tem ter
história história
é ser
do de_o
que que
aprender aprender
com com
homens homem
fiéis fiel
que que
deram dar
a o
vida vida
no em_o
evangelho evangelho
e e
que que
tem ter
história história
em em
qualquer qualquer
um um
que que
os o
a a
técnicas técnica
de de
persuasão persuasão
e e
arrebata arrebatar
gente gente
o o
pastor pastor
vocacionado vocacionado
chamado chamar
para para
cuidar cuidar
da de_o
igreja igreja
de de
20 20
30 30
40 40
anos ano
ele ele
olha olhar
assim assim
a o
Sabinada sabinada
E e
aí aí
não não
tá estar
com com
nada nada
é ser
um um
homem homem
de de
Deus deus
uma um
autoridade autoridade
espiritual espiritual
sendo ser
trocada trocar
por por
quem quem
não não
tem ter
autoridade autoridade
espiritual espiritual
e e
como como
é ser
que que
o o
povo povo
de de
Deus deus
chegasse chegar
a o
gente gente
sabe saber
porque porque
falta faltar
de de
conhecimento conhecimento
e e
discernimento discernimento
espiritual espiritual
Olá olá
meus meu
amados amado
irmãos irmão
a o
questão questão
é ser
ser ser
Oposição oposição
a a
Silas silas
Malafaia malafaia
é ser
a o
questão questão
não não
é ser
seu meu
posição posição
a a
pastores pastor
à a_o
questão questão
é ser
falsifica falsificar
o o
evangelho evangelho
tu tu
acha achar
que que
a o
questão questão
irmão irmão
não não
é ser
porque porque
aqui aqui
é ser
contra contra
mim eu
né né
porque porque
alguém alguém
não não
concorda concordar
com com
que que
eu eu
falo falar
é ser
esse esse
negócio negócio
aí aí
porque porque
nós nós
temos ter
divergências divergência
em em
Pontos ponto
não não
fundamentais fundamental
e e
olha olhar
um um
problema problema
eu eu
não não
tenho ter
problema problema
com com
meus meu
irmãos irmão
presbiterianos presbiteriano
que que
acreditam acreditar
na em_o
predestinação predestinação
e e
deixa deixar
marcou marcar
treinar treinar
fundamental fundamental
do de_o
Evangelho evangelho
não não
tem ter
problema problema
com com
isso isso
só só
meus meu
irmão irmão
para para
o o
Céu céu
também também
eu eu
não não
tenho ter
problema problema
com com
meus meu
irmãos irmão
Batistas batista
que que
pregam pregar
a o
segurança segurança
da de_o
salvação salvação
uma um
vez vez
salvo salvo
salvo salvo
para para
sempre sempre
eu eu
não não
quero querer
nem nem
isso isso
nem nem
na em_o
outra outro
eu eu
quero querer
é ser
para para
destinação destinação
da de_o
igreja igreja
não não
é ser
individual individual
aí aí
é ser
outro outro
assunto assunto
não não
é ser
aqui aqui
mas mas
eu eu
não não
tenho ter
problema problema
e e
não não
tem ter
problema problema
Apenas apenas
crescendo crescer
aquilo aquilo
que que
eu eu
creio crer
e e
eu eu
creio crer
viver viver
dentro dentro
eu eu
creio crer
que que
ninguém ninguém
tá estar
determinada determinar
nada nada
quando quando
a o
Bíblia bíblia
fala falar
de de
predestinação predestinação
falar falar
da de_o
igreja igreja
Paulo paulo
usa usar
plural plural
não não
usa usar
a o
singular singular
nos nós
predestinou predestinar
nele em_ele
nos nós
elegeu eleger
nos nós
músicas música
são ser
da de_o
igreja igreja
escrevendo escrever
para para
igreja igreja
a o
igreja igreja
tá estar
pertence pertencer
nada nada
ao a_o
céu céu
os o
ímpios ímpio
estão estar
predestinadas predestinar
ao a_o
inferno inferno
e e
Israel israel
está estar
predestinado predestinar
a a
reconhecer reconhecer
que que
Jesus jesus
é ser
senhor senhor
três três
áreas área
da de_o
predestinação predestinação
Mas mas
eu eu
não não
quero querer
entrar entrar
nesse em_esse
no em_o
assunto assunto
é ser
esse esse
mas mas
eu eu
não não
tem ter
problema problema
não não
são ser
pontos ponto
fundamentais fundamental
e e
o o
problema problema
é ser
A o
falsificação falsificação
do de_o
Evangelho evangelho
bom bom
então então
aqui aqui
eu eu
vou ir
dizer dizer
para para
você você
Como como
você você
pode poder
identificar identificar
os o
falsificadores falsificador
da de_o
palavra palavra
de de
Deus deus
nesse em_esse
tempo tempo
Oi oi
aqui aqui
é ser
que que
começam começar
a a
ter ter
um um
pouco pouco
de de
água água
o o
que que
você você
pode poder
identificar identificar
os o
