bem bem
sai sair
coisa coisa
boa bom
você você
serve servir
um um
deus deus
que que
tem ter
o o
poder poder
de de
transformar transformar
o o
pior mau
dia dia
da de_o
tua tua
vida vida
no em_o
teu teu
maior grande
testemunho testemunho
você você
serve servir
um um
deus deus
que que
diz dizer
lá lá
isaías isaías
43 43
eis eis
que que
faço fazer
coisa coisa
nova novo
esquece esquecer
a o
coisa coisa
velha velho
esquece esquecer
a o
coisa coisa
passada passado
esquece esquecer
a o
coisa coisa
antiga antigo
eu eu
faço fazer
coisa coisa
nova novo
no em_o
lugar lugar
certo certo
eis eis
que que
porém porém
o o
caminho caminho
não não
é ser
exato exato
até até
o o
deserto deserto
você você
tem ter
estrada estrada
pra pra
passar passar
eu eu
não não
eu eu
posso poder
dizer dizer
que que
eu eu
passo passo
deserto deserto
de de
escapando escapar
de de
salto salto
alto alto
o o
inimigo inimigo
não não
me eu
derruba derrubar
porque porque
eu eu
sei saber
que que
deus deus
faz fazer
uma um
estrada estrada
pra pra
mim eu
no em_o
deserto deserto
e e
eu eu
sei saber
que que
tenho ter
uma uma
canal canal
me eu
esperando esperar
depois depois
de de
cada cada
10 10
será ser
do de_o
meu meu
dom dom
josé josé
e e
hoje hoje
milagre milagre
de de
hoje hoje
promessa promessa
do de_o
minho minho
no em_o
deserto deserto
luz luz
na em_o
escuridão escuridão
ai ai
meu meu
deus deus
é ser
mais mais
uma um
vez vez
parece parecer
que que
tem ter
gente gente
que que
não não
entendeu entender
meu meu
deus deus
é ser
o o
shadow shadow
sasaki sasaki
o o
operando operar
aris aris
t t
a o
dor dor
de de
amor amor
sasaki sasaki
transformando transformar
nossos nosso
te tu
adoro adorar
te tu
adoro adorar
cumpri cumprir
meu meu
deus deus
é ser
meu meu
de de
milagre milagre
de de
deus deus
de de
promessas promessa
o o
deserto deserto
luz luz
na em_o
espanha espanha
eu eu
sei saber
esse esse
é ser
o o
jeito jeito
josé josé
i i
seminário seminário
de de
deus deus
de de
promessas promessa
capital capital
do de_o
deserto deserto
luz luz
na em_o
escuridão escuridão
meu meu
deus deus
isso isso
é ser
quito quitar
tocados tocar
ouras oura
e e
agora agora
vem vir
a o
dor dor
a a
dor dor
aí aí
ela ela
ei ei
adoro adorar
ao a_o
senhor senhor
eis eis
a o
asac asac
três três
foram ser
do de_o
estado estado
te tu
adoro adorar
sendo ser
orador orador
relaxa relaxo
tua tua
mãe mãe
com com
ti tu
meu meu
deus deus
é ser
penso penso
em em
mim eu
e e
deus deus
de de
promessas promessa
na em_o
escuridão escuridão
pensa penso
estávamos estar
flor flor
azul azul
as o
duas dois
harris harris
costa costa
e e
chuva chuva
ressaltamos ressaltar
floração floração
tu tu
és ser
a a
o o
grande grande
problema problema
na em_o
luz luz
mais mais
meu meu
deus deus
debita debitar
é ser
a o
zebra zebra
raça raça
rio rio
no em_o
mercado mercado
luxa luxa
ignoro ignorar
a o
luz luz
mais mais
essa esse
saída saída
quando quando
não não
tenho ter
saído sair
da de_o
esso esso
caminho caminho
quando quando
eu eu
tenho ter
não não
há haver
um um
dia dia
nessa em_esse
porta porta
quando quando
não não
tem ter
hora hora
isto isto
é ser
isso isso
é ser
isso isso
se se
o o
senhor senhor
faz fazer
falta falta
de de
desejo desejo
da de_o
revolta revolta
villa villa
deus deus
de de
promessas promessa
campeã campeã
do de_o
deserto deserto
santa santo
o o
senhor senhor
ainda ainda
tem ter
cinco cinco
minutos minuto
glória glória
de de
estaremos estar
aqui aqui
na em_o
slac slac
faça fazer
sua seu
inscrição inscrição
terei ter
como como
não não
tem ter
mais muito
pastor pastor
então então
apaga apagar
não não
falei falar
para para
vocês você
que que
vou ir
estar estar
aqui aqui
mas mas
não não
vem vir
aqui aqui
e e
eu eu
estou estar
muito muito
feliz feliz
por por
estar estar
aqui aqui
pela por_o
primeira primeiro
vez vez
nessa em_esse
igreja igreja
que que
tem ter
sido ser
referência referência
para para
o o
mundo mundo
né né
eu eu
quero querer
agradecer agradecer
já já
a o
banda banda
que que
a o
gente gente
é ser
quem quem
15 15
minutos minuto
conseguiu conseguir
organizar organizar
a o
gente gente
a a
organizar organizar
pra pra
tocar tocar
ao a_o
vivo vivo
muito muito
obrigado obrigar
pelo por_o
empenho empenho
de de
vocês você
a a
poder poder
no em_o
nome nome
de de
jesus jesus
pra pra
quebrar quebrar
todas todo
as o
cadeias cadeia
a a
poder poder
no em_o
nome nome
de de
jesus jesus
pra pra
quebrar quebrar
as o
algemas algema
do de_o
vício vício
das de_o
drogas droga
a a
homossexualidade homossexualidade
a a
poder poder
no em_o
nome nome
de de
jesus jesus
na em_o
quebrar quebrar
as o
algemas algema
da de_o
dívida dívida
financeira financeiro
algemas algema
de de
problemas problema
espirituais espiritual
satânicos satânico
a a
ponteira ponteira
o o
nome nome
de de
jesus jesus
a a
poder poder
no em_o
o o
nome nome
de de
jesus jesus
a a
poder poder
no em_o
nome nome
de de
jesus jesus
a a
poder poder
no em_o
num em_um
brinde brinde
jesus jesus
pra para_o
cadeia cadeia
se se
quebrar quebrar
a o
cadeia cadeia
esquerda esquerdo
cadê cadê
sinan sinan
a a
poder poder
nó nó
midi midi
jesus jesus
a a
poder poder
no em_o
nó nó
nome nome
de de
jesus jesus
o o
avô avô
deu dar
o o
nome nome
de de
jesus jesus
pra pra
quê quê
da de_o
cadeia cadeia
que que
dá dar
profetiza profetizar
isso isso
na em_o
tua tua
vida vida
cá cá
de de
esqueda esquedar
três três
kits kit
a a
cadeia cadeia
esquerda esquerdo
a a
auto auto
crescer crescer
amor amor
tão tão
livre livre
onde onde
se se
entregou entregar
nossa nosso
e e
ossel ossel
ciap ciap
eu eu
creio crer
que que
tem ter
céu céu
aberto abrir
aqui aqui
eu eu
a a
opel opel
ai ai
jesus jesus
que que
eu eu
chamo chamar
e e
eu eu
só só
esperei esperar
ele ele
levanta levantar
um um
exército exército
vencedor vencedor
um um
exército exército
que que
sorri sorrir
entre entre
a o
estratégia estratégia
avançam avançar
muito muito
mais mais
um um
exército exército
que que
avança avançar
um um
exército exército
vencedor vencedor
que que
mais mais
parte partir
desse de_esse
exército exército
edu edu
surgir surgir
o o
exército exército
do de_o
sul sul
eu eu
faço fazer
parte parte
o o
eser eser
e e
tá estar
tá estar
feia feio
a o
oi oi
sa sa
assim assim
bush bush
mais mais
forte forte
desses de_esse
aécio aécio
oeste oeste
o o
na em_o
minha meu
cabeça cabeça
eu eu
ouço ouvir
eu eu
gosto gostar
um um
sucateiro sucateiro
é ser
a o
festa festa
bolso bolso
cabem caber
as o
pernas perna
eu eu
não não
sei saber
agora agora
opte optar
a o
aman aman
day day
rua rua
a o
mulher mulher
a a
favor favor
e e
eu eu
tenho ter
que que
do do
crei crei
a a
morrer morrer
ei ei
lá lá
pra para_o
cadeia cadeia
se se
da de_o
cadeia cadeia
seda sedar
a o
cadeia cadeia
que que
brennan brennan
se se
assentem assentar
glória glória
a a
deus deus
meu meu
amado amar
querida querido
querida querer
você você
que que
tá estar
aqui aqui
no em_o
nosso nosso
tempo tempo
eu eu
gosto gostar
de de
dizer dizer
uma um
palavra palavra
que que
é ser
importante importante
você você
nunca nunca
pode poder
cobrar cobrar
ninguém ninguém
aquilo aquilo
que que
você você
não não
instruiu instruir
certo certo
eu eu
digo dizer
aqui aqui
na em_o
igreja igreja
que que
uma um
tremenda tremendo
covardia covardia
dá dar
um um
tapa tapa
na em_o
mão mão
do de_o
guri guri
sem sem
antes antes
ensinar ensinar
a a
ele ele
que que
não não
pode poder
fazer fazer
que que
é ser
errado errar
o o
adulto adulto
se se
torna tornar
mais mais
ignorante ignorante
do de_o
que que
a o
criança criança
que que
ela ela
faz fazer
e e
não não
recebeu receber
a o
instrução instrução
então então
só só
tenho ter
uma um
coisa coisa
pra pra
vocês você
aqui aqui
eu eu
sei saber
que que
tem ter
visitante visitante
mas mas
eu eu
vou ir
trazer trazer
uma um
palavra palavra
eu eu
depois depois
coloca colocar
a o
igreja igreja
de de
pé pé
e e
vou ir
fazer fazer
um um
convite convite
muito muito
especial especial
não não
é ser
porque porque
eu eu
coloquei colocar
a o
igreja igreja
de de
pé pé
não não
sei saber
como como
é ser
que que
ela ela
na em_o
sua seu
igreja igreja
mas mas
aqui aqui
o o
povo povo
espero esperar
quanto quanto
terminar terminar
então então
não não
começa começar
a a
sair sair
nem nem
a a
fazer fazer
movimento movimento
que que
eu eu
paro parar
que que
eu eu
estiver estar
falando falar
e e
vou ir
chamar chamar
atenção atenção
eu eu
sou ser
duro duro
na em_o
queda queda
nesse em_esse
negócio negócio
se se
alguém alguém
precisa precisar
sair sair
não não
há haver
nenhum nenhum
problema problema
os o
banheiros banheiro
ficam ficar
ali ali
am am
depois depois
daquela de_aquele
porta porta
do de_o
lado lado
direito direito
você você
pode poder
levantar levantar
aqui aqui
no em_o
banheiro banheiro
é ser
porque porque
tem ter
gente gente
que que
se se
o o
pastor pastor
colocar colocar
a o
igreja igreja
de de
pé pé
oito oito
e e
meia meia
da de_o
noite noite
ele ele
sai sair
se se
colocar colocar
8 8
e e
40 40
ele ele
também também
sai sair
se se
colocar colocar
8 8
50 50
ele ele
sai sair
se se
colocar colocar
nove nove
eles eles
então então
não não
é ser
questão questão
da de_o
hora hora
é ser
uma um
questão questão
de de
costume costume
de de
cultura cultura
e e
disciplina disciplina
o o
culto culto
racional racional
ninguém ninguém
é ser
obrigado obrigar
na em_o
igreja igreja
ninguém ninguém
é ser
obrigado obrigar
a a
prestar prestar
um um
culto culto
a a
deus deus
não não
é ser
racional racional
no em_o
domínio domínio
da de_o
minha meu
faculdade faculdade
da de_o
minha meu
inteligência inteligência
então então
seja ser
fiel fiel
o o
que que
significa significar
ser ser
fiel fiel
àquele a_aquele
que que
cumprir cumprir
aquilo aquilo
a a
que que
se se
obriga obrigar
seja ser
fiel fiel
é ser
isso isso
você você
não não
vê ver
o o
culto culto
então então
seja ser
fiel fiel
esperar esperar
o o
culto culto
acabar acabar
que que
muitas muito
vezes vez
deus deus
tem ter
alguma algum
coisa coisa
pra pra
mim eu
pra pra
você você
no em_o
amém amém
nem nem
durante durante
culto culto
à a_o
man man
assim assim
seja ser
seja ser
feito fazer
concordo concordar
então então
estou estar
falando falar
isso isso
porque porque
eu eu
aprendi aprender
alguma algum
coisa coisa
sobre sobre
protocolo protocolo
seu seu
todo todo
lugar lugar
e e
de de
repente repente
que que
eu eu
não não
conheço conhecer
começa começar
a a
andar andar
eu eu
vou ir
entender entender
que que
aquilo aquilo
que que
está estar
sendo ser
feito fazer
na em_o
reunião reunião
a a
partir partir
daquela de_aquele
hora hora
não não
tem ter
mais mais
valor valor
porque porque
o o
pessoal pessoal
tá estar
andando andar
embora embora
chama chamar
-se se
protocolo protocolar
você você
chega chegar
no em_o
lugar lugar
é ser
pra pra
ficar ficar
em em
pé pé
fica ficar
para para
sentar sentar
senta sentar
né né
é ser
pra pra
sair sair
vamos ir
sair sair
então então
chama chamar
-se se
protocolo protocolar
você você
tem ter
que que
aprender aprender
o o
que que
é ser
um um
protocolo protocolo
você você
tá estar
na em_o
casa casa
de de
deus deus
prestando prestar
um um
culto culto
a a
deus deus
livre livre
ninguém ninguém
é ser
obrigado obrigar
a a
prestar prestar
contas conta
a a
deus deus
mas mas
já já
que que
você você
veio vir
prestar prestar
culto culto
a a
deus deus
então então
seja ser
fiel fiel
é ser
isso isso
que que
você você
determinou determinar
a a
fazer fazer
que que
hoje hoje
à a_o
noite noite
está estar
aqui aqui
prestando prestar
um um
culto culto
a a
deus deus
até até
aqui aqui
tem ter
vários vários
correspondentes correspondente
não não
é é
chegou chegar
o o
pessoal pessoal
da de_o
bbc bbc
já já
falei falar
aqui aqui
da de_o
al al
jazira jazira
e e
da de_o
rádio rádio
da de_o
suíça suíço
e e
da de_o
agência agência
de de
notícias notícia
né né
da de_o
alemanha alemanha
e e
vai ir
pra pra
fora fora
sabe saber
por por
quê quê
porque porque
olha olhar
só só
uma um
quinta quinto
feira feira
dia dia
de de
trabalho trabalho
um um
dia dia
pesado pesar
e e
o o
brasil brasil
povo povo
anda andar
de de
busão busão
grande grande
parte parte
de de
gente gente
né né
vêm vir
de de
ônibus ônibus
e e
tudo tudo
né né
em em
uma um
quinta-feira quinta-feira
aqui aqui
essa esse
parte parte
de de
baixo baixo
cabe caber
4 4
. .
800 800
pessoas pessoa
com com
mais mais
1 1
. .
800 800
da de_o
galeria galeria
então então
aqui aqui
deve dever
ter ter
umas um
quatro quatro
mil mil
e e
quinhentas quinhentas
4 4
mil mil
e e
600 600
pessoas pessoa
em em
dia dia
de de
semana semana
e e
não não
é ser
a o
primeira primeiro
vez vez
que que
terça terçar
feira feira
tinha ter
esse esse
número número
de de
gente gente
aqui aqui
e e
de de
segunda segundo
a o
sexta sexta
a a
gente gente
tem ter
reuniões reunião
menores pequeno
na em_o
igreja igreja
tanto tanto
de de
manhã manhã
como como
de de
tarde tarde
e e
não não
é ser
pastor pastor
que que
faz fazer
isso isso
porque porque
esse esse
povo povo
tivesse ter
aqui aqui
por por
pastor pastor
já já
tinha ter
ido ir
embora embora
muito muito
tempo tempo
nós nós
estamos estar
aqui aqui
porque porque
conhecemos conhecer
um um
deus deus
maravilhoso maravilhoso
que que
transformou transformar
a o
nossa nosso
vida vida
e e
que que
nós nós
prestamos prestar
culto culto
a a
ele ele
ok ok
para para
quem quem
chegou chegar
ainda ainda
agora agora
aqui aqui
eu eu
avisei avisar
a a
eles eles
a a
repórteres repórter
que que
estão estar
livres livre
se se
quiser querer
fazer fazer
uma um
entrevista entrevista
que que
você você
não não
gosta gostar
de de
falar falar
mas mas
tem ter
gente gente
que que
gosta gostar
de de
falar falar
o o
que que
eles eles
perguntarem perguntar
responda responder
segundo segundo
aquilo aquilo
que que
você você
é ser
o o
que que
você você
pensa pensar
tá estar
nenhum nenhum
problema problema
certo certo
eu eu
sei saber
que que
nem nem
todos todo
aqui aqui
são ser
membros membro
da de_o
igreja igreja
mas mas
sinta sentir
-se se
livre livre
eu eu
quero querer
trazer trazer
uma um
palavra palavra
pra pra
vocês você
sobre sobre
algo algo
que que
todo todo
mundo mundo
presta prestar
atenção atenção
em em
acontece acontecer
na em_o
vida vida
de de
todo todo
mundo mundo
do de_o
mais mais
santo santo
ao a_o
menos menos
santo santo
de de
quem quem
é ser
cristão cristão
quem quem
é ser
ateu ateu
se se
é ser
pastor pastor
se se
não não
é ser
todo todo
mundo mundo
tá estar
nesse em_esse
barco barco
aqui aqui
que que
eu eu
vou ir
falar falar
a ela
abra abrir
a o
sua seu
bíblia bíblia
em em
tiago tiago
capítulo capítulo
5 5
vou ir
ler ler
o o
texto texto
tiago tiago
a a
lá lá
pertinho pertinho
do de_o
final final
da de_o
bíblia bíblia
é ser
perto perto
da de_o
epístola epístola
de de
pedro pedro
a a
perto perto
e e
de de
hebreus hebreu
tiago tiago
capítulo capítulo
5 5
versículo versículo
10 10
e e
11 11
tiago tiago
capítulo capítulo
5 5
versículo versículo
10 10
e e
versículo versículo
11 11
diz dizer
o o
texto texto
da de_o
palavra palavra
de de
deus deus
meus meu
irmãos irmão
tomar tomar
por por
exemplo exemplo
de de
aflição aflição
e e
paciência paciência
os o
profetas profeta
que que
falar falar
em em
nome nome
do de_o
senhor senhor
eis eis
que que
temos ter
por por
bem bem
aventurados aventurar
os o
que que
sofreram sofrer
ouvistes ouvir
qual qual
foi ser
a o
paciência paciência
de de
jó jó
e e
viste ver
o o
fim fim
que que
o o
céu céu
lhe ele
deu dar
porque porque
o o
senhor senhor
é ser
muito muito
misericordioso misericordioso
e e
piedoso piedoso
amém amém
sobre sobre
o o
seguinte seguinte
tema tema
quando quando
vem vir
a o
tribulação tribulação
o o
que que
fazer fazer
quando quando
vem vir
a o
tribulação tribulação
isso isso
é ser
a o
adversidade adversidade
o o
dia dia
mal mal
as o
lutas luta
da de_o
vida vida
o o
que que
fazer fazer
jesus jesus
não não
prometeu prometer
moleza moleza
ele ele
mesmo mesmo
diz dizer
em em
joão joão
no em_o
capítulo capítulo
16 16
no em_o
versículo versículo
33 33
no em_o
mundo mundo
tereis ter
aflições aflição
tribulações tribulação
adversidades adversidade
então então
eu eu
vou ir
te tu
dar dar
uma um
receita receita
aqui aqui
vale valer
pra pra
mim eu
que que
estou estar
aqui aqui
falando falar
pra pra
você você
porque porque
eu eu
tenho ter
uma um
convicção convicção
que que
antes antes
de de
pegar pegar
pra pra
você você
eu eu
pego pegar
pra pra
mim eu
é ser
eu eu
não não
prego pregar
nenhuma nenhum
mensagem mensagem
para para
os o
outros outro
primeiro primeiro
quando quando
eu eu
tô tô
falando falar
falando falar
pra pra
mim eu
isso isso
aqui aqui
é ser
uma um
receita receita
muito muito
simples simples
do de_o
que que
você você
deve dever
fazer fazer
porque porque
todos todo
nós nós
seja ser
santo santo
demais demais
o o
santo santo
de de
menos menos
seja ser
cristão cristão
não não
se se
você você
é ser
ser ser
humano humano
todos todo
nós nós
enfrentamos enfrentar
lutas luta
e e
adversidades adversidade
e e
um um
dia dia
mau mau
então então
eu eu
vou ir
te tu
dar dar
aqui aqui
uma um
uma um
receita receita
o o
que que
você você
deve dever
fazer fazer
quando quando
a o
tripulação tripulação
bater bater
na em_o
sua seu
porta porta
ok ok
quando quando
ela ela
chegar chegar
pra pra
você você
então então
aqui aqui
vai ir
meu meu
primeiro primeiro
conselho conselho
faça fazer
um um
auto-exame auto-exame
tente tentar
descobrir descobrir
as o
razões razão
do de_o
porquê porquê
faça fazer
o o
autoexame autoexame
que que
está estar
acontecendo acontecer
comigo com_eu
porque porque
eu eu
tô tô
passando passar
por por
isso isso
eu eu
vou ir
te tu
dar dar
uma um
dica dica
quando quando
você você
faz fazer
o o
autoexame autoexame
é ser
tentando tentar
buscar buscar
as o
respostas resposta
porque porque
tá estar
acontecendo acontecer
isso isso
na em_o
minha meu
vida vida
pode poder
acontecer acontecer
alguma algum
dessas de_esse
coisas coisa
aqui aqui
que que
eu eu
vou ir
falar falar
com com
você você
a o
primeira primeiro
você você
pode poder
resolver resolver
o o
problema problema
só só
em em
você você
a a
se se
dirigir dirigir
a a
si si
mesmo mesmo
e e
analisar analisar
o o
que que
está estar
acontecendo acontecer
com com
você você
você você
pode poder
ter ter
uma um
saída saída
você você
pensar pensar
refletir refletir
você você
pode poder
ter ter
uma um
saída saída
para para
o o
problema problema
número número
dois dois
ao a_o
você você
buscar buscar
mé mé
as o
razões razão
do de_o
porquê porquê
da de_o
tripulação tripulação
pode poder
ser ser
que que
você você
não não
resolva resolver
mas mas
você você
amenizá amenizá
o o
problema problema
você você
amenizar amenizar
o o
impacto impacto
do de_o
problema problema
você você
vai ir
vai ir
ser ser
vai ir
ser ser
um um
pouco pouco
diferente diferente
você você
vai ir
amenizar amenizar
a o
força força
e e
o o
impacto impacto
do de_o
problema problema
que que
continua continuar
aqui aqui
no em_o
item item
um um
filho filho
já já
tá estar
botando botar
um um
negócio negócio
lá lá
da de_o
frente frente
tá estar
seguro seguro
aqui aqui
comigo com_eu
no em_o
item item
1 1
trocando trocar
as o
bolas bola
eu eu
já já
falei falar
na em_o
tela tela
aqui aqui
então então
é ser
você você
vai ir
poder poder
sabe saber
amenizar amenizar
a o
situação situação
porque porque
você você
está estar
analisando analisar
a o
força força
e e
o o
impacto impacto
da de_o
adversidade adversidade
você você
tem ter
que que
você você
tem ter
que que
entender entender
sabe saber
analisar analisar
o o
que que
está estar
acontecendo acontecer
e e
você você
vai ir
poder poder
chegar chegar
a a
essas esse
conclusões conclusão
certo certo
o o
porquê porquê
da de_o
tribulação tribulação
porque porque
dá dar
adversidades adversidade
e e
pode poder
chegar chegar
à a_o
seguinte seguinte
conclusão conclusão
do de_o
primeiro primeiro
as o
leis lei
da de_o
vida vida
eu eu
tô tô
passando passar
por por
tripulação tripulação
e e
por por
a o
diversidade diversidade
pelas por_o
leis lei
da de_o
vida vida
as o
leis lei
da de_o
vida vida
eclesiástica eclesiástico
92 92
diz dizer
que que
tudo tudo
sucede suceder
igualmente igualmente
a a
todos todo
o o
que que
sucede suceder
ao a_o
inpi inpi
o o
que que
sucede suceder
ao a_o
justo justo
o o
ímpio ímpio
quebra quebrar
a o
perna perna
justo justar
também também
o o
ímpio ímpio
bati bater
com com
o o
carro carro
justo justo
também também
o o
ímpio ímpio
é ser
internado internar
no em_o
hospital hospital
justo justo
também também
leis lei
da de_o
vida vida
desde desde
que que
existe existir
um um
nome nome
que que
o o
pecado pecado
entrou entrar
no em_o
mundo mundo
só só
as o
leis lei
da de_o
vida vida
a a
outra outro
coisa coisa
que que
você você
vai ir
poder poder
chegar chegar
a o
uma um
conclusão conclusão
é ser
que que
as o
adversidades adversidade
as o
tribulações tribulação
elas ele
podem poder
vir vir
sobre sobre
a o
nossa nosso
vida vida
falta faltar
de de
sabedoria sabedoria
falta falta
de de
sabedoria sabedoria
sabe saber
a o
gente gente
falava falar
bobagem bobagem
tomar tomar
a o
decisão decisão
errada errado
e e
não não
tem ter
nem nem
o o
diabo diabo
nem nem
deus deus
tem ter
responsabilidade responsabilidade
por por
isso isso
falta faltar
de de
sabedoria sabedoria
tiago tiago
15 15
diz dizer
quem quem
não não
tem ter
peça peça
que que
deus deus
dá dar
no em_o
lance lance
rosto rosto
então então
muitas muito
tribulações tribulação
adversidades adversidade
que que
eu eu
passo passo
não não
estou estar
acusando acusar
você você
está estar
falando falar
de de
mim eu
eu eu
passo passo
por por
adversidades adversidade
populações população
porque porque
nos nós
essa esse
sabedoria sabedoria
para para
lidar lidar
com com
a o
questão questão
sabe saber
talvez talvez
os o
remoções remoção
momento momento
emocional emocional
não não
parei parar
para para
analisar analisar
você você
vai ir
atravessar atravessar
tribulações tribulação
adversidades adversidade
de de
amal amal
isso isso
pode poder
ser ser
pode poder
ser ser
uma um
outra outro
coisa coisa
que que
você você
vai ir
poder poder
chegar chegar
à a_o
conclusão conclusão
dessa de_esse
pergunta pergunta
que que
você você
faz fazer
atravessando atravessar
lutas luta
e e
tipo tipo
de de
tribulações tribulação
quebra quebra
de de
princípios princípio
que que
quebrou quebrar
princípios princípio
o o
couro couro
vai ir
comer comer
no em_o
seu seu
lombo lombo
olha olhar
o o
apóstolo apóstolo
paulo paulo
falar falar
em em
primeira primeiro
terça terça
licenses licenses
4 4
versículos versículo
de de
12 12
17 17
horas hora
procure procurar
viver viver
que que
é ser
tratando tratar
dos de_o
vossos vosso
próprios próprio
negócios negócio
trabalhando trabalhar
com com
as o
suas seu
próprias próprio
mãos mão
como como
já já
voltei voltar
o o
ordenado ordenado
a a
para para
que que
andei andar
jonás jonás
tamente tamente
com com
os o
que que
estão estar
de de
fora fora
e e
não não
necessitar necessitar
de de
coisa coisa
alguma algum
a a
cuidar cuidar
da de_o
tua tua
vida vida
resumo resumo
da de_o
ópera ópera
cuida cuidar
da de_o
tua tua
vida vida
bota bota
pra pra
quebrar quebrar
trabalha trabalhar
pra para_o
caramba caramba
pra pra
você você
não não
ficar ficar
dependendo depender
de de
favor favor
dos de_o
outros outro
e e
de de
tribulações tribulação
da de_o
vida vida
é ser
o o
que que
paga pagar
é ser
recomendado recomendar
quebra quebra
isso isso
quebrou quebrar
esse esse
princípio princípio
chapa chapa
vai ir
gemer gemer
vai ir
chorar chorar
não não
tem ter
outra outro
não não
tem ter
outra outro
o o
apóstolo apóstolo
paulo paulo
disse dizer
romanos romano
12 12
21 21
não não
te tu
deixes deixar
vencer vencer
do de_o
mal mal
mas mas
vence vencer
o o
mal mal
com com
o o
bem bem
então então
o o
mal mal
é ser
a o
manifestação manifestação
do de_o
caráter caráter
do de_o
diabo diabo
o o
bem bem
é ser
a o
manifestação manifestação
do de_o
caráter caráter
de de
deus deus
o o
bem bem
sempre sempre
vai ir
derrotar derrotar
