como como
o o
cargo cargo
eu eu
não não
posso poder
usar usar
do de_o
mesmo mesmo
critério critério
que que
ele ele
usa usar
é ser
ilegal ilegal
a o
constituição constituição
é ser
um um
parâmetro parâmetro
do de_o
país país
nós nós
estamos estar
vendo ver
a o
ditadura ditadura
do de_o
stf stf
o o
sr sr
cometeu cometer
o o
estupro estupro
a a
constituição constituição
eles eles
rasgaram rasgar
a o
constituição constituição
vai ir
ser ser
votos voto
ministério ministério
tube tube
tudo tudo
fica ficar
lindo lindo
aquela aquele
sem sem
graça graça
nos em_o
cara cara
e e
ora ora
se se
era ser
urgente urgente
essa esse
porcaria porcaria
está estar
há há
seis seis
meses mês
na em_o
moda moda
cinismo cinismo
porque porque
não não
tirou tirar
o o
cara cara
lá lá
atrás atrás
porque porque
não não
pude poder
marcar marcar
o o
cara cara
eu eu
estou estar
protegendo proteger
não não
que que
pague pagar
é ser
eu eu
acho achar
que que
ele ele
merece merecer
cadeia cadeia
merece merecer
perder perder
mandar mandar
merece merecer
sair sair
daí de_aí
mas mas
não não
dessa de_esse
forma forma
a o
forma forma
errada errar
a o
forma forma
um um
enxuto enxugar
a o
constituição constituição
entenda entender
isso isso
amigos amigo
pode poder
falar falar
o o
que que
quiser querer
sair sair
pode poder
torcer torcer
para para
dizer dizer
o o
que que
quiser querer
eu eu
estou estar
mantendo manter
aqui aqui
minha meu
posição posição
não não
estou estar
defendendo defender
ninguém ninguém
eu eu
estou estar
dizendo dizer
que que
isso isso
é ser
uma um
vergonha vergonha
o o
supremo supremo
tribunal tribunal
não não
é ser
maior grande
do de_o
que que
os o
outros outro
poderes poder
da de_o
vida vida
dilma dilma
é ser
o o
transit transit
tem ter
que que
ter ter
grande grande
por por
mais mais
que que
seja ser
um um
bandido bandido
com com
mas mas
que que
seja ser
ladrão ladrão
por por
mais muito
que que
merece merecer
a o
cadeia cadeia
tem ter
trâmite trâmite
é ser
a o
constituição constituição
que que
determina determinar
a o
senhora senhora
eu eu
não não
sou ser
criança criança
agora agora
se se
os o
petralhas petralhas
sis si
quer querer
o o
patas pato
e e
preconceituosos preconceituoso
querem querer
dizer dizer
e e
até até
jornada jornada
está estar
aqui aqui
a a
botar botar
dizer dizer
que que
eu eu
estou estar
defendendo defender
o o
quarto quarto
programa programa
de de
vocês você
querem querer
torcer torcer
o o
que que
eu eu
tô tô
falando falar
eu eu
tô tô
falando falar
do de_o
carro carro
não não
da de_o
pessoa pessoa
é ser
uma um
violência violência
contra contra
a o
constituição constituição
essa esse
é ser
a o
verdade verdade
o o
futuro futuro
vai ir
me eu
dizer dizer
o o
futuro futuro
vai ir
nos nós
dizer dizer
vamos ir
aguardar aguardar
vamos ir
ver ver
daqui de_aqui
pra para_o
frente frente
aí aí
amanhã amanhã
não não
chove chover
quando quando
nós nós
tivermos ter
medidas medida
que que
ferem ferir
a o
constituição constituição
o o
supremo supremo
tribunal tribunal
não não
tem ter
autoridade autoridade
para para
queria querer
constituição constituição
como como
ninguém ninguém
tem ter
essa esse
que que
é ser
a o
verdade verdade
e e
surfar surfar
chupada chupar
a a
roque roque
rasgar rasgar
essa esse
que que
inventar inventar
ditadura ditadura
do de_o
stf stf
vergonha vergonha
que que
conhece conhecer
já já
preso preso
que que
pkk pkk
que que
tony tony
pittman pittman
do de_o
seu seu
carro carro
mas mas
quem quem
decide decidir
isso isso
é ser
o o
legislativo legislativo
essa esse
que que
é ser
a o
verdade verdade
ou ou
então então
o o
transitado transitar
e e
julgado julgar
lá lá
no em_o
final final
do de_o
supremo supremo
tribunal tribunal
essa esse
é ser
a o
verdade verdade
o o
resto resto
é ser
balela balela
não não
é ser
porque porque
eu eu
quero querer
ver ver
justiça justiça
que que
eu eu
posso poder
cometer cometer
injustiça injustiça
ok ok
deus deus
tenha ter
misericórdia misericórdia
do de_o
brasil brasil
deus deus
abençoe abençoar
