[ [
nosso nosso
coração coração
recebe receber
o o
nosso nosso
louvor louvor
a a
Deus deus
recebe receber
a o
nossa nosso
adoração adoração
recebe receber
a o
nossa nosso
gratidão gratidão
por por
tudo tudo
que que
tu tu
és ser
e e
por por
tudo tudo
que que
tu tu
fazes fazer
por por
nós nós
só só
Deus deus
abre abrir
a o
porta porta
da de_o
palavra palavra
que que
essa esse
noite noite
seja ser
uma um
noite noite
de de
salvação salvação
de de
cura cura
de de
transformação transformação
de de
Milagres milagre
aqui aqui
nesse em_esse
lugar lugar
o o
espírito espírito
santo santo
tu tu
és ser
bem-vindo bem-vindo
nessa em_esse
casa casa
tu tu
és ser
bem-vindo bem-vindo
neste em_este
lugar lugar
o o
fosco fosco
nesta em_este
noite noite
pai pai
nós nós
Oramos orar
agradecidos agradecer
no em_o
nome nome
de de
Jesus jesus
amém amém
deu dar
melhor bom
aplauso aplauso
ao a_o
Senhor senhor
Jesus jesus
que que
podem poder
se se
assentar assentar
amava amar
e e
o o
e e
disse dizer
o o
senhor senhor
Deus deus
não não
é ser
bom bom
que que
o o
homem homem
esteja estar
só só
far-lhe-ei far-lhe-ei
uma um
ajudadora ajudadora
idônea idôneo
para para
ele ele
É ser
sim sim
Deus deus
criou criar
cada cada
uma uma
de de
nós nós
de de
maneira maneira
singular singular
quando quando
de de
descer descer
o o
nó nó
ventre ventre
materno materno
Escolheu escolher
com com
cuidado cuidado
cada cada
aspecto aspecto
físico físico
e e
criou criar
um um
código código
genético genético
como como
combinação combinação
exclusiva exclusivo
tornando tornar
as o
impressões impressão
digitais digital
Palma palma
das de_o
mãos mão
e e
cor cor
dos de_o
olhos olho
diferentes diferente
da de_o
de de
qualquer qualquer
pessoa pessoa
que que
existe existir
o o
existiu existir
mas mas
foi ir
com com
seu seu
interior interior
que que
ele ele
teve ter
cuidado cuidado
especial especial
ao a_o
esculpir esculpir
a o
personalidade personalidade
e e
escolher escolher
talentos talento
específicos específico
somos ser
únicas único
amadas amado
guerreiras guerreiro
o o
meu meu
diz dizer
do de_o
atenciosa atencioso
os o
fiéis fiel
mundo mundo
asas asa
felizes feliz
aí aí
na em_o
horas hora
dedicadas dedicar
de de
juntas juntas
Leais leal
a a
jogadoras jogador
que que
e e
inteligentes inteligente
submissas submisso
valiosas valioso
velozes veloz
femininas feminino
vitoriosas vitorioso
e e
eles eles
nos em_o
filho filho
não não
é ser
uma um
cópia cópia
mais mais
uma um
mulher mulher
original original
seus seu
pontos ponto
fortes forte
e e
fracos fraco
não não
te tu
fazem fazer
perfeita perfeito
mas mas
te tu
adaptam adaptar
uma um
função função
específica específico
nessa em_esse
terra terra
para para
fazer fazer
a o
diferença diferença
do de_o
jeitinho jeito
que que
é ser
Eu eu
queria querer
um um
desígnio desígnio
foi ser
sonhado sonhar
para para
você você
e e
você você
é ser
a o
única único
pessoa pessoa
capaz capaz
de de
realizá realizá
-lo ele
Enquanto enquanto
muitos muito
movimentos movimento
me eu
deram dar
umas um
mulheres mulher
para para
si si
mesmo mesmo
esquema esquema
dos de_o
carros carro
do de_o
seu seu
Libertador libertador
Jesus jesus
libertou libertar
as o
mulheres mulher
para para
a o
eternidade eternidade
é ser
a a
Jesus jesus
Gama gama
de de
para para
especial especial
filmes filme
valor valor
e e
fomos ser
feitos fazer
à a_o
imagem imagem
e e
semelhança semelhança
de de
Deus deus
[ [
Aplausos aplauso
] _
agora agora
é ser
o o
momento momento
de de
fazer fazer
a o
diferença diferença
desenvolvido desenvolver
todo todo
seu seu
potencial potencial
e e
singularidade singularidade
dados dar
por por
Deus deus
que que
seria ser
incrível incrível
arroz arroz
e e
e e
assim assim
é ser
rica rico
em em
ao a_o
mesmo mesmo
tempo tempo
muito muito
nova novo
em em
vez vez
de de
ser ser
influenciada influenciar
por por
diversas diversos
escolhas escolha
e e
caminhos caminho
admiro admirar
profissões profissão
pessoas pessoa
maneiras maneiro
diferentes diferente
de de
ser ser
Quero querer
me eu
tornar tornar
uma um
modelo modelo
internacional internacional
imagine imaginar
revistas revista
anúncios anúncio
e e
comerciais comercial
ou ou
ser ser
um um
verdadeiro verdadeiro
fenômeno fenômeno
e e
conquistar conquistar
o o
mundo mundo
com com
a o
minha meu
beleza beleza
admiro admirar
muito muito
minha meu
mãe mãe
sonha sonhar
em em
ser ser
igualzinha igualzinha
a o
ela ela
que que
é ser
o o
maior grande
exemplo exemplo
já já
Juventude juventude
Veja ver
a o
necessidade necessidade
de de
tomar tomar
decisões decisão
mais mais
concretas concreto
e e
escolher escolher
um um
rumo rumo
para para
minha meu
vida vida
algumas algum
amigas amiga
dizem dizer
que que
eu eu
deveria dever
me eu
preocupar preocupar
menos menos
com com
isso isso
apenas apenas
que que
dar dar
da de_o
aparência aparência
e e
arrumar arrumar
um um
namorado namorado
rico rico
são ser
tantas tanto
influências influência
todas todo
vinculadas vincular
a a
uma um
busca busca
de de
saber saber
como como
devo dever
me eu
comportar comportar
ou ou
me eu
vestir vestir
procuro procurar
me eu
espelhar espelhar
em em
celebridades celebridade
e e
estilistas estilista
tentando tentar
me eu
enquadrar enquadrar
em em
padrões padrão
de de
beleza beleza
que que
as o
vezes vez
não não
são ser
para para
mim eu
amadureci amadurecer
com com
o o
tempo tempo
e e
iniciei iniciar
projeto projeto
pensei pensar
em em
ser ser
médica médico
já já
me eu
imaginava imaginar
a o
vestida vestir
com com
jaleco jaleco
branco branco
e e
cuidando cuidar
de de
feridos ferido
era ser
um um
sonho sonho
mas mas
sempre sempre
me eu
apresenta apresentar
um um
novidade novidade
disseram dizer
que que
eu eu
deveria dever
ser ser
engenheira engenheiro
me eu
dava dar
bem bem
com com
números número
na em_o
escola escola
seria ser
uma um
ótima ótimo
profissional profissional
e e
ganhar ganhar
ia ir
muito muito
dinheiro dinheiro
apesar apesar
disso de_isso
não não
poderia poder
deixar deixar
que que
escolhessem escolher
por por
mim eu
eu eu
era ser
a o
responsável responsável
pelo por_o
me me
e e
foi ir
nesse em_esse
momento momento
de de
tantas tanto
dúvidas dúvida
que que
me eu
apresentaram apresentar
a o
maior grande
e e
melhor bom
certeza certeza
da de_o
minha meu
vida vida
Jesus jesus
encontrei encontrar
na em_o
palavra palavra
dele de_ele
história história
de de
mulheres mulher
que que
entregaram entregar
suas seu
vidas vida
e e
escolhas escolha
para para
ele ele
e e
tem ter
gente gente
que que
Deus deus
era ser
a o
direção direção
que que
tanto tanto
precisava precisar
foi foi
nele em_ele
que que
encontrei encontrar
minha meu
importância importância
aprendi aprender
que que
sou ser
única único
e e
mais mais
valiosa valioso
que que
rubis rubi
resolvi resolver
gritar gritar
para para
o o
mundo mundo
alegria alegria
que que
era era
tem ter
Jesus jesus
meu meu
coração coração
ardia arder
logo logo
vieram vir
mulheres mulher
dizendo dizer
que que
tudo tudo
era ser
uma um
mentira mentira
me eu
falaram falar
para para
sair sair
em em
busca busca
de de
uma um
tal tal
liberdade liberdade
deveria dever
abandonar abandonar
meu meu
jeito jeito
feminino feminino
parar parar
de de
me eu
cuidar cuidar
diziam dizer
que que
ter ter
filhos filho
era ser
uma um
perca perder
de de
tempo tempo
uma um
simples simples
ideia ideia
machista machista
mas mas
eu eu
conheci conhecer
a o
verdade verdade
eu eu
vivo viver
a o
verdade verdade
nas em_o
Se se
assim assim
Deus deus
me eu
formou formar
assim assim
sou ser
mulher mulher
ele ele
me eu
concedeu conceder
a o
honra honra
de de
gerar gerar
sou ser
feminina feminino
uma um
princesa princesa
perfeita perfeito
eu eu
sei saber
do de_o
meu meu
valor valor
nele em_ele
encontro encontro
minha meu
real real
Liberdade liberdade
instruções instrução
corretas correto
para para
ser ser
uma um
mulher mulher
vitoriosa vitorioso
e e
hoje hoje
amadureci amadurecer
e e
cresci crescer
mas mas
ainda ainda
tentam tentar
influenciar influenciar
em em
diversos diversos
aspectos aspecto
da de_o
minha meu
vida vida
dizem dizer
que que
estou estar
envelhecendo envelhecer
demais demais
e e
preciso preciso
aparentar aparentar
um um
semblante semblante
mais mais
jovem jovem
Usar usar
produtos produto
e e
mais muito
produtos produto
assim assim
como como
me eu
cobram cobrar
ser ser
uma um
esposa esposo
e e
uma um
perfeita perfeito
mãe mãe
como como
é ser
só só
me eu
questionar questionar
e e
esqueço esquecer
que que
são ser
única único
da de_o
forma forma
que que
sou ser
por por
mais mais
que que
por por
alguns algum
momentos momento
me eu
sinta sentir
perdida perder
logo logo
me eu
encontro encontro
sempre sempre
buscando buscar
direcionamento direcionamento
de de
Deus deus
não não
deixe deixar
de de
tentar tentar
ser ser
uma um
boa bom
mãe mãe
boa bom
profissional profissional
Não não
deixe deixar
de de
me eu
cuidar cuidar
mais mais
entendo entender
que que
acima acima
de de
tudo tudo
devo dever
buscar buscar
me eu
enquadrar enquadrar
a a
eu eu
mesma mesmo
no em_o
meu meu
jeito jeito
de de
ser ser
e e
na em_o
palavra palavra
de de
Deus deus
que que
me eu
fez fazer
ser ser
única único
pois pois
ele ele
me eu
fez fazer
assim assim
mulher mulher
mãe mãe
filha filho
esposa esposo
profissional profissional
e e
única único
hoje hoje
não não
preciso preciso
me eu
deixar deixar
levar levar
por por
influências influência
muito muito
menos menos
fazer fazer
escolhas escolha
sozinha só
porque porque
sei saber
que que
ele ele
está estar
no em_o
controle controle
e e
e e
essa esse
é ser
a o
minha meu
história história
e e
também também
de de
todas todo
nós nós
Pois pois
todas todo
somos ser
únicas único
e e
brilhantes brilhante
o o
jeito jeito
de de
ser ser
e e
viver viver
desde desde
criança criança
no em_o
formato formato
de de
cada cada
uma um
Deus deus
é ser
único único
e e
nos nós
fez fazer
sua seu
imagem imagem
e e
semelhança semelhança
sou ser
bonita bonito
né né
a o
revista revista
Veja ver
escolhida escolher
Mônica mônica
especial especial
Menina menina
dos de_o
Olhos olhos
do de_o
Pai pai
abençoar abençoar
e e
para para
filho filho
já já
vitorioso vitorioso
canção canção
Olá olá
eu eu
sou ser
legal legal
eu eu
sou ser
eu eu
sou ser
eu eu
sou ser
G1 g1
especial especial
sou ser
cópias cópia
original original
terra terra
ninguém ninguém
vai ir
sou ser
hoje hoje
sobre sobre
esse esse
ar ar
capitalidade capitalidade
cabelo cabelo
Doutor doutor
esse esse
povo povo
aí aí
em em
geral geral
Eu eu
quero querer
sono sono
do de_o
pai pai
bebê bebê
zoada zoar
para para
Dona dono
Se se
gostou gostar
agora agora
eu eu
chegar chegar
eu eu
trollo trollo
melhor bom
amiga amiga
eu eu
vou ir
eu eu
vou ir
eu eu
vou ir
ligar ligar
música música
eu eu
vou ir
render render
tudo tudo
desenvolver desenvolver
alegria alegria
tudo tudo
amor amor
agradecer agradecer
a o
Deus deus
né né
eu eu
vou ir
é é
melhor bom
né né
Ah ah
cala calar
a o
boca boca
cara caro
do de_o
Romeo romeo
defensor defensor
eu eu
dou dar
para para
prima primo
não não
sei saber
você você
ainda ainda
pode poder
um um
semana semana
koganei koganei
pegou pegar
aqui aqui
pra pra
convidado convidar
por por
aí aí
ó ó
robô robô
é ser
Oi oi
boa bom
noite noite
na em_o
graça graça
na em_o
paz paz
e e
no em_o
amor amor
de de
Cristo cristo
Jesus jesus
Ah ah
Ah ah
que que
pena pena
estamos estar
no em_o
último último
dia dia
né né
Mas mas
ano ano
que que
vem vir
tem ter
mais mais
se se
Deus deus
quiser querer
que que
prazer prazer
estar estar
aqui aqui
com com
esse esse
povo povo
abençoado abençoado
que que
entende entender
o o
segredo segredo
de de
ser ser
um um
único único
nessa em_esse
terra terra
para para
fazer fazer
a o
diferença diferença
Eu eu
louvo louvar
a a
Deus deus
pelo por_o
privilégio privilégio
que que
nós nós
entendemos entender
isso isso
que que
nós nós
estamos estar
aqui aqui
em em
plantando plantar
o o
reino reino
de de
Deus deus
como como
mulher mulher
como como
homem homem
fazendo fazer
diferença diferença
nessa em_esse
terra terra
e e
o o
salmista salmista
Davi davi
entendeu entender
isso isso
no em_o
Salmo salmo
139 @card@
quando quando
ele ele
tava tava
vendo ver
um um
momento momento
de de
adversidade adversidade
ele ele
se se
queixou queixar
ele ele
entender entender
o o
que que
Deus deus
fez fazer
todas todo
as o
coisas coisa
e e
fez fazer
todos todo
os o
detalhes detalhe
da de_o
sua seu
vida vida
e e
do de_o
seu seu
corpo corpo
e e
ele ele
diz dizer
no em_o
Salmo salmo
139 @card@
14 14
Senhor senhor
eu eu
te tu
louvo louvar
porque porque
tu tu
me eu
fizeste fazer
de de
um um
modo modo
maravilhosíssimo maravilhosíssimo
EA ea
minha meu
alma alma
o o
sabe saber
muito muito
bem bem
quando quando
ser ser
humano humano
entende entender
na em_o
sua seu
alma alma
que que
é ser
assédio assédio
do de_o
seu seu
pensamento pensamento
dos de_o
seus seu
sentimentos sentimento
dos de_o
seus seu
desejos desejo
a a
vontade vontade
que que
ele ele
é ser
uma um
obra obra
prima primo
que que
Deus deus
enviou enviar
essa esse
terra terra
para para
cumprir cumprir
Um um
desígnio desígnio
específico específico
que que
ele ele
tem ter
uma um
singularidade singularidade
que que
Deus deus
colocou colocar
nele em_ele
que que
ninguém ninguém
tem ter
e e
Deus deus
colocou colocar
para para
você você
desenvolver desenvolver
como como
um um
homem homem
como como
mulher mulher
dentro dentro
das de_o
funções função
de de
pai pai
de de
mãe mãe
de de
filho filho
de de
amigo amigo
de de
avô avô
de de
tio tio
isso isso
é ser
muito muito
importante importante
e e
é ser
contra contra
isso isso
que que
está estar
nas em_o
tem ter
batalhado batalhar
para para
que que
o o
ser ser
humano humano
não não
tem ter
esse esse
entendimento entendimento
Deus deus
te tu
fez fazer
um um
modo modo
maravilhoso maravilhoso
que que
você você
possa poder
entender entender
isso isso
na em_o
sua seu
alma alma
e e
agradecer agradecer
ao a_o
senhor senhor
você você
pode poder
dizer dizer
uma um
palavra palavra
de de
declaração declaração
de de
amor amor
para para
Deus deus
agora agora
agradecendo agradecer
do de_o
jeito jeito
que que
ele ele
fez fazer
como como
somos ser
Senhor senhor
eu eu
te tu
louvo louvar
eu eu
te tu
amo amar
porque porque
tu tu
me eu
fez fazer
um um
modo modo
maravilhoso maravilhoso
vamos ir
parar parar
de de
reclamar reclamar
daquilo de_aquilo
que que
nós nós
somos ser
aquilo aquilo
que que
Deus deus
nos em_o
deu dar
e e
vamos ir
usar usar
para para
honra honra
e e
glória glória
do de_o
nome nome
do de_o
Senhor senhor
que que
Deus deus
abençoe abençoar
a o
cada cada
pessoa pessoa
que que
veio vir
essa esse
conferência conferência
eu eu
tenho ter
certeza certeza
que que
estamos estar
saindo sair
daqui de_aqui
muito muito
abençoada abençoar
vá ir
mas mas
agora agora
eu eu
queria querer
que que
todas todo
as o
mulheres mulher
ficassem ficar
de de
pé pé
as o
mulheres mulher
que que
estão estar
aqui aqui
nesse em_esse
auditório auditório
todas todo
as o
mulheres mulher
bom bom
e e
nós nós
vamos ir
dar dar
um um
aplauso aplauso
para para
todos todo
os o
homens homem
que que
estão estar
aqui aqui
porque porque
eles eles
são ser
eles eles
são ser
a a
nossa nosso
fonte fonte
geradora gerador
porque porque
nós nós
viemos vir
do de_o
homem homem
e e
quando quando
a o
mulher mulher
entende entender
esse esse
segredo segredo
que que
faz fazer
teria ter
nós nós
somos ser
mais mais
fortes forte
nós nós
somos ser
melhores bom
pode poder
ter ter
certeza certeza
o o
reino reino
de de
Cristo cristo
nesta em_este
terra terra
vai ir
continuar continuar
fazendo fazer
diferença diferença
Amém amém
e e
poder poder
sentar sentar
eu eu
quero querer
aqui aqui
pedir pedir
para para
o o
coral coral
de de
mulheres mulher
vitoriosas vitorioso
das de_o
nossas nosso
filiais filial
se se
apresentar apresentar
em em
com com
dos de_o
louvores louvor
tá estar
bom bom
gol gol
voo voar
e e
E e
ai ai
ainda ainda
não não
morrer morrer
A o
Promessa promessa
é ser
de de
falar falar
se se
esquecer esquecer
ar ar
apenas apenas
uma um
quase quase
logo logo
para para
mim eu
aquele aquele
que que
eu eu
projeto projetar
tocar tocar
não não
dá dar
certo certo
foi ser
concluir concluir
que que
você você
perdeu perder
a a
reduzir reduzir
está estar
chegando chegar
aí aí
e e
fora ser
bebendo beber
pula polir
escrevendo escrever
graça graça
e e
salvador salvador
da de_o
tua tua
casa casa
tem ter
nada nada
aberto abrir
sem sem
provisão provisão
da de_o
tua tua
vida vida
adora adorar
pra para_o
família família
querida querer
eu eu
só só
ele ele
maldade maldade
chorar chorar
pros pros
feliz feliz
a a
curar curar
-se se
ver ver
vá ir
curar curar
curar curar
vem vir
coisa coisa
nova novo
por por
aí aí
ele ele
chega chegar
Obrigado obrigar
depois depois
a o
nova novo
mudança mudança
por por
fora fora
mexendo mexer
cura cura
acredito acreditar
graça graça
estava estar
com com
saudade saudade
de de
você você
todo todo
mal mal
na em_o
sua seu
vida vida
vá ir
falei falar
coração coração
ele ele
vai ir
curar curar
a ela
e e
tenta tentar
fazer fazer
diferença diferença
aí aí
hoje hoje
eu eu
vim vir
para para
fazer fazer
a o
diferença diferença
você você
veio vir
também também
você você
ver ver
se se
o o
mundo mundo
para para
fazer fazer
diferença diferença
mas mas
é ser
ruim ruim
não não
vou ir
me eu
conformar conformar
com com
este este
mundo mundo
nem nem
me eu
aceitar aceitar
patrões patrão
que que
ferem ferir
minha meu
fé fé
não não
vou ir
negociar negociar
os o
meus meu
princípios princípio
e e
nem nem
viver viver
como como
a o
sociedade sociedade
quer quer
estou estar
fundamentado fundamentar
na em_o
palavra palavra
encontrar encontrar
o o
pecado pecado
eu eu
vou ir
protestar protestar
podem poder
escutar escutar
comigo com_eu
nessa em_esse
geração geração
portão portão
pequeno pequeno
mais mais
podes poder
me eu
usar usar
favor favor
eu eu
ser ser
um um
adorador adorador
como como
Davi davi
quero querer
ouvir ouvir
sua seu
voz voz
como como
Samuel samuel
Kerr kerr
sendo ser
parente parente
como como
de de
leão leão
e e
contaminada contaminar
como como
Daniel daniel
me eu
ensina ensinar
viver viver
para para
o o
senhor senhor
me eu
ensina ensinar
a a
perdoar perdoar
como como
sucesso sucesso
disse dizer
nascer nascer
paciente paciente
como como
só só
que que
mesmo mesmo
provado provar
não não
perdeu perder
a o
sua seu
vez vez
eu eu
vou ir
fazer fazer
a o
diferença diferença
novo novo
me eu
vejo ver
que que
aparece aparecer
a o
essa esse
igreja igreja
sobrar sobrar
recepção recepção
aqui aqui
ó ó
tá estar
suja sujo
nunca nunca
pareceram parecer
tão tão
ficar ficar
meu meu
carro carro
na em_o
verdade verdade
eu eu
vou ir
conseguir conseguir
eu eu
vou ir
conseguir conseguir
Senhor senhor
então então
podes poder
me eu
usar usar
os o
parentes parente
como como
se se
Deus deus
em em
contato contato
com com
a o
água água
com com
o o
Daniel daniel
disse dizer
abp abp
hoje hoje
um um
minuto minuto
de de
fazer fazer
a o
medição medição
focada focar
filho filho
a a
galinha galo
presente presente
sociais social
segundo segundo
não não
é ser
eu eu
vou ir
lhe ele
pagar pagar
eu eu
vou ir
encontrar encontrar
aqui aqui
Senhor senhor
então então
podes poder
de de
que que
a o
paz paz
de de
Cristo cristo
para para
Todos todo
Ah ah
que que
bom bom
que que
estamos estar
aqui aqui
Parabéns parabéns
às a_o
mulheres mulher
vitoriosas vitorioso
da de_o
igreja igreja
onde onde
é ser
que que
elas ele
estão estar
onde onde
é ser
que que
elas ele
estão estar
maioria maioria
a a
maioria maioria
e e
cadê cadê
os o
homens homem
vencedores vencedor
e e
é ser
coisa coisa
de de
Março março
é ser
um um
e e
nós nós
estamos estar
terminando terminar
em em
uma um
conferência conferência
de de
homens homem
e e
de de
mulheres mulher
né né
mulheres mulher
vitoriosas vitorioso
e e
homens homem
aí aí
juntamos juntar
todos todo
aqui aqui
hoje hoje
tanto tanto
os o
homens homem
como como
as o
mulheres mulher
para para
o o
encerramento encerramento
sexta sexta
e e
sábado sábado
aqui aqui
foi ser
exclusivamente exclusivamente
para para
as o
mulheres mulher
os o
homens homem
aqui aqui
no em_o
templo templo
antigo antigo
Nossa nossa
aqui aqui
pertinho pertinho
que que
também também
ouvimos ouvir
duas dois
mensagens mensagem
extraordinárias extraordinário
e e
aqui aqui
também também
eu eu
sei saber
que que
foi ser
muita muito
benção benção
mas mas
antes antes
de de
eu eu
continuar continuar
eu eu
queria querer
pedir pedir
porque porque
eu eu
tô tô
vendo ver
algumas algum
mulheres mulher
senhoras senhor
em em
pé pé
e e
quem quem
sabe saber
alguns algum
varões varão
gentis gentil
na em_o
pudessem poder
ceder ceder
o o
seu seu
lugar lugar
para para
essas esse
senhoras senhor
não não
tô tô
vendo ver
mulheres mulher
senhoras senhor
tem ter
lugar lugar
e e
se se
alguns algum
dos de_o
amados amado
irmãos irmão
do de_o
olhar olhar
tão tão
bom bom
então então
vamos ir
arrumar arrumar
a o
casa casa
como como
diz dizer
tá estar
aqui aqui
na em_o
frente frente
pode poder
botar botar
tem ter
um um
dois dois
três três
quatro quatro
lugares lugar
aqui aqui
pode poder
vir vir
alguém alguém
eu eu
vou ir
segurar segurar
um um
dois dois
três três
quatro quatro
cinco cinco
tem ter
5 5
vacas vaca
mulheres mulher
certo certo
tem ter
cinco cinco
vagas vaga
aqui aqui
na em_o
frente frente
daqui de_aqui
a a
pouco pouco
eu eu
libero liberar
não não
esses esse
lugares lugar
aí aí
segura segurar
só só
um um
pouquinho pouco
Vamos ir
acertar acertar
onde onde
sobre sobre
o o
lugar lugar
da de_o
para para
levantar levantar
uma um
obrigado obrigado
viu ver
queridos querer
obrigado obrigado
obrigado obrigado
obrigado obrigar
a a
vários vários
homens homem
levantaram levantar
que que
tem ter
muita muito
mulher mulher
em em
pé pé
Então então
vamos ir
tentar tentar
arrumar arrumar
certo certo
vamos ir
tentar tentar
arrumar arrumar
e e
aqui aqui
a o
casa casa
o o
ok ok
onde onde
é ser
que que
tem ter
lugar lugar
sobrando sobrar
levanta levantar
a o
mão mão
aí aí
olha olhar
aí aí
senhoras senhor
por por
favor favor
vão ir
embora embora
senão senão
vou ir
mandar mandar
os o
homens homem
voltaram voltar
de de
novo novo
para para
sentar sentar
e e
os o
caras cara
Levanta levantar
para para
você você
ficar ficar
em em
pé pé
aí aí
não não
vai ir
ter ter
graça graça
né né
então então
vamos ir
vamos ir
vamos ir
sair sair
daí de_aí
de de
trás trás
tem ter
vários vários
lugares lugar
levanta levantar
a o
mão mão
de de
novo novo
para para
mostrar mostrar
o o
lugar lugar
ó ó
ó ó
aqui aqui
é ser
só só
aqui aqui
deve dever
ter ter
uns um
15 15
lugares lugar
não não
tem ter
necessidade necessidade
de de
mulher mulher
ficar ficar
em em
pé pé
é ser
isso isso
vamos ir
arrumar arrumar
e e
tem ter
muita muito
gente gente
em em
pé pé
a o
igreja igreja
é ser
grande grande
são ser
ser ser
1580 @card@
lugares lugar
mas mas
ainda ainda
deve dever
ter ter
a o
imagem imagem
de de
Nilce nilce
ela ela
quase quase
mil mil
em em
pé pé
não não
sei saber
Oi oi
ok ok
e e
vamos ir
lá lá
tem ter
mais muito
lugar lugar
Ó ó
tem ter
mais muito
lugar lugar
E e
daqui de_aqui
a a
3 3
minutos minuto
nós nós
vamos ir
voltar voltar
e e
se se
as o
mulheres mulher
não não
quiserem querer
sentar sentar
E e
aí aí
viu ver
Ok ok
a a
O o
que que
é ser
que que
tem ter
É é
sim sim
tem ter
lugar lugar
no em_o
coral coral
tem ter
lugar lugar
se se
quiser querer
os o
homens homem
sentarem sentar
na em_o
última último
fila fila
na em_o
última último
fila fila
do de_o
coral coral
é ser
porque porque
eu eu
sei saber
que que
eles eles
querem querer
ficar ficar
de de
frente frente
eles eles
vão ir
ter ter
que que
ficar ficar
vendo ver
aquela aquele
tela tela
em em
sentar sentar
lá lá
na em_o
última último
Áquila áquila
e e
oque ocar
sobrou sobrar
lugar lugar
ainda ainda
a a
onde onde
tem ter
lugar lugar
Pode poder
vir vir
a a
mamis mamis
' '
ó ó
tem ter
um um
78 @card@
lugares lugar
vocês você
levantaram levantar
volta volta
para para
sentar sentar
Elas elas
não não
querem querer
não não
e e
pode poder
ter ter
uma um
galinha galo
pode poder
ver ver
os o
homens homem
pode poder
já já
tá estar
liberado liberar
de de
volta volta
à a_o
do de_o
lado lado
de de
cá cá
levanta levantar
a o
mão mão
e e
para para
localizar localizar
só só
para para
localizar localizar
só só
para para
localizar localizar
aqui aqui
e e
a a
aonde aonde
levanta levantar
a o
mão mão
aí aí
que que
eu eu
quero querer
ver ver
é ser
isso isso
ponha pôr
volta volta
a a
que que
maravilha maravilhar
só só
para para
arrumar arrumar
o o
trem trem
como como
a o
gente gente
diz dizer
arruma arrumar
o o
trem trem
aí aí
Oi oi
ok ok
ok ok
ok ok
ok ok
É ser
eu eu
sei saber
que que
aqui aqui
tem ter
muita muito
gente gente
convidado convidar
a a
muita muito
gente gente
amiga amigo
que que
é ser
uma um
alegria alegria
você você
que que
tá estar
aqui aqui
pela por_o
primeira primeiro
vez vez
pela por_o
segunda segundo
vez vez
ver ver
o o
fique ficar
à a_o
vontade vontade
aqui aqui
a o
casa casa
de de
Deus deus
esse esse
lugar lugar
consagrado consagrado
a a
prestarmos prestar
culto culto
à a_o
Deus deus
mas mas
permita permitir
-me eu
aqui aqui
apresentar apresentar
aqui aqui
um um
amigo amigo
Dr dr
Jorge jorge
jamili jamili
e e
a o
doutora doutora
Mônica mônica
fica ficar
de de
pé pé
jovem jovem
fica ficar
de de
pé pé
é é
queria querer
que que
vocês você
dessem dessar
um um
aplauso aplauso
a a
e e
É ser
uma um
honra honra
pelos por_o
aqui aqui
podem poder
ser ser
assentado assentar
eu eu
tô tô
Jorge jorge
jamili jamili
é ser
um um
