oséias oséias
coisa coisa
de de
deus deus
por por
isso isso
que que
não não
crê crer
em em
deus deus
é ser
muita muito
coisa coisa
que que
não não
dá dar
para para
entender entender
eu eu
cheguei chegar
para para
ele ele
e e
se se
olha olhar
que que
coisa coisa
interessante interessante
o o
motivo motivo
pelo por_o
qual qual
você você
diz dizer
que que
não não
acredita acreditar
em em
deus deus
é ser
o o
motivo motivo
pelo por_o
qual qual
eu eu
acredito acreditar
nele em_ele
ele ele
falou falar
não não
entendi entender
então então
eu eu
explico explicar
você você
falou falar
pra pra
mim eu
que que
não não
acredita acreditar
em em
deus deus
que que
você você
não não
entende entender
muita muito
coisa coisa
de de
deus deus
e e
ela ela
estou estar
dizendo dizer
pra pra
você você
que que
eu eu
acredito acreditar
em em
deus deus
porque porque
eu eu
não não
entendo entender
muita muito
coisa coisa
de de
deus deus
que que
se se
eu eu
entendesse entender
de de
deus deus
que que
era ser
deus deus
era ser
eu eu
[ [
Aplausos aplauso
] _
e e
se se
eu eu
entender entender
se se
pudesse poder
perdeu perder
seu seu
anel anel
é ser
exatamente exatamente
por por
eu eu
não não
entender entender
muita muito
coisa coisa
de de
deus deus
é ser
que que
ele ele
é ser
deus deus
o o
que que
você você
tem ter
que que
entender entender
meu meu
irmão irmão
presta prestar
atenção atenção
isso isso
aqui aqui
é ser
aqui aqui
que que
tá estar
pra pra
você você
entender entender
porque porque
nós nós
conhecemos conhecer
em em
parte parte
e e
por por
que que
nós nós
conhecemos conhecer
o o
que que
se se
pode poder
os o
atributos atributo
da de_o
divindade divindade
estão estar
divididos dividir
em em
atributos atributo
comunicáveis comunicável
e e
atributos atributo
incomunicáveis incomunicável
da de_o
divindade divindade
quais qual
são ser
os o
atributos atributo
incomunicáveis incomunicável
atividades atividade
é ser
aquilo aquilo
que que
não não
comunicou comunicar
o o
homem homem
a a
onipotência onipotência
o o
deus deus
que que
tem ter
todo todo
o o
poder poder
à a_o
onisciência onisciência
o o
deus deus
que que
conhece conhecer
todas todo
as o
coisas coisa
a a
onipresença onipresença
o o
deus deus
que que
está estar
em em
todo todo
lugar lugar
ea ea
eternidade eternidade
de de
deus deus
tá estar
eternidade eternidade
mas mas
ele ele
é ser
eterno eterno
esse esse
aqui aqui
são ser
chamados chamar
os o
atributos atributo
incomunicáveis incomunicável
da de_o
divindade divindade
ele ele
não não
comunicou comunicar
isso isso
ao a_o
homem homem
você você
lê ler
e e
sabe saber
que que
ele ele
tem ter
mais mais
como como
é ser
isso isso
agora agora
tem ter
os o
atributos atributo
comunicáveis comunicável
da de_o
divindade divindade
amor amor
bondade bondade
e e
misericórdia misericórdia
compaixão compaixão
isso isso
são ser
facetas faceto
do de_o
caráter caráter
de de
deus deus
que que
ele ele
comunicou comunicar
o o
homem homem
então então
são ser
os o
atributos atributo
comunicáveis comunicável
da de_o
dignidade dignidade
por por
isso isso
que que
nós nós
conhecemos conhecer
em em
parte parte
o o
que que
se se
pode poder
conhecer conhecer
porque porque
existe existir
atributos atributo
desse de_esse
deus deus
que que
ele ele
não não
tem ter
como como
manifestar manifestar
totalmente totalmente
pra pra
nós nós
que que
a o
gente gente
ia ir
ficar ficar
bruno brunir
global global
o o
terceiro terceiro
lugar lugar
o o
salmista salmista
do de_o
salmo salmo
139 @card@
começou começar
a a
querer querer
entender entender
a o
onisciência onisciência
ea ea
onipotência onipotência
de de
deus deus
começou começar
a a
escutar escutar
sobre sobre
isso isso
para para
onde onde
irei ir
do de_o
teu teu
espírito espírito
de de
subir subir
aos a_o
céus céu
do de_o
estágio estágio
se se
fizer fazer
minha meu
cama cama
no em_o
céu céu
também também
estás estar
ali ali
se se
tomar tomar
as o
asas asa
da de_o
al al
bitar bitar
nas em_o
extremidades extremidade
dos de_o
mares mar
até até
lhe ela
tome tomar
aratuá aratuá
desta de_este
vez vez
terá ter
aí aí
ele ele
começa começar
a a
falar falar
de de
modo modo
terrível terrível
maravilhoso maravilhoso
eu eu
fui ser
entretecido entretecer
90 90
da de_o
minha meu
mãe mãe
ele ele
foi ser
dizer dizer
os o
teus teu
olhos olho
viram ver
meu meu
corpo corpo
ainda ainda
informe informe
na em_o
fase fase
embrionária embrionário
os o
teus teu
olhos olho
me eu
viram ver
e e
todas todo
as o
coisas coisa
iam ir
sendo ser
anotados anotar
no em_o
teu teu
livro livro
quando quando
nenhuma nenhum
delas de_elas
existia existir
vai ir
dormir dormir
com com
um um
barulho barulho
desse de_esse
deus deus
tem ter
tudo tudo
anotado anotar
sobre sobre
você você
quanto quanto
é ser
o o
diâmetro diâmetro
de de
cada cada
válvula válvula
do de_o
coração coração
quando quando
o o
quanto quanto
pesa pesar
cada cada
osso osso
do de_o
teu teu
corpo corpo
quantos quanto
bilhões bilhão
de de
neurônios neurônio
e e
na em_o
tua tua
cabeça cabeça
deus deus
tem ter
tudo tudo
isso isso
é ser
notado notar
aí aí
ele ele
vai ir
chegar chegar
o o
versículo versículo
6 6
mas mas
é ser
assim assim
tal tal
ciência ciência
é ser
maravilha maravilha
zima zima
para para
mim eu
tão tão
alta alto
que que
eu eu
não não
possa poder
atingir atingir
saída saída
pela por_o
direita direita
isso isso
é ser
quando quando
o o
sol sol
está estar
começou começar
a a
escutar escutar
sobre sobre
a o
grandiosidade grandiosidade
dela de_ela
diz dizer
assim assim
não não
dá dar
pra pra
minha meu
mente mente
entender entender
tudo tudo
isso isso
porque porque
a o
grandeza grandeza
de de
deus deus
é ser
algo algo
tão tão
estou estar
pendendo pender
que que
é ser
uma um
ciência ciência
muito muito
alta alto
para para
mim eu
a o
quarta quarto
consideração consideração
sobre sobre
o o
conhecimento conhecimento
de de
deus deus
bem bem
lembrado lembrar
você você
primeiro primeiro
conhecemos conhecer
em em
conhecemos conhecer
o o
que que
se se
pode poder
é é
uma um
ciência ciência
muito muito
alta alto
em em
quarto quarto
lugar lugar
o o
conhecimento conhecimento
de de
deus deus
é ser
um um
processo processo
contínuo contínuo
o o
zé zé
é ser
63 63
desconheçamos desconhecer
e e
prossigamos prosseguir
em em
conhecer conhecer
o o
senhor senhor
não não
tem ter
ninguém ninguém
formado formar
em em
deus deus
é ser
um um
processo processo
contínuo contínuo
quanto quanto
mais mais
você você
conhece conhecer
deus deus
mas mas
você você
sabe saber
que que
você você
não não
conhece conhecer
é ser
o o
inverso inverso
quando quando
o o
camarada camarada
é ser
ph ph
d d
depois depois
o o
cara cara
vem vir
ele ele
faz fazer
a o
faculdade faculdade
depois depois
ele ele
faz fazer
um um
mestrado mestrado
aí aí
ele ele
faz fazer
um um
doutorado doutorado
a a
ele ele
faz fazer
um um
pastorado pastorar
é ser
o o
bambambã bambambã
do de_o
negócio negócio
sabe saber
tudo tudo
e e
mais mais
alguma algum
coisa coisa
mas mas
com com
deus deus
não não
é ser
o o
contrário contrário
quanto quanto
mais mais
o o
homem homem
se se
forma formar
uma um
área área
da de_o
ciência ciência
mas mas
ele ele
vai ir
tendo ter
o o
domínio domínio
mas mas
ele ele
vai ir
tendo ter
conhecimento conhecimento
mas mas
ele ele
é ser
respeitado respeitar
mas mas
ele ele
é ser
autoridade autoridade
no em_o
conhecimento conhecimento
deus deus
ao a_o
contrário contrário
quanto quanto
mais mais
você você
conhece conhecer
a a
deus deus
mas mas
você você
sabe saber
que que
não não
conhece conhecer
porque porque
ele ele
é ser
muito muito
mais mais
do de_o
que que
tudo tudo
aquilo aquilo
que que
eu eu
e e
você você
possamos possar
conhecer conhecer
dele de_ele
agora agora
fica ficar
com com
a o
sua seu
bíblia bíblia
aberta abrir
pra pra
você você
seguir seguir
que que
agora agora
vem vir
a o
dureza dureza
da de_o
história história
porque porque
eu eu
tô tô
pegando pegar
essa esse
mensagem mensagem
aqui aqui
pra pra
você você
eu eu
vou ir
te tu
mostrar mostrar
na em_o
bíblia bíblia
não não
vou ir
forçar forçar
a o
barra barra
não não
vou ir
forçar forçar
texto texto
dentro dentro
desse de_esse
texto texto
só só
vou ir
usar usar
um um
texto texto
fora fora
josé josé
x x
4 4
o o
que que
a o
falta falta
do de_o
conhecimento conhecimento
de de
deus deus
produz produzir
abrem abrir
no em_o
capítulo capítulo
4 4
volta voltar
a a
abrir abrir
a o
bíblia bíblia
volte voltar
a a
abrir abrir
a o
bíblia bíblia
eu eu
vou ir
te tu
mostrar mostrar
11 11
resultados resultado
aqui aqui
eu eu
só só
vou ir
lê ler
não não
preciso preciso
nem nem
explicar explicar
eu eu
vou ir
te tu
mostrar mostrar
11 11
resultados resultado
da de_o
falta falta
do de_o
conhecimento conhecimento
de de
deus deus
que que
estão estar
aqui aqui
um um
fora fora
daqui de_aqui
comigo com_eu
capítulo capítulo
4 4
versículo versículo
um um
ouvir ouvir
a o
palavra palavra
do de_o
senhor senhor
vós vós
filhos filho
de de
israel israel
por por
que que
o o
senhor senhor
tem ter
uma um
contenda contenda
com com
os o
habitantes habitante
da de_o
terra terra
porque porque
não não
há haver
verdade verdade
nem nem
benignidade benignidade
nem nem
conhecimento conhecimento
de de
deus deus
na em_o
terra terra
sabe saber
o o
que que
está estar
dizendo dizer
aqui aqui
há haver
uma um
desavenças desavença
a a
uma um
discórdia discórdia
de de
deus deus
com com
os o
habitantes habitante
da de_o
terra terra
pela por_o
falta falta
de de
conhecimento conhecimento
agora agora
olha olhar
o o
versículo versículo
dois dois
parece parecer
que que
ele ele
foi ser
inscrito inscrever
hoje hoje
só só
prevalecem prevalecer
o o
pejor pejor
a a
mentir mentir
o o
matar matar
o o
furtar furtar
e e
o o
adultera adulterar
ea ea
homicídios homicídio
sobre sobre
homicídios homicídio
a o
falta falta
do de_o
conhecimento conhecimento
de de
deus deus
produz produzir
a o
prioridade prioridade
do de_o
mal mal
versículo versículo
3 3
por por
isso isso
a o
terra terra
se se
lamentar lamentar
a ela
e e
qualquer qualquer
que que
morar morar
nela em_ela
desfalecerá desfalecer
com com
os o
animais animal
do de_o
campo campo
com com
as o
aves ave
do de_o
céu céu
até até
os o
peixes peixe
do de_o
mar mar
serão ser
tirados tirar
da de_o
catastrófica catastrófico
versículo versículo
5 5
por por
isso isso
cairá cair
de de
dia dia
cairá cair
mais mais
de de
dia dia
e e
o o
profeta profeta
contigo contigo
cairá cair
de de
noite noite
e e
destruir destruir
e e
tua tua
mãe mãe
morte morte
e e
queda queda
e e
se se
com com
6 6
a o
primeira primeiro
parte parte
que que
eu eu
já já
li ler
como como
tema tema
do de_o
texto texto
mas mas
repito repetir
o o
meu meu
povo povo
foi ser
destruído destruir
porque porque
lhe ele
faltou faltar
conhecimento conhecimento
em em
quinto quinto
lugar lugar
a o
destruição destruição
7o 7o
lugar lugar
versículo versículo
7 7
como como
eles eles
se se
multiplicaram multiplicar
assim assim
contra contra
mim eu
p p
caro caro
eu eu
mudarei mudar
a o
sua seu
honra honra
envergonha envergonhar
mudança mudança
do de_o
xingu xingu
de de
vida vida
de de
melhor bom
para para
pior mau
7º 7º
versículo versículo
8 8
alimentam alimentar
se se
do de_o
pecado pecado
meu meu
povo povo
e e
da de_o
maldade maldade
dele de_ele
tem ter
desejo desejo
ardente ardente
desejo desejo
para para
o o
mal mal
8º 8º
lugar lugar
versículo versículo
9 9
por por
isso isso
como como
é ser
o o
povo povo
assim assim
será ser
o o
sacerdote sacerdote
visitarei visitar
sobre sobre
os o
seus seu
caminhos caminho
e e
ele ele
daria dar
recompensa recompensa
das de_o
suas seu
obras obra
juízo juízo
de de
nono nono
lugar lugar
ver ver
se se
com com
10 10
comeram comer
mas mas
não não
se se
fartaram fartar
entregar entregar
-se se
à a_o
luxúria luxúria
mas mas
não não
se se
multiplicaram multiplicar
porque porque
deixaram deixar
de de
olhar olhar
para para
o o
senhor senhor
se se
tornam tornar
insaciáveis insaciável
décimo décimo
lugar lugar
versículo versículo
12 12
a o
última último
parte parte
diz dizer
assim assim
e e
eles eles
se se
corrompem corromper
apartando apartar
se se
dá dar
sujeita sujeito
sujeição sujeição
do de_o
seu seu
deus deus
corromper corromper
apodrecer apodrecer
por por
dentro dentro
auto-destruição auto-destruição
11º 11º
final final
do de_o
versículo versículo
14 14
pois pois
o o
povo povo
que que
não não
tem ter
entendimento entendimento
será ser
transtornado transtornar
perturbação perturbação
e e
desordem desordem
e e
12º 12º
lugar lugar
é ser
o o
único único
texto texto
que que
eu eu
vou ir
usar usar
fora fora
josé josé
x x
4 4
romanos romano
1 1
28 28
como como
não não
se se
importar importar
em em
ter ter
conhecimento conhecimento
de de
deus deus
deus deus
entregou entregar
um um
sentimento sentimento
perverso perverso
farão fazer
cometendo cometer
torpeza torpeza
com com
varão varão
e e
até até
as o
suas seu
mulheres mulher
deixar deixar
uso uso
natural natural
da de_o
mulher mulher
cometendo cometer
torpeza torpeza
com com
mulher mulher
o o
homossexualismo homossexualismo
é ser
uma um
prova prova
da de_o
falta falta
de de
conhecimento conhecimento
de de
deus deus
deus deus
entregou entregar
um um
sentimento sentimento
perverso perverso
é ser
o o
sentimento sentimento
mais mais
vulnerável vulnerável
só só
as o
relações relação
homossexuais homossexual
eu eu
mostrei mostrar
pra pra
você você
dos de_o
resultados resultado
da de_o
falta falta
do de_o
conhecimento conhecimento
de de
deus deus
vida vida
catastrófica catastrófico
de de
um um
estado estado
melhor bom
o o
pior mau
destruição destruição
o o
mal mal
interna internar
juízo juízo
de de
deus deus
é ser
para para
você você
entender entender
meu meu
irmão irmão
porque porque
o o
diabo diabo
não não
tinha ter
é é
que que
você você
não não
conheça conhecer
nada nada
de de
deus deus
então então
a o
questão questão
é ser
essa esse
como como
é ser
que que
eu eu
posso poder
obter obter
o o
conhecimento conhecimento
de de
deus deus
já já
que que
a o
falta falta
de de
conhecimento conhecimento
de de
deus deus
traz trazer
esses esse
resultados resultado
para para
que que
não não
aconteça acontecer
isso isso
eu eu
tenho ter
que que
ter ter
o o
conhecimento conhecimento
de de
deus deus
e e
eu eu
vou ir
te tu
dizer dizer
depois depois
do de_o
que que
o o
conhecimento conhecimento
de de
deus deus
produz produzir
então então
vamos ir
lá lá
quem quem
é ser
que que
quer querer
ter ter
conhecimento conhecimento
de de
deus deus
quem quem
é ser
que que
quer querer
conhecer conhecer
e e
prosseguir prosseguir
em em
conhecer conhecer
ao a_o
senhor senhor
quanto quanto
deixou deixar
v10 v10
xavier xavier
número número
1 1
é ser
o o
óbvio óbvio
a o
maior grande
fonte fonte
do de_o
conhecimento conhecimento
de de
deus deus
a a
sua seu
palavra palavra
como como
é ser
que que
se se
obtém obter
o o
conhecimento conhecimento
de de
deus deus
através através
da de_o
palavra palavra
busca busca
de de
informação informação
com com
o o
intelecto intelecto
não não
é ser
de de
maneira maneira
transparente transparente
atenção atenção
essa esse
noite noite
vai ir
entrar entrar
o o
evangelho evangelho
de de
joão joão
na em_o
minha meu
mente mente
joão joão
joão joão
joão joão
do de_o
monte monte
está estar
entrando entrar
capítulo capítulo
já já
foi ser
2 2
também também
em em
seguida seguida
tendo ter
três três
e e
14 14
e e
nem nem
entrou entrar
em em
busca busca
de de
informação informação
com com
o o
intelecto intelecto
agora agora
vou ir
te tu
mostrar mostrar
quais qual
há haver
a o
diferença diferença
de de
lei lei
para para
meditar meditar
conhece conhecer
bem bem
que que
deus deus
não não
vem vir
com com
leitura leitura
vem vir
com com
meditação meditação
aquilo aquilo
que que
está estar
no em_o
solo solo
um um
versículo versículo
dois dois
antes antes
tem ter
o o
seu seu
prazer prazer
na em_o
lei lei
do de_o
senhor senhor
e e
na em_o
sua seu
lei lei
medita meditar
de de
dia dia
e e
de de
noite noite
você você
quer querer
saber saber
o o
que que
é ser
que que
leva levar
mostrar mostrar
o o
que que
quer querer
lê ler
lê ler
aqui aqui
ó ó
pai pai
eu eu
tenho ter
que que
ler ler
a o
bíblia bíblia
fiz fazer
uma um
promessa promessa
de de
ler ler
um um
capítulo capítulo
por por
dia dia
têm ter
que que
cumprir cumprir
então então
eu eu
tenho ter
que que
ler ler
as o
quatro quatro
têm ter
que que
ler ler
é ser
óbvio óbvio
para para
nós nós
temos ter
que que
tomar tomar
conta conta
do de_o
atentado atentado
que que
na em_o
verdade verdade
eu eu
nem nem
conheço conhecer
as o
obras obra
pessoalmente pessoalmente
está estar
totalmente totalmente
a o
via via
por por
isso isso
vamos ir
gastar gastar
com com
isso isso
aqui aqui
é ser
meditar meditar
é ser
pensar pensar
é ser
inferior inferior
é ser
analisar analisar
se se
você você
quer querer
obter obter
o o
conhecimento conhecimento
de de
deus deus
não não
é ser
lê ler
é ser
meditar meditar
pensar pensar
analisar analisar
sem sem
ferir ferir
o o
irmão irmão
como como
é ser
que que
jesus jesus
botou botar
capeta capeta
pra pra
correr correr
sai sair
de de
reto reto
capital capital
tamarrado tamarrar
não não
é ser
que que
jesus jesus
venceu vencer
o o
diabo diabo
vamos ir
lá lá
para para
mateus mateu
4 4
que que
você você
já já
sabe saber
o o
fato fato
lembrando lembrar
40 40
dias dia
e e
40 40
noites noite
jesus jesus
está estar
com com
fome fome
por por
jô jô
a a
satanás satanás
sempre sempre
traz trazer
uma um
solução solução
paliativa paliativo
porque porque
não não
tem ter
solução solução
definitiva definitivo
para para
ninguém ninguém
ele ele
observa observar
deficiência deficiência
na em_o
sociedade sociedade
por por
isso isso
aproveito aproveitar
para para
dizer dizer
que que
uma um
coisa coisa
é ser
dizer dizer
nada nada
na em_o
mensagem mensagem
desculpa desculpa
existe existir
na em_o
mensagem mensagem
uma um
coisa coisa
chamada chamado
mensagem mensagem
para para
em em
técnica técnico
ou ou
melhor bom
no em_o
apocalipse apocalipse
e e
eu eu
vou ir
usar usar
um um
princípio princípio
do de_o
apocalipse apocalipse
para para
trazer trazer
mensagem mensagem
tem ter
até até
que que
explicar explicar
o o
que que
é ser
uma um
passagem passagem
para para
intec intec
fica ficar
o o
apocalipse apocalipse
vem vir
tratando tratar
de de
um um
assunto assunto
para para
tratar tratar
de de
outro outro
assunto assunto
para para
e e
volta voltar
pra pra
aquele aquele
assunto assunto
é ser
o o
que que
eu eu
vou ir
fazer fazer
aqui aqui
na em_o
mensagem mensagem
por por
isso isso
que que
o o
diabo diabo
olha olhar
a o
tua tua
necessidade necessidade
de de
falar falar
português português
claro claro
você você
querida querer
já já
é ser
uma um
mulher mulher
rock rock
veio vir
pra pra
jesus jesus
entregou entregar
sua seu
vida vida
cristo cristo
foi ser
transformada transformar
pelo por_o
evangelho evangelho
e e
o o
diabo diabo
sabe saber
da de_o
sua seu
carência carência
afetiva afetivo
ele ele
observa observar
vale vale
para para
o o
homem homem
também também
então então
o o
java java
não não
quer querer
que que
você você
se se
case casar
o o
diabo diabo
não não
quer querer
compromisso compromisso
de de
casamento casamento
o o
diabo diabo
quer querer
que que
você você
use usar
o o
sexo sexo
para para
satisfazer satisfazer
a o
sua seu
necessidade necessidade
emocional emocional
da de_o
sua seu
fragilidade fragilidade
então então
ele ele
te tu
ataca atacar
na em_o
área área
que que
você você
está estar
frágil frágil
você você
tá estar
duro duro
durango durango
kid kid
só só
não não
deve dever
a o
alma alma
porque porque
não não
deu dar
pra pra
vender vender
mas mas
tá estar
no em_o
vai ir
e e
vem vir
um um
cara cara
com com
uma um
proposta proposta
de de
uma um
coisa coisa
e e
licitar licitar
para para
tocar tocar
uma um
grana grana
para para
pagar pagar
a o
dívida dívida
satanás satanás
sempre sempre
chega chegar
com com
uma um
solução solução
paliativa paliativo
porque porque
não não
tem ter
solução solução
definitiva definitivo
ninguém ninguém
pra pra
tentar tentar
trazer trazer
pra pra
você você
algo algo
que que
atenda atender
à a_o
demanda demanda
do de_o
momento momento
é ser
o o
que que
ele ele
fez fazer
com com
jesus jesus
eu eu
volto voltar
para para
o o
texto texto
fechar fechar
a o
passagem passagem
para para
a o
ética ética
eu eu
estava estar
com com
forma forma
de de
obras obra
assim assim
se se
traz trazer
o o
filho filho
de de
deus deus
transforma transformar
essas esse
pedras pedra
em em
pães pão
jesus jesus
disse dizer
está estar
escrito escrever
nem nem
só só
de de
pão pão
viverá viver
o o
homem homem
mas mas
toda todo
palavra palavra
que que
sai sair
da de_o
boca boca
de de
deus deus
jesus jesus
usou usar
deuteronômio deuteronômio
capítulo capítulo
8 8
versículo versículo
13 13
versículo versículo
3 3
desculpe desculpar
aí aí
o o
diabo diabo
pega pegar
leva levar
jesus jesus
com com
o o
pináculo pináculo
do de_o
adepto adepto
e e
agora agora
o o
chifrudo chifrudo
o o
vai ir
usar usar
biya biya
e e
adivinha adivinhar
o o
texto texto
que que
ele ele
vai ir
usar usar
o o
são ser
91 91
porque porque
tem ter
gente gente
que que
pensa pensar
que que
o o
salmo salmo
91 91
capeta capeta
tem ter
medo medo
se se
deixar deixar
aberto abrir
na em_o
cabeceira cabeceira
da de_o
minha meu
cama cama
no em_o
salmo salmo
91 91
chegam chegar
demanda demanda
identificada identificar
ou ou
a o
soma soma
total total
e e
foi ir
embora embora
você você
tem ter
que que
entender entender
uma um
coisa coisa
o o
diabo diabo
entende entender
marca marca
de de
bíblia bíblia
do de_o
que que
qualquer qualquer
teólogo teólogo
e e
porque porque
não não
se se
conversa conversar
ele ele
é ser
chamado chamar
de de
maligno maligno
aquele aquele
cuja cujo
essência essência
do de_o
seu seu
caráter caráter
é ser
mau mau
e e
não não
consegue conseguir
se se
corrigir corrigir
por por
isso isso
que que
ele ele
só só
usa usar
a o
bíblia bíblia
para para
o o
mal mal
mesmo mesmo
reconhecendo reconhecer
tudo tudo
você você
sabe saber
que que
já já
causava causar
derrubar derrubar
jesus jesus
salmo salmo
91 91
versículo versículo
11 11
/ /
12 12
memon memon
também também
está estar
escrito escrever
lança lançar
daqui de_aqui
para para
baixo baixo
custo custo
da de_o
ordem ordem
aos a_o
seus seu
anjos anjo
para para
que que
pegue pegar
pelas por_o
suas seu
mãos mão
para para
que que
não não
tropeça tropeçar
em em
pedra pedra
alguma algum
irmão irmão
o o
diabo diabo
não não
tem ter
medo medo
do de_o
salmo salmo
91 91
ele ele
treme tremar
diante diante
do de_o
deus deus
do de_o
salmo salmo
91 91
jesus jesus
não não
deixou deixar
a o
palavra palavra
jesus jesus
não não
deixa deixar
a o
palavra palavra
existe existir
também também
está estar
escrito escrever
não não
tentará tentar
o o
seu seu
deus deus
jesus jesus
o o
deuteronomy deuteronomy
6 6
16 16
satanás satanás
leva levar
jesus jesus
para para
o o
alto alto
mar mar
diz dizer
tudo tudo
isso isso
se se
daria dar
se se
prostrado prostrar
me eu
adorares adorares
jesus jesus
não não
só só
da de_o
palavra palavra
nos em_o
disse dizer
vai ir
-te tu
satanás satanás
porque porque
está estar
escrito escrever
só só
o o
senhor senhor
teu teu
deus deus
adorarás adorarás
e e
só só
ele ele
servir servir
as o
jesus jesus
o o
deuteronômio deuteronômio
capítulo capítulo
6 6
versículo versículo
13 13
jesus jesus
não não
largou largar
a o
palavra palavra
um um
minuto minuto
para para
combater combater
o o
diabo diabo
aqui aqui
como como
é ser
que que
jesus jesus
combater combater
o o
capeta capeta
com com
a o
palavra palavra
com com
a o
palavra palavra
você você
quer querer
te tu
conhece conhecer
nem nem
de de
deus deus
e e
tem ter
que que
ler ler
a o
palavra palavra
não não
meditar meditar
na em_o
palavra palavra
olha olhar
o o
apóstolo apóstolo
paulo paulo
como como
era ser
um um
homem homem
que que
pesquisava pesquisar
palavra palavra
em em
segundo segundo
a a
timóteo timóteo
43 43
vezes vez
assento assento
quando quando
vier vir
espaço espaço
entrou entrar
hoje hoje
na em_o
casa casa
de de
carro carro
traz trazer
a o
minha meu
capa capa
os o
livros livro
e e
principalmente principalmente
os o
pergaminhos pergaminho
paulo paulo
pesquisava pesquisar
palavra palavra
olha olhar
daniel daniel
no em_o
capítulo capítulo
9 9
e e
5 5
2 2
quando quando
ele ele
queria querer
entender entender
aquilo aquilo
que que
deus deus
tenha ter
revelado revelar
a a
jeremias jeremias
el el
pelos por_o
livros livro
entende entender
ele ele
foi ser
buscar buscar
conhecimento conhecimento
com com
intelecto intelecto
como como
é ser
que que
você você
quer querer
conhecer conhecer
a a
deus deus
se se
a o
palavra palavra
vive viver
fechada fechado
é ser
por por
isso isso
que que
o o
diabo diabo
que que
rouba roubar
a o
palavra palavra
da de_o
tua tua
vida vida
da de_o
tua tua
família família
da de_o
igreja igreja
porque porque
ele ele
conhece conhecer
o o
poder poder
dessa de_esse
palavra palavra
reconhece reconhecer
a o
única único
coisa coisa
que que
pode poder
destruir destruir
o o
povo povo
de de
deus deus
é ser
falta falta
de de
conhecimento conhecimento
da de_o
palavra palavra
me eu
